District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2024,High Needs,40.0,36.0,90.0
Achievement First Bridgeport Academy District,2024,Non-High Needs,8.0,7.0,
Achievement First Hartford Academy District,2024,High Needs,55.0,44.0,80.0
Achievement First Hartford Academy District,2024,Non-High Needs,13.0,12.0,
Amistad Academy District,2024,High Needs,50.0,45.0,90.0
Amistad Academy District,2024,Non-High Needs,13.0,12.0,
Ansonia School District,2024,High Needs,124.0,105.0,84.7
Ansonia School District,2024,Non-High Needs,37.0,33.0,89.2
Avon School District,2024,High Needs,55.0,45.0,81.8
Avon School District,2024,Non-High Needs,167.0,165.0,98.8
Berlin School District,2024,High Needs,71.0,61.0,85.9
Berlin School District,2024,Non-High Needs,128.0,128.0,100.0
Bethel School District,2024,High Needs,109.0,96.0,88.1
Bethel School District,2024,Non-High Needs,138.0,136.0,98.6
Bloomfield School District,2024,High Needs,116.0,95.0,81.9
Bloomfield School District,2024,Non-High Needs,34.0,30.0,88.2
Bolton School District,2024,High Needs,14.0,11.0,
Bolton School District,2024,Non-High Needs,38.0,38.0,100.0
Branford School District,2024,High Needs,103.0,87.0,84.5
Branford School District,2024,Non-High Needs,113.0,110.0,97.3
Bridgeport School District,2024,High Needs,1324.0,978.0,73.9
Bridgeport School District,2024,Non-High Needs,167.0,142.0,85.0
Bristol School District,2024,High Needs,412.0,360.0,87.4
Bristol School District,2024,Non-High Needs,206.0,202.0,98.1
Brookfield School District,2024,High Needs,92.0,79.0,85.9
Brookfield School District,2024,Non-High Needs,135.0,135.0,100.0
Canton School District,2024,High Needs,41.0,32.0,78.0
Canton School District,2024,Non-High Needs,73.0,72.0,98.6
Capital Preparatory Harbor School District,2024,High Needs,34.0,32.0,94.1
Capital Preparatory Harbor School District,2024,Non-High Needs,6.0,6.0,
Capitol Region Education Council,2024,High Needs,347.0,306.0,88.2
Capitol Region Education Council,2024,Non-High Needs,114.0,111.0,97.4
Cheshire School District,2024,High Needs,102.0,87.0,85.3
Cheshire School District,2024,Non-High Needs,192.0,189.0,98.4
Clinton School District,2024,High Needs,59.0,53.0,89.8
Clinton School District,2024,Non-High Needs,62.0,62.0,100.0
Colchester School District,2024,High Needs,58.0,50.0,86.2
Colchester School District,2024,Non-High Needs,96.0,95.0,99.0
Common Ground High School District,2024,High Needs,41.0,28.0,68.3
Common Ground High School District,2024,Non-High Needs,10.0,9.0,
Connecticut Technical Education and Career System,2024,High Needs,2062.0,1995.0,96.8
Connecticut Technical Education and Career System,2024,Non-High Needs,530.0,522.0,98.5
Coventry School District,2024,High Needs,37.0,33.0,89.2
Coventry School District,2024,Non-High Needs,65.0,64.0,98.5
Cromwell School District,2024,High Needs,55.0,47.0,85.5
Cromwell School District,2024,Non-High Needs,84.0,84.0,100.0
Danbury School District,2024,High Needs,674.0,482.0,71.5
Danbury School District,2024,Non-High Needs,250.0,220.0,88.0
Darien School District,2024,High Needs,95.0,86.0,90.5
Darien School District,2024,Non-High Needs,233.0,232.0,99.6
Derby School District,2024,High Needs,86.0,64.0,74.4
Derby School District,2024,Non-High Needs,26.0,23.0,88.5
East Granby School District,2024,High Needs,20.0,18.0,90.0
East Granby School District,2024,Non-High Needs,31.0,30.0,96.8
East Haddam School District,2024,High Needs,27.0,22.0,81.5
East Haddam School District,2024,Non-High Needs,40.0,40.0,100.0
East Hampton School District,2024,High Needs,42.0,38.0,90.5
East Hampton School District,2024,Non-High Needs,106.0,106.0,100.0
East Hartford School District,2024,High Needs,378.0,306.0,81.0
East Hartford School District,2024,Non-High Needs,121.0,116.0,95.9
East Haven School District,2024,High Needs,175.0,137.0,78.3
East Haven School District,2024,Non-High Needs,66.0,62.0,93.9
East Lyme School District,2024,High Needs,93.0,80.0,86.0
East Lyme School District,2024,Non-High Needs,156.0,155.0,99.4
East Windsor School District,2024,High Needs,43.0,35.0,81.4
East Windsor School District,2024,Non-High Needs,16.0,16.0,
Eastern Connecticut Regional Educational Service Center (EASTCONN),2024,High Needs,36.0,29.0,80.6
Eastern Connecticut Regional Educational Service Center (EASTCONN),2024,Non-High Needs,10.0,9.0,
Ellington School District,2024,High Needs,56.0,44.0,78.6
Ellington School District,2024,Non-High Needs,140.0,139.0,99.3
Elm City College Preparatory School District,2024,High Needs,40.0,31.0,77.5
Elm City College Preparatory School District,2024,Non-High Needs,12.0,9.0,
Enfield School District,2024,High Needs,227.0,194.0,85.5
Enfield School District,2024,Non-High Needs,184.0,175.0,95.1
Explorations District,2024,High Needs,16.0,9.0,
Explorations District,2024,Non-High Needs,7.0,6.0,
Fairfield School District,2024,High Needs,301.0,260.0,86.4
Fairfield School District,2024,Non-High Needs,517.0,515.0,99.6
Farmington School District,2024,High Needs,99.0,88.0,88.9
Farmington School District,2024,Non-High Needs,205.0,204.0,99.5
Glastonbury School District,2024,High Needs,117.0,105.0,89.7
Glastonbury School District,2024,Non-High Needs,323.0,321.0,99.4
Goodwin University Educational Services (GUES),2024,High Needs,92.0,73.0,79.3
Goodwin University Educational Services (GUES),2024,Non-High Needs,13.0,13.0,
Granby School District,2024,High Needs,39.0,32.0,82.1
Granby School District,2024,Non-High Needs,105.0,104.0,99.0
Great Oaks Charter School District,2024,High Needs,57.0,41.0,71.9
Great Oaks Charter School District,2024,Non-High Needs,9.0,8.0,
Greenwich School District,2024,High Needs,250.0,230.0,92.0
Greenwich School District,2024,Non-High Needs,402.0,397.0,98.8
Griswold School District,2024,High Needs,76.0,57.0,75.0
