District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Amistad Academy District,2014,High Needs,,,
Amistad Academy District,2014,Non-High Needs,,,
Ansonia School District,2014,High Needs,113.0,80.0,70.8
Ansonia School District,2014,Non-High Needs,44.0,40.0,90.9
Avon School District,2014,High Needs,44.0,39.0,88.6
Avon School District,2014,Non-High Needs,228.0,226.0,99.1
Berlin School District,2014,High Needs,62.0,52.0,83.9
Berlin School District,2014,Non-High Needs,173.0,171.0,98.8
Bethel School District,2014,High Needs,81.0,68.0,84.0
Bethel School District,2014,Non-High Needs,163.0,158.0,96.9
Bloomfield School District,2014,High Needs,120.0,104.0,86.7
Bloomfield School District,2014,Non-High Needs,49.0,44.0,89.8
Bolton School District,2014,High Needs,18.0,12.0,
Bolton School District,2014,Non-High Needs,85.0,85.0,100.0
Branford School District,2014,High Needs,112.0,91.0,81.3
Branford School District,2014,Non-High Needs,187.0,181.0,96.8
Bridgeport School District,2014,High Needs,,,
Bridgeport School District,2014,Non-High Needs,,,
Bristol School District,2014,High Needs,342.0,241.0,70.5
Bristol School District,2014,Non-High Needs,357.0,331.0,92.7
Brookfield School District,2014,High Needs,46.0,41.0,89.1
Brookfield School District,2014,Non-High Needs,186.0,184.0,98.9
Canton School District,2014,High Needs,24.0,19.0,79.2
Canton School District,2014,Non-High Needs,112.0,109.0,97.3
Capitol Region Education Council,2014,High Needs,197.0,171.0,86.8
Capitol Region Education Council,2014,Non-High Needs,120.0,110.0,91.7
Cheshire School District,2014,High Needs,91.0,74.0,81.3
Cheshire School District,2014,Non-High Needs,298.0,297.0,99.7
Clinton School District,2014,High Needs,31.0,25.0,80.6
Clinton School District,2014,Non-High Needs,102.0,98.0,96.1
Colchester School District,2014,High Needs,58.0,50.0,86.2
Colchester School District,2014,Non-High Needs,190.0,187.0,98.4
Common Ground High School District,2014,High Needs,22.0,19.0,86.4
Common Ground High School District,2014,Non-High Needs,7.0,7.0,
Connecticut Technical Education and Career System,2014,High Needs,1525.0,1455.0,95.4
Connecticut Technical Education and Career System,2014,Non-High Needs,898.0,874.0,97.3
Coventry School District,2014,High Needs,35.0,30.0,85.7
Coventry School District,2014,Non-High Needs,98.0,98.0,100.0
Cromwell School District,2014,High Needs,37.0,25.0,67.6
Cromwell School District,2014,Non-High Needs,97.0,97.0,100.0
Danbury School District,2014,High Needs,453.0,306.0,67.5
Danbury School District,2014,Non-High Needs,308.0,288.0,93.5
Darien School District,2014,High Needs,64.0,55.0,85.9
Darien School District,2014,Non-High Needs,272.0,270.0,99.3
Department of Mental Health and Addiction Services,2014,High Needs,,,
Derby School District,2014,High Needs,66.0,50.0,75.8
Derby School District,2014,Non-High Needs,36.0,33.0,91.7
East Granby School District,2014,High Needs,11.0,6.0,
East Granby School District,2014,Non-High Needs,55.0,54.0,98.2
East Haddam School District,2014,High Needs,34.0,27.0,79.4
East Haddam School District,2014,Non-High Needs,71.0,71.0,100.0
East Hampton School District,2014,High Needs,20.0,16.0,80.0
East Hampton School District,2014,Non-High Needs,101.0,101.0,100.0
East Hartford School District,2014,High Needs,403.0,304.0,75.4
East Hartford School District,2014,Non-High Needs,104.0,93.0,89.4
East Haven School District,2014,High Needs,155.0,111.0,71.6
East Haven School District,2014,Non-High Needs,105.0,99.0,94.3
East Lyme School District,2014,High Needs,64.0,49.0,76.6
East Lyme School District,2014,Non-High Needs,210.0,207.0,98.6
East Windsor School District,2014,High Needs,53.0,45.0,84.9
East Windsor School District,2014,Non-High Needs,56.0,52.0,92.9
Eastern Connecticut Regional Educational Service Center (EASTCONN),2014,High Needs,40.0,29.0,72.5
Eastern Connecticut Regional Educational Service Center (EASTCONN),2014,Non-High Needs,26.0,20.0,76.9
Ellington School District,2014,High Needs,41.0,36.0,87.8
Ellington School District,2014,Non-High Needs,153.0,149.0,97.4
Elm City College Preparatory School District,2014,High Needs,,,
Elm City College Preparatory School District,2014,Non-High Needs,,,
Enfield School District,2014,High Needs,173.0,130.0,75.1
Enfield School District,2014,Non-High Needs,251.0,236.0,94.0
Explorations District,2014,High Needs,,,
Explorations District,2014,Non-High Needs,,,
Fairfield School District,2014,High Needs,170.0,134.0,78.8
Fairfield School District,2014,Non-High Needs,558.0,549.0,98.4
Farmington School District,2014,High Needs,69.0,56.0,81.2
Farmington School District,2014,Non-High Needs,275.0,272.0,98.9
Glastonbury School District,2014,High Needs,125.0,104.0,83.2
Glastonbury School District,2014,Non-High Needs,460.0,458.0,99.6
Granby School District,2014,High Needs,41.0,32.0,78.0
Granby School District,2014,Non-High Needs,164.0,162.0,98.8
Greenwich School District,2014,High Needs,203.0,178.0,87.7
Greenwich School District,2014,Non-High Needs,467.0,459.0,98.3
Griswold School District,2014,High Needs,89.0,65.0,73.0
Griswold School District,2014,Non-High Needs,81.0,79.0,97.5
Groton School District,2014,High Needs,170.0,131.0,77.1
Groton School District,2014,Non-High Needs,147.0,138.0,93.9
Guilford School District,2014,High Needs,71.0,53.0,74.6
Guilford School District,2014,Non-High Needs,215.0,212.0,98.6
Hamden School District,2014,High Needs,229.0,184.0,80.3
Hamden School District,2014,Non-High Needs,229.0,224.0,97.8
Hartford School District,2014,High Needs,1259.0,876.0,69.6
Hartford School District,2014,Non-High Needs,111.0,104.0,93.7
Killingly School District,2014,High Needs,116.0,81.0,69.8
Killingly School District,2014,Non-High Needs,102.0,95.0,93.1
Learn,2014,High Needs,93.0,82.0,88.2
Learn,2014,Non-High Needs,60.0,59.0,98.3
Lebanon School District,2014,High Needs,27.0,23.0,85.2
Lebanon School District,2014,Non-High Needs,78.0,75.0,96.2
Ledyard School District,2014,High Needs,97.0,76.0,78.4
Ledyard School District,2014,Non-High Needs,150.0,148.0,98.7
Lisbon School District,2014,High Needs,,,
Lisbon School District,2014,Non-High Needs,,,
Litchfield School District,2014,High Needs,9.0,7.0,
Litchfield School District,2014,Non-High Needs,60.0,57.0,95.0
Madison School District,2014,High Needs,58.0,52.0,89.7
Madison School District,2014,Non-High Needs,262.0,258.0,98.5
Manchester School District,2014,High Needs,281.0,206.0,73.3
Manchester School District,2014,Non-High Needs,173.0,167.0,96.5
Meriden School District,2014,High Needs,448.0,313.0,69.9
Meriden School District,2014,Non-High Needs,167.0,155.0,92.8
