District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Amistad Academy District,2012,High Needs,,,
Amistad Academy District,2012,Non-High Needs,,,
Ansonia School District,2012,High Needs,142.0,99.0,69.7
Ansonia School District,2012,Non-High Needs,63.0,57.0,90.5
Avon School District,2012,High Needs,46.0,39.0,84.8
Avon School District,2012,Non-High Needs,239.0,235.0,98.3
Berlin School District,2012,High Needs,65.0,56.0,86.2
Berlin School District,2012,Non-High Needs,198.0,193.0,97.5
Bethel School District,2012,High Needs,59.0,49.0,83.1
Bethel School District,2012,Non-High Needs,180.0,176.0,97.8
Bloomfield School District,2012,High Needs,122.0,86.0,70.5
Bloomfield School District,2012,Non-High Needs,74.0,67.0,90.5
Bolton School District,2012,High Needs,15.0,8.0,
Bolton School District,2012,Non-High Needs,58.0,58.0,100.0
Branford School District,2012,High Needs,87.0,76.0,87.4
Branford School District,2012,Non-High Needs,171.0,164.0,95.9
Bridgeport School District,2012,High Needs,,,
Bridgeport School District,2012,Non-High Needs,,,
Bristol School District,2012,High Needs,291.0,217.0,74.6
Bristol School District,2012,Non-High Needs,340.0,320.0,94.1
Brookfield School District,2012,High Needs,32.0,27.0,84.4
Brookfield School District,2012,Non-High Needs,222.0,220.0,99.1
Canton School District,2012,High Needs,17.0,16.0,
Canton School District,2012,Non-High Needs,102.0,100.0,98.0
Capitol Region Education Council,2012,High Needs,220.0,166.0,75.5
Capitol Region Education Council,2012,Non-High Needs,115.0,100.0,87.0
Cheshire School District,2012,High Needs,87.0,73.0,83.9
Cheshire School District,2012,Non-High Needs,324.0,321.0,99.1
Clinton School District,2012,High Needs,33.0,29.0,87.9
Clinton School District,2012,Non-High Needs,90.0,85.0,94.4
Colchester School District,2012,High Needs,65.0,55.0,84.6
Colchester School District,2012,Non-High Needs,181.0,178.0,98.3
Common Ground High School District,2012,High Needs,25.0,22.0,88.0
Common Ground High School District,2012,Non-High Needs,6.0,6.0,
Connecticut Technical Education and Career System,2012,High Needs,1546.0,1473.0,95.3
Connecticut Technical Education and Career System,2012,Non-High Needs,985.0,955.0,97.0
Coventry School District,2012,High Needs,49.0,34.0,69.4
Coventry School District,2012,Non-High Needs,104.0,98.0,94.2
Cromwell School District,2012,High Needs,49.0,38.0,77.6
Cromwell School District,2012,Non-High Needs,103.0,101.0,98.1
Danbury School District,2012,High Needs,407.0,265.0,65.1
Danbury School District,2012,Non-High Needs,350.0,316.0,90.3
Darien School District,2012,High Needs,52.0,47.0,90.4
Darien School District,2012,Non-High Needs,259.0,253.0,97.7
Derby School District,2012,High Needs,66.0,44.0,66.7
Derby School District,2012,Non-High Needs,40.0,36.0,90.0
East Granby School District,2012,High Needs,11.0,10.0,
East Granby School District,2012,Non-High Needs,50.0,48.0,96.0
East Haddam School District,2012,High Needs,26.0,22.0,84.6
East Haddam School District,2012,Non-High Needs,76.0,72.0,94.7
East Hampton School District,2012,High Needs,31.0,25.0,80.6
East Hampton School District,2012,Non-High Needs,134.0,131.0,97.8
East Hartford School District,2012,High Needs,445.0,318.0,71.5
East Hartford School District,2012,Non-High Needs,146.0,135.0,92.5
East Haven School District,2012,High Needs,136.0,87.0,64.0
East Haven School District,2012,Non-High Needs,94.0,79.0,84.0
East Lyme School District,2012,High Needs,83.0,72.0,86.7
East Lyme School District,2012,Non-High Needs,220.0,214.0,97.3
East Windsor School District,2012,High Needs,37.0,28.0,75.7
East Windsor School District,2012,Non-High Needs,52.0,49.0,94.2
Eastern Connecticut Regional Educational Service Center (EASTCONN),2012,High Needs,45.0,33.0,73.3
Eastern Connecticut Regional Educational Service Center (EASTCONN),2012,Non-High Needs,41.0,35.0,85.4
Ellington School District,2012,High Needs,37.0,25.0,67.6
Ellington School District,2012,Non-High Needs,166.0,158.0,95.2
Elm City College Preparatory School District,2012,High Needs,,,
Elm City College Preparatory School District,2012,Non-High Needs,,,
Enfield School District,2012,High Needs,192.0,133.0,69.3
Enfield School District,2012,Non-High Needs,320.0,303.0,94.7
Explorations District,2012,High Needs,20.0,9.0,45.0
Explorations District,2012,Non-High Needs,8.0,7.0,
Fairfield School District,2012,High Needs,162.0,135.0,83.3
Fairfield School District,2012,Non-High Needs,528.0,515.0,97.5
Farmington School District,2012,High Needs,60.0,48.0,80.0
Farmington School District,2012,Non-High Needs,244.0,238.0,97.5
Glastonbury School District,2012,High Needs,99.0,81.0,81.8
Glastonbury School District,2012,Non-High Needs,413.0,410.0,99.3
Granby School District,2012,High Needs,30.0,27.0,90.0
Granby School District,2012,Non-High Needs,159.0,157.0,98.7
Greenwich School District,2012,High Needs,194.0,163.0,84.0
Greenwich School District,2012,Non-High Needs,452.0,433.0,95.8
Griswold School District,2012,High Needs,82.0,63.0,76.8
Griswold School District,2012,Non-High Needs,102.0,98.0,96.1
Groton School District,2012,High Needs,162.0,116.0,71.6
Groton School District,2012,Non-High Needs,183.0,166.0,90.7
Guilford School District,2012,High Needs,60.0,54.0,90.0
Guilford School District,2012,Non-High Needs,227.0,226.0,99.6
Hamden School District,2012,High Needs,272.0,206.0,75.7
Hamden School District,2012,Non-High Needs,251.0,235.0,93.6
Hartford School District,2012,High Needs,1301.0,809.0,62.2
Hartford School District,2012,Non-High Needs,95.0,93.0,97.9
Killingly School District,2012,High Needs,107.0,70.0,65.4
Killingly School District,2012,Non-High Needs,84.0,77.0,91.7
Lebanon School District,2012,High Needs,29.0,22.0,75.9
Lebanon School District,2012,Non-High Needs,103.0,94.0,91.3
Ledyard School District,2012,High Needs,56.0,44.0,78.6
Ledyard School District,2012,Non-High Needs,156.0,150.0,96.2
Lisbon School District,2012,High Needs,,,
Lisbon School District,2012,Non-High Needs,,,
Litchfield School District,2012,High Needs,19.0,17.0,
Litchfield School District,2012,Non-High Needs,84.0,83.0,98.8
Madison School District,2012,High Needs,58.0,49.0,84.5
Madison School District,2012,Non-High Needs,277.0,275.0,99.3
Manchester School District,2012,High Needs,329.0,213.0,64.7
Manchester School District,2012,Non-High Needs,189.0,166.0,87.8
Meriden School District,2012,High Needs,447.0,274.0,61.3
Meriden School District,2012,Non-High Needs,180.0,162.0,90.0
Middletown School District,2012,High Needs,188.0,121.0,64.4
Middletown School District,2012,Non-High Needs,159.0,143.0,89.9
Milford School District,2012,High Needs,210.0,151.0,71.9
Milford School District,2012,Non-High Needs,305.0,292.0,95.7
Monroe School District,2012,High Needs,48.0,44.0,91.7
Monroe School District,2012,Non-High Needs,291.0,290.0,99.7
Montville School District,2012,High Needs,95.0,68.0,71.6
Montville School District,2012,Non-High Needs,128.0,125.0,97.7
Naugatuck School District,2012,High Needs,180.0,133.0,73.9
Naugatuck School District,2012,Non-High Needs,188.0,177.0,94.1
New Britain School District,2012,High Needs,538.0,291.0,54.1
New Britain School District,2012,Non-High Needs,126.0,111.0,88.1
New Canaan School District,2012,High Needs,50.0,43.0,86.0
New Canaan School District,2012,Non-High Needs,279.0,276.0,98.9
New Fairfield School District,2012,High Needs,55.0,50.0,90.9
New Fairfield School District,2012,Non-High Needs,177.0,177.0,100.0
