District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Manchester School District,2017,High Needs,286.0,231.0,80.8
Manchester School District,2017,Non-High Needs,143.0,139.0,97.2
Meriden School District,2017,High Needs,479.0,337.0,70.4
Meriden School District,2017,Non-High Needs,121.0,117.0,96.7
Middletown School District,2017,High Needs,195.0,171.0,87.7
Middletown School District,2017,Non-High Needs,139.0,137.0,98.6
Milford School District,2017,High Needs,191.0,148.0,77.5
Milford School District,2017,Non-High Needs,314.0,307.0,97.8
Monroe School District,2017,High Needs,82.0,72.0,87.8
Monroe School District,2017,Non-High Needs,206.0,205.0,99.5
Montville School District,2017,High Needs,85.0,69.0,81.2
Montville School District,2017,Non-High Needs,69.0,68.0,98.6
Naugatuck School District,2017,High Needs,215.0,171.0,79.5
Naugatuck School District,2017,Non-High Needs,114.0,108.0,94.7
New Britain School District,2017,High Needs,569.0,402.0,70.7
New Britain School District,2017,Non-High Needs,98.0,86.0,87.8
New Canaan School District,2017,High Needs,47.0,45.0,95.7
New Canaan School District,2017,Non-High Needs,281.0,281.0,100.0
New Fairfield School District,2017,High Needs,48.0,47.0,97.9
New Fairfield School District,2017,Non-High Needs,184.0,183.0,99.5
New Haven School District,2017,High Needs,1200.0,929.0,77.4
New Haven School District,2017,Non-High Needs,316.0,284.0,89.9
New London School District,2017,High Needs,210.0,157.0,74.8
New London School District,2017,Non-High Needs,16.0,14.0,
New Milford School District,2017,High Needs,128.0,75.0,58.6
New Milford School District,2017,Non-High Needs,214.0,206.0,96.3
Newington School District,2017,High Needs,107.0,88.0,82.2
Newington School District,2017,Non-High Needs,210.0,207.0,98.6
Newtown School District,2017,High Needs,75.0,54.0,72.0
Newtown School District,2017,Non-High Needs,352.0,350.0,99.4
North Branford School District,2017,High Needs,57.0,46.0,80.7
North Branford School District,2017,Non-High Needs,98.0,98.0,100.0
North Haven School District,2017,High Needs,58.0,48.0,82.8
North Haven School District,2017,Non-High Needs,197.0,196.0,99.5
North Stonington School District,2017,High Needs,13.0,9.0,
North Stonington School District,2017,Non-High Needs,42.0,42.0,100.0
Norwalk School District,2017,High Needs,511.0,454.0,88.8
Norwalk School District,2017,Non-High Needs,355.0,351.0,98.9
Norwich Free Academy District,2017,High Needs,370.0,290.0,78.4
Norwich Free Academy District,2017,Non-High Needs,267.0,262.0,98.1
Old Saybrook School District,2017,High Needs,33.0,30.0,90.9
Old Saybrook School District,2017,Non-High Needs,63.0,63.0,100.0
Oxford School District,2017,High Needs,36.0,29.0,80.6
Oxford School District,2017,Non-High Needs,142.0,141.0,99.3
Path Academy District,2017,High Needs,,,
Path Academy District,2017,Non-High Needs,,,
Plainfield School District,2017,High Needs,102.0,77.0,75.5
Plainfield School District,2017,Non-High Needs,77.0,75.0,97.4
Plainville School District,2017,High Needs,99.0,82.0,82.8
Plainville School District,2017,Non-High Needs,93.0,91.0,97.8
Plymouth School District,2017,High Needs,64.0,49.0,76.6
Plymouth School District,2017,Non-High Needs,72.0,69.0,95.8
Portland School District,2017,High Needs,27.0,22.0,81.5
Portland School District,2017,Non-High Needs,74.0,72.0,97.3
Putnam School District,2017,High Needs,54.0,44.0,81.5
Putnam School District,2017,Non-High Needs,17.0,17.0,
Regional School District 01,2017,High Needs,39.0,35.0,89.7
Regional School District 01,2017,Non-High Needs,76.0,74.0,97.4
Regional School District 04,2017,High Needs,36.0,36.0,100.0
Regional School District 04,2017,Non-High Needs,113.0,113.0,100.0
Regional School District 05,2017,High Needs,65.0,57.0,87.7
Regional School District 05,2017,Non-High Needs,285.0,278.0,97.5
Regional School District 06,2017,High Needs,31.0,30.0,96.8
Regional School District 06,2017,Non-High Needs,81.0,81.0,100.0
Regional School District 07,2017,High Needs,53.0,45.0,84.9
Regional School District 07,2017,Non-High Needs,146.0,145.0,99.3
Regional School District 08,2017,High Needs,67.0,52.0,77.6
Regional School District 08,2017,Non-High Needs,195.0,193.0,99.0
Regional School District 09,2017,High Needs,49.0,42.0,85.7
Regional School District 09,2017,Non-High Needs,218.0,214.0,98.2
Regional School District 10,2017,High Needs,45.0,39.0,86.7
Regional School District 10,2017,Non-High Needs,155.0,150.0,96.8
Regional School District 11,2017,High Needs,18.0,17.0,
Regional School District 11,2017,Non-High Needs,27.0,27.0,100.0
Regional School District 12,2017,High Needs,14.0,13.0,
Regional School District 12,2017,Non-High Needs,35.0,35.0,100.0
Regional School District 13,2017,High Needs,36.0,33.0,91.7
Regional School District 13,2017,Non-High Needs,109.0,105.0,96.3
Regional School District 14,2017,High Needs,49.0,43.0,87.8
Regional School District 14,2017,Non-High Needs,123.0,121.0,98.4
Regional School District 15,2017,High Needs,72.0,59.0,81.9
Regional School District 15,2017,Non-High Needs,248.0,240.0,96.8
Regional School District 16,2017,High Needs,62.0,44.0,71.0
Regional School District 16,2017,Non-High Needs,116.0,114.0,98.3
Regional School District 17,2017,High Needs,40.0,33.0,82.5
Regional School District 17,2017,Non-High Needs,111.0,111.0,100.0
Regional School District 18,2017,High Needs,24.0,17.0,70.8
Regional School District 18,2017,Non-High Needs,100.0,98.0,98.0
Regional School District 19,2017,High Needs,108.0,80.0,74.1
Regional School District 19,2017,Non-High Needs,184.0,179.0,97.3
Ridgefield School District,2017,High Needs,59.0,43.0,72.9
Ridgefield School District,2017,Non-High Needs,374.0,372.0,99.5
Rocky Hill School District,2017,High Needs,51.0,46.0,90.2
Rocky Hill School District,2017,Non-High Needs,125.0,125.0,100.0
Seymour School District,2017,High Needs,72.0,66.0,91.7
Seymour School District,2017,Non-High Needs,91.0,89.0,97.8
Shelton School District,2017,High Needs,136.0,110.0,80.9
Shelton School District,2017,Non-High Needs,261.0,257.0,98.5
Simsbury School District,2017,High Needs,103.0,77.0,74.8
Simsbury School District,2017,Non-High Needs,281.0,280.0,99.6
Somers School District,2017,High Needs,22.0,19.0,86.4
Somers School District,2017,Non-High Needs,87.0,87.0,100.0
South Windsor School District,2017,High Needs,92.0,79.0,85.9
South Windsor School District,2017,Non-High Needs,249.0,245.0,98.4
Southington School District,2017,High Needs,143.0,121.0,84.6
Southington School District,2017,Non-High Needs,346.0,342.0,98.8
Stafford School District,2017,High Needs,52.0,44.0,84.6
Stafford School District,2017,Non-High Needs,71.0,68.0,95.8
Stamford Academy District,2017,High Needs,68.0,21.0,30.9
Stamford School District,2017,High Needs,753.0,657.0,87.3
Stamford School District,2017,Non-High Needs,447.0,439.0,98.2
Stonington School District,2017,High Needs,68.0,52.0,76.5
Stonington School District,2017,Non-High Needs,115.0,112.0,97.4
Stratford School District,2017,High Needs,291.0,239.0,82.1
Stratford School District,2017,Non-High Needs,226.0,220.0,97.3
Suffield School District,2017,High Needs,45.0,34.0,75.6
Suffield School District,2017,Non-High Needs,141.0,135.0,95.7
The Bridge Academy District,2017,High Needs,,,
The Bridge Academy District,2017,Non-High Needs,,,
The Gilbert School District,2017,High Needs,54.0,44.0,81.5
The Gilbert School District,2017,Non-High Needs,54.0,54.0,100.0
The Woodstock Academy District,2017,High Needs,37.0,27.0,73.0
The Woodstock Academy District,2017,Non-High Needs,233.0,227.0,97.4
Thomaston School District,2017,High Needs,26.0,22.0,84.6
Thomaston School District,2017,Non-High Needs,37.0,37.0,100.0
Thompson School District,2017,High Needs,30.0,24.0,80.0
Thompson School District,2017,Non-High Needs,27.0,26.0,96.3
Tolland School District,2017,High Needs,38.0,31.0,81.6
Tolland School District,2017,Non-High Needs,171.0,166.0,97.1
Torrington School District,2017,High Needs,148.0,84.0,56.8
Torrington School District,2017,Non-High Needs,95.0,87.0,91.6
Trumbull School District,2017,High Needs,117.0,105.0,89.7
Trumbull School District,2017,Non-High Needs,380.0,379.0,99.7
Unified School District #1,2017,High Needs,,,
Unified School District #1,2017,Non-High Needs,,,
Unified School District #2,2017,High Needs,,,
Unified School District #2,2017,Non-High Needs,,,
Vernon School District,2017,High Needs,128.0,78.0,60.9
Vernon School District,2017,Non-High Needs,110.0,104.0,94.5
Wallingford School District,2017,High Needs,158.0,127.0,80.4
Wallingford School District,2017,Non-High Needs,327.0,320.0,97.9
Waterbury School District,2017,High Needs,1299.0,,
Waterbury School District,2017,Non-High Needs,18.0,,
Waterford School District,2017,High Needs,81.0,67.0,82.7
Waterford School District,2017,Non-High Needs,139.0,137.0,98.6
Watertown School District,2017,High Needs,81.0,67.0,82.7
Watertown School District,2017,Non-High Needs,135.0,131.0,97.0
West Hartford School District,2017,High Needs,278.0,227.0,81.7
West Hartford School District,2017,Non-High Needs,497.0,495.0,99.6
West Haven School District,2017,High Needs,307.0,211.0,68.7
West Haven School District,2017,Non-High Needs,113.0,105.0,92.9
Westbrook School District,2017,High Needs,23.0,17.0,73.9
Westbrook School District,2017,Non-High Needs,51.0,51.0,100.0
Weston School District,2017,High Needs,27.0,26.0,96.3
Weston School District,2017,Non-High Needs,179.0,179.0,100.0
Westport School District,2017,High Needs,72.0,65.0,90.3
Westport School District,2017,Non-High Needs,361.0,359.0,99.4
Wethersfield School District,2017,High Needs,107.0,88.0,82.2
Wethersfield School District,2017,Non-High Needs,172.0,168.0,97.7
Wilton School District,2017,High Needs,68.0,59.0,86.8
Wilton School District,2017,Non-High Needs,268.0,268.0,100.0
Windham School District,2017,High Needs,135.0,106.0,78.5
Windham School District,2017,Non-High Needs,15.0,15.0,
Windsor Locks School District,2017,High Needs,69.0,50.0,72.5
Windsor Locks School District,2017,Non-High Needs,51.0,49.0,96.1
Windsor School District,2017,High Needs,166.0,125.0,75.3
Windsor School District,2017,Non-High Needs,127.0,122.0,96.1
Wolcott School District,2017,High Needs,67.0,59.0,88.1
Wolcott School District,2017,Non-High Needs,127.0,125.0,98.4
