District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2019,High Needs,47.0,41.0,87.2
Achievement First Hartford Academy District,2019,High Needs,32.0,31.0,96.9
Amistad Academy District,2019,High Needs,53.0,43.0,81.1
Ansonia School District,2019,High Needs,147.0,125.0,85.0
Ansonia School District,2019,Non-High Needs,34.0,32.0,94.1
Avon School District,2019,High Needs,45.0,36.0,80.0
Avon School District,2019,Non-High Needs,179.0,176.0,98.3
Berlin School District,2019,High Needs,57.0,54.0,94.7
Berlin School District,2019,Non-High Needs,176.0,175.0,99.4
Bethel School District,2019,High Needs,95.0,85.0,89.5
Bethel School District,2019,Non-High Needs,142.0,139.0,97.9
Bloomfield School District,2019,High Needs,116.0,97.0,83.6
Bloomfield School District,2019,Non-High Needs,45.0,43.0,95.6
Bolton School District,2019,High Needs,17.0,13.0,
Bolton School District,2019,Non-High Needs,50.0,48.0,96.0
Branford School District,2019,High Needs,113.0,90.0,79.6
Branford School District,2019,Non-High Needs,115.0,110.0,95.7
Bridgeport School District,2019,High Needs,1434.0,1087.0,75.8
Bridgeport School District,2019,Non-High Needs,23.0,21.0,91.3
Bristol School District,2019,High Needs,406.0,328.0,80.8
Bristol School District,2019,Non-High Needs,226.0,217.0,96.0
Brookfield School District,2019,High Needs,67.0,56.0,83.6
Brookfield School District,2019,Non-High Needs,150.0,148.0,98.7
Canton School District,2019,High Needs,32.0,26.0,81.3
Canton School District,2019,Non-High Needs,92.0,92.0,100.0
Capital Preparatory Harbor School District,2019,High Needs,22.0,,
Capital Preparatory Harbor School District,2019,Non-High Needs,9.0,,
Capitol Region Education Council,2019,High Needs,321.0,289.0,90.0
Capitol Region Education Council,2019,Non-High Needs,184.0,180.0,97.8
Cheshire School District,2019,High Needs,96.0,87.0,90.6
Cheshire School District,2019,Non-High Needs,279.0,279.0,100.0
Clinton School District,2019,High Needs,51.0,45.0,88.2
Clinton School District,2019,Non-High Needs,93.0,93.0,100.0
Colchester School District,2019,High Needs,77.0,60.0,77.9
Colchester School District,2019,Non-High Needs,118.0,116.0,98.3
Common Ground High School District,2019,High Needs,34.0,30.0,88.2
Common Ground High School District,2019,Non-High Needs,13.0,13.0,
Connecticut Technical Education and Career System,2019,High Needs,1692.0,1639.0,96.9
Connecticut Technical Education and Career System,2019,Non-High Needs,647.0,635.0,98.1
Coventry School District,2019,High Needs,40.0,37.0,92.5
Coventry School District,2019,Non-High Needs,67.0,65.0,97.0
Cromwell School District,2019,High Needs,48.0,41.0,85.4
Cromwell School District,2019,Non-High Needs,85.0,85.0,100.0
Danbury School District,2019,High Needs,556.0,406.0,73.0
Danbury School District,2019,Non-High Needs,234.0,221.0,94.4
Darien School District,2019,High Needs,88.0,81.0,92.0
