District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Amistad Academy District,2013,High Needs,,,
Amistad Academy District,2013,Non-High Needs,,,
Ansonia School District,2013,High Needs,158.0,110.0,69.6
Ansonia School District,2013,Non-High Needs,54.0,50.0,92.6
Avon School District,2013,High Needs,47.0,41.0,87.2
Avon School District,2013,Non-High Needs,216.0,211.0,97.7
Berlin School District,2013,High Needs,51.0,44.0,86.3
Berlin School District,2013,Non-High Needs,211.0,208.0,98.6
Bethel School District,2013,High Needs,61.0,46.0,75.4
Bethel School District,2013,Non-High Needs,173.0,171.0,98.8
Bloomfield School District,2013,High Needs,99.0,83.0,83.8
Bloomfield School District,2013,Non-High Needs,66.0,63.0,95.5
Bolton School District,2013,High Needs,20.0,19.0,95.0
Bolton School District,2013,Non-High Needs,61.0,60.0,98.4
Branford School District,2013,High Needs,83.0,71.0,85.5
Branford School District,2013,Non-High Needs,188.0,179.0,95.2
Bridgeport School District,2013,High Needs,1221.0,820.0,67.2
Bridgeport School District,2013,Non-High Needs,8.0,7.0,
Bristol School District,2013,High Needs,306.0,200.0,65.4
Bristol School District,2013,Non-High Needs,329.0,307.0,93.3
Brookfield School District,2013,High Needs,42.0,36.0,85.7
Brookfield School District,2013,Non-High Needs,200.0,196.0,98.0
Canton School District,2013,High Needs,32.0,26.0,81.3
Canton School District,2013,Non-High Needs,92.0,91.0,98.9
Capitol Region Education Council,2013,High Needs,142.0,118.0,83.1
Capitol Region Education Council,2013,Non-High Needs,104.0,91.0,87.5
Cheshire School District,2013,High Needs,88.0,70.0,79.5
Cheshire School District,2013,Non-High Needs,296.0,292.0,98.6
Clinton School District,2013,High Needs,54.0,41.0,75.9
Clinton School District,2013,Non-High Needs,91.0,87.0,95.6
Colchester School District,2013,High Needs,55.0,44.0,80.0
Colchester School District,2013,Non-High Needs,198.0,192.0,97.0
Common Ground High School District,2013,High Needs,30.0,26.0,86.7
Common Ground High School District,2013,Non-High Needs,8.0,8.0,
Connecticut Technical Education and Career System,2013,High Needs,1451.0,1380.0,95.1
Connecticut Technical Education and Career System,2013,Non-High Needs,1032.0,1012.0,98.1
Coventry School District,2013,High Needs,43.0,34.0,79.1
Coventry School District,2013,Non-High Needs,95.0,91.0,95.8
Cromwell School District,2013,High Needs,46.0,37.0,80.4
Cromwell School District,2013,Non-High Needs,99.0,96.0,97.0
Danbury School District,2013,High Needs,446.0,276.0,61.9
Danbury School District,2013,Non-High Needs,333.0,312.0,93.7
Darien School District,2013,High Needs,45.0,40.0,88.9
Darien School District,2013,Non-High Needs,271.0,267.0,98.5
Department of Mental Health and Addiction Services,2013,High Needs,,,
Derby School District,2013,High Needs,60.0,31.0,51.7
Derby School District,2013,Non-High Needs,31.0,28.0,90.3
East Granby School District,2013,High Needs,12.0,9.0,
East Granby School District,2013,Non-High Needs,59.0,58.0,98.3
East Haddam School District,2013,High Needs,25.0,21.0,84.0
East Haddam School District,2013,Non-High Needs,75.0,75.0,100.0
East Hampton School District,2013,High Needs,27.0,23.0,85.2
East Hampton School District,2013,Non-High Needs,105.0,104.0,99.0
East Hartford School District,2013,High Needs,426.0,313.0,73.5
East Hartford School District,2013,Non-High Needs,130.0,119.0,91.5
East Haven School District,2013,High Needs,139.0,87.0,62.6
East Haven School District,2013,Non-High Needs,107.0,95.0,88.8
East Lyme School District,2013,High Needs,71.0,55.0,77.5
East Lyme School District,2013,Non-High Needs,240.0,238.0,99.2
East Windsor School District,2013,High Needs,52.0,37.0,71.2
East Windsor School District,2013,Non-High Needs,44.0,42.0,95.5
Eastern Connecticut Regional Educational Service Center (EASTCONN),2013,High Needs,37.0,27.0,73.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2013,Non-High Needs,32.0,27.0,84.4
Ellington School District,2013,High Needs,39.0,31.0,79.5
Ellington School District,2013,Non-High Needs,159.0,151.0,95.0
Elm City College Preparatory School District,2013,High Needs,,,
Elm City College Preparatory School District,2013,Non-High Needs,,,
Enfield School District,2013,High Needs,172.0,128.0,74.4
Enfield School District,2013,Non-High Needs,273.0,261.0,95.6
Explorations District,2013,High Needs,18.0,10.0,
Explorations District,2013,Non-High Needs,14.0,11.0,
Fairfield School District,2013,High Needs,182.0,144.0,79.1
Fairfield School District,2013,Non-High Needs,526.0,512.0,97.3
Farmington School District,2013,High Needs,64.0,50.0,78.1
Farmington School District,2013,Non-High Needs,262.0,260.0,99.2
Glastonbury School District,2013,High Needs,92.0,79.0,85.9
Glastonbury School District,2013,Non-High Needs,460.0,457.0,99.3
Granby School District,2013,High Needs,30.0,26.0,86.7
Granby School District,2013,Non-High Needs,167.0,166.0,99.4
Greenwich School District,2013,High Needs,190.0,160.0,84.2
Greenwich School District,2013,Non-High Needs,501.0,495.0,98.8
Griswold School District,2013,High Needs,75.0,57.0,76.0
Griswold School District,2013,Non-High Needs,95.0,91.0,95.8
Groton School District,2013,High Needs,148.0,105.0,70.9
Groton School District,2013,Non-High Needs,179.0,164.0,91.6
Guilford School District,2013,High Needs,59.0,47.0,79.7
Guilford School District,2013,Non-High Needs,222.0,215.0,96.8
Hamden School District,2013,High Needs,232.0,178.0,76.7
Hamden School District,2013,Non-High Needs,223.0,210.0,94.2
Hartford School District,2013,High Needs,1271.0,868.0,68.3
Hartford School District,2013,Non-High Needs,147.0,141.0,95.9
Killingly School District,2013,High Needs,127.0,83.0,65.4
Killingly School District,2013,Non-High Needs,96.0,84.0,87.5
Learn,2013,High Needs,30.0,29.0,96.7
Learn,2013,Non-High Needs,13.0,6.0,
Lebanon School District,2013,High Needs,33.0,30.0,90.9
Lebanon School District,2013,Non-High Needs,85.0,80.0,94.1
Ledyard School District,2013,High Needs,76.0,56.0,73.7
Ledyard School District,2013,Non-High Needs,156.0,152.0,97.4
Lisbon School District,2013,High Needs,,,
Lisbon School District,2013,Non-High Needs,,,
Litchfield School District,2013,High Needs,19.0,18.0,
Litchfield School District,2013,Non-High Needs,69.0,69.0,100.0
Madison School District,2013,High Needs,49.0,46.0,93.9
Madison School District,2013,Non-High Needs,268.0,267.0,99.6
Manchester School District,2013,High Needs,289.0,183.0,63.3
Manchester School District,2013,Non-High Needs,190.0,175.0,92.1
Meriden School District,2013,High Needs,463.0,285.0,61.6
Meriden School District,2013,Non-High Needs,176.0,163.0,92.6
Middletown School District,2013,High Needs,215.0,158.0,73.5
Middletown School District,2013,Non-High Needs,164.0,149.0,90.9
Milford School District,2013,High Needs,215.0,146.0,67.9
Milford School District,2013,Non-High Needs,310.0,300.0,96.8
Monroe School District,2013,High Needs,70.0,64.0,91.4
Monroe School District,2013,Non-High Needs,239.0,236.0,98.7
Montville School District,2013,High Needs,84.0,61.0,72.6
Montville School District,2013,Non-High Needs,104.0,100.0,96.2
Naugatuck School District,2013,High Needs,179.0,123.0,68.7
Naugatuck School District,2013,Non-High Needs,156.0,138.0,88.5
New Britain School District,2013,High Needs,559.0,320.0,57.2
New Britain School District,2013,Non-High Needs,95.0,78.0,82.1
New Canaan School District,2013,High Needs,48.0,44.0,91.7
New Canaan School District,2013,Non-High Needs,291.0,287.0,98.6
New Fairfield School District,2013,High Needs,57.0,50.0,87.7
New Fairfield School District,2013,Non-High Needs,201.0,197.0,98.0
New Haven School District,2013,High Needs,1183.0,835.0,70.6
New Haven School District,2013,Non-High Needs,132.0,104.0,78.8
New London School District,2013,High Needs,,,
New London School District,2013,Non-High Needs,,,
New Milford School District,2013,High Needs,111.0,75.0,67.6
New Milford School District,2013,Non-High Needs,281.0,265.0,94.3
Newington School District,2013,High Needs,128.0,100.0,78.1
Newington School District,2013,Non-High Needs,248.0,239.0,96.4
Newtown School District,2013,High Needs,75.0,58.0,77.3
Newtown School District,2013,Non-High Needs,396.0,385.0,97.2
