District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2025,High Needs,,,
Achievement First Bridgeport Academy District,2025,Non-High Needs,,,
Achievement First Hartford Academy District,2025,High Needs,44.0,38.0,86.4
Achievement First Hartford Academy District,2025,Non-High Needs,14.0,14.0,
Amistad Academy District,2025,High Needs,56.0,45.0,80.4
Amistad Academy District,2025,Non-High Needs,9.0,9.0,
Ansonia School District,2025,High Needs,125.0,96.0,76.8
Ansonia School District,2025,Non-High Needs,35.0,33.0,94.3
Area Cooperative Educational Services,2025,High Needs,18.0,,
Avon School District,2025,High Needs,57.0,47.0,82.5
Avon School District,2025,Non-High Needs,181.0,179.0,98.9
Berlin School District,2025,High Needs,88.0,81.0,92.0
Berlin School District,2025,Non-High Needs,152.0,152.0,100.0
Bethel School District,2025,High Needs,139.0,127.0,91.4
Bethel School District,2025,Non-High Needs,156.0,153.0,98.1
Bloomfield School District,2025,High Needs,129.0,110.0,85.3
Bloomfield School District,2025,Non-High Needs,48.0,48.0,100.0
Bolton School District,2025,High Needs,17.0,16.0,
Bolton School District,2025,Non-High Needs,31.0,31.0,100.0
Branford School District,2025,High Needs,97.0,87.0,89.7
Branford School District,2025,Non-High Needs,100.0,95.0,95.0
Bridgeport School District,2025,High Needs,1245.0,979.0,78.6
Bridgeport School District,2025,Non-High Needs,128.0,113.0,88.3
Bristol School District,2025,High Needs,388.0,350.0,90.2
Bristol School District,2025,Non-High Needs,220.0,215.0,97.7
Brookfield School District,2025,High Needs,104.0,97.0,93.3
Brookfield School District,2025,Non-High Needs,122.0,122.0,100.0
Canton School District,2025,High Needs,32.0,31.0,96.9
Canton School District,2025,Non-High Needs,76.0,76.0,100.0
Capital Preparatory Harbor School District,2025,High Needs,26.0,24.0,92.3
Capital Preparatory Harbor School District,2025,Non-High Needs,9.0,9.0,
Capitol Region Education Council,2025,High Needs,343.0,312.0,91.0
Capitol Region Education Council,2025,Non-High Needs,102.0,101.0,99.0
Cheshire School District,2025,High Needs,88.0,76.0,86.4
Cheshire School District,2025,Non-High Needs,223.0,223.0,100.0
Clinton School District,2025,High Needs,61.0,57.0,93.4
Clinton School District,2025,Non-High Needs,60.0,60.0,100.0
Colchester School District,2025,High Needs,59.0,42.0,71.2
Colchester School District,2025,Non-High Needs,83.0,80.0,96.4
Common Ground High School District,2025,High Needs,38.0,33.0,86.8
Common Ground High School District,2025,Non-High Needs,7.0,7.0,
Connecticut Technical Education and Career System,2025,High Needs,2084.0,2036.0,97.7
Connecticut Technical Education and Career System,2025,Non-High Needs,541.0,531.0,98.2
Coventry School District,2025,High Needs,33.0,27.0,81.8
Coventry School District,2025,Non-High Needs,59.0,58.0,98.3
Cromwell School District,2025,High Needs,56.0,51.0,91.1
Cromwell School District,2025,Non-High Needs,79.0,79.0,100.0
Danbury School District,2025,High Needs,690.0,549.0,79.6
Danbury School District,2025,Non-High Needs,223.0,211.0,94.6
Darien School District,2025,High Needs,106.0,97.0,91.5
Darien School District,2025,Non-High Needs,244.0,244.0,100.0
Derby School District,2025,High Needs,92.0,68.0,73.9
Derby School District,2025,Non-High Needs,29.0,27.0,93.1
East Granby School District,2025,High Needs,28.0,27.0,96.4
East Granby School District,2025,Non-High Needs,41.0,41.0,100.0
East Haddam School District,2025,High Needs,34.0,30.0,88.2
East Haddam School District,2025,Non-High Needs,36.0,36.0,100.0
East Hampton School District,2025,High Needs,36.0,31.0,86.1
East Hampton School District,2025,Non-High Needs,88.0,87.0,98.9
East Hartford School District,2025,High Needs,452.0,389.0,86.1
