District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2020,High Needs,,,
Achievement First Bridgeport Academy District,2020,Non-High Needs,,,
Achievement First Hartford Academy District,2020,High Needs,39.0,37.0,94.9
Amistad Academy District,2020,High Needs,,,
Amistad Academy District,2020,Non-High Needs,,,
Ansonia School District,2020,High Needs,148.0,119.0,80.4
Ansonia School District,2020,Non-High Needs,32.0,32.0,100.0
Avon School District,2020,High Needs,61.0,54.0,88.5
Avon School District,2020,Non-High Needs,171.0,169.0,98.8
Berlin School District,2020,High Needs,76.0,62.0,81.6
Berlin School District,2020,Non-High Needs,132.0,131.0,99.2
Bethel School District,2020,High Needs,101.0,94.0,93.1
Bethel School District,2020,Non-High Needs,127.0,126.0,99.2
Bloomfield School District,2020,High Needs,109.0,93.0,85.3
Bloomfield School District,2020,Non-High Needs,63.0,62.0,98.4
Bolton School District,2020,High Needs,16.0,16.0,
Bolton School District,2020,Non-High Needs,42.0,42.0,100.0
Branford School District,2020,High Needs,101.0,87.0,86.1
Branford School District,2020,Non-High Needs,138.0,134.0,97.1
Bridgeport School District,2020,High Needs,1402.0,1037.0,74.0
Bridgeport School District,2020,Non-High Needs,56.0,48.0,85.7
Bristol School District,2020,High Needs,349.0,288.0,82.5
Bristol School District,2020,Non-High Needs,226.0,224.0,99.1
Brookfield School District,2020,High Needs,84.0,75.0,89.3
Brookfield School District,2020,Non-High Needs,114.0,113.0,99.1
Canton School District,2020,High Needs,45.0,43.0,95.6
Canton School District,2020,Non-High Needs,71.0,71.0,100.0
Capital Preparatory Harbor School District,2020,High Needs,31.0,,
Capital Preparatory Harbor School District,2020,Non-High Needs,10.0,,
Capitol Region Education Council,2020,High Needs,316.0,304.0,96.2
Capitol Region Education Council,2020,Non-High Needs,158.0,156.0,98.7
Cheshire School District,2020,High Needs,93.0,80.0,86.0
Cheshire School District,2020,Non-High Needs,255.0,254.0,99.6
Clinton School District,2020,High Needs,60.0,54.0,90.0
Clinton School District,2020,Non-High Needs,96.0,93.0,96.9
Colchester School District,2020,High Needs,72.0,55.0,76.4
Colchester School District,2020,Non-High Needs,118.0,117.0,99.2
Common Ground High School District,2020,High Needs,34.0,32.0,94.1
Common Ground High School District,2020,Non-High Needs,6.0,6.0,
Connecticut Technical Education and Career System,2020,High Needs,1753.0,1697.0,96.8
Connecticut Technical Education and Career System,2020,Non-High Needs,620.0,611.0,98.5
Coventry School District,2020,High Needs,41.0,35.0,85.4
Coventry School District,2020,Non-High Needs,85.0,84.0,98.8
Cromwell School District,2020,High Needs,42.0,36.0,85.7
Cromwell School District,2020,Non-High Needs,82.0,81.0,98.8
Danbury School District,2020,High Needs,590.0,441.0,74.7
Danbury School District,2020,Non-High Needs,240.0,230.0,95.8
Darien School District,2020,High Needs,89.0,79.0,88.8
Darien School District,2020,Non-High Needs,271.0,271.0,100.0
Department of Mental Health and Addiction Services,2020,High Needs,,,
Derby School District,2020,High Needs,73.0,54.0,74.0
Derby School District,2020,Non-High Needs,17.0,15.0,
East Granby School District,2020,High Needs,16.0,14.0,
East Granby School District,2020,Non-High Needs,38.0,38.0,100.0
East Haddam School District,2020,High Needs,26.0,21.0,80.8
East Haddam School District,2020,Non-High Needs,51.0,50.0,98.0
East Hampton School District,2020,High Needs,38.0,35.0,92.1
East Hampton School District,2020,Non-High Needs,83.0,83.0,100.0
East Hartford School District,2020,High Needs,412.0,341.0,82.8
East Hartford School District,2020,Non-High Needs,124.0,118.0,95.2
East Haven School District,2020,High Needs,195.0,144.0,73.8
East Haven School District,2020,Non-High Needs,68.0,62.0,91.2
East Lyme School District,2020,High Needs,88.0,74.0,84.1
East Lyme School District,2020,Non-High Needs,155.0,155.0,100.0
East Windsor School District,2020,High Needs,36.0,26.0,72.2
East Windsor School District,2020,Non-High Needs,37.0,36.0,97.3
Eastern Connecticut Regional Educational Service Center (EASTCONN),2020,High Needs,53.0,40.0,75.5
Eastern Connecticut Regional Educational Service Center (EASTCONN),2020,Non-High Needs,30.0,29.0,96.7
Ellington School District,2020,High Needs,64.0,55.0,85.9
Ellington School District,2020,Non-High Needs,126.0,125.0,99.2
Elm City College Preparatory School District,2020,High Needs,42.0,39.0,92.9
Enfield School District,2020,High Needs,207.0,178.0,86.0
Enfield School District,2020,Non-High Needs,174.0,173.0,99.4
Explorations District,2020,High Needs,24.0,11.0,45.8
Explorations District,2020,Non-High Needs,7.0,6.0,
Fairfield School District,2020,High Needs,246.0,213.0,86.6
Fairfield School District,2020,Non-High Needs,504.0,503.0,99.8
Farmington School District,2020,High Needs,81.0,78.0,96.3
Farmington School District,2020,Non-High Needs,219.0,218.0,99.5
Glastonbury School District,2020,High Needs,118.0,101.0,85.6
Glastonbury School District,2020,Non-High Needs,380.0,379.0,99.7
Granby School District,2020,High Needs,36.0,33.0,91.7
Granby School District,2020,Non-High Needs,124.0,124.0,100.0
Greenwich School District,2020,High Needs,263.0,236.0,89.7
Greenwich School District,2020,Non-High Needs,442.0,437.0,98.9
Griswold School District,2020,High Needs,78.0,67.0,85.9
Griswold School District,2020,Non-High Needs,60.0,57.0,95.0
Groton School District,2020,High Needs,136.0,111.0,81.6
Groton School District,2020,Non-High Needs,109.0,105.0,96.3
Guilford School District,2020,High Needs,84.0,70.0,83.3
Guilford School District,2020,Non-High Needs,207.0,205.0,99.0
Hamden School District,2020,High Needs,275.0,223.0,81.1
Hamden School District,2020,Non-High Needs,160.0,155.0,96.9
Hartford School District,2020,High Needs,1204.0,781.0,64.9
Hartford School District,2020,Non-High Needs,209.0,189.0,90.4
Highville Charter School District,2020,High Needs,,,
Highville Charter School District,2020,Non-High Needs,,,
Jumoke Academy District,2020,High Needs,,,
Killingly School District,2020,High Needs,116.0,88.0,75.9
Killingly School District,2020,Non-High Needs,88.0,84.0,95.5
Learn,2020,High Needs,135.0,121.0,89.6
Learn,2020,Non-High Needs,83.0,81.0,97.6
Lebanon School District,2020,High Needs,31.0,28.0,90.3
Lebanon School District,2020,Non-High Needs,48.0,46.0,95.8
Ledyard School District,2020,High Needs,92.0,78.0,84.8
Ledyard School District,2020,Non-High Needs,96.0,96.0,100.0
Litchfield School District,2020,High Needs,34.0,33.0,97.1
Litchfield School District,2020,Non-High Needs,46.0,46.0,100.0
Madison School District,2020,High Needs,55.0,46.0,83.6
Madison School District,2020,Non-High Needs,233.0,231.0,99.1
Manchester School District,2020,High Needs,307.0,234.0,76.2
Manchester School District,2020,Non-High Needs,116.0,110.0,94.8
Meriden School District,2020,High Needs,484.0,396.0,81.8
Meriden School District,2020,Non-High Needs,115.0,113.0,98.3
Middletown School District,2020,High Needs,197.0,163.0,82.7
Middletown School District,2020,Non-High Needs,147.0,144.0,98.0
Milford School District,2020,High Needs,210.0,182.0,86.7
Milford School District,2020,Non-High Needs,244.0,240.0,98.4
Monroe School District,2020,High Needs,54.0,47.0,87.0
Monroe School District,2020,Non-High Needs,183.0,183.0,100.0
Montville School District,2020,High Needs,94.0,71.0,75.5
Montville School District,2020,Non-High Needs,65.0,64.0,98.5
Naugatuck School District,2020,High Needs,218.0,183.0,83.9
Naugatuck School District,2020,Non-High Needs,111.0,104.0,93.7
New Britain School District,2020,High Needs,552.0,422.0,76.4
New Britain School District,2020,Non-High Needs,72.0,69.0,95.8
New Canaan School District,2020,High Needs,54.0,47.0,87.0
New Canaan School District,2020,Non-High Needs,249.0,249.0,100.0
New Fairfield School District,2020,High Needs,48.0,46.0,95.8
New Fairfield School District,2020,Non-High Needs,142.0,142.0,100.0
New Haven School District,2020,High Needs,1264.0,957.0,75.7
New Haven School District,2020,Non-High Needs,198.0,181.0,91.4
New London School District,2020,High Needs,212.0,159.0,75.0
