District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2023,High Needs,47.0,41.0,87.2
Achievement First Bridgeport Academy District,2023,Non-High Needs,18.0,17.0,
Achievement First Hartford Academy District,2023,High Needs,60.0,49.0,81.7
Achievement First Hartford Academy District,2023,Non-High Needs,12.0,9.0,
Amistad Academy District,2023,High Needs,46.0,43.0,93.5
Amistad Academy District,2023,Non-High Needs,20.0,20.0,100.0
Ansonia School District,2023,High Needs,104.0,81.0,77.9
Ansonia School District,2023,Non-High Needs,32.0,28.0,87.5
Avon School District,2023,High Needs,55.0,42.0,76.4
Avon School District,2023,Non-High Needs,177.0,177.0,100.0
Berlin School District,2023,High Needs,81.0,72.0,88.9
Berlin School District,2023,Non-High Needs,161.0,160.0,99.4
Bethel School District,2023,High Needs,121.0,112.0,92.6
Bethel School District,2023,Non-High Needs,126.0,122.0,96.8
Bloomfield School District,2023,High Needs,111.0,93.0,83.8
Bloomfield School District,2023,Non-High Needs,47.0,47.0,100.0
Bolton School District,2023,High Needs,21.0,18.0,85.7
Bolton School District,2023,Non-High Needs,53.0,53.0,100.0
Branford School District,2023,High Needs,99.0,88.0,88.9
Branford School District,2023,Non-High Needs,109.0,106.0,97.2
Bridgeport School District,2023,High Needs,1207.0,877.0,72.7
Bridgeport School District,2023,Non-High Needs,158.0,133.0,84.2
Bristol School District,2023,High Needs,407.0,336.0,82.6
Bristol School District,2023,Non-High Needs,249.0,242.0,97.2
Brookfield School District,2023,High Needs,75.0,66.0,88.0
Brookfield School District,2023,Non-High Needs,141.0,139.0,98.6
Canton School District,2023,High Needs,54.0,50.0,92.6
Canton School District,2023,Non-High Needs,74.0,71.0,95.9
Capital Preparatory Harbor School District,2023,High Needs,30.0,27.0,90.0
Capital Preparatory Harbor School District,2023,Non-High Needs,8.0,8.0,
Capitol Region Education Council,2023,High Needs,385.0,348.0,90.4
Capitol Region Education Council,2023,Non-High Needs,108.0,106.0,98.1
Cheshire School District,2023,High Needs,97.0,87.0,89.7
Cheshire School District,2023,Non-High Needs,244.0,239.0,98.0
Clinton School District,2023,High Needs,68.0,60.0,88.2
Clinton School District,2023,Non-High Needs,94.0,94.0,100.0
Colchester School District,2023,High Needs,72.0,52.0,72.2
Colchester School District,2023,Non-High Needs,117.0,111.0,94.9
Common Ground High School District,2023,High Needs,54.0,38.0,70.4
Common Ground High School District,2023,Non-High Needs,6.0,6.0,
Connecticut Technical Education and Career System,2023,High Needs,2157.0,2060.0,95.5
Connecticut Technical Education and Career System,2023,Non-High Needs,465.0,454.0,97.6
Coventry School District,2023,High Needs,38.0,33.0,86.8
Coventry School District,2023,Non-High Needs,65.0,64.0,98.5
Cromwell School District,2023,High Needs,53.0,46.0,86.8
Cromwell School District,2023,Non-High Needs,99.0,99.0,100.0
Danbury School District,2023,High Needs,563.0,406.0,72.1
Danbury School District,2023,Non-High Needs,235.0,216.0,91.9
Darien School District,2023,High Needs,94.0,88.0,93.6
Darien School District,2023,Non-High Needs,249.0,249.0,100.0
Department of Mental Health and Addiction Services,2023,High Needs,,,
Derby School District,2023,High Needs,73.0,54.0,74.0
Derby School District,2023,Non-High Needs,17.0,14.0,
East Granby School District,2023,High Needs,23.0,23.0,100.0
East Granby School District,2023,Non-High Needs,49.0,49.0,100.0
East Haddam School District,2023,High Needs,15.0,14.0,
East Haddam School District,2023,Non-High Needs,46.0,44.0,95.7
East Hampton School District,2023,High Needs,50.0,48.0,96.0
East Hampton School District,2023,Non-High Needs,76.0,73.0,96.1
East Hartford School District,2023,High Needs,308.0,253.0,82.1
East Hartford School District,2023,Non-High Needs,118.0,114.0,96.6
East Haven School District,2023,High Needs,160.0,116.0,72.5
East Haven School District,2023,Non-High Needs,71.0,62.0,87.3
East Lyme School District,2023,High Needs,76.0,69.0,90.8
East Lyme School District,2023,Non-High Needs,182.0,179.0,98.4
East Windsor School District,2023,High Needs,49.0,39.0,79.6
East Windsor School District,2023,Non-High Needs,25.0,24.0,96.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2023,High Needs,76.0,63.0,82.9
Eastern Connecticut Regional Educational Service Center (EASTCONN),2023,Non-High Needs,22.0,16.0,72.7
Ellington School District,2023,High Needs,65.0,51.0,78.5
Ellington School District,2023,Non-High Needs,145.0,143.0,98.6
Elm City College Preparatory School District,2023,High Needs,34.0,32.0,94.1
Elm City College Preparatory School District,2023,Non-High Needs,10.0,10.0,
Enfield School District,2023,High Needs,227.0,191.0,84.1
Enfield School District,2023,Non-High Needs,186.0,177.0,95.2
Explorations District,2023,High Needs,,,
Explorations District,2023,Non-High Needs,,,
Fairfield School District,2023,High Needs,274.0,239.0,87.2
Fairfield School District,2023,Non-High Needs,470.0,466.0,99.1
Farmington School District,2023,High Needs,94.0,86.0,91.5
Farmington School District,2023,Non-High Needs,205.0,205.0,100.0
Glastonbury School District,2023,High Needs,120.0,108.0,90.0
Glastonbury School District,2023,Non-High Needs,359.0,359.0,100.0
Goodwin University Educational Services (GUES),2023,High Needs,100.0,91.0,91.0
Goodwin University Educational Services (GUES),2023,Non-High Needs,18.0,17.0,
Granby School District,2023,High Needs,45.0,39.0,86.7
Granby School District,2023,Non-High Needs,88.0,88.0,100.0
Great Oaks Charter School District,2023,High Needs,58.0,49.0,84.5
Great Oaks Charter School District,2023,Non-High Needs,10.0,8.0,
Greenwich School District,2023,High Needs,292.0,258.0,88.4
Greenwich School District,2023,Non-High Needs,398.0,391.0,98.2
Griswold School District,2023,High Needs,82.0,60.0,73.2
Griswold School District,2023,Non-High Needs,58.0,56.0,96.6
Groton School District,2023,High Needs,156.0,121.0,77.6
Groton School District,2023,Non-High Needs,84.0,81.0,96.4
Guilford School District,2023,High Needs,75.0,63.0,84.0
Guilford School District,2023,Non-High Needs,218.0,214.0,98.2
Hamden School District,2023,High Needs,287.0,199.0,69.3
