District,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2018,High Needs,30.0,22.0,73.3
Achievement First Hartford Academy District,2018,High Needs,35.0,31.0,88.6
Amistad Academy District,2018,High Needs,44.0,42.0,95.5
Ansonia School District,2018,High Needs,125.0,103.0,82.4
Ansonia School District,2018,Non-High Needs,44.0,42.0,95.5
Avon School District,2018,High Needs,48.0,41.0,85.4
Avon School District,2018,Non-High Needs,234.0,231.0,98.7
Berlin School District,2018,High Needs,62.0,52.0,83.9
Berlin School District,2018,Non-High Needs,154.0,151.0,98.1
Bethel School District,2018,High Needs,61.0,49.0,80.3
Bethel School District,2018,Non-High Needs,142.0,140.0,98.6
Bloomfield School District,2018,High Needs,97.0,82.0,84.5
Bloomfield School District,2018,Non-High Needs,71.0,65.0,91.5
Bolton School District,2018,High Needs,18.0,16.0,
Bolton School District,2018,Non-High Needs,62.0,62.0,100.0
Branford School District,2018,High Needs,94.0,83.0,88.3
Branford School District,2018,Non-High Needs,133.0,129.0,97.0
Bridgeport School District,2018,High Needs,1119.0,779.0,69.6
Bridgeport School District,2018,Non-High Needs,327.0,307.0,93.9
Bristol School District,2018,High Needs,303.0,231.0,76.2
Bristol School District,2018,Non-High Needs,297.0,287.0,96.6
Brookfield School District,2018,High Needs,50.0,47.0,94.0
Brookfield School District,2018,Non-High Needs,162.0,157.0,96.9
Canton School District,2018,High Needs,31.0,26.0,83.9
Canton School District,2018,Non-High Needs,85.0,84.0,98.8
Capital Preparatory Harbor School District,2018,High Needs,22.0,11.0,50.0
Capital Preparatory Harbor School District,2018,Non-High Needs,10.0,7.0,
Capitol Region Education Council,2018,High Needs,339.0,318.0,93.8
Capitol Region Education Council,2018,Non-High Needs,195.0,189.0,96.9
Cheshire School District,2018,High Needs,82.0,67.0,81.7
Cheshire School District,2018,Non-High Needs,269.0,266.0,98.9
Clinton School District,2018,High Needs,37.0,28.0,75.7
Clinton School District,2018,Non-High Needs,95.0,92.0,96.8
Colchester School District,2018,High Needs,61.0,54.0,88.5
Colchester School District,2018,Non-High Needs,161.0,155.0,96.3
Common Ground High School District,2018,High Needs,20.0,17.0,85.0
Common Ground High School District,2018,Non-High Needs,17.0,17.0,
Connecticut Technical Education and Career System,2018,High Needs,1364.0,1318.0,96.6
Connecticut Technical Education and Career System,2018,Non-High Needs,1058.0,1032.0,97.5
Coventry School District,2018,High Needs,42.0,36.0,85.7
Coventry School District,2018,Non-High Needs,81.0,80.0,98.8
Cromwell School District,2018,High Needs,32.0,30.0,93.8
Cromwell School District,2018,Non-High Needs,121.0,120.0,99.2
Danbury School District,2018,High Needs,468.0,340.0,72.6
Danbury School District,2018,Non-High Needs,313.0,292.0,93.3
Darien School District,2018,High Needs,59.0,52.0,88.1
Darien School District,2018,Non-High Needs,285.0,280.0,98.2
Department of Mental Health and Addiction Services,2018,High Needs,,,
Derby School District,2018,High Needs,54.0,40.0,74.1
Derby School District,2018,Non-High Needs,47.0,40.0,85.1
East Granby School District,2018,High Needs,8.0,,
East Granby School District,2018,Non-High Needs,51.0,,
East Haddam School District,2018,High Needs,10.0,8.0,
East Haddam School District,2018,Non-High Needs,74.0,70.0,94.6
East Hampton School District,2018,High Needs,29.0,26.0,89.7
East Hampton School District,2018,Non-High Needs,84.0,81.0,96.4
East Hartford School District,2018,High Needs,368.0,312.0,84.8
East Hartford School District,2018,Non-High Needs,141.0,137.0,97.2
East Haven School District,2018,High Needs,140.0,111.0,79.3
East Haven School District,2018,Non-High Needs,108.0,98.0,90.7
East Lyme School District,2018,High Needs,69.0,60.0,87.0
East Lyme School District,2018,Non-High Needs,218.0,214.0,98.2
East Windsor School District,2018,High Needs,45.0,38.0,84.4
East Windsor School District,2018,Non-High Needs,50.0,48.0,96.0
