"Smarter Balanced Growth Report, 2024-25"
"All Districts, ELA and Math, All Grades Combined, All Students"

"District Code","District","Subject","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0350011""","Darien School District","Math",1691,"60.7%","75.0%"
"=""0360011""","Deep River School District","ELA",77,"40.3%","63.4%"
"=""0360011""","Deep River School District","Math",77,"42.9%","66.3%"
"=""0370011""","Derby School District","ELA",439,"32.3%","53.4%"
"=""0370011""","Derby School District","Math",437,"33.0%","53.8%"
"=""0400011""","East Granby School District","ELA",336,"52.1%","70.8%"
"=""0400011""","East Granby School District","Math",335,"44.8%","62.3%"
"=""0410011""","East Haddam School District","ELA",327,"33.3%","51.2%"
"=""0410011""","East Haddam School District","Math",327,"40.4%","59.6%"
"=""0420011""","East Hampton School District","ELA",631,"43.4%","62.7%"
"=""0420011""","East Hampton School District","Math",628,"41.7%","61.3%"
"=""0430011""","East Hartford School District","ELA",2025,"34.9%","56.8%"
"=""0430011""","East Hartford School District","Math",2020,"36.3%","57.9%"
"=""0440011""","East Haven School District","ELA",905,"37.6%","60.8%"
"=""0440011""","East Haven School District","Math",898,"32.6%","54.2%"
"=""0450011""","East Lyme School District","ELA",803,"40.5%","60.0%"
"=""0450011""","East Lyme School District","Math",798,"46.4%","62.4%"
"=""0470011""","East Windsor School District","ELA",350,"46.6%","68.3%"
"=""0470011""","East Windsor School District","Math",350,"44.6%","64.3%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELA",10,"*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Math",9,"*","*"
"=""0390011""","Eastford School District","ELA",79,"67.1%","83.0%"
"=""0390011""","Eastford School District","Math",79,"55.7%","71.9%"
"=""0460011""","Easton School District","ELA",469,"46.9%","64.7%"
"=""0460011""","Easton School District","Math",468,"54.7%","69.7%"
"=""2420014""","EdAdvance","ELA",9,"*","*"
"=""2420014""","EdAdvance","Math",9,"*","*"
"=""0480011""","Ellington School District","ELA",926,"43.0%","59.8%"
"=""0480011""","Ellington School District","Math",918,"48.0%","66.1%"
"=""2890013""","Elm City College Preparatory School District","ELA",302,"32.5%","53.1%"
"=""2890013""","Elm City College Preparatory School District","Math",298,"33.6%","53.5%"
"=""2910013""","Elm City Montessori School District","ELA",90,"36.7%","58.0%"
"=""2910013""","Elm City Montessori School District","Math",90,"47.8%","67.3%"
"=""0490011""","Enfield School District","ELA",1538,"34.1%","54.5%"
"=""0490011""","Enfield School District","Math",1516,"33.6%","52.7%"
"=""0500011""","Essex School District","ELA",111,"36.9%","55.6%"
"=""0500011""","Essex School District","Math",110,"49.1%","66.3%"
"=""0510011""","Fairfield School District","ELA",3290,"48.0%","65.7%"
"=""0510011""","Fairfield School District","Math",3281,"54.0%","72.1%"
"=""0520011""","Farmington School District","ELA",1557,"54.7%","71.5%"
"=""0520011""","Farmington School District","Math",1552,"58.1%","73.3%"
"=""0530011""","Franklin School District","ELA",82,"51.2%","72.5%"
"=""0530011""","Franklin School District","Math",82,"51.2%","72.0%"
"=""0540011""","Glastonbury School District","ELA",2111,"47.7%","65.8%"
"=""0540011""","Glastonbury School District","Math",2109,"54.3%","71.0%"
"=""2310018""","Goodwin University Educational Services (GUES)","ELA",351,"23.1%","47.2%"
"=""2310018""","Goodwin University Educational Services (GUES)","Math",351,"30.8%","53.3%"
"=""0560011""","Granby School District","ELA",610,"44.6%","62.9%"
"=""0560011""","Granby School District","Math",610,"54.4%","75.0%"
"=""2940013""","Great Oaks Charter School District","ELA",235,"35.3%","55.5%"
"=""2940013""","Great Oaks Charter School District","Math",228,"26.8%","42.1%"
"=""0570011""","Greenwich School District","ELA",2877,"56.9%","73.6%"
"=""0570011""","Greenwich School District","Math",2865,"63.1%","79.4%"
"=""0580011""","Griswold School District","ELA",578,"40.7%","62.9%"
"=""0580011""","Griswold School District","Math",577,"41.1%","60.8%"
"=""0590011""","Groton School District","ELA",1364,"32.3%","52.4%"
"=""0590011""","Groton School District","Math",1363,"39.3%","59.1%"
"=""0600011""","Guilford School District","ELA",1092,"45.7%","63.7%"
"=""0600011""","Guilford School District","Math",1093,"57.7%","75.3%"
"=""0620011""","Hamden School District","ELA",1834,"36.0%","57.6%"
"=""0620011""","Hamden School District","Math",1805,"37.3%","56.7%"
"=""0630011""","Hampton School District","ELA",22,"27.3%","62.9%"
"=""0630011""","Hampton School District","Math",22,"59.1%","84.2%"
"=""0640011""","Hartford School District","ELA",5166,"30.3%","53.2%"
