district,district_code,fiscal_year,expenditure_category,amount,source_format,cpi_u,deflator,amount_real
Andover School District,10011,2007,Certified Personnel,237436,archived_wide,207.344,1.5527914962574272,368688.6017053785
Ansonia School District,20011,2007,Certified Personnel,1972664,archived_wide,207.344,1.5527914962574272,3063135.8841731614
Ashford School District,30011,2007,Certified Personnel,728933,archived_wide,207.344,1.5527914962574272,1131880.9637414152
Avon School District,40011,2007,Certified Personnel,2740436,archived_wide,207.344,1.5527914962574272,4255325.716837719
Barkhamsted School District,50011,2007,Certified Personnel,51195,archived_wide,207.344,1.5527914962574272,79495.16065089898
Berlin School District,70011,2007,Certified Personnel,3254077,archived_wide,207.344,1.5527914962574272,5052903.09376688
Bethany School District,80011,2007,Certified Personnel,540343,archived_wide,207.344,1.5527914962574272,839040.0154622269
Bethel School District,90011,2007,Certified Personnel,3445047,archived_wide,207.344,1.5527914962574272,5349439.685807161
Bloomfield School District,110011,2007,Certified Personnel,2784396,archived_wide,207.344,1.5527914962574272,4323586.431013195
Bolton School District,120011,2007,Certified Personnel,664939,archived_wide,207.344,1.5527914962574272,1032511.6247299174
Bozrah School District,130011,2007,Certified Personnel,338043,archived_wide,207.344,1.5527914962574272,524910.2957693494
Branford School District,140011,2007,Certified Personnel,3184781,archived_wide,207.344,1.5527914962574272,4945300.854242225
Bridgeport School District,150011,2007,Certified Personnel,19830570,archived_wide,207.344,1.5527914962574272,30792740.461937647
Bristol School District,170011,2007,Certified Personnel,7780436,archived_wide,207.344,1.5527914962574272,12081394.857975151
Brookfield School District,180011,2007,Certified Personnel,2182397,archived_wide,207.344,1.5527914962574272,3388807.50305772
Brooklyn School District,190011,2007,Certified Personnel,701346,archived_wide,207.344,1.5527914962574272,1089044.1047341616
Canaan School District,210011,2007,Certified Personnel,109059,archived_wide,207.344,1.5527914962574272,169345.88779033875
Canterbury School District,220011,2007,Certified Personnel,712800,archived_wide,207.344,1.5527914962574272,1106829.778532294
Canton School District,230011,2007,Certified Personnel,1573399,archived_wide,207.344,1.5527914962574272,2443160.5874199397
Chaplin School District,240011,2007,Certified Personnel,266121,archived_wide,207.344,1.5527914962574272,413230.4257755228
Cheshire School District,250011,2007,Certified Personnel,5494250,archived_wide,207.344,1.5527914962574272,8531424.678312369
Chester School District,260011,2007,Certified Personnel,422213,archived_wide,207.344,1.5527914962574272,655608.7560093371
Clinton School District,270011,2007,Certified Personnel,2479460,archived_wide,207.344,1.5527914962574272,3850084.4033104405
Colchester School District,280011,2007,Certified Personnel,3042650,archived_wide,207.344,1.5527914962574272,4724601.046087661
Colebrook School District,290011,2007,Certified Personnel,49097,archived_wide,207.344,1.5527914962574272,76237.4040917509
Columbia School District,300011,2007,Certified Personnel,692751,archived_wide,207.344,1.5527914962574272,1075697.861823829
Cornwall School District,310011,2007,Certified Personnel,143282,archived_wide,207.344,1.5527914962574272,222487.07116675668
Coventry School District,320011,2007,Certified Personnel,1787644,archived_wide,207.344,1.5527914962574272,2775838.401535612
Cromwell School District,330011,2007,Certified Personnel,1467824,archived_wide,207.344,1.5527914962574272,2279224.6252025617
Danbury School District,340011,2007,Certified Personnel,10321860,archived_wide,207.344,1.5527914962574272,16027696.433559688
Darien School District,350011,2007,Certified Personnel,5679091,archived_wide,207.344,1.5527914962574272,8818444.211272089
Deep River School District,360011,2007,Certified Personnel,484412,archived_wide,207.344,1.5527914962574272,752190.8342850528
Derby School District,370011,2007,Certified Personnel,1321986,archived_wide,207.344,1.5527914962574272,2052768.618971371
East Granby School District,400011,2007,Certified Personnel,757466,archived_wide,207.344,1.5527914962574272,1176186.7635041284
East Haddam School District,410011,2007,Certified Personnel,1320368,archived_wide,207.344,1.5527914962574272,2050256.2023304265
East Hampton School District,420011,2007,Certified Personnel,1958859,archived_wide,207.344,1.5527914962574272,3041699.597567328
East Hartford School District,430011,2007,Certified Personnel,7321483,archived_wide,207.344,1.5527914962574272,11368736.542393317
East Haven School District,440011,2007,Certified Personnel,2415951,archived_wide,207.344,1.5527914962574272,3751468.1681746272
East Lyme School District,450011,2007,Certified Personnel,2538122,archived_wide,207.344,1.5527914962574272,3941174.2580638938
East Windsor School District,470011,2007,Certified Personnel,1120996,archived_wide,207.344,1.5527914962574272,1740673.056138591
Eastford School District,390011,2007,Certified Personnel,146639,archived_wide,207.344,1.5527914962574272,227699.79221969287
Easton School District,460011,2007,Certified Personnel,1039046,archived_wide,207.344,1.5527914962574272,1613421.7930202947
Ellington School District,480011,2007,Certified Personnel,2174653,archived_wide,207.344,1.5527914962574272,3376782.685710703
Enfield School District,490011,2007,Certified Personnel,6300831,archived_wide,207.344,1.5527914962574272,9783876.79615518
Essex School District,500011,2007,Certified Personnel,673170,archived_wide,207.344,1.5527914962574272,1045292.6515356123
Fairfield School District,510011,2007,Certified Personnel,12318846,archived_wide,207.344,1.5527914962574272,19128599.31250482
Farmington School District,520011,2007,Certified Personnel,2942174,archived_wide,207.344,1.5527914962574272,4568582.767709699
Franklin School District,530011,2007,Certified Personnel,332570,archived_wide,207.344,1.5527914962574272,516411.86791033257
Glastonbury School District,540011,2007,Certified Personnel,5744332,archived_wide,207.344,1.5527914962574272,8919749.88127942
Granby School District,560011,2007,Certified Personnel,1632554,archived_wide,207.344,1.5527914962574272,2535015.9683810477
Greenwich School District,570011,2007,Certified Personnel,14866653,archived_wide,207.344,1.5527914962574272,23084812.356209967
Griswold School District,580011,2007,Certified Personnel,2469797,archived_wide,207.344,1.5527914962574272,3835079.779082105
Groton School District,590011,2007,Certified Personnel,6334698,archived_wide,207.344,1.5527914962574272,9836465.185758932
Guilford School District,600011,2007,Certified Personnel,3592105,archived_wide,207.344,1.5527914962574272,5577790.097663785
Hamden School District,620011,2007,Certified Personnel,6939939,archived_wide,207.344,1.5527914962574272,10776278.263745273
Hampton School District,630011,2007,Certified Personnel,85223,archived_wide,207.344,1.5527914962574272,132333.54968554672
Hartford School District,640011,2007,Certified Personnel,28158361,archived_wide,207.344,1.5527914962574272,43724063.50934678
Hartland School District,650011,2007,Certified Personnel,69079,archived_wide,207.344,1.5527914962574272,107265.28376996682
Hebron School District,670011,2007,Certified Personnel,1000199,archived_wide,207.344,1.5527914962574272,1553100.5017651825
Kent School District,680011,2007,Certified Personnel,302586,archived_wide,207.344,1.5527914962574272,469852.9676865499
Killingly School District,690011,2007,Certified Personnel,2560390,archived_wide,207.344,1.5527914962574272,3975751.819102554
Lebanon School District,710011,2007,Certified Personnel,1089284,archived_wide,207.344,1.5527914962574272,1691430.9322092752
Ledyard School District,720011,2007,Certified Personnel,3379759,archived_wide,207.344,1.5527914962574272,5248061.034599506
Lisbon School District,730011,2007,Certified Personnel,777128,archived_wide,207.344,1.5527914962574272,1206717.7499035418
Litchfield School District,740011,2007,Certified Personnel,1116114,archived_wide,207.344,1.5527914962574272,1733092.328053862
Madison School District,760011,2007,Certified Personnel,2760155,archived_wide,207.344,1.5527914962574272,4285945.212352419
Manchester School District,770011,2007,Certified Personnel,7605195,archived_wide,207.344,1.5527914962574272,11809282.123379504
Mansfield School District,780011,2007,Certified Personnel,1392847,archived_wide,207.344,1.5527914962574272,2162800.977187669
Marlborough School District,790011,2007,Certified Personnel,609380,archived_wide,207.344,1.5527914962574272,946240.081989351
Meriden School District,800011,2007,Certified Personnel,9368372,archived_wide,207.344,1.5527914962574272,14547128.375376185
Middletown School District,830011,2007,Certified Personnel,4654503,archived_wide,207.344,1.5527914962574272,7227472.6777046835
Milford School District,840011,2007,Certified Personnel,8484071,archived_wide,207.344,1.5527914962574272,13173993.302444246
Monroe School District,850011,2007,Certified Personnel,3563977,archived_wide,207.344,1.5527914962574272,5534113.178457056
Montville School District,860011,2007,Certified Personnel,3391841,archived_wide,207.344,1.5527914962574272,5266821.861457288
Naugatuck School District,880011,2007,Certified Personnel,5062313,archived_wide,207.344,1.5527914962574272,7860716.577793425
New Britain School District,890011,2007,Certified Personnel,12990298,archived_wide,207.344,1.5527914962574272,20171224.268249866
New Canaan School District,900011,2007,Certified Personnel,4987520,archived_wide,207.344,1.5527914962574272,7744578.643413844
New Fairfield School District,910011,2007,Certified Personnel,2980700,archived_wide,207.344,1.5527914962574272,4628405.612894514
New Hartford School District,920011,2007,Certified Personnel,671102,archived_wide,207.344,1.5527914962574272,1042081.478721352
New Haven School District,930011,2007,Certified Personnel,20841320,archived_wide,207.344,1.5527914962574272,32362224.466779843
New London School District,950011,2007,Certified Personnel,4422225,archived_wide,207.344,1.5527914962574272,6866793.374537001
New Milford School District,960011,2007,Certified Personnel,4610580,archived_wide,207.344,1.5527914962574272,7159269.416814568
Newington School District,940011,2007,Certified Personnel,3096396,archived_wide,207.344,1.5527914962574272,4808057.377845513
Newtown School District,970011,2007,Certified Personnel,4211876,archived_wide,207.344,1.5527914962574272,6540165.236090748
Norfolk School District,980011,2007,Certified Personnel,45561,archived_wide,207.344,1.5527914962574272,70746.73336098464
North Branford School District,990011,2007,Certified Personnel,2043457,archived_wide,207.344,1.5527914962574272,3173062.6525677135
North Canaan School District,1000011,2007,Certified Personnel,451985,archived_wide,207.344,1.5527914962574272,701838.4644359133
North Haven School District,1010011,2007,Certified Personnel,3065515,archived_wide,207.344,1.5527914962574272,4760105.623649587
North Stonington School District,1020011,2007,Certified Personnel,1007668,archived_wide,207.344,1.5527914962574272,1564698.3014507291
Norwalk School District,1030011,2007,Certified Personnel,12763264,archived_wide,207.344,1.5527914962574272,19818687.803688556
Norwich School District,1040011,2007,Certified Personnel,3038123,archived_wide,207.344,1.5527914962574272,4717571.558984104
Old Saybrook School District,1060011,2007,Certified Personnel,1420636,archived_wide,207.344,1.5527914962574272,2205951.500077166
Orange School District,1070011,2007,Certified Personnel,1585892,archived_wide,207.344,1.5527914962574272,2462559.611582684
Oxford School District,1080011,2007,Certified Personnel,1302782,archived_wide,207.344,1.5527914962574272,2022948.8110772434
Plainfield School District,1090011,2007,Certified Personnel,2264412,archived_wide,207.344,1.5527914962574272,3516159.6976232734
Plainville School District,1100011,2007,Certified Personnel,2268340,archived_wide,207.344,1.5527914962574272,3522259.0626205723
Plymouth School District,1110011,2007,Certified Personnel,1556773,archived_wide,207.344,1.5527914962574272,2417343.876003164
Pomfret School District,1120011,2007,Certified Personnel,539110,archived_wide,207.344,1.5527914962574272,837125.4235473416
Portland School District,1130011,2007,Certified Personnel,1257637,archived_wide,207.344,1.5527914962574272,1952848.038978702
Preston School District,1140011,2007,Certified Personnel,838244,archived_wide,207.344,1.5527914962574272,1301618.154988811
Putnam School District,1160011,2007,Certified Personnel,1268042,archived_wide,207.344,1.5527914962574272,1969004.8344972604
Redding School District,1170011,2007,Certified Personnel,1559838,archived_wide,207.344,1.5527914962574272,2422103.1819391926
Regional School District 01,2010012,2007,Certified Personnel,741907,archived_wide,207.344,1.5527914962574272,1152026.880613859
Regional School District 04,2040012,2007,Certified Personnel,1085023,archived_wide,207.344,1.5527914962574272,1684814.4876437224
Regional School District 05,2050012,2007,Certified Personnel,2442617,archived_wide,207.344,1.5527914962574272,3792874.906213828
Regional School District 06,2060012,2007,Certified Personnel,1173159,archived_wide,207.344,1.5527914962574272,1821671.318957867
Regional School District 07,2070012,2007,Certified Personnel,709974,archived_wide,207.344,1.5527914962574272,1102441.5897638707
Regional School District 08,2080012,2007,Certified Personnel,1551094,archived_wide,207.344,1.5527914962574272,2408525.5730959177
Regional School District 09,2090012,2007,Certified Personnel,845023,archived_wide,207.344,1.5527914962574272,1312144.5285419398
Regional School District 10,2100012,2007,Certified Personnel,2228786,archived_wide,207.344,1.5527914962574272,3460839.947777606
Regional School District 11,2110012,2007,Certified Personnel,397251,archived_wide,207.344,1.5527914962574272,616847.9746797592
Regional School District 12,2120012,2007,Certified Personnel,1388505,archived_wide,207.344,1.5527914962574272,2156058.756510919
Regional School District 13,2130012,2007,Certified Personnel,1829616,archived_wide,207.344,1.5527914962574272,2841012.166216529
Regional School District 14,2140012,2007,Certified Personnel,2431297,archived_wide,207.344,1.5527914962574272,3775297.306476194
Regional School District 15,2150012,2007,Certified Personnel,5064619,archived_wide,207.344,1.5527914962574272,7864297.314983794
Regional School District 16,2160012,2007,Certified Personnel,1774156,archived_wide,207.344,1.5527914962574272,2754894.349834092
Regional School District 17,2170012,2007,Certified Personnel,1985693,archived_wide,207.344,1.5527914962574272,3083367.2045778995
Regional School District 18,2180012,2007,Certified Personnel,2237521,archived_wide,207.344,1.5527914962574272,3474403.5814974145
Regional School District 19,2190012,2007,Certified Personnel,1094734,archived_wide,207.344,1.5527914962574272,1699893.6458638783
Ridgefield School District,1180011,2007,Certified Personnel,4294575,archived_wide,207.344,1.5527914962574272,6668579.5400397405
Rocky Hill School District,1190011,2007,Certified Personnel,1956424,archived_wide,207.344,1.5527914962574272,3037918.550273941
Salem School District,1210011,2007,Certified Personnel,377743,archived_wide,207.344,1.5527914962574272,586556.1181707693
Salisbury School District,1220011,2007,Certified Personnel,356940,archived_wide,207.344,1.5527914962574272,554253.396674126
Scotland School District,1230011,2007,Certified Personnel,265885,archived_wide,207.344,1.5527914962574272,412863.96698240604
Seymour School District,1240011,2007,Certified Personnel,2260968,archived_wide,207.344,1.5527914962574272,3510811.8837101627
Sharon School District,1250011,2007,Certified Personnel,255542,archived_wide,207.344,1.5527914962574272,396803.44453661545
Shelton School District,1260011,2007,Certified Personnel,5430505,archived_wide,207.344,1.5527914962574272,8432441.98438344
Sherman School District,1270011,2007,Certified Personnel,538523,archived_wide,207.344,1.5527914962574272,836213.9349390385
Simsbury School District,1280011,2007,Certified Personnel,4623207,archived_wide,207.344,1.5527914962574272,7178876.515037811
Somers School District,1290011,2007,Certified Personnel,1326123,archived_wide,207.344,1.5527914962574272,2059192.517391388
South Windsor School District,1320011,2007,Certified Personnel,3345325,archived_wide,207.344,1.5527914962574272,5194592.2122173775
Southington School District,1310011,2007,Certified Personnel,5622824,archived_wide,207.344,1.5527914962574272,8731073.292152172
Sprague School District,1330011,2007,Certified Personnel,446555,archived_wide,207.344,1.5527914962574272,693406.8066112354
Stafford School District,1340011,2007,Certified Personnel,1933691,archived_wide,207.344,1.5527914962574272,3002618.9411895205
Stamford School District,1350011,2007,Certified Personnel,18540814,archived_wide,207.344,1.5527914962574272,28790018.312890653
Sterling School District,1360011,2007,Certified Personnel,527178,archived_wide,207.344,1.5527914962574272,818597.5154139979
Stonington School District,1370011,2007,Certified Personnel,2240624,archived_wide,207.344,1.5527914962574272,3479221.8935103016
Stratford School District,1380011,2007,Certified Personnel,6910745,archived_wide,207.344,1.5527914962574272,10730946.068803534
Suffield School District,1390011,2007,Certified Personnel,1687474,archived_wide,207.344,1.5527914962574272,2620295.2773555056
Thomaston School District,1400011,2007,Certified Personnel,1128105,archived_wide,207.344,1.5527914962574272,1751711.8508854848
Thompson School District,1410011,2007,Certified Personnel,785535,archived_wide,207.344,1.5527914962574272,1219772.068012578
Tolland School District,1420011,2007,Certified Personnel,1716649,archived_wide,207.344,1.5527914962574272,2665597.969258816
Torrington School District,1430011,2007,Certified Personnel,4105385,archived_wide,207.344,1.5527914962574272,6374806.916862798
Trumbull School District,1440011,2007,Certified Personnel,6579681,archived_wide,207.344,1.5527914962574272,10216872.704886565
Union School District,1450011,2007,Certified Personnel,64736,archived_wide,207.344,1.5527914962574272,100521.5103017208
Vernon School District,1460011,2007,Certified Personnel,3891588,archived_wide,207.344,1.5527914962574272,6042824.753337448
Voluntown School District,1470011,2007,Certified Personnel,305714,archived_wide,207.344,1.5527914962574272,474710.0994868431
Wallingford School District,1480011,2007,Certified Personnel,7561650,archived_wide,207.344,1.5527914962574272,11741665.817674974
Waterbury School District,1510011,2007,Certified Personnel,17268651,archived_wide,207.344,1.5527914962574272,26814614.424637318
Waterford School District,1520011,2007,Certified Personnel,3069087,archived_wide,207.344,1.5527914962574272,4765652.194874219
Watertown School District,1530011,2007,Certified Personnel,2584685,archived_wide,207.344,1.5527914962574272,4013476.888504128
West Hartford School District,1550011,2007,Certified Personnel,11500161,archived_wide,207.344,1.5527914962574272,17857352.20639131
West Haven School District,1560011,2007,Certified Personnel,6672161,archived_wide,207.344,1.5527914962574272,10360474.862460451
Westbrook School District,1540011,2007,Certified Personnel,917027,archived_wide,207.344,1.5527914962574272,1423951.7274384596
Weston School District,1570011,2007,Certified Personnel,2948015,archived_wide,207.344,1.5527914962574272,4577652.622839339
Westport School District,1580011,2007,Certified Personnel,7078980,archived_wide,207.344,1.5527914962574272,10992179.946176402
Wethersfield School District,1590011,2007,Certified Personnel,2991242,archived_wide,207.344,1.5527914962574272,4644775.140848059
Willington School District,1600011,2007,Certified Personnel,671321,archived_wide,207.344,1.5527914962574272,1042421.5400590323
Wilton School District,1610011,2007,Certified Personnel,4756434,archived_wide,207.344,1.5527914962574272,7385750.267709699
Winchester School District,1620011,2007,Certified Personnel,1395398,archived_wide,207.344,1.5527914962574272,2166762.148294621
Windham School District,1630011,2007,Certified Personnel,5500706,archived_wide,207.344,1.5527914962574272,8541449.500212207
Windsor Locks School District,1650011,2007,Certified Personnel,1936992,archived_wide,207.344,1.5527914962574272,3007744.7059186664
Windsor School District,1640011,2007,Certified Personnel,4510301,archived_wide,207.344,1.5527914962574272,7003557.03836137
Wolcott School District,1660011,2007,Certified Personnel,2150784,archived_wide,207.344,1.5527914962574272,3339719.105486534
Woodbridge School District,1670011,2007,Certified Personnel,939741,archived_wide,207.344,1.5527914962574272,1459221.8334844508
Woodstock School District,1690011,2007,Certified Personnel,621842,archived_wide,207.344,1.5527914962574272,965590.969615711
Andover School District,10011,2007,Noncertified Personnel,149641,archived_wide,207.344,1.5527914962574272,232361.27229145766
Ansonia School District,20011,2007,Noncertified Personnel,666612,archived_wide,207.344,1.5527914962574272,1035109.444903156
Ashford School District,30011,2007,Noncertified Personnel,343447,archived_wide,207.344,1.5527914962574272,533301.5810151246
Avon School District,40011,2007,Noncertified Personnel,1323267,archived_wide,207.344,1.5527914962574272,2054757.744878077
Barkhamsted School District,50011,2007,Noncertified Personnel,1050,archived_wide,207.344,1.5527914962574272,1630.4310710702985
Berlin School District,70011,2007,Noncertified Personnel,1325994,archived_wide,207.344,1.5527914962574272,2058992.207288371
Bethany School District,80011,2007,Noncertified Personnel,272657,archived_wide,207.344,1.5527914962574272,423379.47099506133
Bethel School District,90011,2007,Noncertified Personnel,1452749,archived_wide,207.344,1.5527914962574272,2255816.2933964813
Bloomfield School District,110011,2007,Noncertified Personnel,953105,archived_wide,207.344,1.5527914962574272,1479973.3390404352
Bolton School District,120011,2007,Noncertified Personnel,418247,archived_wide,207.344,1.5527914962574272,649450.3849351802
Bozrah School District,130011,2007,Noncertified Personnel,93954,archived_wide,207.344,1.5527914962574272,145890.9722393703
Branford School District,140011,2007,Noncertified Personnel,1218894,archived_wide,207.344,1.5527914962574272,1892688.2380392004
Bridgeport School District,150011,2007,Noncertified Personnel,6347891,archived_wide,207.344,1.5527914962574272,9856951.163969055
Bristol School District,170011,2007,Noncertified Personnel,2458764,archived_wide,207.344,1.5527914962574272,3817947.830503897
Brookfield School District,180011,2007,Noncertified Personnel,1134688,archived_wide,207.344,1.5527914962574272,1761933.8773053475
Brooklyn School District,190011,2007,Noncertified Personnel,364277,archived_wide,207.344,1.5527914962574272,565646.2278821669
Canaan School District,210011,2007,Noncertified Personnel,35274,archived_wide,207.344,1.5527914962574272,54773.16723898449
Canterbury School District,220011,2007,Noncertified Personnel,269218,archived_wide,207.344,1.5527914962574272,418039.42103943205
Canton School District,230011,2007,Noncertified Personnel,619422,archived_wide,207.344,1.5527914962574272,961833.2141947681
Chaplin School District,240011,2007,Noncertified Personnel,56980,archived_wide,207.344,1.5527914962574272,88478.0594567482
Cheshire School District,250011,2007,Noncertified Personnel,2556530,archived_wide,207.344,1.5527914962574272,3969758.0439270004
Chester School District,260011,2007,Noncertified Personnel,164058,archived_wide,207.344,1.5527914962574272,254747.86729300098
Clinton School District,270011,2007,Noncertified Personnel,640899,archived_wide,207.344,1.5527914962574272,995182.5171598889
Colchester School District,280011,2007,Noncertified Personnel,1048061,archived_wide,207.344,1.5527914962574272,1627420.2083590555
Colebrook School District,290011,2007,Noncertified Personnel,3603,archived_wide,207.344,1.5527914962574272,5594.70776101551
Columbia School District,300011,2007,Noncertified Personnel,343489,archived_wide,207.344,1.5527914962574272,533366.7982579675
Cornwall School District,310011,2007,Noncertified Personnel,58725,archived_wide,207.344,1.5527914962574272,91187.68061771741
Coventry School District,320011,2007,Noncertified Personnel,723038,archived_wide,207.344,1.5527914962574272,1122727.2578709777
Cromwell School District,330011,2007,Noncertified Personnel,684027,archived_wide,207.344,1.5527914962574272,1062151.3088104792
Danbury School District,340011,2007,Noncertified Personnel,3263443,archived_wide,207.344,1.5527914962574272,5067446.538920827
Darien School District,350011,2007,Noncertified Personnel,2904473,archived_wide,207.344,1.5527914962574272,4510040.975509298
Deep River School District,360011,2007,Noncertified Personnel,195565,archived_wide,207.344,1.5527914962574272,303671.6689655837
Derby School District,370011,2007,Noncertified Personnel,434891,archived_wide,207.344,1.5527914962574272,675295.0465988888
East Granby School District,400011,2007,Noncertified Personnel,500725,archived_wide,207.344,1.5527914962574272,777521.5219635002
East Haddam School District,410011,2007,Noncertified Personnel,313403,archived_wide,207.344,1.5527914962574272,486649.5133015665
East Hampton School District,420011,2007,Noncertified Personnel,697255,archived_wide,207.344,1.5527914962574272,1082691.6347229723
East Hartford School District,430011,2007,Noncertified Personnel,3461935,archived_wide,207.344,1.5527914962574272,5375663.228595956
East Haven School District,440011,2007,Noncertified Personnel,632961,archived_wide,207.344,1.5527914962574272,982856.4582625973
East Lyme School District,450011,2007,Noncertified Personnel,2079870,archived_wide,207.344,1.5527914962574272,3229604.449320935
East Windsor School District,470011,2007,Noncertified Personnel,521855,archived_wide,207.344,1.5527914962574272,810332.0062794196
Eastford School District,390011,2007,Noncertified Personnel,90782,archived_wide,207.344,1.5527914962574272,140965.51761324177
Easton School District,460011,2007,Noncertified Personnel,509427,archived_wide,207.344,1.5527914962574272,791033.9135639324
Ellington School District,480011,2007,Noncertified Personnel,772681,archived_wide,207.344,1.5527914962574272,1199812.486119685
Enfield School District,490011,2007,Noncertified Personnel,1515942,archived_wide,207.344,1.5527914962574272,2353941.846419477
Essex School District,500011,2007,Noncertified Personnel,330045,archived_wide,207.344,1.5527914962574272,512491.06938228256
Fairfield School District,510011,2007,Noncertified Personnel,3322512,archived_wide,207.344,1.5527914962574272,5159168.379813257
Farmington School District,520011,2007,Noncertified Personnel,1464454,archived_wide,207.344,1.5527914962574272,2273991.7178601744
Franklin School District,530011,2007,Noncertified Personnel,31937,archived_wide,207.344,1.5527914962574272,49591.50201597345
Glastonbury School District,540011,2007,Noncertified Personnel,2497477,archived_wide,207.344,1.5527914962574272,3878061.0476985103
Granby School District,560011,2007,Noncertified Personnel,929409,archived_wide,207.344,1.5527914962574272,1443178.3917451191
Greenwich School District,570011,2007,Noncertified Personnel,4991871,archived_wide,207.344,1.5527914962574272,7751334.8392140595
Griswold School District,580011,2007,Noncertified Personnel,794387,archived_wide,207.344,1.5527914962574272,1233517.3783374487
Groton School District,590011,2007,Noncertified Personnel,1909111,archived_wide,207.344,1.5527914962574272,2964451.326211513
Guilford School District,600011,2007,Noncertified Personnel,1679460,archived_wide,207.344,1.5527914962574272,2607851.2063044985
Hamden School District,620011,2007,Noncertified Personnel,1968203,archived_wide,207.344,1.5527914962574272,3056208.8813083568
Hampton School District,630011,2007,Noncertified Personnel,74996,archived_wide,207.344,1.5527914962574272,116453.15105332201
Hartford School District,640011,2007,Noncertified Personnel,8270769,archived_wide,207.344,1.5527914962574272,12842779.770709544
Hartland School District,650011,2007,Noncertified Personnel,70181,archived_wide,207.344,1.5527914962574272,108976.4599988425
Hebron School District,670011,2007,Noncertified Personnel,642038,archived_wide,207.344,1.5527914962574272,996951.146674126
Kent School District,680011,2007,Noncertified Personnel,136062,archived_wide,207.344,1.5527914962574272,211275.91656377807
Killingly School District,690011,2007,Noncertified Personnel,1233723,archived_wide,207.344,1.5527914962574272,1915714.5831372018
Lebanon School District,710011,2007,Noncertified Personnel,341027,archived_wide,207.344,1.5527914962574272,529543.8255941817
Ledyard School District,720011,2007,Noncertified Personnel,854111,archived_wide,207.344,1.5527914962574272,1326256.2976599273
Lisbon School District,730011,2007,Noncertified Personnel,174070,archived_wide,207.344,1.5527914962574272,270294.41575353034
Litchfield School District,740011,2007,Noncertified Personnel,451423,archived_wide,207.344,1.5527914962574272,700965.7956150166
Madison School District,760011,2007,Noncertified Personnel,1044598,archived_wide,207.344,1.5527914962574272,1622042.8914075159
Manchester School District,770011,2007,Noncertified Personnel,3682472,archived_wide,207.344,1.5527914962574272,5718111.20680608
Mansfield School District,780011,2007,Noncertified Personnel,913663,archived_wide,207.344,1.5527914962574272,1418728.1368450497
Marlborough School District,790011,2007,Noncertified Personnel,172324,archived_wide,207.344,1.5527914962574272,267583.24180106487
Meriden School District,800011,2007,Noncertified Personnel,3586017,archived_wide,207.344,1.5527914962574272,5568336.70303457
Middletown School District,830011,2007,Noncertified Personnel,2384617,archived_wide,207.344,1.5527914962574272,3702812.999430897
Milford School District,840011,2007,Noncertified Personnel,3714975,archived_wide,207.344,1.5527914962574272,5768581.588808935
Monroe School District,850011,2007,Noncertified Personnel,955410,archived_wide,207.344,1.5527914962574272,1483552.5234393084
Montville School District,860011,2007,Noncertified Personnel,1088377,archived_wide,207.344,1.5527914962574272,1690022.55032217
Naugatuck School District,880011,2007,Noncertified Personnel,1536592,archived_wide,207.344,1.5527914962574272,2386006.9908171925
New Britain School District,890011,2007,Noncertified Personnel,6112221,archived_wide,207.344,1.5527914962574272,9491004.792046068
New Canaan School District,900011,2007,Noncertified Personnel,3102965,archived_wide,207.344,1.5527914962574272,4818257.665184428
New Fairfield School District,910011,2007,Noncertified Personnel,719146,archived_wide,207.344,1.5527914962574272,1116683.7933675437
New Hartford School District,920011,2007,Noncertified Personnel,274224,archived_wide,207.344,1.5527914962574272,425812.6952696967
New Haven School District,930011,2007,Noncertified Personnel,3980687,archived_wide,207.344,1.5527914962574272,6181176.922862489
New London School District,950011,2007,Noncertified Personnel,1122987,archived_wide,207.344,1.5527914962574272,1743764.6640076393
New Milford School District,960011,2007,Noncertified Personnel,1629261,archived_wide,207.344,1.5527914962574272,2529902.625983872
Newington School District,940011,2007,Noncertified Personnel,250742,archived_wide,207.344,1.5527914962574272,389350.0453545798
Newtown School District,970011,2007,Noncertified Personnel,1721273,archived_wide,207.344,1.5527914962574272,2672778.0771375103
Norfolk School District,980011,2007,Noncertified Personnel,10172,archived_wide,207.344,1.5527914962574272,15794.99509993055
North Branford School District,990011,2007,Noncertified Personnel,613862,archived_wide,207.344,1.5527914962574272,953199.6934755768
North Canaan School District,1000011,2007,Noncertified Personnel,108285,archived_wide,207.344,1.5527914962574272,168144.0271722355
North Haven School District,1010011,2007,Noncertified Personnel,591377,archived_wide,207.344,1.5527914962574272,918285.1766822286
North Stonington School District,1020011,2007,Noncertified Personnel,347645,archived_wide,207.344,1.5527914962574272,539820.1997164133
Norwalk School District,1030011,2007,Noncertified Personnel,4000574,archived_wide,207.344,1.5527914962574272,6212057.28734856
Norwich School District,1040011,2007,Noncertified Personnel,1039407,archived_wide,207.344,1.5527914962574272,1613982.3507504435
Old Saybrook School District,1060011,2007,Noncertified Personnel,687506,archived_wide,207.344,1.5527914962574272,1067553.4704259587
Orange School District,1070011,2007,Noncertified Personnel,866464,archived_wide,207.344,1.5527914962574272,1345437.9310131953
Oxford School District,1080011,2007,Noncertified Personnel,785312,archived_wide,207.344,1.5527914962574272,1219425.7955089128
Plainfield School District,1090011,2007,Noncertified Personnel,1491581,archived_wide,207.344,1.5527914962574272,2316114.2927791495
