"","Local",,"State",,"Federal",,"Tuition & Other",,"Total",
"District","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent"
"Achievement First Bridgeport Academy District",347000,2.6,12310224,92.0,558049,4.2,172562,1.3,13387835,100.0
="Achievement First Hartford Academy District",1350165,8.8,13082988,84.8,846950,5.5,140566,0.9,15420669,100.0
="Amistad Academy District",281580,2.1,12203451,92.0,614432,4.6,166962,1.3,13266425,100.0
="Andover School District",3250406,72.7,1001484,22.4,122158,2.7,98338,2.2,4472386,100.0
="Ansonia School District",17154715,43.2,20556398,51.7,1944118,4.9,71087,0.2,39726318,100.0
="Area Cooperative Educational Services",1937376,2.6,12360171,16.5,847162,1.1,59942184,79.8,75086894,100.0
="Ashford School District",5051163,62.1,2811908,34.6,258157,3.2,8858,0.1,8130085,100.0
="Avon School District",54460778,93.2,2450359,4.2,730103,1.2,813212,1.4,58454452,100.0
="Barkhamsted School District",3368208,78.7,675882,15.8,138724,3.2,95218,2.2,4278033,100.0
="Berlin School District",41495554,82.4,7931509,15.7,875018,1.7,71821,0.1,50373902,100.0
="Bethany School District",5832152,83.1,1010638,14.4,149037,2.1,28851,0.4,7020678,100.0
="Bethel School District",40562201,80.7,8609428,17.1,1040580,2.1,38720,0.1,50250929,100.0
="Bloomfield School District",37880285,70.2,13331564,24.7,1157644,2.1,1564833,2.9,53934326,100.0
="Bolton School District",10502000,70.5,3363019,22.6,235676,1.6,805644,5.4,14906339,100.0
="Booker T. Washington Academy District",30556,0.7,3785938,85.8,191311,4.3,403315,9.1,4411121,100.0
="Bozrah School District",5514953,79.5,1271923,18.3,150832,2.2,0,0.0,6937708,100.0
="Branford School District",54564226,91.8,3452924,5.8,1236537,2.1,178021,0.3,59431708,100.0
="Brass City Charter School District",595025,14.6,2933990,72.0,103731,2.5,443687,10.9,4076433,100.0
="Bridgeport School District",63635893,20.5,220602105,71.2,22181063,7.2,3598313,1.2,310017374,100.0
="Bristol School District",69714089,54.8,52249456,41.0,4718354,3.7,638747,0.5,127320646,100.0
="Brookfield School District",41754109,93.9,1833947,4.1,713148,1.6,155070,0.3,44456274,100.0
="Brooklyn School District",11183653,58.0,7512190,39.0,583322,3.0,6436,0.0,19285600,100.0
="Canaan School District",2142082,92.8,121269,5.3,44918,1.9,1228,0.1,2309497,100.0
="Canterbury School District",7464380,60.4,4511947,36.5,351654,2.8,34836,0.3,12362817,100.0
="Canton School District",22719662,81.1,4749927,17.0,372572,1.3,165987,0.6,28008148,100.0
="Capital Preparatory Harbor School District",605844,9.5,5443873,85.5,171525,2.7,147518,2.3,6368759,100.0
="Capitol Region Education Council",3756801,1.9,114805102,56.6,5281982,2.6,78983351,38.9,202827237,100.0
="Chaplin School District",2455620,63.3,1285811,33.2,96171,2.5,39408,1.0,3877011,100.0
="Cheshire School District",61545837,84.4,10113680,13.9,935169,1.3,304310,0.4,72898997,100.0
="Chester School District",4145927,90.6,325324,7.1,103946,2.3,0,0.0,4575197,100.0
="Clinton School District",27225479,79.7,6142457,18.0,695890,2.0,80489,0.2,34144315,100.0
="Colchester School District",26718869,63.4,13647729,32.4,938110,2.2,833248,2.0,42137955,100.0
="Colebrook School District",1750631,86.5,216546,10.7,56549,2.8,214,0.0,2023940,100.0
