"","Local",,"State",,"Federal",,"Tuition & Other",,"Total",
"District","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent"
"Achievement First Bridgeport Academy District",357058,2.8,11868319,91.9,533075,4.1,149458,1.2,12907910,100.0
="Achievement First Hartford Academy District",1696460,10.0,14446749,85.2,795765,4.7,20976,0.1,16959949,100.0
="Amistad Academy District",270409,2.0,11778213,89.0,691067,5.2,494705,3.7,13234394,100.0
="Andover School District",3244239,72.5,971029,21.7,204272,4.6,56086,1.3,4475625,100.0
="Ansonia School District",17427472,44.8,19570646,50.3,1859073,4.8,61587,0.2,38918779,100.0
="Area Cooperative Educational Services",3832828,5.4,14561441,20.4,505020,0.7,52571053,73.6,71470343,100.0
="Ashford School District",5072783,64.8,2564705,32.8,180718,2.3,6215,0.1,7824422,100.0
="Avon School District",54023193,92.8,2905238,5.0,772750,1.3,487239,0.8,58188420,100.0
="Barkhamsted School District",3529575,81.9,641993,14.9,121614,2.8,15000,0.3,4308182,100.0
="Berlin School District",41193399,84.4,6645659,13.6,933708,1.9,51866,0.1,48824632,100.0
="Bethany School District",5859580,84.5,881483,12.7,162780,2.3,29232,0.4,6933075,100.0
="Bethel School District",39779268,81.9,7756023,16.0,996603,2.1,50575,0.1,48582469,100.0
="Bloomfield School District",36472517,69.4,13321425,25.3,1290394,2.5,1466850,2.8,52551186,100.0
="Bolton School District",10368628,70.4,3251192,22.1,215198,1.5,901872,6.1,14736889,100.0
="Booker T. Washington Academy District",51500,1.4,3092177,86.2,136453,3.8,305860,8.5,3585990,100.0
="Bozrah School District",4681782,79.0,1064932,18.0,182835,3.1,0,0.0,5929549,100.0
="Branford School District",53558624,92.6,3064615,5.3,1063230,1.8,167521,0.3,57853990,100.0
="Brass City Charter School District",464140,12.8,2783000,76.8,108055,3.0,270255,7.5,3625450,100.0
="Bridgeport School District",62706306,20.5,216478970,70.8,23541596,7.7,3209127,1.0,305935999,100.0
="Bristol School District",69875848,54.9,51574023,40.5,5274619,4.1,526146,0.4,127250636,100.0
="Brookfield School District",40318166,93.9,2025786,4.7,598631,1.4,2293,0.0,42944876,100.0
="Brooklyn School District",13563551,66.2,6589316,32.2,335908,1.6,1217,0.0,20489992,100.0
="Canaan School District",2039071,91.3,135453,6.1,57505,2.6,971,0.0,2233000,100.0
="Canterbury School District",6985381,59.8,4299457,36.8,376573,3.2,10283,0.1,11671694,100.0
="Canton School District",23564097,82.6,4428237,15.5,387024,1.4,161423,0.6,28540782,100.0
="Capital Preparatory Harbor School District",468648,9.6,4260142,87.2,158554,3.2,0,0.0,4887344,100.0
="Capitol Region Education Council",4237517,2.1,111191619,54.7,3385346,1.7,84400554,41.5,203215036,100.0
="Chaplin School District",2464994,65.4,1144499,30.3,102603,2.7,59818,1.6,3771914,100.0
