"","Local",,"State",,"Federal",,"Tuition & Other",,"Total",
"District","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent"
"Achievement First Bridgeport Academy District",418000,2.7,12884594,83.6,2110361,13.7,0,0.0,15412955,100.0
="Achievement First Hartford Academy District",1274555,7.8,12632189,77.1,2485940,15.2,0,0.0,16392684,100.0
="Amistad Academy District",334558,2.1,13112513,82.8,2382822,15.1,0,0.0,15829893,100.0
="Andover School District",3063786,67.8,1139280,25.2,213145,4.7,104537,2.3,4520748,100.0
="Ansonia School District",19025877,40.0,22584053,47.5,5602021,11.8,364985,0.8,47576937,100.0
="Area Cooperative Educational Services",9892374,10.0,13120051,13.3,2464414,2.5,73201944,74.2,98678783,100.0
="Ashford School District",5753281,63.8,2722271,30.2,528458,5.9,13145,0.1,9017154,100.0
="Avon School District",59753939,89.9,2788207,4.2,1519109,2.3,2401652,3.6,66462907,100.0
="Barkhamsted School District",3729661,77.9,711154,14.8,320513,6.7,28813,0.6,4790141,100.0
="Berlin School District",48811543,83.3,7874292,13.4,1523944,2.6,372837,0.6,58582616,100.0
="Bethany School District",6232436,76.5,1035655,12.7,834486,10.2,48935,0.6,8151511,100.0
="Bethel School District",47420561,78.6,9432664,15.6,3390214,5.6,62748,0.1,60306187,100.0
="Bloomfield School District",42052193,67.0,14925224,23.8,3704727,5.9,2128375,3.4,62810519,100.0
="Bolton School District",11858703,75.2,3269349,20.7,262533,1.7,371218,2.4,15761803,100.0
="Booker T. Washington Academy District",145000,2.2,5266792,81.4,1003472,15.5,53652,0.8,6468915,100.0
="Bozrah School District",5623521,79.2,1216499,17.1,258852,3.6,0,0.0,7098872,100.0
="Branford School District",57456308,88.1,4625735,7.1,3037941,4.7,105747,0.2,65225731,100.0
="Brass City Charter School District",612181,10.5,4192371,71.7,464336,7.9,574411,9.8,5843299,100.0
="Bridgeport School District",72723874,19.4,222705955,59.4,75721998,20.2,3780095,1.0,374931922,100.0
="Bristol School District",88593776,54.7,57766308,35.7,14959335,9.2,531148,0.3,161850567,100.0
="Brookfield School District",49733275,93.6,1835172,3.5,1423792,2.7,152132,0.3,53144371,100.0
="Brooklyn School District",13446655,60.1,7383484,33.0,1506461,6.7,27111,0.1,22363711,100.0
="Canaan School District",2491605,93.5,87293,3.3,82113,3.1,2558,0.1,2663568,100.0
="Canterbury School District",7410784,59.4,4287720,34.4,692024,5.6,76031,0.6,12466559,100.0
="Canton School District",25293725,78.4,5713728,17.7,737510,2.3,531344,1.6,32276307,100.0
="Capital Preparatory Harbor School District",670974,6.2,8577007,79.0,1605504,14.8,0,0.0,10853485,100.0
="Capitol Region Education Council",0,0.0,129288372,50.4,15827941,6.2,111177093,43.4,256293407,100.0
="Chaplin School District",2866285,68.8,1023685,24.6,230812,5.5,43218,1.0,4163999,100.0
="Cheshire School District",70438071,84.5,10446076,12.5,2150193,2.6,354002,0.4,83388342,100.0
="Chester School District",4805617,84.6,522471,9.2,336462,5.9,13500,0.2,5678050,100.0
="Clinton School District",29235517,79.3,5611041,15.2,1924845,5.2,114529,0.3,36885932,100.0
="Colchester School District",29002930,63.9,12967258,28.6,2522342,5.6,902605,2.0,45395135,100.0
="Colebrook School District",2111552,86.3,193923,7.9,140034,5.7,0,0.0,2445413,100.0
="Columbia School District",10297052,77.8,2478109,18.7,404957,3.1,58337,0.4,13238454,100.0
="Common Ground High School District",8000,0.2,2361710,51.9,798103,17.5,1380460,30.4,4548273,100.0
="Connecticut Technical Education and Career System",0,0.0,300525561,94.1,17836982,5.6,878739,0.3,319241282,100.0
="Cooperative Educational Services",5300473,13.9,4604394,12.0,478606,1.3,27879989,72.9,38263461,100.0
="Cornwall School District",3198538,94.6,10175,0.3,149091,4.4,24617,0.7,3382421,100.0
="Coventry School District",21050697,68.0,8653349,28.0,1203982,3.9,33125,0.1,30941153,100.0
="Cromwell School District",29314423,74.9,7682541,19.6,1449951,3.7,690330,1.8,39137245,100.0
="Danbury School District",120911443,59.4,52203321,25.6,29776551,14.6,827344,0.4,203718659,100.0
="Darien School District",109630401,94.8,3591529,3.1,1663516,1.4,736922,0.6,115622368,100.0
="Deep River School District",4889007,82.2,707003,11.9,353296,5.9,0,0.0,5949306,100.0
