"","Local",,"State",,"Federal",,"Tuition & Other",,"Total",
"District","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent"
"Achievement First Bridgeport Academy District",445619,3.0,11564445,79.1,2617507,17.9,0,0.0,14627570,100.0
="Achievement First Hartford Academy District",1473411,9.4,11329278,72.3,2854897,18.2,15580,0.1,15673166,100.0
="Amistad Academy District",311456,2.0,11337458,74.5,3556940,23.4,5962,0.0,15211817,100.0
="Andover School District",3111672,71.8,973605,22.5,153764,3.5,96265,2.2,4335305,100.0
="Ansonia School District",16430652,38.1,21864294,50.7,3950075,9.2,880502,2.0,43125523,100.0
="Area Cooperative Educational Services",631553,0.7,14839517,17.6,1502914,1.8,67473821,79.9,84447804,100.0
="Ashford School District",5288356,64.0,2626307,31.8,341428,4.1,13034,0.2,8269125,100.0
="Avon School District",56791143,91.1,2191969,3.5,1341909,2.2,1981484,3.2,62306506,100.0
="Barkhamsted School District",3471018,79.2,677949,15.5,193683,4.4,39263,0.9,4381913,100.0
="Berlin School District",43845446,80.5,8057640,14.8,1434465,2.6,1137716,2.1,54475266,100.0
="Bethany School District",6135128,82.7,1018862,13.7,212447,2.9,49837,0.7,7416274,100.0
="Bethel School District",43458344,80.6,8532076,15.8,1917241,3.6,31950,0.1,53939611,100.0
="Bloomfield School District",39271525,68.2,14037469,24.4,2860491,5.0,1374204,2.4,57543688,100.0
="Bolton School District",10728850,71.8,3168259,21.2,401465,2.7,645073,4.3,14943646,100.0
="Booker T. Washington Academy District",55156,0.8,5541399,85.0,626292,9.6,297073,4.6,6519921,100.0
="Bozrah School District",4724354,72.0,1382800,21.1,453669,6.9,0,0.0,6560823,100.0
="Branford School District",53446278,89.5,4004826,6.7,2228211,3.7,37706,0.1,59717022,100.0
="Brass City Charter School District",403118,8.5,3356177,70.8,980799,20.7,589,0.0,4740683,100.0
="Bridgeport School District",70297827,21.0,222537258,66.5,37519596,11.2,4538312,1.4,334892993,100.0
="Bristol School District",76486971,54.9,53746239,38.6,8693058,6.2,341730,0.2,139267998,100.0
="Brookfield School District",45308429,94.1,1420503,3.0,1290237,2.7,113185,0.2,48132354,100.0
="Brooklyn School District",12059886,59.4,7414107,36.5,784971,3.9,37056,0.2,20296021,100.0
="Canaan School District",2267462,94.9,82779,3.5,38222,1.6,1186,0.0,2389649,100.0
="Canterbury School District",7429982,60.3,4301515,34.9,557289,4.5,40501,0.3,12329287,100.0
="Canton School District",23517791,79.5,5018336,17.0,639615,2.2,396445,1.3,29572187,100.0
="Capital Preparatory Harbor School District",574945,5.7,8261806,81.2,1334819,13.1,0,0.0,10171570,100.0
="Capitol Region Education Council",1373668,0.6,117615228,50.6,14983688,6.4,98457217,42.4,232429801,100.0
="Chaplin School District",2793042,67.7,1104839,26.8,191585,4.6,38998,0.9,4128464,100.0
="Cheshire School District",64268692,84.0,10087485,13.2,1776109,2.3,350745,0.5,76483030,100.0
="Chester School District",4442235,88.1,389795,7.7,209992,4.2,0,0.0,5042022,100.0
="Clinton School District",27105612,79.7,5755862,16.9,1090292,3.2,73144,0.2,34024910,100.0
="Colchester School District",27773030,64.4,13258455,30.8,1353162,3.1,731583,1.7,43116230,100.0
="Colebrook School District",1849487,84.7,190010,8.7,143872,6.6,102,0.0,2183471,100.0
="Columbia School District",10098341,79.0,2328442,18.2,323681,2.5,27778,0.2,12778242,100.0
="Common Ground High School District",365148,8.1,2462229,54.4,1402975,31.0,298964,6.6,4529315,100.0
="Connecticut Technical Education and Career System",0,0.0,0,0.0,0,0.0,0,0.0,0,100.0
="Cooperative Educational Services",4083751,12.0,4545168,13.4,313834,0.9,25087555,73.7,34030308,100.0
="Cornwall School District",2901998,95.6,7599,0.3,88085,2.9,37800,1.2,3035482,100.0
="Coventry School District",20119027,68.1,8758281,29.6,665291,2.3,18759,0.1,29561359,100.0
="Cromwell School District",26817456,76.0,6940398,19.7,1358601,3.9,171719,0.5,35288174,100.0
="Danbury School District",110036025,66.2,48385202,29.1,7065670,4.3,606465,0.4,166093362,100.0
="Darien School District",102984812,94.8,3162742,2.9,2039384,1.9,492948,0.5,108679886,100.0
="Deep River School District",4599970,82.2,727011,13.0,269145,4.8,0,0.0,5596127,100.0
="Derby School District",16688602,57.3,10490514,36.0,1931275,6.6,356,0.0,29110746,100.0
="East Granby School District",16217872,87.0,2042860,11.0,374086,2.0,0,0.0,18634818,100.0
="East Haddam School District",17345809,77.7,3826236,17.1,475017,2.1,688145,3.1,22335206,100.0
="East Hampton School District",25647834,74.9,7612239,22.2,900814,2.6,71533,0.2,34232420,100.0
="East Hartford School District",49716594,38.2,62476566,48.0,10561110,8.1,7385471,5.7,130139741,100.0
="East Haven School District",29387088,51.0,22209290,38.5,5462001,9.5,571744,1.0,57630123,100.0
="East Lyme School District",42129366,79.7,6098789,11.5,1661502,3.1,2977979,5.6,52867637,100.0
="East Windsor School District",17775379,66.9,6972556,26.2,712736,2.7,1103701,4.2,26564372,100.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",0,0.0,3213573,16.8,210233,1.1,15726389,82.1,19150195,100.0
="Eastford School District",2990944,68.9,1125716,25.9,194114,4.5,27743,0.6,4338517,100.0
="Easton School District",17175989,96.3,234644,1.3,338497,1.9,94974,0.5,17844104,100.0
="EdAdvance",10083479,73.6,106359,0.8,3453557,25.2,63118,0.5,13706512,100.0
="Ellington School District",30723346,69.9,11453605,26.0,863814,2.0,936392,2.1,43977158,100.0
="Elm City College Preparatory School District",143748,1.3,8045523,70.8,1129504,9.9,2039253,18.0,11358028,100.0
="Elm City Montessori School District",3379178,80.6,712914,17.0,97839,2.3,0,0.0,4189930,100.0
="Enfield School District",48591348,56.0,31934496,36.8,4773596,5.5,1424139,1.6,86723579,100.0
="Essex School District",7277880,94.7,114637,1.5,269251,3.5,26500,0.3,7688268,100.0
="Explorations District",409124,23.8,904068,52.6,390980,22.7,15899,0.9,1720071,100.0
="Fairfield School District",191803492,95.4,4822915,2.4,3858392,1.9,565235,0.3,201050034,100.0
="Farmington School District",71722369,91.6,2526141,3.2,2404485,3.1,1637264,2.1,78290259,100.0
