"","Local",,"State",,"Federal",,"Tuition & Other",,"Total",
"District","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent"
"Achievement First Bridgeport Academy District",355504,2.6,12312000,89.1,651747,4.7,506188,3.7,13825439,100.0
="Achievement First Hartford Academy District",985730,6.1,13006617,80.5,936514,5.8,1228374,7.6,16157235,100.0
="Amistad Academy District",299383,2.2,11743147,87.8,728849,5.4,603899,4.5,13375278,100.0
="Andover School District",3313717,73.6,991865,22.0,94757,2.1,104532,2.3,4504871,100.0
="Ansonia School District",16553425,42.2,20582008,52.4,1891193,4.8,231804,0.6,39258430,100.0
="Area Cooperative Educational Services",794040,1.0,15420501,19.6,468120,0.6,62160392,78.8,78843053,100.0
="Ashford School District",5197794,64.0,2696453,33.2,224613,2.8,1825,0.0,8120685,100.0
="Avon School District",54700369,92.2,2519378,4.2,870706,1.5,1226682,2.1,59317135,100.0
="Barkhamsted School District",3372326,79.4,699795,16.5,126741,3.0,50606,1.2,4249468,100.0
="Berlin School District",42087107,81.3,7932675,15.3,878414,1.7,855874,1.7,51754070,100.0
="Bethany School District",5993445,83.1,1016054,14.1,160025,2.2,43186,0.6,7212710,100.0
="Bethel School District",41304992,81.1,8501149,16.7,1068911,2.1,31429,0.1,50906480,100.0
="Bloomfield School District",37218744,68.7,14117516,26.1,1292193,2.4,1515583,2.8,54144036,100.0
="Bolton School District",10616978,71.2,3274426,22.0,220520,1.5,798305,5.4,14910228,100.0
="Booker T. Washington Academy District",78003,1.4,4791527,87.1,262208,4.8,366458,6.7,5498197,100.0
="Bozrah School District",4542477,76.1,1312224,22.0,117858,2.0,0,0.0,5972559,100.0
="Branford School District",54228419,92.1,3731006,6.3,736075,1.2,208814,0.4,58904314,100.0
="Brass City Charter School District",446036,10.6,3408840,81.0,128460,3.1,223500,5.3,4206837,100.0
="Bridgeport School District",65849411,21.1,221926871,71.0,21650524,6.9,3043655,1.0,312470461,100.0
="Bristol School District",74982647,56.5,52104172,39.3,5153089,3.9,397874,0.3,132637782,100.0
="Brookfield School District",42966044,94.2,1723596,3.8,792038,1.7,149333,0.3,45631010,100.0
="Brooklyn School District",11692043,58.4,7627649,38.1,562695,2.8,137259,0.7,20019647,100.0
="Canaan School District",2254465,94.8,84754,3.6,38486,1.6,1571,0.1,2379276,100.0
="Canterbury School District",7351396,61.0,4402265,36.5,296546,2.5,0,0.0,12050207,100.0
="Canton School District",22918190,80.8,4768654,16.8,366800,1.3,315987,1.1,28369631,100.0
="Capital Preparatory Harbor School District",548838,6.8,6898670,85.9,277712,3.5,305167,3.8,8030388,100.0
="Capitol Region Education Council",499920,0.2,115274008,55.0,5435398,2.6,88257835,42.1,209467162,100.0
="Chaplin School District",2535120,66.0,1183307,30.8,98445,2.6,22315,0.6,3839188,100.0
="Cheshire School District",61957424,84.2,10178748,13.8,1139901,1.5,340165,0.5,73616239,100.0
="Chester School District",4361056,90.8,350538,7.3,88772,1.8,0,0.0,4800366,100.0
="Clinton School District",26319246,79.5,5989297,18.1,716495,2.2,72878,0.2,33097916,100.0
="Colchester School District",28049238,65.1,13353511,31.0,923635,2.1,776016,1.8,43102400,100.0
="Colebrook School District",1726228,86.4,208200,10.4,62771,3.1,1852,0.1,1999051,100.0
="Columbia School District",9561869,77.7,2497056,20.3,205313,1.7,37401,0.3,12301640,100.0
="Common Ground High School District",309245,8.5,2471978,67.7,185909,5.1,685452,18.8,3652584,100.0
="Connecticut Technical Education and Career System",0,0.0,0,0.0,0,0.0,0,0.0,0,100.0
="Cooperative Educational Services",576953,1.7,4771909,14.3,106439,0.3,27920959,83.7,33376260,100.0
="Cornwall School District",2904230,97.3,6018,0.2,75166,2.5,0,0.0,2985414,100.0
="Coventry School District",19447037,67.1,8829490,30.5,549903,1.9,141766,0.5,28968196,100.0
="Cromwell School District",25305404,77.4,6604615,20.2,608003,1.9,173484,0.5,32691506,100.0
="Danbury School District",107615596,68.5,42789208,27.2,6111487,3.9,662612,0.4,157178903,100.0
="Darien School District",99526082,95.5,3116198,3.0,1156000,1.1,408884,0.4,104207164,100.0
="Deep River School District",4502509,84.2,733604,13.7,112704,2.1,0,0.0,5348818,100.0
="Derby School District",15088014,57.6,9921055,37.9,1174361,4.5,424,0.0,26183854,100.0
="East Granby School District",15646356,87.8,2017640,11.3,166326,0.9,0,0.0,17830322,100.0
="East Haddam School District",16830861,78.1,3799873,17.6,239333,1.1,670071,3.1,21540137,100.0
="East Hampton School District",24491463,74.9,7715414,23.6,443376,1.4,65575,0.2,32715828,100.0
="East Hartford School District",45969254,37.3,60137475,48.8,7530606,6.1,9701830,7.9,123339165,100.0
="East Haven School District",30238964,56.2,21456942,39.9,1748576,3.3,339088,0.6,53783570,100.0
="East Lyme School District",39712438,79.4,6785347,13.6,829757,1.7,2715359,5.4,50042900,100.0
="East Windsor School District",17723280,70.0,6662461,26.3,9246,0.0,937999,3.7,25332986,100.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",0,0.0,1358415,7.3,144206,0.8,17124397,91.9,18627018,100.0
="Eastford School District",2936622,70.5,1113689,26.7,74600,1.8,42094,1.0,4167005,100.0
="Easton School District",16375620,96.6,275542,1.6,242253,1.4,59821,0.4,16953236,100.0
="EdAdvance",8584540,74.5,232222,2.0,2639145,22.9,63885,0.6,11519792,100.0
="Ellington School District",28859066,69.0,11171616,26.7,577870,1.4,1231705,2.9,41840258,100.0
="Elm City College Preparatory School District",142563,1.3,8608000,75.9,450336,4.0,2140090,18.9,11340989,100.0
="Elm City Montessori School District",3177648,88.9,347533,9.7,48016,1.3,0,0.0,3573198,100.0
="Enfield School District",50642478,58.1,31797050,36.5,3337438,3.8,1336380,1.5,87113347,100.0
="Essex School District",7090046,97.5,85723,1.2,98235,1.4,0,0.0,7274003,100.0
="Explorations District",0,0.0,1150130,65.1,73276,4.1,544072,30.8,1767479,100.0
="Fairfield School District",181957948,95.3,5775721,3.0,2641335,1.4,567818,0.3,190942822,100.0
="Farmington School District",68824878,92.3,2508491,3.4,1136197,1.5,2103914,2.8,74573480,100.0
="Franklin School District",3574095,80.2,795218,17.8,88020,2.0,0,0.0,4457333,100.0
="Glastonbury School District",100935487,90.4,7524325,6.7,1838465,1.6,1327087,1.2,111625364,100.0
="Granby School District",23749359,74.7,6557124,20.6,524194,1.6,975949,3.1,31806625,100.0
="Great Oaks Charter School District",543404,6.3,6463058,75.4,1221339,14.3,341105,4.0,8568906,100.0
="Greenwich School District",198549120,96.7,1414333,0.7,3574105,1.7,1697667,0.8,205235225,100.0
="Griswold School District",14159653,48.7,11609615,39.9,1010999,3.5,2287083,7.9,29067351,100.0
="Groton School District",51126665,63.5,26995806,33.6,2218848,2.8,117052,0.1,80458371,100.0
="Guilford School District",58563918,92.9,3374259,5.4,944615,1.5,147028,0.2,63029820,100.0
="Hamden School District",96210284,73.3,31631117,24.1,3226626,2.5,132927,0.1,131200954,100.0
="Hampton School District",1532347,65.3,728712,31.0,66518,2.8,20828,0.9,2348406,100.0
="Hartford School District",85930399,21.0,296473873,72.6,22152035,5.4,4051739,1.0,408608045,100.0
="Hartland School District",4268527,77.3,1145003,20.7,98266,1.8,7566,0.1,5519362,100.0
="Hebron School District",8614608,72.2,3135001,26.3,160708,1.3,25810,0.2,11936126,100.0
="Highville Charter School District",53839,1.1,4534194,94.9,171793,3.6,17167,0.4,4776993,100.0
="Integrated Day Charter School District",246257,5.7,3806624,88.6,147490,3.4,97539,2.3,4297909,100.0
="Interdistrict School for Arts and Comm District",501062,12.3,3387230,83.2,136442,3.4,46585,1.1,4071319,100.0
="Jumoke Academy District",638816,6.8,7948286,84.6,358938,3.8,446201,4.8,9392241,100.0
="Kent School District",5508206,97.2,21719,0.4,132778,2.3,5071,0.1,5667774,100.0
="Killingly School District",23631631,52.4,17453165,38.7,1202222,2.7,2823928,6.3,45110947,100.0
="Learn",0,0.0,12121886,35.4,1780647,5.2,20374384,59.4,34276917,100.0
="Lebanon School District",13997048,67.5,5679941,27.4,326411,1.6,746149,3.6,20749549,100.0
="Ledyard School District",23807320,60.4,13610502,34.6,811480,2.1,1164061,3.0,39393363,100.0
="Lisbon School District",6518246,65.3,3187942,31.9,193296,1.9,82798,0.8,9982281,100.0
="Litchfield School District",17610804,89.8,1456325,7.4,492056,2.5,54107,0.3,19613292,100.0
="Madison School District",55152071,95.7,1375349,2.4,767652,1.3,329712,0.6,57624785,100.0
="Manchester School District",84104169,64.0,40015291,30.5,5109372,3.9,2135380,1.6,131364212,100.0
="Mansfield School District",17192395,69.6,6920314,28.0,535805,2.2,37410,0.2,24685924,100.0
="Marlborough School District",6147570,77.8,1550463,19.6,194237,2.5,12275,0.2,7904545,100.0
="Meriden School District",47815564,37.9,70365302,55.8,6039075,4.8,1781805,1.4,126001745,100.0
="Middletown School District",66490503,68.9,25815326,26.7,3122092,3.2,1102487,1.1,96530407,100.0
="Milford School District",106704857,88.3,11641478,9.6,2252211,1.9,242099,0.2,120840644,100.0
="Monroe School District",51396040,87.7,6205278,10.6,855931,1.5,118885,0.2,58576134,100.0
="Montville School District",24861724,63.2,13255863,33.7,985039,2.5,204984,0.5,39307610,100.0
="Naugatuck School District",36448165,50.1,32334107,44.5,3891010,5.4,30077,0.0,72703359,100.0
="New Beginnings Inc Family Academy District",95500,1.4,5691612,83.5,270396,4.0,762678,11.2,6820185,100.0
="New Britain School District",49143589,29.8,104719688,63.5,10390903,6.3,701226,0.4,164955406,100.0
="New Canaan School District",89975789,96.8,1336547,1.4,1020782,1.1,619535,0.7,92952654,100.0
="New Fairfield School District",36009520,87.0,3912311,9.4,919341,2.2,562831,1.4,41404003,100.0
="New Hartford School District",6875002,80.1,1470523,17.1,206699,2.4,28000,0.3,8580223,100.0
="New Haven School District",105640519,29.4,217901668,60.7,31466301,8.8,3826717,1.1,358835205,100.0
="New London School District",21184124,31.7,37759194,56.6,4893209,7.3,2899659,4.3,66736186,100.0
="New Milford School District",49970871,77.5,11998965,18.6,1430309,2.2,1084852,1.7,64484996,100.0
="Newington School District",59396633,77.8,15126899,19.8,1229572,1.6,591080,0.8,76344184,100.0
="Newtown School District",72576970,89.5,6367210,7.8,1401862,1.7,789592,1.0,81135634,100.0
="Norfolk School District",2470456,97.0,14330,0.6,49313,1.9,13970,0.5,2548069,100.0
="North Branford School District",24740499,73.7,7849615,23.4,953127,2.8,26850,0.1,33570091,100.0
="North Canaan School District",4090385,71.9,1417110,24.9,185166,3.3,0,0.0,5692661,100.0
="North Haven School District",51071909,89.2,5327357,9.3,847457,1.5,26006,0.0,57272729,100.0
="North Stonington School District",10950672,79.1,2659346,19.2,238790,1.7,0,0.0,13848809,100.0
="Norwalk School District",194809343,85.1,26522026,11.6,6143780,2.7,1546577,0.7,229021726,100.0
="Norwich School District",49565073,50.3,42756373,43.4,5411086,5.5,872406,0.9,98604938,100.0
="Odyssey Community School District",348087,8.3,3760262,89.7,47505,1.1,35524,0.8,4191379,100.0
="Old Saybrook School District",24680453,96.0,359069,1.4,449032,1.7,210215,0.8,25698770,100.0
="Orange School District",20775296,94.4,839735,3.8,396910,1.8,0,0.0,22011941,100.0
="Oxford School District",27260035,84.7,4493527,14.0,287761,0.9,126814,0.4,32168137,100.0
="Park City Prep Charter School District",133500,3.2,3757230,91.3,222870,5.4,0,0.0,4113600,100.0
="Plainfield School District",17785487,48.2,16178000,43.8,1113659,3.0,1822470,4.9,36899616,100.0
