"","Local",,"State",,"Federal",,"Tuition & Other",,"Total",
"District","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent"
"Achievement First Bridgeport Academy District",367500,2.3,13291322,83.9,2180580,13.8,0,0.0,15839402,100.0
="Achievement First Hartford Academy District",1615467,9.5,13110233,77.3,2225323,13.1,0,0.0,16951023,100.0
="Amistad Academy District",331767,2.0,13839312,83.3,2021285,12.2,422305,2.5,16614669,100.0
="Andover School District",3042365,68.9,1064575,24.1,169689,3.8,138353,3.1,4414982,100.0
="Ansonia School District",17811777,39.7,22193652,49.4,4616518,10.3,275518,0.6,44897466,100.0
="Area Cooperative Educational Services",6971444,7.4,17834630,18.8,2867705,3.0,67172754,70.8,94846533,100.0
="Ashford School District",5531534,64.1,2726436,31.6,370606,4.3,2950,0.0,8631527,100.0
="Avon School District",58150432,89.9,2591806,4.0,1667988,2.6,2251237,3.5,64661463,100.0
="Barkhamsted School District",3695640,77.8,784716,16.5,230981,4.9,37606,0.8,4748943,100.0
="Berlin School District",47215919,82.5,7870191,13.8,1155721,2.0,956839,1.7,57198671,100.0
="Bethany School District",6135230,80.3,1047121,13.7,407287,5.3,49939,0.7,7639578,100.0
="Bethel School District",44945978,79.5,8559609,15.1,2974474,5.3,22396,0.0,56502457,100.0
="Bloomfield School District",40183075,66.7,14119169,23.4,4461532,7.4,1484822,2.5,60248598,100.0
="Bolton School District",11267007,73.5,3080165,20.1,504434,3.3,479260,3.1,15330866,100.0
="Booker T. Washington Academy District",310493,4.4,5729280,81.0,781563,11.0,255303,3.6,7076639,100.0
="Bozrah School District",5049140,76.0,1235055,18.6,362788,5.5,0,0.0,6646983,100.0
="Branford School District",55744701,88.9,4329490,6.9,2508476,4.0,125366,0.2,62708033,100.0
="Brass City Charter School District",539792,10.2,4126346,78.2,594044,11.3,14689,0.3,5274871,100.0
="Bridgeport School District",67230259,18.3,226043912,61.6,70305017,19.2,3387106,0.9,366966294,100.0
="Bristol School District",82690795,54.6,54924736,36.3,13514619,8.9,216660,0.1,151346810,100.0
="Brookfield School District",47459258,93.2,1740553,3.4,1547362,3.0,148247,0.3,50895420,100.0
="Brooklyn School District",12502160,58.7,7372542,34.6,1375042,6.5,44150,0.2,21293894,100.0
="Canaan School District",2460580,93.8,80951,3.1,79490,3.0,1287,0.0,2622308,100.0
="Canterbury School District",7104394,58.4,4205570,34.6,806398,6.6,54732,0.4,12171094,100.0
="Canton School District",24926068,79.8,5066665,16.2,804273,2.6,422595,1.4,31219601,100.0
