"","Local",,"State",,"Federal",,"Tuition & Other",,"Total",
"District","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent"
"Achievement First Bridgeport Academy District",436250,2.7,11408088,71.1,4185570,26.1,18968,0.1,16048875,100.0
="Achievement First Hartford Academy District",1424836,8.4,11823094,69.6,3750323,22.1,0,0.0,16998253,100.0
="Amistad Academy District",299579,1.8,13238955,81.2,2748418,16.9,15100,0.1,16302052,100.0
="Andover School District",2709064,59.4,1204236,26.4,520773,11.4,127893,2.8,4561966,100.0
="Ansonia School District",20905891,41.0,23706096,46.5,6106483,12.0,285612,0.6,51004081,100.0
="Area Cooperative Educational Services",9601355,9.2,13427538,12.9,3172071,3.0,77844721,74.8,104045685,100.0
="Ashford School District",6097116,65.2,2758600,29.5,495780,5.3,6184,0.1,9357680,100.0
="Avon School District",62473239,91.1,2795431,4.1,994965,1.5,2327577,3.4,68591213,100.0
="Barkhamsted School District",3794345,79.7,749105,15.7,174600,3.7,41261,0.9,4759312,100.0
="Berlin School District",50968973,84.0,7840130,12.9,1314094,2.2,530693,0.9,60653890,100.0
="Bethany School District",6716595,78.1,1224507,14.2,579240,6.7,77891,0.9,8598233,100.0
="Bethel School District",48822971,80.0,9457647,15.5,2724510,4.5,45770,0.1,61050899,100.0
="Bloomfield School District",44820582,66.5,17545639,26.0,3285397,4.9,1709762,2.5,67361381,100.0
="Bolton School District",12485495,76.4,3283980,20.1,286840,1.8,290232,1.8,16346546,100.0
="Booker T. Washington Academy District",96684,1.3,4945536,65.9,1222403,16.3,1240632,16.5,7505255,100.0
="Bozrah School District",5755602,80.0,1235438,17.2,199016,2.8,0,0.0,7190055,100.0
="Branford School District",57627205,85.6,5332988,7.9,3954234,5.9,407933,0.6,67322360,100.0
="Brass City Charter School District",558543,9.5,4444528,75.3,623248,10.6,272823,4.6,5899142,100.0
="Bridgeport School District",74619192,19.3,231528825,59.9,76827329,19.9,3373665,0.9,386349011,100.0
="Bristol School District",95580632,56.6,60396472,35.7,12457860,7.4,518449,0.3,168953413,100.0
="Brookfield School District",51974614,94.5,1788134,3.3,1109997,2.0,136657,0.2,55009402,100.0
="Brooklyn School District",14287081,62.0,7426271,32.2,1224338,5.3,119644,0.5,23057334,100.0
="Canaan School District",2633523,94.8,93056,3.3,49955,1.8,2751,0.1,2779284,100.0
="Canterbury School District",8304905,62.3,4332366,32.5,652666,4.9,32656,0.2,13322593,100.0
="Canton School District",28033208,79.8,5849370,16.6,601068,1.7,650543,1.9,35134189,100.0
="Capital Preparatory Harbor School District",626601,6.1,7435960,72.6,2186556,21.3,0,0.0,10249117,100.0
="Capitol Region Education Council",1178414,0.4,133305002,47.2,21574214,7.6,126638164,44.8,282695794,100.0
="Chaplin School District",3099295,69.1,1039137,23.2,308732,6.9,39642,0.9,4486806,100.0
="Cheshire School District",74527480,85.2,10605034,12.1,1917577,2.2,425104,0.5,87475196,100.0
="Chester School District",5159720,86.7,524660,8.8,264575,4.4,0,0.0,5948955,100.0
="Clinton School District",29461722,79.9,5717599,15.5,1565052,4.2,148542,0.4,36892915,100.0
="Colchester School District",31051393,66.2,13134429,28.0,1564978,3.3,1136486,2.4,46887286,100.0
="Colebrook School District",2091639,86.2,191190,7.9,137283,5.7,6241,0.3,2426353,100.0
="Columbia School District",11154637,79.3,2369229,16.8,454649,3.2,82927,0.6,14061442,100.0
="Common Ground High School District",118328,2.3,2667398,50.8,664923,12.7,1804596,34.3,5255244,100.0
="Connecticut Technical Education and Career System",0,0.0,306486213,91.8,26253059,7.9,1153120,0.3,333892393,100.0
="Cooperative Educational Services",5235634,13.4,4680954,12.0,406791,1.0,28718748,73.6,39042127,100.0
="Cornwall School District",3205738,94.3,12574,0.4,157725,4.6,24635,0.7,3400673,100.0
="Coventry School District",21772817,68.5,8848277,27.9,1108505,3.5,38704,0.1,31768302,100.0
="Cromwell School District",31166964,76.0,8198270,20.0,897418,2.2,732881,1.8,40995534,100.0
="Danbury School District",129626689,62.3,55909064,26.8,21788705,10.5,906686,0.4,208231144,100.0
="Darien School District",115934018,95.3,3278542,2.7,1362320,1.1,1034387,0.9,121609267,100.0
="Deep River School District",5139074,83.8,747905,12.2,246790,4.0,0,0.0,6133770,100.0
="Derby School District",17756603,53.5,12371231,37.3,3063362,9.2,10835,0.0,33202031,100.0
="East Granby School District",17879665,84.2,2397239,11.3,597857,2.8,372423,1.8,21247184,100.0
="East Haddam School District",19665556,78.5,3909437,15.6,584073,2.3,876676,3.5,25035741,100.0
="East Hampton School District",30769372,77.7,7913664,20.0,813185,2.1,93322,0.2,39589543,100.0
="East Hartford School District",52896721,37.0,70600868,49.3,13550941,9.5,6018296,4.2,143066827,100.0
="East Haven School District",31637793,51.6,23901462,39.0,4376192,7.1,1367316,2.2,61282763,100.0
="East Lyme School District",49468450,82.9,6354830,10.7,1321236,2.2,2520025,4.2,59664541,100.0
="East Windsor School District",21187757,69.0,7069853,23.0,1836143,6.0,630251,2.1,30724004,100.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",0,0.0,3063006,17.0,610455,3.4,14297784,79.6,17971245,100.0
="Eastford School District",3533679,71.4,1163616,23.5,203675,4.1,46382,0.9,4947351,100.0
="Easton School District",19446068,95.0,285102,1.4,634339,3.1,108990,0.5,20474499,100.0
="EdAdvance",0,0.0,130306,0.8,4681543,27.3,12332266,71.9,17144115,100.0
="Ellington School District",34731654,68.9,12543216,24.9,944282,1.9,2221151,4.4,50440303,100.0
="Elm City College Preparatory School District",197835,1.5,9565589,74.3,2156540,16.8,949849,7.4,12869813,100.0
="Elm City Montessori School District",4458347,82.1,885000,16.3,86842,1.6,0,0.0,5430188,100.0
="Enfield School District",54780404,58.0,32871639,34.8,4998651,5.3,1875952,2.0,94526645,100.0
="Essex School District",7881571,94.6,188904,2.3,260949,3.1,0,0.0,8331424,100.0
="Explorations District",346484,20.6,1095758,65.2,99099,5.9,138970,8.3,1680311,100.0
="Fairfield School District",216974581,95.6,4492517,2.0,4238174,1.9,1173535,0.5,226878807,100.0
="Farmington School District",78251136,91.5,3186036,3.7,2136572,2.5,1925130,2.3,85498874,100.0
