"","Local",,"State",,"Federal",,"Tuition & Other",,"Total",
"District","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent","Amount","Percent"
="Goodwin University Educational Services (GUES)",3129991,11.0,19043410,66.7,1819279,6.4,4540869,15.9,28533548,100.0
="Granby School District",29695999,76.1,6876818,17.6,692541,1.8,1767926,4.5,39033285,100.0
="Great Oaks Charter School District",1231560,9.8,9681265,76.8,1695503,13.4,0,0.0,12608328,100.0
="Greenwich School District",238386963,96.8,2860812,1.2,3695339,1.5,1359318,0.6,246302432,100.0
="Griswold School District",18133531,50.0,12523788,34.6,1444117,4.0,4142981,11.4,36244417,100.0
="Groton School District",62175093,66.3,26751333,28.5,4624884,4.9,277407,0.3,93828717,100.0
="Guilford School District",69824441,94.6,2635198,3.6,991313,1.3,359986,0.5,73810938,100.0
="Hamden School District",108516981,67.5,46037069,28.7,6133220,3.8,0,0.0,160687271,100.0
="Hampton School District",993501,42.6,1189919,51.0,117193,5.0,32299,1.4,2332911,100.0
="Hartford School District",91053750,20.2,316841013,70.2,33945612,7.5,9622755,2.1,451463130,100.0
="Hartland School District",4647931,78.8,1121532,19.0,103974,1.8,26492,0.4,5899929,100.0
="Hebron School District",7883225,53.4,6434981,43.6,422134,2.9,9865,0.1,14750205,100.0
="Highville Charter School District",271022,4.0,6079092,90.5,365010,5.4,0,0.0,6715125,100.0
="Integrated Day Charter School District",603706,10.2,4817159,81.7,312194,5.3,160275,2.7,5893334,100.0
="Interdistrict School for Arts and Comm District",1199673,20.0,3834939,64.0,957279,16.0,0,0.0,5991890,100.0
="Jumoke Academy District",780995,6.8,8077023,70.0,1685881,14.6,992708,8.6,11536607,100.0
="Kent School District",5950913,93.6,38687,0.6,272989,4.3,95891,1.5,6358480,100.0
="Killingly School District",29228083,55.8,18586909,35.5,2496555,4.8,2047154,3.9,52358701,100.0
="Learn",5841111,15.1,15629138,40.5,2559138,6.6,14554467,37.7,38583855,100.0
="Lebanon School District",17132201,68.8,5739822,23.0,776811,3.1,1267691,5.1,24916525,100.0
="Ledyard School District",31359834,65.9,14581958,30.6,1096878,2.3,554701,1.2,47593372,100.0
="Lisbon School District",8060246,67.2,3460426,28.9,370810,3.1,102163,0.9,11993644,100.0
="Madison School District",62341593,96.1,1206968,1.9,748337,1.2,567097,0.9,64863995,100.0
="Manchester School District",94158146,59.5,53556919,33.8,8158695,5.2,2358052,1.5,158231812,100.0
="Mansfield School District",13495178,49.9,12848828,47.5,656115,2.4,42464,0.2,27042585,100.0
="Marlborough School District",5715554,63.5,2961476,32.9,329316,3.7,0,0.0,9006345,100.0
="Meriden School District",50903147,33.4,90300238,59.2,10186394,6.7,1098216,0.7,152487995,100.0
="Middletown School District",81278611,69.0,31999528,27.2,3680784,3.1,851264,0.7,117810187,100.0
="Milford School District",123635106,88.5,11968595,8.6,3716240,2.7,453385,0.3,139773327,100.0
="Monroe School District",66322824,89.6,6300542,8.5,1211533,1.6,150389,0.2,73985288,100.0
="Montville School District",31694394,66.6,13584545,28.5,2080998,4.4,244213,0.5,47604150,100.0
="Naugatuck School District",41707769,47.4,38367717,43.6,7478613,8.5,363328,0.4,87917427,100.0
="New Beginnings Inc Family Academy District",376930,5.2,5939454,81.4,511785,7.0,466866,6.4,7295035,100.0
="New Britain School District",55716114,26.6,136452905,65.2,15396782,7.4,1718912,0.8,209284713,100.0
="New Canaan School District",109700091,96.7,1346973,1.2,1393851,1.2,957631,0.8,113398546,100.0
="New Fairfield School District",45669040,88.3,4207388,8.1,961674,1.9,871915,1.7,51710017,100.0
="New Hartford School District",7040372,65.1,3041804,28.1,682953,6.3,56325,0.5,10821454,100.0
="New Haven School District",125100716,30.2,238744935,57.6,46095630,11.1,4220652,1.0,414161933,100.0
="New London School District",21998941,27.6,43536893,54.7,11527512,14.5,2501897,3.1,79565242,100.0
="New Milford School District",63189615,79.5,13257151,16.7,2050407,2.6,957639,1.2,79454813,100.0
="Newington School District",70407563,75.7,19085736,20.5,2255556,2.4,1231227,1.3,92980082,100.0
="Newtown School District",83788923,91.1,5964199,6.5,1565090,1.7,700466,0.8,92018678,100.0
="Norfolk School District",2772675,94.1,92969,3.2,76695,2.6,2715,0.1,2945054,100.0
="North Branford School District",26434481,75.0,7979376,22.6,770954,2.2,54396,0.2,35239206,100.0
="North Canaan School District",4152797,64.6,2040927,31.8,217231,3.4,15779,0.2,6426734,100.0
="North Haven School District",60903367,89.1,5750993,8.4,1413936,2.1,280120,0.4,68348416,100.0
="North Stonington School District",11937868,76.6,2661412,17.1,410965,2.6,580438,3.7,15590684,100.0
="Norwalk School District",227514359,82.3,32180329,11.6,14423783,5.2,2278610,0.8,276397081,100.0
="Norwich School District",62158762,50.8,53523897,43.7,5879407,4.8,843551,0.7,122405617,100.0
="Odyssey Community School District",907633,14.9,4937541,81.3,155649,2.6,76110,1.3,6076933,100.0
="Old Saybrook School District",29211482,97.2,190067,0.6,505995,1.7,132860,0.4,30040404,100.0
="Orange School District",23708078,91.6,1189187,4.6,981811,3.8,0,0.0,25879076,100.0
="Oxford School District",32013971,84.6,4588743,12.1,1145599,3.0,110429,0.3,37858742,100.0
="Park City Prep Charter School District",422043,6.3,5875205,87.1,447644,6.6,0,0.0,6744891,100.0
="Plainfield School District",21975214,52.4,16641097,39.7,1660549,4.0,1660467,4.0,41937326,100.0
="Plainville School District",33622449,66.1,15279455,30.0,1864689,3.7,131682,0.3,50898275,100.0
="Plymouth School District",17760501,60.7,10588016,36.2,818864,2.8,115867,0.4,29283248,100.0
="Pomfret School District",8801175,73.2,2939947,24.4,285253,2.4,0,0.0,12026375,100.0
="Portland School District",21028247,75.6,5865201,21.1,885434,3.2,40285,0.1,27819166,100.0
="Preston School District",12089719,76.3,3237195,20.4,443522,2.8,82786,0.5,15853222,100.0
="Putnam School District",13021686,51.8,9893157,39.3,1514516,6.0,727433,2.9,25156792,100.0
="Redding School District",24949627,95.5,340343,1.3,622859,2.4,211733,0.8,26124563,100.0
="Regional School District 01",10904578,89.2,945101,7.7,225944,1.8,147769,1.2,12223391,100.0
="Regional School District 04",21587104,96.5,229208,1.0,551513,2.5,0,0.0,22367825,100.0
="Regional School District 05",49641656,96.2,975078,1.9,836605,1.6,128588,0.2,51581928,100.0
="Regional School District 07",22111837,91.1,1230059,5.1,307813,1.3,614479,2.5,24264188,100.0
="Regional School District 08",30860618,97.3,357811,1.1,399858,1.3,82689,0.3,31700977,100.0
="Regional School District 09",23928759,96.1,643655,2.6,295609,1.2,24978,0.1,24893001,100.0
="Regional School District 10",36757278,79.8,8023605,17.4,1100457,2.4,185425,0.4,46066765,100.0
="Regional School District 11",6756163,93.9,115805,1.6,193304,2.7,128771,1.8,7194043,100.0
="Regional School District 12",22178163,85.1,1753447,6.7,506871,1.9,1634928,6.3,26073409,100.0
="Regional School District 13",34641078,83.7,5947789,14.4,708587,1.7,89284,0.2,41386738,100.0
="Regional School District 14",30687171,76.4,7248744,18.1,701384,1.7,1512946,3.8,40150244,100.0
="Regional School District 15",76815369,85.9,10862886,12.1,1574457,1.8,211840,0.2,89464553,100.0
="Regional School District 16",31161723,73.1,10613051,24.9,719331,1.7,127540,0.3,42621645,100.0
="Regional School District 17",41952161,85.5,6271566,12.8,855007,1.7,0,0.0,49078734,100.0
="Regional School District 18",31269944,93.0,1529726,4.5,503222,1.5,338788,1.0,33641680,100.0
="Regional School District 19",21169522,80.5,1443777,5.5,702970,2.7,2985147,11.3,26301415,100.0
="Regional School District 20",36905183,85.4,4302921,10.0,787092,1.8,1213247,2.8,43208442,100.0
="Ridgefield School District",114607493,97.1,1700748,1.4,1602130,1.4,79365,0.1,117989736,100.0
="Rocky Hill School District",47730918,83.4,8342116,14.6,1062652,1.9,98346,0.2,57234033,100.0
="Salem School District",9187186,76.0,2585708,21.4,271836,2.2,46334,0.4,12091064,100.0
="Salisbury School District",8494209,94.8,58799,0.7,383958,4.3,18922,0.2,8955888,100.0
="Scotland School District",1078448,39.0,1467642,53.1,178373,6.5,38585,1.4,2763047,100.0
="Seymour School District",28477261,66.1,12756334,29.6,1784820,4.1,89877,0.2,43108291,100.0
="Sharon School District",4787897,96.3,24575,0.5,153406,3.1,6286,0.1,4972164,100.0
="Shelton School District",81221355,86.1,10954698,11.6,2157676,2.3,0,0.0,94333729,100.0
="Sherman School District",9691613,94.9,258956,2.5,225617,2.2,35817,0.4,10212002,100.0
="Side By Side Charter School District",133261,3.6,3448393,92.8,124944,3.4,8899,0.2,3715498,100.0
="Simsbury School District",78100229,83.3,11618284,12.4,1661905,1.8,2325653,2.5,93706071,100.0
="Somers School District",23044493,77.4,6197959,20.8,489290,1.6,31768,0.1,29763510,100.0
="South Windsor School District",82580576,83.1,14008543,14.1,1736515,1.7,1095239,1.1,99420872,100.0
="Southington School District",94446620,75.5,25882422,20.7,3055467,2.4,1693594,1.4,125078103,100.0
="Sprague School District",4757728,58.0,3103075,37.8,333155,4.1,13835,0.2,8207793,100.0
="Stafford School District",21386252,64.5,10396228,31.4,924553,2.8,451142,1.4,33158175,100.0
="Stamford Charter School for Excellence District",416355,6.5,5844194,90.9,166689,2.6,0,0.0,6427238,100.0
="Stamford School District",322130100,81.9,51023530,13.0,18544929,4.7,1840524,0.5,393539082,100.0
="Sterling School District",5221162,54.9,3661890,38.5,530741,5.6,102494,1.1,9516287,100.0
="Stonington School District",43631235,93.8,1414450,3.0,1457262,3.1,0,0.0,46502946,100.0
="Stratford School District",111121832,72.7,34806929,22.8,6529976,4.3,451771,0.3,152910508,100.0
="Suffield School District",32533876,75.3,8475868,19.6,816021,1.9,1358530,3.1,43184295,100.0
="The Bridge Academy District",444217,9.3,3841113,80.6,478916,10.1,0,0.0,4764247,100.0
="Thomaston School District",12568064,63.9,6455143,32.8,522632,2.7,110236,0.6,19656075,100.0
="Thompson School District",14190078,60.7,8048410,34.4,1024344,4.4,127593,0.5,23390425,100.0
="Tolland School District",35191677,76.6,10025418,21.8,737462,1.6,0,0.0,45954557,100.0
="Torrington School District",50560440,55.2,36565120,39.9,4089528,4.5,444997,0.5,91660084,100.0
="Trumbull School District",128873778,91.4,7448336,5.3,2988622,2.1,1641675,1.2,140952411,100.0
="Union School District",1684551,85.1,212188,10.7,80734,4.1,1000,0.1,1978472,100.0
="Vernon School District",39564696,57.8,25453019,37.2,2688831,3.9,740393,1.1,68446939,100.0
="Voluntown School District",5179735,66.3,2382167,30.5,247381,3.2,0,0.0,7809284,100.0
="Wallingford School District",98839449,76.2,25981289,20.0,3453183,2.7,1483967,1.1,129757888,100.0
="Waterbury School District",89897418,24.9,234554433,65.0,33536104,9.3,2611997,0.7,360599952,100.0
="Waterford School District",61343074,96.2,1089859,1.7,1224885,1.9,85615,0.1,63743434,100.0
="Watertown School District",45316554,74.5,13856829,22.8,1367025,2.2,270125,0.4,60810533,100.0
="West Hartford School District",175615368,80.8,34226476,15.7,4690371,2.2,2884055,1.3,217416270,100.0
="West Haven School District",58403822,45.6,62678487,48.9,6535114,5.1,558780,0.4,128176204,100.0
="Westbrook School District",20305078,94.6,166296,0.8,995127,4.6,6678,0.0,21473178,100.0
="Weston School District",59779329,96.8,923811,1.5,716824,1.2,327460,0.5,61747424,100.0
="Westport School District",147222140,97.3,1683291,1.1,1747056,1.2,617772,0.4,151270259,100.0
="Wethersfield School District",58312574,73.9,17941391,22.7,1786245,2.3,854311,1.1,78894520,100.0
="Willington School District",6810836,61.6,3889446,35.2,363783,3.3,1070,0.0,11065135,100.0
="Wilton School District",93251953,95.4,1590466,1.6,1241197,1.3,1614170,1.7,97697786,100.0
="Winchester School District",15484768,60.3,9179577,35.7,835155,3.3,184392,0.7,25683893,100.0
="Windham School District",27363874,34.9,41202850,52.6,7877656,10.1,1858324,2.4,78302705,100.0
="Windsor Locks School District",29745547,75.2,6999763,17.7,1091706,2.8,1708570,4.3,39545586,100.0
="Windsor School District",73528698,81.3,14215615,15.7,2701751,3.0,46432,0.1,90492496,100.0
="Wolcott School District",27948746,64.5,14214741,32.8,1132551,2.6,39493,0.1,43335531,100.0
="Woodbridge School District",16866682,93.1,755351,4.2,421553,2.3,65997,0.4,18109583,100.0
="Woodstock School District",17825839,75.5,5229898,22.1,510856,2.2,47541,0.2,23614134,100.0


"Percentage of Revenue by Source (Including School Construction), 2024-25"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Bridgeport Academy District",N/A,N/A,N/A,N/A
"Achievement First Hartford Academy District",N/A,N/A,N/A,N/A
"Amistad Academy District",N/A,N/A,N/A,N/A
"Andover School District",N/A,N/A,N/A,N/A
"Ansonia School District",N/A,N/A,N/A,N/A
"Area Cooperative Educational Services",N/A,N/A,N/A,N/A
"Ashford School District",N/A,N/A,N/A,N/A
"Avon School District",N/A,N/A,N/A,N/A
"Barkhamsted School District",N/A,N/A,N/A,N/A
"Berlin School District",N/A,N/A,N/A,N/A
"Bethany School District",N/A,N/A,N/A,N/A
"Bethel School District",N/A,N/A,N/A,N/A
"Bloomfield School District",N/A,N/A,N/A,N/A
"Bolton School District",N/A,N/A,N/A,N/A
"Booker T. Washington Academy District",N/A,N/A,N/A,N/A
"Bozrah School District",N/A,N/A,N/A,N/A
"Branford School District",N/A,N/A,N/A,N/A
"Brass City Charter School District",N/A,N/A,N/A,N/A
"Bridgeport School District",N/A,N/A,N/A,N/A
"Bristol School District",N/A,N/A,N/A,N/A
"Brookfield School District",N/A,N/A,N/A,N/A
"Brooklyn School District",N/A,N/A,N/A,N/A
"Canaan School District",N/A,N/A,N/A,N/A
"Canterbury School District",N/A,N/A,N/A,N/A
"Canton School District",N/A,N/A,N/A,N/A
"Capital Preparatory Harbor School District",N/A,N/A,N/A,N/A
"Capitol Region Education Council",N/A,N/A,N/A,N/A
"Chaplin School District",N/A,N/A,N/A,N/A
"Cheshire School District",N/A,N/A,N/A,N/A
"Chester School District",N/A,N/A,N/A,N/A
"Clinton School District",N/A,N/A,N/A,N/A
"Colchester School District",N/A,N/A,N/A,N/A
"Colebrook School District",N/A,N/A,N/A,N/A
"Columbia School District",N/A,N/A,N/A,N/A
"Common Ground High School District",N/A,N/A,N/A,N/A
"Connecticut Technical Education and Career System",N/A,N/A,N/A,N/A
"Cooperative Educational Services",N/A,N/A,N/A,N/A
"Cornwall School District",N/A,N/A,N/A,N/A
"Coventry School District",N/A,N/A,N/A,N/A
"Cromwell School District",N/A,N/A,N/A,N/A
"Danbury School District",N/A,N/A,N/A,N/A
"Darien School District",N/A,N/A,N/A,N/A
"Deep River School District",N/A,N/A,N/A,N/A
"Derby School District",N/A,N/A,N/A,N/A
"East Granby School District",N/A,N/A,N/A,N/A
"East Haddam School District",N/A,N/A,N/A,N/A
"East Hampton School District",N/A,N/A,N/A,N/A
"East Hartford School District",N/A,N/A,N/A,N/A
"East Haven School District",N/A,N/A,N/A,N/A
"East Lyme School District",N/A,N/A,N/A,N/A
"East Windsor School District",N/A,N/A,N/A,N/A
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",N/A,N/A,N/A,N/A
"Eastford School District",N/A,N/A,N/A,N/A
"Easton School District",N/A,N/A,N/A,N/A
"EdAdvance",N/A,N/A,N/A,N/A
"Ellington School District",N/A,N/A,N/A,N/A
"Elm City College Preparatory School District",N/A,N/A,N/A,N/A
"Elm City Montessori School District",N/A,N/A,N/A,N/A
"Enfield School District",N/A,N/A,N/A,N/A
"Essex School District",N/A,N/A,N/A,N/A
"Explorations District",N/A,N/A,N/A,N/A
"Fairfield School District",N/A,N/A,N/A,N/A
