district,fiscal_year,school_year,placement_type,count,percent
Ansonia School District,2025,2024-25,Private Schools or Other Settings,16.0,3.7
Ashford School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Avon School District,2025,2024-25,Private Schools or Other Settings,27.0,7.3
Berlin School District,2025,2024-25,Private Schools or Other Settings,22.0,5.7
Bethel School District,2025,2024-25,Private Schools or Other Settings,18.0,3.5
Bloomfield School District,2025,2024-25,Private Schools or Other Settings,19.0,4.2
Bolton School District,2025,2024-25,Private Schools or Other Settings,,
Bozrah School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Branford School District,2025,2024-25,Private Schools or Other Settings,16.0,4.2
Bridgeport School District,2025,2024-25,Private Schools or Other Settings,141.0,3.3
Bristol School District,2025,2024-25,Private Schools or Other Settings,119.0,7.3
Brookfield School District,2025,2024-25,Private Schools or Other Settings,11.0,3.1
Brooklyn School District,2025,2024-25,Private Schools or Other Settings,10.0,4.5
Canterbury School District,2025,2024-25,Private Schools or Other Settings,,
Canton School District,2025,2024-25,Private Schools or Other Settings,22.0,8.1
Cheshire School District,2025,2024-25,Private Schools or Other Settings,18.0,3.0
Chester School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Clinton School District,2025,2024-25,Private Schools or Other Settings,6.0,2.4
Colchester School District,2025,2024-25,Private Schools or Other Settings,12.0,3.2
Columbia School District,2025,2024-25,Private Schools or Other Settings,,
Connecticut Technical Education and Career System,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Coventry School District,2025,2024-25,Private Schools or Other Settings,,
Cromwell School District,2025,2024-25,Private Schools or Other Settings,25.0,9.1
Danbury School District,2025,2024-25,Private Schools or Other Settings,75.0,4.7
Darien School District,2025,2024-25,Private Schools or Other Settings,24.0,2.6
Deep River School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Department of Mental Health and Addiction Services,2025,2024-25,Private Schools or Other Settings,,
Derby School District,2025,2024-25,Private Schools or Other Settings,12.0,3.8
East Granby School District,2025,2024-25,Private Schools or Other Settings,7.0,5.6
East Haddam School District,2025,2024-25,Private Schools or Other Settings,,
East Hampton School District,2025,2024-25,Private Schools or Other Settings,10.0,3.2
East Hartford School District,2025,2024-25,Private Schools or Other Settings,21.0,1.3
East Haven School District,2025,2024-25,Private Schools or Other Settings,25.0,4.4
East Lyme School District,2025,2024-25,Private Schools or Other Settings,9.0,1.9
East Windsor School District,2025,2024-25,Private Schools or Other Settings,7.0,3.4
Eastford School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Easton School District,2025,2024-25,Private Schools or Other Settings,,
Ellington School District,2025,2024-25,Private Schools or Other Settings,,
Enfield School District,2025,2024-25,Private Schools or Other Settings,30.0,3.1
Essex School District,2025,2024-25,Private Schools or Other Settings,,
Fairfield School District,2025,2024-25,Private Schools or Other Settings,67.0,4.0
Farmington School District,2025,2024-25,Private Schools or Other Settings,15.0,2.7
Franklin School District,2025,2024-25,Private Schools or Other Settings,,
Glastonbury School District,2025,2024-25,Private Schools or Other Settings,18.0,2.4
Granby School District,2025,2024-25,Private Schools or Other Settings,14.0,4.7
Greenwich School District,2025,2024-25,Private Schools or Other Settings,26.0,2.1
Griswold School District,2025,2024-25,Private Schools or Other Settings,14.0,4.8
Groton School District,2025,2024-25,Private Schools or Other Settings,27.0,3.3
Guilford School District,2025,2024-25,Private Schools or Other Settings,16.0,3.4
Hamden School District,2025,2024-25,Private Schools or Other Settings,97.0,8.1
Hampton School District,2025,2024-25,Private Schools or Other Settings,,
Hartford School District,2025,2024-25,Private Schools or Other Settings,320.0,8.0
Hartland School District,2025,2024-25,Private Schools or Other Settings,,
Hebron School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Kent School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Killingly School District,2025,2024-25,Private Schools or Other Settings,44.0,9.4
Lebanon School District,2025,2024-25,Private Schools or Other Settings,10.0,6.7
Ledyard School District,2025,2024-25,Private Schools or Other Settings,19.0,4.3
Lisbon School District,2025,2024-25,Private Schools or Other Settings,10.0,10.6
Madison School District,2025,2024-25,Private Schools or Other Settings,17.0,4.5
Manchester School District,2025,2024-25,Private Schools or Other Settings,96.0,7.1
Mansfield School District,2025,2024-25,Private Schools or Other Settings,,
Meriden School District,2025,2024-25,Private Schools or Other Settings,59.0,3.3
Middletown School District,2025,2024-25,Private Schools or Other Settings,109.0,13.1
Milford School District,2025,2024-25,Private Schools or Other Settings,63.0,6.3
Monroe School District,2025,2024-25,Private Schools or Other Settings,9.0,1.6
Montville School District,2025,2024-25,Private Schools or Other Settings,44.0,9.8
Naugatuck School District,2025,2024-25,Private Schools or Other Settings,22.0,2.7
New Britain School District,2025,2024-25,Private Schools or Other Settings,109.0,4.3
New Canaan School District,2025,2024-25,Private Schools or Other Settings,13.0,2.5
New Fairfield School District,2025,2024-25,Private Schools or Other Settings,11.0,3.0
New Hartford School District,2025,2024-25,Private Schools or Other Settings,,
New Haven School District,2025,2024-25,Private Schools or Other Settings,104.0,3.4
New London School District,2025,2024-25,Private Schools or Other Settings,36.0,5.1
New Milford School District,2025,2024-25,Private Schools or Other Settings,23.0,3.8
Newington School District,2025,2024-25,Private Schools or Other Settings,19.0,3.2
Newtown School District,2025,2024-25,Private Schools or Other Settings,17.0,2.9
Norfolk School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
North Branford School District,2025,2024-25,Private Schools or Other Settings,,
North Canaan School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
North Haven School District,2025,2024-25,Private Schools or Other Settings,8.0,1.8
North Stonington School District,2025,2024-25,Private Schools or Other Settings,,
Norwalk School District,2025,2024-25,Private Schools or Other Settings,70.0,3.5
Norwich School District,2025,2024-25,Private Schools or Other Settings,77.0,7.3
Old Saybrook School District,2025,2024-25,Private Schools or Other Settings,,
Orange School District,2025,2024-25,Private Schools or Other Settings,,
Oxford School District,2025,2024-25,Private Schools or Other Settings,9.0,3.3
Plainfield School District,2025,2024-25,Private Schools or Other Settings,14.0,3.9
Plainville School District,2025,2024-25,Private Schools or Other Settings,14.0,4.4
Plymouth School District,2025,2024-25,Private Schools or Other Settings,6.0,1.9
Pomfret School District,2025,2024-25,Private Schools or Other Settings,,
Portland School District,2025,2024-25,Private Schools or Other Settings,17.0,6.5
Preston School District,2025,2024-25,Private Schools or Other Settings,7.0,8.0
Putnam School District,2025,2024-25,Private Schools or Other Settings,7.0,3.1
Redding School District,2025,2024-25,Private Schools or Other Settings,,
Regional School District 01,2025,2024-25,Private Schools or Other Settings,,
Regional School District 04,2025,2024-25,Private Schools or Other Settings,12.0,9.4
Regional School District 05,2025,2024-25,Private Schools or Other Settings,13.0,4.3
Regional School District 07,2025,2024-25,Private Schools or Other Settings,10.0,5.6
Regional School District 08,2025,2024-25,Private Schools or Other Settings,9.0,5.2
Regional School District 09,2025,2024-25,Private Schools or Other Settings,14.0,11.9
Regional School District 10,2025,2024-25,Private Schools or Other Settings,17.0,4.8
Regional School District 11,2025,2024-25,Private Schools or Other Settings,,
Regional School District 12,2025,2024-25,Private Schools or Other Settings,24.0,23.5
Regional School District 13,2025,2024-25,Private Schools or Other Settings,10.0,3.7
Regional School District 14,2025,2024-25,Private Schools or Other Settings,,
Regional School District 15,2025,2024-25,Private Schools or Other Settings,18.0,2.9
Regional School District 16,2025,2024-25,Private Schools or Other Settings,8.0,2.6
Regional School District 17,2025,2024-25,Private Schools or Other Settings,11.0,3.7
Regional School District 18,2025,2024-25,Private Schools or Other Settings,,
Regional School District 19,2025,2024-25,Private Schools or Other Settings,9.0,4.9
Regional School District 20,2025,2024-25,Private Schools or Other Settings,7.0,2.6
Ridgefield School District,2025,2024-25,Private Schools or Other Settings,30.0,3.8
Rocky Hill School District,2025,2024-25,Private Schools or Other Settings,6.0,1.6
Salem School District,2025,2024-25,Private Schools or Other Settings,,
Salisbury School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Scotland School District,2025,2024-25,Private Schools or Other Settings,,
Seymour School District,2025,2024-25,Private Schools or Other Settings,12.0,3.3
Sharon School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Shelton School District,2025,2024-25,Private Schools or Other Settings,20.0,2.6
Sherman School District,2025,2024-25,Private Schools or Other Settings,,
Simsbury School District,2025,2024-25,Private Schools or Other Settings,85.0,11.3
Somers School District,2025,2024-25,Private Schools or Other Settings,8.0,4.1
South Windsor School District,2025,2024-25,Private Schools or Other Settings,19.0,3.0
Southington School District,2025,2024-25,Private Schools or Other Settings,47.0,4.7
Sprague School District,2025,2024-25,Private Schools or Other Settings,12.0,16.0
Stafford School District,2025,2024-25,Private Schools or Other Settings,10.0,4.0
Stamford School District,2025,2024-25,Private Schools or Other Settings,133.0,5.2
State Total,2025,2024-25,Private Schools or Other Settings,3938.0,4.5
Sterling School District,2025,2024-25,Private Schools or Other Settings,9.0,10.5
Stonington School District,2025,2024-25,Private Schools or Other Settings,33.0,11.3
Stratford School District,2025,2024-25,Private Schools or Other Settings,49.0,4.0
Suffield School District,2025,2024-25,Private Schools or Other Settings,16.0,5.2
Thomaston School District,2025,2024-25,Private Schools or Other Settings,,
Thompson School District,2025,2024-25,Private Schools or Other Settings,18.0,11.0
Tolland School District,2025,2024-25,Private Schools or Other Settings,17.0,4.7
Torrington School District,2025,2024-25,Private Schools or Other Settings,48.0,6.1
Trumbull School District,2025,2024-25,Private Schools or Other Settings,30.0,3.0
Unified School District #2,2025,2024-25,Private Schools or Other Settings,19.0,27.5
Union School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Vernon School District,2025,2024-25,Private Schools or Other Settings,10.0,1.6
Voluntown School District,2025,2024-25,Private Schools or Other Settings,,
Wallingford School District,2025,2024-25,Private Schools or Other Settings,43.0,4.7
Waterbury School District,2025,2024-25,Private Schools or Other Settings,140.0,3.7
Waterford School District,2025,2024-25,Private Schools or Other Settings,18.0,4.5
Watertown School District,2025,2024-25,Private Schools or Other Settings,19.0,4.2
West Hartford School District,2025,2024-25,Private Schools or Other Settings,188.0,11.2
West Haven School District,2025,2024-25,Private Schools or Other Settings,66.0,5.4
Westbrook School District,2025,2024-25,Private Schools or Other Settings,,
Weston School District,2025,2024-25,Private Schools or Other Settings,15.0,5.0
Westport School District,2025,2024-25,Private Schools or Other Settings,34.0,4.6
Wethersfield School District,2025,2024-25,Private Schools or Other Settings,28.0,4.9
Willington School District,2025,2024-25,Private Schools or Other Settings,,
Wilton School District,2025,2024-25,Private Schools or Other Settings,14.0,2.2
Winchester School District,2025,2024-25,Private Schools or Other Settings,18.0,10.1
Windham School District,2025,2024-25,Private Schools or Other Settings,24.0,3.9
Windsor Locks School District,2025,2024-25,Private Schools or Other Settings,15.0,5.1
Windsor School District,2025,2024-25,Private Schools or Other Settings,37.0,5.1
Wolcott School District,2025,2024-25,Private Schools or Other Settings,16.0,4.8
Woodbridge School District,2025,2024-25,Private Schools or Other Settings,0.0,0.0
Woodstock School District,2025,2024-25,Private Schools or Other Settings,,
Ansonia School District,2025,2024-25,Public Schools in Other Districts,49.0,11.4
Ashford School District,2025,2024-25,Public Schools in Other Districts,,
Avon School District,2025,2024-25,Public Schools in Other Districts,13.0,3.5
Berlin School District,2025,2024-25,Public Schools in Other Districts,6.0,1.6
Bethel School District,2025,2024-25,Public Schools in Other Districts,9.0,1.7
Bloomfield School District,2025,2024-25,Public Schools in Other Districts,139.0,30.9
Bolton School District,2025,2024-25,Public Schools in Other Districts,,
Bozrah School District,2025,2024-25,Public Schools in Other Districts,10.0,22.7
Branford School District,2025,2024-25,Public Schools in Other Districts,15.0,3.9
Bridgeport School District,2025,2024-25,Public Schools in Other Districts,600.0,14.2
Bristol School District,2025,2024-25,Public Schools in Other Districts,83.0,5.1
Brookfield School District,2025,2024-25,Public Schools in Other Districts,19.0,5.4
Brooklyn School District,2025,2024-25,Public Schools in Other Districts,57.0,25.7
Canterbury School District,2025,2024-25,Public Schools in Other Districts,16.0,19.5
Canton School District,2025,2024-25,Public Schools in Other Districts,15.0,5.5
Cheshire School District,2025,2024-25,Public Schools in Other Districts,10.0,1.7
Chester School District,2025,2024-25,Public Schools in Other Districts,,
Clinton School District,2025,2024-25,Public Schools in Other Districts,21.0,8.4
Colchester School District,2025,2024-25,Public Schools in Other Districts,15.0,4.0
Columbia School District,2025,2024-25,Public Schools in Other Districts,26.0,32.1
Connecticut Technical Education and Career System,2025,2024-25,Public Schools in Other Districts,,
Coventry School District,2025,2024-25,Public Schools in Other Districts,14.0,6.0
Cromwell School District,2025,2024-25,Public Schools in Other Districts,32.0,11.7
Danbury School District,2025,2024-25,Public Schools in Other Districts,15.0,0.9
Darien School District,2025,2024-25,Public Schools in Other Districts,8.0,0.9
Deep River School District,2025,2024-25,Public Schools in Other Districts,6.0,15.0
Department of Mental Health and Addiction Services,2025,2024-25,Public Schools in Other Districts,0.0,0.0
Derby School District,2025,2024-25,Public Schools in Other Districts,22.0,7.0
East Granby School District,2025,2024-25,Public Schools in Other Districts,8.0,6.3
East Haddam School District,2025,2024-25,Public Schools in Other Districts,6.0,4.8
East Hampton School District,2025,2024-25,Public Schools in Other Districts,14.0,4.5
East Hartford School District,2025,2024-25,Public Schools in Other Districts,302.0,18.0
East Haven School District,2025,2024-25,Public Schools in Other Districts,56.0,9.9
East Lyme School District,2025,2024-25,Public Schools in Other Districts,13.0,2.7
East Windsor School District,2025,2024-25,Public Schools in Other Districts,15.0,7.3
Eastford School District,2025,2024-25,Public Schools in Other Districts,8.0,22.2
Easton School District,2025,2024-25,Public Schools in Other Districts,,
Ellington School District,2025,2024-25,Public Schools in Other Districts,10.0,2.5
Enfield School District,2025,2024-25,Public Schools in Other Districts,42.0,4.3
Essex School District,2025,2024-25,Public Schools in Other Districts,0.0,0.0
Fairfield School District,2025,2024-25,Public Schools in Other Districts,16.0,1.0
Farmington School District,2025,2024-25,Public Schools in Other Districts,22.0,4.0
Franklin School District,2025,2024-25,Public Schools in Other Districts,,
Glastonbury School District,2025,2024-25,Public Schools in Other Districts,29.0,3.8
Granby School District,2025,2024-25,Public Schools in Other Districts,20.0,6.8
Greenwich School District,2025,2024-25,Public Schools in Other Districts,7.0,0.6
Griswold School District,2025,2024-25,Public Schools in Other Districts,11.0,3.8
Groton School District,2025,2024-25,Public Schools in Other Districts,52.0,6.4
Guilford School District,2025,2024-25,Public Schools in Other Districts,8.0,1.7
Hamden School District,2025,2024-25,Public Schools in Other Districts,200.0,16.6
Hampton School District,2025,2024-25,Public Schools in Other Districts,,
Hartford School District,2025,2024-25,Public Schools in Other Districts,1212.0,30.1
Hartland School District,2025,2024-25,Public Schools in Other Districts,14.0,37.8
Hebron School District,2025,2024-25,Public Schools in Other Districts,,
Kent School District,2025,2024-25,Public Schools in Other Districts,,
Killingly School District,2025,2024-25,Public Schools in Other Districts,24.0,5.1
Lebanon School District,2025,2024-25,Public Schools in Other Districts,,
Ledyard School District,2025,2024-25,Public Schools in Other Districts,18.0,4.1
Lisbon School District,2025,2024-25,Public Schools in Other Districts,17.0,18.1
Madison School District,2025,2024-25,Public Schools in Other Districts,11.0,2.9
Manchester School District,2025,2024-25,Public Schools in Other Districts,205.0,15.2
Mansfield School District,2025,2024-25,Public Schools in Other Districts,,
Meriden School District,2025,2024-25,Public Schools in Other Districts,78.0,4.4
Middletown School District,2025,2024-25,Public Schools in Other Districts,44.0,5.3
Milford School District,2025,2024-25,Public Schools in Other Districts,32.0,3.2
Monroe School District,2025,2024-25,Public Schools in Other Districts,23.0,4.1
Montville School District,2025,2024-25,Public Schools in Other Districts,30.0,6.7
Naugatuck School District,2025,2024-25,Public Schools in Other Districts,63.0,7.8
New Britain School District,2025,2024-25,Public Schools in Other Districts,300.0,11.9
New Canaan School District,2025,2024-25,Public Schools in Other Districts,6.0,1.2
New Fairfield School District,2025,2024-25,Public Schools in Other Districts,,
New Hartford School District,2025,2024-25,Public Schools in Other Districts,0.0,0.0
New Haven School District,2025,2024-25,Public Schools in Other Districts,548.0,17.7
New London School District,2025,2024-25,Public Schools in Other Districts,119.0,16.9
New Milford School District,2025,2024-25,Public Schools in Other Districts,20.0,3.3
Newington School District,2025,2024-25,Public Schools in Other Districts,30.0,5.0
Newtown School District,2025,2024-25,Public Schools in Other Districts,22.0,3.7
Norfolk School District,2025,2024-25,Public Schools in Other Districts,,
North Branford School District,2025,2024-25,Public Schools in Other Districts,13.0,6.0
North Canaan School District,2025,2024-25,Public Schools in Other Districts,,
North Haven School District,2025,2024-25,Public Schools in Other Districts,23.0,5.1
North Stonington School District,2025,2024-25,Public Schools in Other Districts,,
Norwalk School District,2025,2024-25,Public Schools in Other Districts,79.0,4.0
Norwich School District,2025,2024-25,Public Schools in Other Districts,380.0,35.8
Old Saybrook School District,2025,2024-25,Public Schools in Other Districts,,
Orange School District,2025,2024-25,Public Schools in Other Districts,0.0,0.0
Oxford School District,2025,2024-25,Public Schools in Other Districts,20.0,7.4
Plainfield School District,2025,2024-25,Public Schools in Other Districts,25.0,7.0
Plainville School District,2025,2024-25,Public Schools in Other Districts,6.0,1.9
Plymouth School District,2025,2024-25,Public Schools in Other Districts,18.0,5.8
Pomfret School District,2025,2024-25,Public Schools in Other Districts,20.0,26.0
Portland School District,2025,2024-25,Public Schools in Other Districts,,
Preston School District,2025,2024-25,Public Schools in Other Districts,27.0,30.7
Putnam School District,2025,2024-25,Public Schools in Other Districts,16.0,7.1
Redding School District,2025,2024-25,Public Schools in Other Districts,0.0,0.0
Regional School District 01,2025,2024-25,Public Schools in Other Districts,,
Regional School District 04,2025,2024-25,Public Schools in Other Districts,8.0,6.3
Regional School District 05,2025,2024-25,Public Schools in Other Districts,12.0,4.0
Regional School District 07,2025,2024-25,Public Schools in Other Districts,,
Regional School District 08,2025,2024-25,Public Schools in Other Districts,11.0,6.3
Regional School District 09,2025,2024-25,Public Schools in Other Districts,14.0,11.9
Regional School District 10,2025,2024-25,Public Schools in Other Districts,18.0,5.1
Regional School District 11,2025,2024-25,Public Schools in Other Districts,7.0,12.5
Regional School District 12,2025,2024-25,Public Schools in Other Districts,0.0,0.0
Regional School District 13,2025,2024-25,Public Schools in Other Districts,6.0,2.2
Regional School District 14,2025,2024-25,Public Schools in Other Districts,,
Regional School District 15,2025,2024-25,Public Schools in Other Districts,25.0,4.1
Regional School District 16,2025,2024-25,Public Schools in Other Districts,13.0,4.3
Regional School District 17,2025,2024-25,Public Schools in Other Districts,6.0,2.0
Regional School District 18,2025,2024-25,Public Schools in Other Districts,,
Regional School District 19,2025,2024-25,Public Schools in Other Districts,13.0,7.1
Regional School District 20,2025,2024-25,Public Schools in Other Districts,0.0,0.0
Ridgefield School District,2025,2024-25,Public Schools in Other Districts,,
Rocky Hill School District,2025,2024-25,Public Schools in Other Districts,21.0,5.6
Salem School District,2025,2024-25,Public Schools in Other Districts,26.0,33.3
Salisbury School District,2025,2024-25,Public Schools in Other Districts,,
Scotland School District,2025,2024-25,Public Schools in Other Districts,0.0,0.0
Seymour School District,2025,2024-25,Public Schools in Other Districts,15.0,4.2
Sharon School District,2025,2024-25,Public Schools in Other Districts,,
Shelton School District,2025,2024-25,Public Schools in Other Districts,36.0,4.7
Sherman School District,2025,2024-25,Public Schools in Other Districts,14.0,48.3
Simsbury School District,2025,2024-25,Public Schools in Other Districts,27.0,3.6
Somers School District,2025,2024-25,Public Schools in Other Districts,6.0,3.1
South Windsor School District,2025,2024-25,Public Schools in Other Districts,21.0,3.4
Southington School District,2025,2024-25,Public Schools in Other Districts,13.0,1.3
Sprague School District,2025,2024-25,Public Schools in Other Districts,27.0,36.0
Stafford School District,2025,2024-25,Public Schools in Other Districts,19.0,7.6
Stamford School District,2025,2024-25,Public Schools in Other Districts,85.0,3.4
State Total,2025,2024-25,Public Schools in Other Districts,7120.0,8.2
Sterling School District,2025,2024-25,Public Schools in Other Districts,27.0,31.4
Stonington School District,2025,2024-25,Public Schools in Other Districts,8.0,2.7
Stratford School District,2025,2024-25,Public Schools in Other Districts,67.0,5.5
Suffield School District,2025,2024-25,Public Schools in Other Districts,14.0,4.5
Thomaston School District,2025,2024-25,Public Schools in Other Districts,11.0,9.2
Thompson School District,2025,2024-25,Public Schools in Other Districts,,
Tolland School District,2025,2024-25,Public Schools in Other Districts,11.0,3.1
Torrington School District,2025,2024-25,Public Schools in Other Districts,71.0,9.1
Trumbull School District,2025,2024-25,Public Schools in Other Districts,28.0,2.8
Unified School District #2,2025,2024-25,Public Schools in Other Districts,0.0,0.0
Union School District,2025,2024-25,Public Schools in Other Districts,,
Vernon School District,2025,2024-25,Public Schools in Other Districts,60.0,9.5
Voluntown School District,2025,2024-25,Public Schools in Other Districts,18.0,37.5
Wallingford School District,2025,2024-25,Public Schools in Other Districts,30.0,3.3
Waterbury School District,2025,2024-25,Public Schools in Other Districts,208.0,5.5
Waterford School District,2025,2024-25,Public Schools in Other Districts,21.0,5.2
Watertown School District,2025,2024-25,Public Schools in Other Districts,31.0,6.9
West Hartford School District,2025,2024-25,Public Schools in Other Districts,35.0,2.1
West Haven School District,2025,2024-25,Public Schools in Other Districts,162.0,13.1
Westbrook School District,2025,2024-25,Public Schools in Other Districts,,
Weston School District,2025,2024-25,Public Schools in Other Districts,,
Westport School District,2025,2024-25,Public Schools in Other Districts,,
Wethersfield School District,2025,2024-25,Public Schools in Other Districts,54.0,9.5
Willington School District,2025,2024-25,Public Schools in Other Districts,,
Wilton School District,2025,2024-25,Public Schools in Other Districts,,
Winchester School District,2025,2024-25,Public Schools in Other Districts,78.0,43.6
Windham School District,2025,2024-25,Public Schools in Other Districts,39.0,6.4
Windsor Locks School District,2025,2024-25,Public Schools in Other Districts,26.0,8.8
Windsor School District,2025,2024-25,Public Schools in Other Districts,56.0,7.7
Wolcott School District,2025,2024-25,Public Schools in Other Districts,9.0,2.7
Woodbridge School District,2025,2024-25,Public Schools in Other Districts,,
Woodstock School District,2025,2024-25,Public Schools in Other Districts,41.0,26.8
Andover School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
Ansonia School District,2024,2023-24,Private Schools or Other Settings,19.0,4.5
Ashford School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
Avon School District,2024,2023-24,Private Schools or Other Settings,24.0,6.6
Berlin School District,2024,2023-24,Private Schools or Other Settings,21.0,5.4
Bethel School District,2024,2023-24,Private Schools or Other Settings,19.0,3.8
Bloomfield School District,2024,2023-24,Private Schools or Other Settings,17.0,3.8
Bolton School District,2024,2023-24,Private Schools or Other Settings,,
Bozrah School District,2024,2023-24,Private Schools or Other Settings,,
Branford School District,2024,2023-24,Private Schools or Other Settings,14.0,3.9
Bridgeport School District,2024,2023-24,Private Schools or Other Settings,148.0,3.6
Bristol School District,2024,2023-24,Private Schools or Other Settings,115.0,6.9
Brookfield School District,2024,2023-24,Private Schools or Other Settings,10.0,2.6
Brooklyn School District,2024,2023-24,Private Schools or Other Settings,11.0,5.5
Canterbury School District,2024,2023-24,Private Schools or Other Settings,9.0,11.1
Canton School District,2024,2023-24,Private Schools or Other Settings,23.0,8.6
Chaplin School District,2024,2023-24,Private Schools or Other Settings,,
Cheshire School District,2024,2023-24,Private Schools or Other Settings,17.0,2.9
Chester School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
Clinton School District,2024,2023-24,Private Schools or Other Settings,,
Colchester School District,2024,2023-24,Private Schools or Other Settings,13.0,3.5
Colebrook School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
Columbia School District,2024,2023-24,Private Schools or Other Settings,,
Cornwall School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
Coventry School District,2024,2023-24,Private Schools or Other Settings,7.0,3.2
Cromwell School District,2024,2023-24,Private Schools or Other Settings,21.0,7.7
Danbury School District,2024,2023-24,Private Schools or Other Settings,72.0,4.4
Darien School District,2024,2023-24,Private Schools or Other Settings,29.0,3.2
Deep River School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
Department of Mental Health and Addiction Services,2024,2023-24,Private Schools or Other Settings,,
Derby School District,2024,2023-24,Private Schools or Other Settings,10.0,3.3
East Granby School District,2024,2023-24,Private Schools or Other Settings,7.0,6.4
East Haddam School District,2024,2023-24,Private Schools or Other Settings,8.0,6.1
East Hampton School District,2024,2023-24,Private Schools or Other Settings,8.0,2.7
East Hartford School District,2024,2023-24,Private Schools or Other Settings,29.0,1.8
East Haven School District,2024,2023-24,Private Schools or Other Settings,30.0,5.5
East Lyme School District,2024,2023-24,Private Schools or Other Settings,6.0,1.3
East Windsor School District,2024,2023-24,Private Schools or Other Settings,,
Eastford School District,2024,2023-24,Private Schools or Other Settings,,
Ellington School District,2024,2023-24,Private Schools or Other Settings,,
Enfield School District,2024,2023-24,Private Schools or Other Settings,33.0,3.5
Essex School District,2024,2023-24,Private Schools or Other Settings,,
Fairfield School District,2024,2023-24,Private Schools or Other Settings,73.0,4.5
Farmington School District,2024,2023-24,Private Schools or Other Settings,10.0,1.8
Franklin School District,2024,2023-24,Private Schools or Other Settings,,
Glastonbury School District,2024,2023-24,Private Schools or Other Settings,14.0,2.0
Granby School District,2024,2023-24,Private Schools or Other Settings,13.0,4.8
Greenwich School District,2024,2023-24,Private Schools or Other Settings,29.0,2.3
Griswold School District,2024,2023-24,Private Schools or Other Settings,15.0,5.3
Groton School District,2024,2023-24,Private Schools or Other Settings,28.0,3.6
Guilford School District,2024,2023-24,Private Schools or Other Settings,19.0,4.3
Hamden School District,2024,2023-24,Private Schools or Other Settings,89.0,7.6
Hampton School District,2024,2023-24,Private Schools or Other Settings,,
Hartford School District,2024,2023-24,Private Schools or Other Settings,327.0,8.1
Hartland School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
Hebron School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
Killingly School District,2024,2023-24,Private Schools or Other Settings,38.0,8.2
Lebanon School District,2024,2023-24,Private Schools or Other Settings,,
Ledyard School District,2024,2023-24,Private Schools or Other Settings,15.0,3.4
Lisbon School District,2024,2023-24,Private Schools or Other Settings,9.0,8.7
Litchfield School District,2024,2023-24,Private Schools or Other Settings,7.0,4.8
Madison School District,2024,2023-24,Private Schools or Other Settings,18.0,4.9
Manchester School District,2024,2023-24,Private Schools or Other Settings,75.0,6.0
Mansfield School District,2024,2023-24,Private Schools or Other Settings,,
Marlborough School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
Meriden School District,2024,2023-24,Private Schools or Other Settings,58.0,3.1
Middletown School District,2024,2023-24,Private Schools or Other Settings,103.0,13.5
Milford School District,2024,2023-24,Private Schools or Other Settings,66.0,7.1
Monroe School District,2024,2023-24,Private Schools or Other Settings,10.0,1.9
Montville School District,2024,2023-24,Private Schools or Other Settings,36.0,8.1
Naugatuck School District,2024,2023-24,Private Schools or Other Settings,18.0,2.2
New Britain School District,2024,2023-24,Private Schools or Other Settings,108.0,4.5
New Canaan School District,2024,2023-24,Private Schools or Other Settings,11.0,2.1
New Fairfield School District,2024,2023-24,Private Schools or Other Settings,10.0,2.7
New Hartford School District,2024,2023-24,Private Schools or Other Settings,,
New Haven School District,2024,2023-24,Private Schools or Other Settings,112.0,3.7
New London School District,2024,2023-24,Private Schools or Other Settings,37.0,5.7
New Milford School District,2024,2023-24,Private Schools or Other Settings,21.0,3.6
Newington School District,2024,2023-24,Private Schools or Other Settings,21.0,3.5
Newtown School District,2024,2023-24,Private Schools or Other Settings,19.0,3.1
Norfolk School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
North Branford School District,2024,2023-24,Private Schools or Other Settings,6.0,2.5
North Canaan School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
North Haven School District,2024,2023-24,Private Schools or Other Settings,11.0,2.5
North Stonington School District,2024,2023-24,Private Schools or Other Settings,7.0,7.4
Norwalk School District,2024,2023-24,Private Schools or Other Settings,68.0,3.6
