District,fiscal_year,exp_instructional_staff,exp_instructional_supplies,exp_instruction_media,exp_student_support,exp_admin_support,exp_plant,exp_transportation,exp_tuitioned_out,exp_other,total_expenditures
Achievement First Bridgeport Academy District,2016,4967122.0,516908.0,419516.0,921191.0,2676959.0,497231.0,157791.0,0.0,494053.0,10650771.0
Achievement First Hartford Academy District,2016,7573210.0,495488.0,434691.0,1309827.0,4605669.0,23421.0,111144.0,0.0,22059.0,14575509.0
Amistad Academy District,2016,5427474.0,238418.0,390848.0,1077551.0,3350269.0,523772.0,223639.0,0.0,556355.0,11788326.0
Andover School District,2016,2822486.0,127026.0,121749.0,156495.0,529611.0,457820.0,178577.0,112704.0,8209.0,4514677.0
Ansonia School District,2016,19752077.0,447788.0,625156.0,1628775.0,3948735.0,2902717.0,2320699.0,4512942.0,0.0,36138889.0
Ashford School District,2016,4487492.0,347403.0,100296.0,237895.0,1028414.0,687675.0,471909.0,316391.0,103567.0,7781042.0
Avon School District,2016,32332183.0,804296.0,928196.0,3506391.0,5166409.0,4636889.0,2794035.0,3116749.0,1078733.0,54363881.0
Barkhamsted School District,2016,2631832.0,47585.0,228250.0,58977.0,537267.0,851671.0,280988.0,167871.0,0.0,4804441.0
Berlin School District,2016,25189856.0,871153.0,1366303.0,4645901.0,5098472.0,5555155.0,2542162.0,1669606.0,1177509.0,48116117.0
Bethany School District,2016,4254240.0,364551.0,115254.0,224358.0,791837.0,652088.0,354238.0,36859.0,0.0,6793425.0
Bethel School District,2016,27075743.0,652547.0,3647491.0,3327815.0,4502345.0,4118183.0,2530445.0,1246886.0,778513.0,47879968.0
Bloomfield School District,2016,24358307.0,785732.0,1379031.0,3130846.0,7006102.0,6397186.0,2958351.0,3398004.0,633150.0,50046709.0
Bolton School District,2016,7696435.0,277049.0,599318.0,954515.0,2098624.0,1533013.0,633667.0,524011.0,195518.0,14512150.0
Booker T. Washington Academy District,2016,1369298.0,138573.0,271819.0,287866.0,191677.0,137669.0,16952.0,0.0,0.0,2413854.0
Bozrah School District,2016,2430353.0,108208.0,53597.0,236181.0,432640.0,362786.0,358755.0,372024.0,12379.0,4366923.0
Branford School District,2016,31964942.0,815503.0,3718665.0,2502088.0,5485776.0,4586732.0,3003494.0,2837403.0,1094376.0,56008979.0
Brass City Charter School District,2016,1294752.0,131862.0,30927.0,131246.0,411414.0,378305.0,7853.0,0.0,170008.0,2556367.0
Bridgeport School District,2016,164583819.0,6848188.0,6576558.0,21103609.0,38205247.0,27396611.0,20851468.0,24226319.0,898742.0,310690561.0
Bristol School District,2016,66975110.0,1327088.0,4229057.0,10066602.0,8141399.0,11203903.0,8081414.0,7920053.0,1913091.0,119857717.0
Brookfield School District,2016,22410018.0,661181.0,2342990.0,2680249.0,5206024.0,3155841.0,2657730.0,1126548.0,603897.0,40844478.0
Brooklyn School District,2016,7352808.0,177083.0,270401.0,1056617.0,1394746.0,1493256.0,1191169.0,928373.0,34101.0,13898554.0
Canaan School District,2016,1304699.0,64805.0,70706.0,127314.0,293519.0,390202.0,147782.0,20637.0,15601.0,2435265.0
Canterbury School District,2016,5210008.0,133860.0,115950.0,509562.0,908515.0,1316857.0,779019.0,576557.0,29899.0,9580227.0
Canton School District,2016,13435768.0,479254.0,516653.0,3594659.0,3340478.0,2669607.0,1445808.0,902229.0,485213.0,26869669.0
Capital Preparatory Harbor School District,2016,1269479.0,325999.0,360621.0,183864.0,435808.0,183740.0,18757.0,0.0,159605.0,2937873.0
Chaplin School District,2016,2207435.0,72206.0,134220.0,275052.0,430831.0,252015.0,207245.0,127795.0,6429.0,3713228.0
Cheshire School District,2016,40783407.0,1336019.0,2604199.0,4121315.0,6734770.0,6856843.0,3969082.0,2416222.0,976143.0,69798000.0
Chester School District,2016,2240901.0,74207.0,38856.0,614720.0,608704.0,472437.0,136201.0,13877.0,76801.0,4276704.0
Clinton School District,2016,20977448.0,430156.0,682149.0,2073884.0,3003704.0,2353040.0,1573364.0,1038477.0,156966.0,32289188.0
Colchester School District,2016,22389777.0,699639.0,864177.0,3145323.0,4638496.0,4022051.0,2586571.0,2720536.0,421801.0,41488371.0
Colebrook School District,2016,1123325.0,13004.0,24676.0,40394.0,307770.0,272248.0,126538.0,65447.0,20444.0,1993846.0
Columbia School District,2016,3688838.0,124865.0,107770.0,1730673.0,942943.0,412718.0,854932.0,1094171.0,403989.0,9360899.0
Common Ground High School District,2016,1294807.0,42932.0,606869.0,207891.0,602719.0,159152.0,8941.0,0.0,186811.0,3110122.0
Cornwall School District,2016,1826856.0,36304.0,88191.0,149563.0,405388.0,355493.0,300465.0,20838.0,820.0,3183918.0
Coventry School District,2016,16825996.0,697171.0,404575.0,1616057.0,2760671.0,2654463.0,1742552.0,1567497.0,14798.0,28283780.0
Cromwell School District,2016,17463821.0,799942.0,410593.0,1476350.0,3128962.0,2981106.0,1492725.0,2032099.0,450931.0,30236529.0
Danbury School District,2016,93272195.0,4290000.0,2304850.0,6031682.0,14696361.0,11016466.0,8293505.0,3245920.0,957880.0,144108859.0
Darien School District,2016,58032771.0,1959149.0,4926193.0,2815390.0,7599060.0,9424221.0,3552469.0,6324408.0,1437544.0,96071205.0
Deep River School District,2016,2992255.0,82376.0,107499.0,793840.0,682226.0,489315.0,218422.0,319019.0,84901.0,5769853.0
Derby School District,2016,13968239.0,743373.0,12469.0,1433088.0,2732901.0,2503534.0,1163329.0,1541567.0,309795.0,24408295.0
East Granby School District,2016,9943673.0,722910.0,958549.0,314441.0,1910506.0,1852797.0,684447.0,1022082.0,186191.0,17595596.0
East Haddam School District,2016,11469783.0,449062.0,514297.0,1134317.0,2359680.0,2424884.0,1212698.0,1145056.0,17500.0,20727277.0
East Hampton School District,2016,18482628.0,718541.0,712760.0,1710340.0,3445490.0,2252714.0,1378028.0,1292229.0,16762.0,30009492.0
East Hartford School District,2016,62904433.0,2446494.0,2156121.0,9817737.0,14362826.0,12557086.0,5633321.0,7504057.0,64778.0,117446853.0
East Haven School District,2016,28482200.0,917805.0,1222248.0,4696330.0,6696102.0,5029280.0,3244449.0,4753538.0,986240.0,56028192.0
East Lyme School District,2016,27264294.0,352093.0,1874406.0,2283283.0,4411133.0,5545946.0,1977750.0,531900.0,923275.0,45164080.0
East Windsor School District,2016,12238041.0,306538.0,518188.0,1734026.0,4064303.0,1503008.0,1342835.0,1976147.0,14654.0,23697740.0
Eastford School District,2016,1774550.0,21231.0,89752.0,254763.0,348842.0,204276.0,272183.0,126290.0,0.0,3091887.0
Easton School District,2016,12199300.0,199891.0,430122.0,215127.0,2010751.0,1437452.0,1040944.0,457786.0,7400.0,17998773.0
Ellington School District,2016,20759671.0,759134.0,1533066.0,4189767.0,2983533.0,3427846.0,1946886.0,1255149.0,525179.0,37380231.0
Elm City College Preparatory School District,2016,4536039.0,422550.0,277211.0,832587.0,3087612.0,541678.0,136369.0,0.0,438008.0,10272054.0
Elm City Montessori School District,2016,486666.0,181652.0,302871.0,456022.0,373428.0,355036.0,33280.0,0.0,65952.0,2254907.0
Enfield School District,2016,48136440.0,1286878.0,1623764.0,954163.0,9867381.0,7630004.0,4609782.0,4618464.0,1250141.0,79977017.0
Essex School District,2016,4325452.0,131795.0,84755.0,1022898.0,904094.0,1128332.0,333688.0,302053.0,101042.0,8334109.0
Explorations District,2016,1019284.0,30459.0,67220.0,104150.0,192046.0,400020.0,56794.0,0.0,12679.0,1882652.0
Fairfield School District,2016,97256375.0,1984414.0,10832610.0,13030170.0,17203825.0,15862083.0,8637494.0,6648538.0,2124149.0,173579658.0
Farmington School District,2016,43148775.0,1482021.0,2442489.0,4482920.0,4631460.0,6169345.0,3245705.0,2621942.0,119786.0,68344443.0
Franklin School District,2016,1608674.0,17797.0,39578.0,197130.0,402696.0,341829.0,226176.0,131798.0,11161.0,2976839.0
Glastonbury School District,2016,55409854.0,3318214.0,5865513.0,5817248.0,10472216.0,11090765.0,5606917.0,4183483.0,1368754.0,103132964.0
Granby School District,2016,16210711.0,477999.0,1036024.0,2593138.0,2864188.0,3401024.0,1337934.0,1313611.0,660848.0,29895477.0
Great Oaks Charter School District,2016,1372978.0,223265.0,1135088.0,34239.0,610186.0,344217.0,255911.0,0.0,133322.0,4109206.0
Greenwich School District,2016,127396793.0,2320131.0,4389097.0,12816229.0,18272047.0,13658394.0,5518471.0,4383269.0,0.0,188754431.0
Griswold School District,2016,16571488.0,275446.0,308291.0,1111075.0,2681413.0,3361235.0,1600179.0,1250651.0,278124.0,27437902.0
Groton School District,2016,41829637.0,898950.0,3053875.0,8480506.0,8100336.0,6866667.0,4989445.0,5320991.0,0.0,79540407.0
Guilford School District,2016,33245213.0,979121.0,1930485.0,3796207.0,6427208.0,5533313.0,3330250.0,3971064.0,1014647.0,60227508.0
Hamden School District,2016,68834417.0,1665521.0,1581747.0,9027160.0,10680289.0,11283914.0,7283530.0,11514604.0,990531.0,122861713.0
Hampton School District,2016,1234008.0,64920.0,57559.0,238664.0,315424.0,230762.0,155257.0,27600.0,12617.0,2336811.0
Hartland School District,2016,1890751.0,51917.0,196784.0,408653.0,449537.0,262488.0,320896.0,336647.0,154317.0,4071990.0
Hebron School District,2016,7508514.0,366536.0,436292.0,760730.0,1051102.0,1347846.0,528816.0,186163.0,0.0,12185999.0
Highville Charter School District,2016,2246744.0,236972.0,97678.0,313133.0,1258645.0,960365.0,5432.0,0.0,320301.0,5439270.0
Integrated Day Charter School District,2016,2295233.0,113854.0,162309.0,196933.0,749457.0,451718.0,20142.0,0.0,218908.0,4208554.0
Interdistrict School for Arts and Comm District,2016,2069452.0,67662.0,356244.0,172746.0,673104.0,319933.0,7812.0,0.0,0.0,3666953.0
Jumoke Academy District,2016,4719207.0,252390.0,62734.0,983138.0,1888767.0,1023091.0,3132.0,0.0,2132.0,8934591.0
Kent School District,2016,3365407.0,175744.0,118500.0,395219.0,605438.0,575642.0,410205.0,0.0,28651.0,5674806.0
Killingly School District,2016,20185813.0,638693.0,2454446.0,2370946.0,4779303.0,4462234.0,3149546.0,6520268.0,4103.0,44565352.0
Lebanon School District,2016,9477848.0,830718.0,490103.0,1476435.0,1670162.0,2449626.0,1444750.0,1672968.0,299053.0,19811663.0
Ledyard School District,2016,20948878.0,643540.0,1390234.0,2307942.0,4973538.0,2830369.0,2411820.0,2685024.0,343799.0,38535144.0
Lisbon School District,2016,4072866.0,266993.0,85255.0,596520.0,634288.0,548090.0,702663.0,659420.0,34740.0,7600835.0
Litchfield School District,2016,9630127.0,224651.0,896276.0,1766633.0,1877979.0,1939153.0,1209612.0,1087694.0,463522.0,19095647.0
Madison School District,2016,28882029.0,1201114.0,2685444.0,4586887.0,4139421.0,5376835.0,3469816.0,1786513.0,1430626.0,53558685.0
Manchester School District,2016,64666969.0,1407439.0,9199394.0,7642667.0,13383862.0,13418926.0,5063753.0,6646363.0,1124690.0,122554063.0
Mansfield School District,2016,14072644.0,608217.0,531194.0,1372982.0,3152529.0,1690482.0,990914.0,657891.0,100700.0,23177553.0
Marlborough School District,2016,5141880.0,190274.0,318334.0,198681.0,818899.0,645485.0,322942.0,35549.0,0.0,7672044.0
Meriden School District,2016,70409654.0,2852579.0,893010.0,8745514.0,10495897.0,13425999.0,6490615.0,11590804.0,1054861.0,125958933.0
Middletown School District,2016,47895804.0,1250622.0,1957412.0,4323969.0,6616571.0,9267147.0,7767301.0,7114021.0,1495782.0,87688629.0
Milford School District,2016,72602037.0,3149512.0,2456487.0,3503249.0,12053316.0,12245997.0,4669396.0,4696397.0,2146990.0,117523381.0
Monroe School District,2016,28974384.0,546605.0,5519934.0,3853373.0,5408076.0,5400633.0,3077148.0,1942784.0,572607.0,55295544.0
Montville School District,2016,22936577.0,926746.0,731892.0,2239115.0,3179764.0,3762415.0,2629610.0,1634690.0,712724.0,38753533.0
Naugatuck School District,2016,39414425.0,978584.0,845079.0,5467350.0,11066133.0,6595067.0,3455302.0,1803593.0,943440.0,70568973.0
New Beginnings Inc Family Academy District,2016,3665877.0,191906.0,7955.0,452014.0,1498130.0,582284.0,3545.0,0.0,539795.0,6941506.0
New Britain School District,2016,95821486.0,2011581.0,3600354.0,3248284.0,12277188.0,10438858.0,12917779.0,15424622.0,213092.0,155953244.0
New Canaan School District,2016,45343334.0,1775843.0,2866170.0,7904469.0,8680486.0,9564906.0,5447835.0,3626963.0,1900771.0,87110777.0
New Fairfield School District,2016,22632753.0,689825.0,1308601.0,2931961.0,4021686.0,3414126.0,2027229.0,883662.0,551956.0,38461799.0
New Hartford School District,2016,4983421.0,90895.0,66066.0,322620.0,886648.0,1230555.0,624380.0,149791.0,4824.0,8359200.0
New Haven School District,2016,232658485.0,11573990.0,6257244.0,5267743.0,37175035.0,30199523.0,26261653.0,18900227.0,3344497.0,371638397.0
New London School District,2016,29192979.0,2090039.0,1863265.0,3962163.0,10007196.0,7812689.0,4003566.0,5397119.0,565830.0,64894846.0
New Milford School District,2016,35637523.0,1088226.0,1239995.0,4372815.0,6493467.0,6068790.0,5017730.0,2599213.0,1085577.0,63603336.0
Newington School District,2016,39239699.0,1680831.0,2163292.0,3854890.0,7722072.0,10206705.0,3557371.0,2749093.0,836746.0,72010699.0
Newtown School District,2016,38998608.0,1258275.0,1564290.0,7780558.0,8124866.0,9862249.0,4442993.0,4367070.0,900931.0,77299840.0
Norfolk School District,2016,1292742.0,24349.0,206711.0,53681.0,649437.0,448915.0,140034.0,0.0,0.0,2815869.0
North Branford School District,2016,14934317.0,386561.0,1877298.0,2525330.0,3446449.0,3774554.0,2263346.0,1235253.0,812694.0,31255802.0
North Canaan School District,2016,3562601.0,129586.0,33729.0,470465.0,629725.0,515793.0,390846.0,0.0,19553.0,5752298.0
North Haven School District,2016,27426378.0,446180.0,1162151.0,3689274.0,6870664.0,3919225.0,3605202.0,3987557.0,602644.0,51709275.0
North Stonington School District,2016,6891113.0,813526.0,200890.0,732533.0,2088334.0,1187841.0,898054.0,157998.0,0.0,12970289.0
Norwalk School District,2016,122224912.0,2118772.0,1217626.0,13936131.0,25886034.0,15296699.0,8658887.0,11679128.0,1676902.0,202695091.0
Norwich School District,2016,38222532.0,1684241.0,347111.0,5023755.0,3818482.0,4842020.0,6593879.0,7921355.0,0.0,68453375.0
