District,fiscal_year,exp_instructional_staff,exp_instructional_supplies,exp_instruction_media,exp_student_support,exp_admin_support,exp_plant,exp_transportation,exp_tuitioned_out,exp_other,total_expenditures
Amistad Academy District,2006,1879830.0,257416.0,33859.0,529454.0,291786.0,223941.0,1315.0,0.0,20943.0,3238544.0
Andover School District,2006,2163852.0,219144.0,42294.0,110562.0,460568.0,351227.0,182191.0,52682.0,0.0,3582520.0
Ansonia School District,2006,14885275.0,869499.0,951296.0,1535497.0,2708810.0,2093081.0,1021874.0,1505543.0,172349.0,25743224.0
Ashford School District,2006,3844518.0,150898.0,51346.0,67120.0,537285.0,497695.0,365968.0,511230.0,42303.0,6068363.0
Avon School District,2006,21447006.0,735191.0,907629.0,2670999.0,2907510.0,3723340.0,1877766.0,1255852.0,761387.0,36286680.0
Barkhamsted School District,2006,2118658.0,63825.0,108998.0,44449.0,364670.0,278508.0,261466.0,154791.0,4528.0,3399893.0
Berlin School District,2006,18726225.0,758195.0,929527.0,2999013.0,3550485.0,4544210.0,1682780.0,771231.0,691153.0,34652819.0
Bethany School District,2006,3631806.0,156847.0,240011.0,54609.0,586080.0,562069.0,297494.0,18060.0,0.0,5546976.0
Bethel School District,2006,20706868.0,484057.0,2264102.0,2545466.0,3795266.0,3304213.0,1685693.0,1011281.0,284698.0,36081644.0
Bloomfield School District,2006,18375132.0,1259567.0,491606.0,2772727.0,5063962.0,3797206.0,1687658.0,2481777.0,429869.0,36359504.0
Bolton School District,2006,6494477.0,112365.0,496762.0,700321.0,1271220.0,897655.0,564092.0,412019.0,195463.0,11144374.0
Bozrah School District,2006,1787976.0,64488.0,12993.0,197467.0,346612.0,310421.0,284021.0,306405.0,24725.0,3335108.0
Branford School District,2006,23866111.0,1201078.0,1744395.0,2450455.0,3908291.0,3531083.0,2317361.0,2345195.0,749126.0,42113095.0
Bridgeport School District,2006,151989095.0,5509321.0,4838061.0,13265038.0,21453731.0,24391501.0,11668414.0,15960811.0,3484353.0,252560325.0
Bristol School District,2006,57023605.0,2088975.0,4116860.0,3693769.0,9059944.0,7988995.0,4418444.0,3560964.0,1444136.0,93395692.0
Brookfield School District,2006,18589584.0,560528.0,1780141.0,2413581.0,3738141.0,3134043.0,1587906.0,739649.0,697003.0,33240576.0
Brooklyn School District,2006,5724435.0,129222.0,148492.0,764012.0,868244.0,884604.0,933110.0,679532.0,54540.0,10186191.0
Canaan School District,2006,1185027.0,99703.0,2784.0,90381.0,234744.0,172133.0,127076.0,275.0,12831.0,1924954.0
Canterbury School District,2006,3970913.0,215880.0,70446.0,386400.0,775938.0,919692.0,697200.0,613038.0,16845.0,7666352.0
Canton School District,2006,10470691.0,482505.0,698508.0,1219050.0,2069866.0,2237806.0,1029239.0,412312.0,226373.0,18846350.0
Chaplin School District,2006,1755911.0,63337.0,62188.0,291225.0,340020.0,228210.0,169264.0,0.0,4485.0,2914640.0
Cheshire School District,2006,30843204.0,1229285.0,2014365.0,3204909.0,4829149.0,5175287.0,2954989.0,1383577.0,813464.0,52448229.0
Chester School District,2006,2170683.0,81807.0,37177.0,426408.0,485147.0,291700.0,97310.0,71731.0,9132.0,3671095.0
Clinton School District,2006,16646722.0,954302.0,663565.0,1651317.0,2176843.0,1861460.0,1318949.0,786248.0,66579.0,26125985.0
Colchester School District,2006,17397144.0,681334.0,899845.0,2387992.0,3225201.0,2345056.0,2125413.0,1519470.0,379391.0,30960846.0
Colebrook School District,2006,963691.0,19529.0,32336.0,33748.0,204170.0,179685.0,84509.0,55845.0,11558.0,1585071.0
Columbia School District,2006,3862700.0,151478.0,166602.0,1405977.0,661703.0,503211.0,659333.0,323418.0,48511.0,7782933.0
Common Ground High School District,2006,950910.0,30700.0,22315.0,95374.0,180683.0,101547.0,1790.0,0.0,83319.0,1466638.0
Cornwall School District,2006,1318476.0,48914.0,147124.0,118302.0,337642.0,244427.0,253817.0,275.0,0.0,2468977.0
Coventry School District,2006,12342767.0,446278.0,892172.0,1678824.0,1847921.0,1803532.0,1366853.0,780747.0,267486.0,21426580.0
Cromwell School District,2006,14016711.0,339070.0,294242.0,1001796.0,2729117.0,1840709.0,813671.0,502794.0,251803.0,21789913.0
Danbury School District,2006,67255275.0,2680675.0,4436439.0,5993388.0,9484455.0,8177499.0,5559072.0,1708502.0,735908.0,106031213.0
Darien School District,2006,37921635.0,1081869.0,1958887.0,1864511.0,5878384.0,5995833.0,2579950.0,718464.0,1121852.0,59121385.0
Deep River School District,2006,2356941.0,88262.0,48350.0,534065.0,586864.0,406293.0,109330.0,57063.0,0.0,4187168.0
Derby School District,2006,9140165.0,504389.0,281200.0,1092556.0,2462949.0,1181147.0,675617.0,1265584.0,225352.0,16828959.0
East Granby School District,2006,6325047.0,234494.0,481126.0,627475.0,1359605.0,968034.0,521088.0,274646.0,174307.0,10965822.0
East Haddam School District,2006,8719847.0,418643.0,370588.0,938576.0,1835850.0,2068555.0,953220.0,1015070.0,9688.0,16330037.0
East Hampton School District,2006,12262513.0,472179.0,592160.0,1334675.0,2333543.0,2279288.0,1482099.0,1691122.0,14699.0,22462278.0
East Hartford School District,2006,58039937.0,1238557.0,1206494.0,2966351.0,8948186.0,8627026.0,4173646.0,2517281.0,606669.0,88324147.0
East Haven School District,2006,23320590.0,854575.0,1235842.0,1608673.0,4995936.0,5240818.0,1987635.0,4196210.0,842128.0,44282407.0
East Lyme School District,2006,21192312.0,553468.0,1398196.0,1304969.0,3584718.0,4472133.0,1279513.0,1289829.0,720089.0,35795227.0
East Windsor School District,2006,9177065.0,322674.0,254438.0,781650.0,2040282.0,1433679.0,1022317.0,1133451.0,99700.0,16265256.0
Eastford School District,2006,1257947.0,76690.0,32379.0,172478.0,307664.0,203661.0,213141.0,209950.0,0.0,2473910.0
Easton School District,2006,8557549.0,192868.0,131156.0,141052.0,1471731.0,1137726.0,993858.0,170451.0,0.0,12796391.0
Ellington School District,2006,15900190.0,316554.0,644730.0,1023764.0,2048269.0,2949842.0,1437439.0,667119.0,339717.0,25327624.0
Elm City College Preparatory School,2006,1487932.0,314570.0,22213.0,141236.0,374452.0,109039.0,0.0,0.0,20349.0,2469791.0
Enfield School District,2006,41441042.0,807105.0,1456528.0,4811643.0,6571486.0,7433498.0,3111319.0,2248030.0,1351136.0,69231787.0
Essex School District,2006,3514055.0,164443.0,51678.0,663707.0,798225.0,483421.0,196064.0,780.0,2360.0,5874733.0
Explorations District,2006,338700.0,9483.0,23722.0,27032.0,157858.0,118237.0,25118.0,0.0,0.0,700150.0
Fairfield School District,2006,69231585.0,2633597.0,7746830.0,9347362.0,14048902.0,14443288.0,5631346.0,2218977.0,1537738.0,126839625.0
Farmington School District,2006,26741722.0,931519.0,1628100.0,3293813.0,4612952.0,4798818.0,2390282.0,1411765.0,844436.0,46653407.0
Franklin School District,2006,1576727.0,83582.0,10315.0,157123.0,375120.0,342293.0,252008.0,186131.0,868.0,2984167.0
Glastonbury School District,2006,39147327.0,1009744.0,3233291.0,3943963.0,7107843.0,8075874.0,3994348.0,3558925.0,1026711.0,71098026.0
Granby School District,2006,13348586.0,999141.0,781576.0,1441866.0,2332123.0,2399116.0,1043456.0,654270.0,411410.0,23411544.0
Greenwich School District,2006,92433423.0,3300900.0,2058400.0,8801509.0,12707612.0,16723460.0,4540797.0,3494809.0,274087.0,144334997.0
Griswold School District,2006,13145983.0,530502.0,355121.0,804986.0,2844692.0,2301389.0,1459981.0,725934.0,420321.0,22588909.0
Groton School District,2006,38808034.0,1812398.0,2601579.0,5620429.0,6539860.0,7645320.0,3892232.0,3051543.0,0.0,69971395.0
Guilford School District,2006,24118433.0,706517.0,921953.0,2518228.0,5556787.0,4148938.0,2510990.0,1552043.0,636185.0,42670074.0
Hamden School District,2006,49402463.0,1523216.0,483078.0,4741594.0,7749426.0,8941020.0,5151541.0,10690583.0,136123.0,88819044.0
Hampton School District,2006,1224954.0,99518.0,62781.0,185307.0,294544.0,155783.0,157103.0,28084.0,0.0,2208074.0
Hartford School District,2006,178964395.0,7669164.0,16123155.0,28502488.0,36341643.0,34202723.0,16366585.0,21022828.0,0.0,339192981.0
Hartland School District,2006,1408293.0,72487.0,113448.0,319130.0,345229.0,182367.0,239028.0,94915.0,110163.0,2885060.0
Hebron School District,2006,6797521.0,151663.0,384760.0,525725.0,882285.0,907680.0,491256.0,67469.0,0.0,10208359.0
