District,fiscal_year,exp_instructional_staff,exp_instructional_supplies,exp_instruction_media,exp_student_support,exp_admin_support,exp_plant,exp_transportation,exp_tuitioned_out,exp_other,total_expenditures
Achievement First Bridgeport Academy District,2011,2184618.0,472954.0,907078.0,407166.0,1120287.0,141262.0,33517.0,0.0,282917.0,5549799.0
Achievement First Hartford Academy District,2011,3797374.0,572368.0,1037685.0,304577.0,1307992.0,54251.0,10016.0,0.0,30907.0,7115170.0
Amistad Academy District,2011,5124861.0,664047.0,1487414.0,1565054.0,1813450.0,183148.0,34872.0,0.0,489099.0,11361945.0
Andover School District,2011,2668054.0,107496.0,74433.0,155855.0,584057.0,454282.0,199487.0,98500.0,0.0,4342164.0
Ansonia School District,2011,17155560.0,1031329.0,742401.0,1596978.0,3135683.0,2807990.0,1646977.0,2654469.0,753577.0,31524964.0
Ashford School District,2011,4523087.0,154631.0,60156.0,218756.0,749377.0,490706.0,682905.0,275469.0,28354.0,7183441.0
Avon School District,2011,26598773.0,777325.0,1221985.0,3390880.0,4274196.0,4530219.0,2080192.0,1891919.0,983637.0,45749126.0
Barkhamsted School District,2011,2513004.0,52197.0,154229.0,52131.0,408337.0,349664.0,286405.0,72913.0,348.0,3889228.0
Berlin School District,2011,22155615.0,1113711.0,1051149.0,3864780.0,4415231.0,5119088.0,2067331.0,1730737.0,835852.0,42353494.0
Bethany School District,2011,4022479.0,192584.0,280283.0,152068.0,676492.0,738102.0,364148.0,392395.0,0.0,6818551.0
Bethel School District,2011,24276902.0,595123.0,2812383.0,2841181.0,3989553.0,3637143.0,2157785.0,1687922.0,524596.0,42522588.0
Bloomfield School District,2011,22290689.0,1157768.0,602428.0,3209072.0,6231879.0,5197127.0,1994144.0,2126293.0,537367.0,43346767.0
Bolton School District,2011,7380262.0,207494.0,531443.0,889937.0,1394285.0,1041909.0,673712.0,606032.0,225757.0,12950831.0
Bozrah School District,2011,2230586.0,118791.0,34521.0,190830.0,433450.0,308470.0,362284.0,506575.0,0.0,4185507.0
Branford School District,2011,29515869.0,1335321.0,1900733.0,3058755.0,4148696.0,4022559.0,2939568.0,3015027.0,977531.0,50914059.0
Bridgeport School District,2011,177852907.0,4052950.0,5080338.0,17805632.0,22877169.0,24759300.0,15116507.0,21051962.0,978365.0,289575130.0
Bristol School District,2011,65291611.0,1461476.0,5595849.0,5334371.0,9497162.0,10311565.0,5740427.0,5818940.0,2066621.0,111118022.0
Brookfield School District,2011,23070966.0,431179.0,1789926.0,2492350.0,4025664.0,3274445.0,1974339.0,112310.0,661053.0,37832232.0
Brooklyn School District,2011,7453096.0,165252.0,174573.0,706329.0,924513.0,1070153.0,1072432.0,685657.0,73829.0,12325834.0
Canaan School District,2011,1339639.0,46300.0,55834.0,116723.0,271351.0,179613.0,132304.0,0.0,14655.0,2156419.0
Canterbury School District,2011,4599938.0,221308.0,73089.0,440465.0,851829.0,1346320.0,910777.0,548772.0,26174.0,9018672.0
