District,fiscal_year,exp_instructional_staff,exp_instructional_supplies,exp_instruction_media,exp_student_support,exp_admin_support,exp_plant,exp_transportation,exp_tuitioned_out,exp_other,total_expenditures
Achievement First Bridgeport Academy District,2008,297879.0,162775.0,27044.0,119522.0,600345.0,72395.0,0.0,0.0,64355.0,1344315.0
Amistad Academy District,2008,2501274.0,562260.0,177407.0,828123.0,2369043.0,403393.0,0.0,0.0,383230.0,7224730.0
Andover School District,2008,2300950.0,120281.0,117497.0,159034.0,546776.0,348849.0,207179.0,1663.0,0.0,3802229.0
Ansonia School District,2008,17399297.0,891775.0,848975.0,977958.0,3497152.0,2466501.0,1301770.0,2183562.0,610983.0,30177973.0
Ashford School District,2008,4399512.0,200023.0,26066.0,71071.0,686626.0,578258.0,526906.0,534395.0,28191.0,7051048.0
Avon School District,2008,23515953.0,629486.0,866114.0,4283355.0,3386933.0,4273389.0,1759230.0,1378462.0,554570.0,40647492.0
Barkhamsted School District,2008,2305261.0,66555.0,144637.0,47121.0,359836.0,365102.0,266533.0,2420.0,0.0,3557465.0
Berlin School District,2008,20735142.0,909155.0,1010363.0,3386343.0,4215086.0,4789532.0,1778233.0,1032405.0,734134.0,38590393.0
Bethany School District,2008,3674892.0,182748.0,293800.0,220739.0,680565.0,678943.0,336736.0,82573.0,0.0,6150996.0
Bethel School District,2008,22168213.0,539055.0,2856294.0,2784006.0,4074711.0,3913883.0,2101409.0,1387009.0,494066.0,40318646.0
Bloomfield School District,2008,19492756.0,1335617.0,677768.0,3061047.0,6039175.0,4868748.0,1982410.0,2424306.0,505401.0,40387228.0
Bolton School District,2008,6928378.0,159473.0,527308.0,791358.0,1330264.0,1114121.0,640814.0,481982.0,189692.0,12163390.0
Bozrah School District,2008,2108879.0,68652.0,42158.0,182256.0,441468.0,349202.0,298174.0,375363.0,51712.0,3917864.0
Branford School District,2008,26357182.0,1361687.0,2011707.0,2841256.0,4152483.0,3766357.0,2518676.0,2627725.0,859391.0,46496464.0
Bridgeport School District,2008,158192806.0,6470828.0,6216748.0,13913063.0,23453209.0,27487549.0,13078249.0,17273618.0,2335099.0,268421169.0
Bristol School District,2008,61371181.0,1865435.0,4955027.0,3951110.0,9188889.0,9563904.0,5317685.0,4466927.0,1729684.0,102409842.0
