District,fiscal_year,exp_instructional_staff,exp_instructional_supplies,exp_instruction_media,exp_student_support,exp_admin_support,exp_plant,exp_transportation,exp_tuitioned_out,exp_other,total_expenditures
Achievement First Bridgeport Academy District,2009,716210.0,143040.0,49407.0,120700.0,737133.0,104742.0,0.0,0.0,102345.0,1973577.0
Achievement First Hartford Academy District,2009,1086600.0,461430.0,66297.0,258807.0,1372153.0,12617.0,339450.0,0.0,3879.0,3601233.0
Amistad Academy District,2009,3986010.0,484620.0,226701.0,899585.0,2298042.0,530531.0,599300.0,0.0,389051.0,9413840.0
Andover School District,2009,2400553.0,92161.0,90215.0,162843.0,563049.0,373350.0,230308.0,72469.0,0.0,3984948.0
Ansonia School District,2009,16993759.0,885453.0,661651.0,1349849.0,3471572.0,2625628.0,1284184.0,1935880.0,913368.0,30121344.0
Ashford School District,2009,4909398.0,217462.0,29384.0,125280.0,701327.0,530416.0,655938.0,365356.0,33783.0,7568344.0
Avon School District,2009,24202787.0,782975.0,965182.0,4116569.0,3489311.0,4540271.0,1787044.0,1592740.0,493538.0,41970417.0
Barkhamsted School District,2009,2347376.0,118058.0,124972.0,47793.0,388651.0,379916.0,274037.0,31251.0,2395.0,3714449.0
Berlin School District,2009,21429035.0,1043694.0,1002603.0,3636015.0,4509943.0,5372753.0,1970407.0,1150993.0,807791.0,40923234.0
Bethany School District,2009,3823142.0,140274.0,330886.0,230098.0,707993.0,816670.0,344373.0,155217.0,0.0,6548653.0
Bethel School District,2009,22671050.0,569552.0,2755793.0,2881692.0,4211860.0,4112221.0,2308906.0,1505469.0,450437.0,41466980.0
Bloomfield School District,2009,19863565.0,1651014.0,691627.0,3135167.0,6274516.0,5485412.0,1915605.0,2491099.0,540939.0,42048944.0
Bolton School District,2009,7043071.0,194117.0,546867.0,839517.0,1414811.0,1149674.0,784710.0,522656.0,178680.0,12674103.0
Bozrah School District,2009,1990028.0,50435.0,39340.0,147602.0,559299.0,293603.0,327025.0,509318.0,6949.0,3923599.0
Branford School District,2009,26719609.0,1979030.0,2179966.0,2850140.0,4253335.0,4026866.0,2772314.0,2887691.0,861705.0,48530656.0
Bridgeport School District,2009,164340625.0,6137863.0,5168440.0,16487572.0,23032749.0,28227031.0,13611730.0,17994593.0,1779282.0,276779885.0
Bristol School District,2009,64684295.0,1504705.0,4970974.0,3909079.0,9402065.0,10304316.0,5608543.0,4836968.0,1988638.0,107209583.0
Brookfield School District,2009,18491392.0,507725.0,1031888.0,2865008.0,5871620.0,2845915.0,1984414.0,1419978.0,622297.0,35640237.0
Brooklyn School District,2009,6746326.0,218890.0,181725.0,816493.0,891028.0,1129349.0,1135639.0,603583.0,13661.0,11736694.0
Canaan School District,2009,1223599.0,52380.0,47237.0,108162.0,269698.0,232070.0,139753.0,81756.0,17479.0,2172134.0
Canterbury School District,2009,4556188.0,90783.0,62441.0,372239.0,752042.0,1130112.0,810723.0,717940.0,18850.0,8511318.0
Canton School District,2009,11866973.0,476782.0,385300.0,1605234.0,3092811.0,2849086.0,1324935.0,908213.0,64496.0,22573830.0
Chaplin School District,2009,1966792.0,84523.0,134180.0,314117.0,350688.0,278581.0,191568.0,4692.0,5536.0,3330677.0
Charter School for Young Children on Asylum Hill District,2009,978246.0,35408.0,11727.0,88023.0,349237.0,202507.0,0.0,0.0,11267.0,1676415.0
Cheshire School District,2009,35102354.0,1247755.0,2343786.0,3822860.0,5548232.0,6124663.0,3359788.0,1580044.0,987426.0,60116908.0
Chester School District,2009,2429880.0,60055.0,40747.0,607270.0,623188.0,404936.0,147852.0,26169.0,0.0,4340097.0
Clinton School District,2009,18904530.0,945372.0,845443.0,1922250.0,2142037.0,2969196.0,1487428.0,971459.0,298540.0,30486255.0
Colchester School District,2009,20541839.0,658138.0,812854.0,2697562.0,3681919.0,3364042.0,2361198.0,1443950.0,461744.0,36023246.0
Colebrook School District,2009,1083341.0,18662.0,48585.0,35453.0,241708.0,191623.0,119256.0,90827.0,11885.0,1841340.0
Columbia School District,2009,4234395.0,207467.0,162714.0,1619713.0,1018864.0,637956.0,797999.0,430086.0,36257.0,9145451.0
Common Ground High School District,2009,1129912.0,252140.0,6283.0,103236.0,263727.0,117368.0,6157.0,0.0,164672.0,2043495.0
