District,fiscal_year,exp_instructional_staff,exp_instructional_supplies,exp_instruction_media,exp_student_support,exp_admin_support,exp_plant,exp_transportation,exp_tuitioned_out,exp_other,total_expenditures
Achievement First Bridgeport Academy District,2012,3641630.0,213038.0,154918.0,592504.0,2178687.0,296653.0,64047.0,0.0,377949.0,7519426.0
Achievement First Hartford Academy District,2012,5606717.0,246664.0,146205.0,198894.0,1843391.0,27695.0,34513.0,0.0,38346.0,8142425.0
Amistad Academy District,2012,6664053.0,343104.0,552144.0,1185400.0,2159797.0,424536.0,105098.0,0.0,528689.0,11962821.0
Andover School District,2012,2614956.0,119862.0,78502.0,157650.0,575755.0,426314.0,202872.0,116908.0,0.0,4292819.0
Ansonia School District,2012,17318439.0,922445.0,482368.0,1466214.0,3540175.0,2660666.0,1899704.0,2781509.0,520247.0,31591767.0
Ashford School District,2012,4521864.0,289086.0,76964.0,228005.0,803439.0,576139.0,625841.0,189869.0,39155.0,7350362.0
Avon School District,2012,28312129.0,1347112.0,1004708.0,2974318.0,4260952.0,4738027.0,2207861.0,2260334.0,632470.0,47737911.0
Barkhamsted School District,2012,2474983.0,53432.0,142720.0,53424.0,417162.0,428282.0,281032.0,70796.0,0.0,3921831.0
Berlin School District,2012,22630456.0,1234527.0,966752.0,3945559.0,4480878.0,6164589.0,2195426.0,1850964.0,880591.0,44349742.0
Bethany School District,2012,4183998.0,133249.0,85721.0,175877.0,800421.0,816285.0,323166.0,288315.0,0.0,6807032.0
Bethel School District,2012,24124957.0,582603.0,3606688.0,2838069.0,3995638.0,3649015.0,2246891.0,1473293.0,533670.0,43050824.0
Bloomfield School District,2012,21527387.0,853258.0,1746375.0,3002132.0,6005823.0,5097377.0,2139395.0,2232453.0,493769.0,43097969.0
Bolton School District,2012,7442150.0,219880.0,523525.0,874931.0,1576039.0,1116411.0,673402.0,671156.0,203679.0,13301173.0
Bozrah School District,2012,2250419.0,73084.0,37554.0,195513.0,427895.0,341611.0,339127.0,401979.0,17290.0,4084472.0
Branford School District,2012,30299249.0,933157.0,1904008.0,3094510.0,4460558.0,4119775.0,2856959.0,2982421.0,1010824.0,51661461.0
Bridgeport School District,2012,163125030.0,3861148.0,4768779.0,19538104.0,25072815.0,26211979.0,15237854.0,20890354.0,925569.0,279631632.0
