District,fiscal_year,exp_instructional_staff,exp_instructional_supplies,exp_instruction_media,exp_student_support,exp_admin_support,exp_plant,exp_transportation,exp_tuitioned_out,exp_other,total_expenditures
Achievement First Bridgeport Academy District,2010,1084890.0,168939.0,79322.0,182495.0,1159969.0,178590.0,0.0,0.0,149001.0,3003206.0
Achievement First Hartford Academy District,2010,2088136.0,361795.0,107895.0,407266.0,1956423.0,16115.0,0.0,0.0,21.0,4937651.0
Amistad Academy District,2010,4545242.0,436583.0,313457.0,1037499.0,2617137.0,591456.0,0.0,0.0,426015.0,9967389.0
Andover School District,2010,2551179.0,97429.0,89868.0,169517.0,569103.0,396214.0,177353.0,106075.0,0.0,4156738.0
Ansonia School District,2010,16976981.0,1209931.0,853519.0,1059269.0,3604880.0,2692973.0,1510807.0,2174046.0,873747.0,30956153.0
Ashford School District,2010,5037292.0,211569.0,16831.0,198986.0,589562.0,509884.0,603349.0,270555.0,13354.0,7451382.0
Avon School District,2010,25327785.0,792888.0,1087124.0,4401635.0,3417538.0,4442122.0,1973430.0,1657021.0,760836.0,43860379.0
Barkhamsted School District,2010,2430383.0,58021.0,154214.0,50227.0,389855.0,373452.0,285318.0,94167.0,0.0,3835637.0
Berlin School District,2010,22587298.0,925502.0,953730.0,3774240.0,4251703.0,4925751.0,2047588.0,1462138.0,823639.0,41751589.0
Bethany School District,2010,4057761.0,161351.0,290201.0,164285.0,701284.0,645372.0,340971.0,215419.0,0.0,6576644.0
Bethel School District,2010,23674256.0,538149.0,2834542.0,2793183.0,3861715.0,3821008.0,2175118.0,1562600.0,461620.0,41722191.0
Bloomfield School District,2010,21948698.0,1171669.0,792193.0,3319291.0,6145800.0,5275376.0,1816486.0,2226574.0,577945.0,43274032.0
Bolton School District,2010,7422653.0,192425.0,517285.0,932441.0,1442489.0,1067187.0,669336.0,636490.0,205078.0,13085384.0
Bozrah School District,2010,2134872.0,36766.0,40729.0,164388.0,464861.0,392352.0,328764.0,507727.0,0.0,4070459.0
Branford School District,2010,28648973.0,1974426.0,1894058.0,2982501.0,4140502.0,4002988.0,2808980.0,2768893.0,906890.0,50128211.0
Bridgeport School District,2010,168495033.0,4064231.0,5165920.0,17502683.0,23791160.0,25783210.0,14848610.0,19945543.0,1639187.0,281235577.0
Bristol School District,2010,65351558.0,2255775.0,4850377.0,4224159.0,10387146.0,10684340.0,5239814.0,5060913.0,1880871.0,109934953.0
Brookfield School District,2010,20493469.0,506165.0,1709049.0,2343962.0,4853767.0,2612694.0,1829413.0,1222628.0,618274.0,36189421.0
Brooklyn School District,2010,6958596.0,174241.0,180892.0,799979.0,928883.0,1054547.0,1091476.0,578668.0,30885.0,11798167.0
Canaan School District,2010,1238184.0,43450.0,35832.0,106124.0,256635.0,183282.0,124515.0,61177.0,13789.0,2062988.0
Canterbury School District,2010,4693805.0,175025.0,49865.0,391450.0,793815.0,1149580.0,947058.0,607902.0,23344.0,8831844.0
Canton School District,2010,11900635.0,595595.0,245478.0,2469624.0,2930496.0,2554592.0,1296164.0,1043281.0,618179.0,23654044.0
Chaplin School District,2010,1959843.0,114180.0,128538.0,337537.0,362951.0,272728.0,198506.0,0.0,5297.0,3379580.0
Charter School for Young Children on Asylum Hill District,2010,1444168.0,185021.0,13846.0,79658.0,454441.0,410873.0,0.0,0.0,63087.0,2651094.0
Cheshire School District,2010,35526460.0,1045778.0,2188982.0,3906677.0,5732720.0,5657276.0,3693002.0,1833034.0,909414.0,60493343.0
Chester School District,2010,2511565.0,58665.0,34851.0,607513.0,600934.0,352771.0,159382.0,18204.0,0.0,4343885.0
Clinton School District,2010,19347573.0,730800.0,943121.0,2014718.0,2489898.0,1815432.0,1514967.0,1100217.0,226109.0,30182835.0
Colchester School District,2010,22052624.0,605503.0,562261.0,2501272.0,3294741.0,3039689.0,2524584.0,1973313.0,431644.0,36985631.0
Colebrook School District,2010,1110638.0,9413.0,34643.0,36540.0,240206.0,162451.0,114034.0,130911.0,11603.0,1850439.0
Columbia School District,2010,4227669.0,45687.0,164165.0,1699939.0,918740.0,559281.0,722889.0,446031.0,62257.0,8846658.0
Common Ground High School District,2010,1012062.0,60301.0,25949.0,160484.0,401979.0,141614.0,8521.0,0.0,180257.0,1991167.0
Cornwall School District,2010,1507272.0,70665.0,160747.0,152558.0,338755.0,304168.0,272494.0,90444.0,0.0,2897103.0
Coventry School District,2010,14969065.0,440241.0,347739.0,1476770.0,2090699.0,2130703.0,1721028.0,1779560.0,745798.0,25701603.0
Cromwell School District,2010,16072003.0,646386.0,331665.0,1147992.0,3281489.0,2407582.0,1260143.0,711131.0,425990.0,26284381.0
Danbury School District,2010,81264841.0,3918511.0,3994509.0,6703668.0,10663747.0,9037576.0,6651045.0,2262057.0,885554.0,125381508.0
Darien School District,2010,46835488.0,1209118.0,2636211.0,2370544.0,7687711.0,6946391.0,2895301.0,1275498.0,1841531.0,73697793.0
Deep River School District,2010,2922952.0,72796.0,49105.0,496430.0,647261.0,450151.0,284053.0,358128.0,0.0,5280876.0
Derby School District,2010,10144162.0,295957.0,75491.0,1340730.0,2475765.0,1907318.0,935681.0,1769816.0,212754.0,19157674.0
East Granby School District,2010,7746964.0,594852.0,720631.0,721777.0,1538144.0,1453441.0,555200.0,408241.0,200219.0,13939469.0
East Haddam School District,2010,10455572.0,337746.0,370460.0,1037495.0,1982838.0,2290941.0,1289276.0,1371368.0,17498.0,19153194.0
