District,fiscal_year,exp_instructional_staff,exp_instructional_supplies,exp_instruction_media,exp_student_support,exp_admin_support,exp_plant,exp_transportation,exp_tuitioned_out,exp_other,total_expenditures
Achievement First Bridgeport Academy District,2014,5654792.0,493589.0,279019.0,958828.0,2622743.0,401299.0,140326.0,0.0,558214.0,11108810.0
Achievement First Hartford Academy District,2014,6717091.0,638398.0,167419.0,162108.0,2638821.0,83107.0,44960.0,0.0,31346.0,10483250.0
Amistad Academy District,2014,6610454.0,339082.0,408911.0,822835.0,3035797.0,451599.0,114853.0,0.0,521168.0,12304699.0
Andover School District,2014,2740679.0,104999.0,82287.0,163260.0,664002.0,452540.0,259261.0,221859.0,0.0,4688887.0
Ansonia School District,2014,17277476.0,1681633.0,557803.0,1137741.0,3921772.0,2815904.0,1877652.0,3656009.0,688317.0,33614307.0
Ashford School District,2014,4502683.0,305786.0,63764.0,259379.0,877580.0,744651.0,440977.0,225216.0,34032.0,7454068.0
Avon School District,2014,30147184.0,812467.0,874568.0,3608843.0,5417351.0,4708992.0,2618100.0,2348859.0,814054.0,51350418.0
Barkhamsted School District,2014,2530127.0,72868.0,197217.0,53743.0,462787.0,425058.0,270010.0,128148.0,444.0,4140402.0
Berlin School District,2014,23332208.0,1570577.0,1263609.0,5111618.0,4587408.0,5834822.0,2328866.0,1840108.0,990866.0,46860082.0
Bethany School District,2014,4157960.0,316971.0,90469.0,176813.0,784969.0,950367.0,340764.0,41058.0,0.0,6859371.0
Bethel School District,2014,25965355.0,563467.0,3342847.0,3279412.0,4289083.0,3824551.0,2347409.0,1368935.0,629612.0,45610671.0
Bloomfield School District,2014,22949787.0,1560460.0,1919984.0,3081262.0,6519565.0,5077775.0,2588202.0,1958550.0,573188.0,46228773.0
Bolton School District,2014,7587194.0,409448.0,467324.0,971717.0,1701456.0,1157061.0,701835.0,852819.0,235383.0,14084237.0
Bozrah School District,2014,2518670.0,161374.0,36126.0,209614.0,437135.0,407083.0,340958.0,334454.0,0.0,4445414.0
Branford School District,2014,29900579.0,1182496.0,2326136.0,3366533.0,5088951.0,4854542.0,2995782.0,3119879.0,1145750.0,53980648.0
Brass City Charter School District,2014,541267.0,121923.0,23508.0,14700.0,327378.0,156639.0,930.0,0.0,114490.0,1300835.0
Bridgeport School District,2014,176667378.0,11700133.0,4021582.0,18452380.0,27424935.0,25293527.0,17488407.0,18681764.0,1043995.0,300774101.0
Bristol School District,2014,65587827.0,1357724.0,4036685.0,7375529.0,8161594.0,9903795.0,7188103.0,7759348.0,2937399.0,114308004.0
