District,fiscal_year,exp_instructional_staff,exp_instructional_supplies,exp_instruction_media,exp_student_support,exp_admin_support,exp_plant,exp_transportation,exp_tuitioned_out,exp_other,total_expenditures
Achievement First Bridgeport Academy District,2013,4296591.0,314280.0,260310.0,833000.0,2373137.0,349622.0,105261.0,0.0,439266.0,8971467.0
Achievement First Hartford Academy District,2013,5783041.0,287779.0,261499.0,654782.0,2363489.0,37713.0,26792.0,0.0,39594.0,9454689.0
Amistad Academy District,2013,5821710.0,338218.0,467735.0,1004385.0,2069216.0,434951.0,101092.0,0.0,515610.0,10752917.0
Andover School District,2013,2628879.0,83663.0,78788.0,156723.0,609305.0,439659.0,253379.0,228437.0,0.0,4478833.0
Ansonia School District,2013,17067803.0,930038.0,498703.0,1269947.0,3699976.0,6856789.0,1828625.0,3204191.0,556760.0,35912832.0
Ashford School District,2013,4401741.0,347458.0,61423.0,245823.0,818106.0,589430.0,629916.0,207689.0,65097.0,7366683.0
Avon School District,2013,30476287.0,895188.0,1090239.0,3624913.0,4734968.0,4345690.0,2378017.0,2111569.0,101129.0,49758000.0
Barkhamsted School District,2013,2557613.0,40472.0,158624.0,52808.0,442772.0,400895.0,295329.0,54088.0,0.0,4002601.0
Berlin School District,2013,22995835.0,1133391.0,1273767.0,4265593.0,4841171.0,5162991.0,2198714.0,1750418.0,902448.0,44524328.0
Bethany School District,2013,4222351.0,190697.0,95823.0,158112.0,742263.0,929967.0,374604.0,85985.0,0.0,6799802.0
Bethel School District,2013,25561882.0,691986.0,2943917.0,2949421.0,4089152.0,3639334.0,2267646.0,1326343.0,589012.0,44058693.0
Bloomfield School District,2013,21783504.0,850020.0,1885343.0,3000474.0,6287655.0,5380087.0,2334557.0,1850518.0,495283.0,43867441.0
Bolton School District,2013,7574016.0,94249.0,537589.0,983209.0,1542494.0,1166820.0,744702.0,758507.0,215110.0,13616696.0
Bozrah School District,2013,2337093.0,93374.0,37979.0,209194.0,434214.0,360277.0,351321.0,381861.0,10177.0,4215490.0
Branford School District,2013,30541069.0,951286.0,2143713.0,3183317.0,4535282.0,4274172.0,2967960.0,3121786.0,1106061.0,52824646.0
Bridgeport School District,2013,169092617.0,6753796.0,4697396.0,18587192.0,26857775.0,27629861.0,15105275.0,18234133.0,928953.0,287886998.0
Bristol School District,2013,62649926.0,984061.0,4485590.0,6844007.0,8126011.0,8912388.0,6739248.0,6882031.0,3010647.0,108633909.0
Brookfield School District,2013,23549530.0,435284.0,1961517.0,2704143.0,3957106.0,3695974.0,2048270.0,870962.0,843764.0,40066550.0
Brooklyn School District,2013,7314294.0,100785.0,192091.0,727181.0,962002.0,1227313.0,1125384.0,936307.0,150.0,12585507.0
Canaan School District,2013,1308566.0,40037.0,41879.0,110600.0,290473.0,191927.0,135068.0,0.0,12618.0,2131168.0
Canterbury School District,2013,4937043.0,109406.0,79127.0,478886.0,827529.0,2021986.0,1004155.0,772301.0,39685.0,10270118.0
Canton School District,2013,12985708.0,368451.0,599577.0,3183209.0,2852881.0,2346425.0,1601097.0,955721.0,457714.0,25350783.0
Chaplin School District,2013,2009934.0,63544.0,138895.0,258692.0,356291.0,288462.0,222129.0,9281.0,12037.0,3359265.0
Cheshire School District,2013,36820704.0,1105899.0,2525279.0,3965440.0,6132097.0,6192191.0,3956037.0,2251887.0,973328.0,63922862.0
