District,fiscal_year,exp_instructional_staff,exp_instructional_supplies,exp_instruction_media,exp_student_support,exp_admin_support,exp_plant,exp_transportation,exp_tuitioned_out,exp_other,total_expenditures
Achievement First Bridgeport Academy District,2015,6341480.0,452178.0,415007.0,700097.0,2707177.0,501297.0,250828.0,0.0,628968.0,11997032.0
Achievement First Hartford Academy District,2015,6863137.0,646646.0,310629.0,1086042.0,3699477.0,83095.0,98398.0,0.0,17440.0,12804864.0
Amistad Academy District,2015,6249225.0,355875.0,466714.0,1218680.0,2523973.0,512598.0,191428.0,0.0,590732.0,12109225.0
Andover School District,2015,2712516.0,122533.0,84239.0,157766.0,615105.0,489907.0,192339.0,67287.0,0.0,4441692.0
Ansonia School District,2015,18603903.0,523762.0,517593.0,1523838.0,3968787.0,2915289.0,2239547.0,4120043.0,601798.0,35014560.0
Ashford School District,2015,4435066.0,414340.0,74245.0,270144.0,913197.0,637922.0,443685.0,349950.0,63305.0,7601854.0
Avon School District,2015,30874408.0,1015549.0,1077534.0,3666632.0,6175923.0,4535271.0,2518388.0,2681073.0,1064743.0,53609521.0
Barkhamsted School District,2015,2609535.0,43321.0,192124.0,58613.0,494930.0,437061.0,295868.0,105726.0,3387.0,4240565.0
Berlin School District,2015,23529251.0,981028.0,1754985.0,4781649.0,4710563.0,5597824.0,2436676.0,2047913.0,1143775.0,46983664.0
Bethany School District,2015,4186145.0,276873.0,99900.0,170134.0,932341.0,999508.0,377227.0,0.0,0.0,7042128.0
Bethel School District,2015,25938730.0,754157.0,3350534.0,3449705.0,4624333.0,4004524.0,2472202.0,1660359.0,647712.0,46902256.0
Bloomfield School District,2015,23751262.0,804486.0,1398784.0,2986034.0,6899306.0,4868897.0,2819981.0,2755828.0,662231.0,46946809.0
Bolton School District,2015,7461584.0,247952.0,561255.0,999296.0,1916724.0,1435957.0,681494.0,761523.0,226062.0,14291847.0
Booker T. Washington Academy District,2015,641184.0,45879.0,29482.0,43249.0,526782.0,289187.0,9562.0,0.0,3599.0,1588924.0
Bozrah School District,2015,2402764.0,84254.0,43464.0,220633.0,430251.0,428716.0,344579.0,410486.0,13808.0,4378955.0
Branford School District,2015,30307538.0,1008278.0,2459872.0,3580773.0,5552487.0,4423188.0,2883326.0,2788469.0,1159209.0,54163140.0
Brass City Charter School District,2015,1021407.0,173053.0,20301.0,15575.0,499695.0,217096.0,2260.0,0.0,127140.0,2076527.0
Bridgeport School District,2015,162144284.0,8967320.0,7058028.0,19397789.0,37009609.0,26323634.0,18936887.0,22500905.0,902815.0,303241271.0
Bristol School District,2015,68362491.0,1183532.0,4405968.0,7777416.0,8166191.0,10264291.0,7576708.0,8171193.0,2834104.0,118741894.0
Brookfield School District,2015,22456681.0,366561.0,1765400.0,2782338.0,5111627.0,2953124.0,2741352.0,1532862.0,893089.0,40603034.0
Brooklyn School District,2015,7167793.0,208280.0,273871.0,968217.0,1006758.0,1327075.0,1092625.0,827458.0,38575.0,12910652.0
Canaan School District,2015,1304305.0,32325.0,74068.0,108025.0,301203.0,230401.0,147334.0,213.0,12044.0,2209918.0
