fiscal_year,policy_year,delta_gcs,delta_sd,n_tests,subject
2019,1,0.01869693225417618,0.0057070272138142674,426207.3333333333,all
2019,1,0.01818777930841816,0.005704628747705297,212779.33333333334,mth
2019,1,0.019204537743442322,0.005709418390321987,213428.0,rla
2020,2,0.03844412411178714,0.011734439592616124,426207.3333333333,all
2020,2,0.03739937777503272,0.01172989869572919,212779.33333333334,mth
2020,2,0.039485695175738675,0.011738966688462674,213428.0,rla
2021,3,0.058584417927156726,0.017881677387854168,426207.3333333333,all
2021,3,0.056996371048963324,0.01787562628728376,212779.33333333334,mth
2021,3,0.060167638292076386,0.01788771009745789,213428.0,rla
2022,4,0.07843304306367842,0.02393989830093211,426207.3333333333,all
2022,4,0.076310254552729,0.02393257221396512,212779.33333333334,mth
2022,4,0.08054937983377175,0.023947202121896445,213428.0,rla
2023,5,0.08062813926958474,0.024609457523589215,426207.3333333333,all
2023,5,0.07845175005793607,0.024603068376308927,212779.33333333334,mth
2023,5,0.08279791383303688,0.02461582725248547,213428.0,rla
2024,6,0.08230850808638655,0.025122007901525446,426207.3333333333,all
2024,6,0.08009153760696286,0.025116452876994527,212779.33333333334,mth
2024,6,0.08451874057992748,0.02512754604280184,213428.0,rla
2025,7,0.08465169696262809,0.025838065551948366,426207.3333333333,all
2025,7,0.08236809171370305,0.02583244780636906,212779.33333333334,mth
2025,7,0.08692836170419327,0.025843666223646554,213428.0,rla
