fiscal_year,policy_year,low FRPL,middle,high FRPL,gap_change_high_minus_low
2019,1,0.015961254178512043,0.007673039640730457,0.025123028565368893,0.00916177438685685
2020,2,0.033735850345073724,0.017306130328074314,0.050486301034215114,0.01675045068914139
2021,3,0.052911144191332984,0.028781135167176824,0.07506080443305334,0.022149660241720354
2022,4,0.07249272846086605,0.040997929525957634,0.09851140653597693,0.02601867807511088
2023,5,0.07665488139104841,0.04670049778987601,0.09809109414932582,0.02143621275827741
2024,6,0.07920535154837892,0.05135208627442979,0.09797035989384915,0.018765008345470235
2025,7,0.08044317777805926,0.05363138001741423,0.100917896052959,0.020474718274899745
