fiscal_year,policy_year,low FRPL,middle,high FRPL,gap_change_high_minus_low
2019,1,-0.003016877931881925,0.0034189832865891257,0.05332575033764153,0.05634262826952346
2020,2,-0.004366193977030256,0.008786896238448761,0.10691705311745726,0.11128324709448752
2021,3,-0.0048573597870576425,0.014718747124870266,0.1550832890662894,0.15994064885334705
2022,4,0.0020295274308947285,0.02461605785116527,0.2034209941864653,0.20139146675557057
2023,5,0.013281265849100289,0.034363053858840066,0.20489229178515275,0.19161102593605248
2024,6,0.02454165381256786,0.04777446231762752,0.2160015693894642,0.19145991557689632
2025,7,0.0318864337835055,0.060508074581392346,0.22880960946837053,0.19692317568486503
