"Per Pupil Expenditures, 2015-16"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
"Type","Instructional Staff and Services","Instructional Supplies and Equipment","Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Management","Transportation","Other","Total Expenditures"
"Achievement First Bridgeport Academy District",4889,509,413,907,2635,489,N/A,486,10483
="Achievement First Hartford Academy District",7124,466,409,1232,4333,22,N/A,21,13712
="Amistad Academy District",5239,230,377,1040,3234,506,N/A,537,11379
="Andover School District",11290,508,487,626,2118,1831,346,33,17232
="Ansonia School District",8366,190,265,690,1672,1229,878,0,13932
="Ashford School District",11304,875,253,599,2590,1732,642,261,19165
="Avon School District",9878,246,284,1071,1578,1417,785,330,16218
="Barkhamsted School District",9202,166,798,206,1879,2978,481,0,17098
="Berlin School District",8805,304,478,1624,1782,1942,850,412,16044
="Bethany School District",11108,952,301,586,2067,1703,389,0,17925
="Bethel School District",9141,220,1231,1124,1520,1390,824,263,16291
="Bloomfield School District",11779,380,667,1514,3388,3093,1107,306,20879
="Bolton School District",9455,340,736,1173,2578,1883,819,240,17174
="Booker T. Washington Academy District",7607,770,1510,1599,1065,765,N/A,0,13410
="Bozrah School District",12091,538,267,1175,2152,1805,1086,62,20502
="Branford School District",10498,268,1221,822,1802,1506,935,359,17758
="Brass City Charter School District",6961,709,166,706,2212,2034,N/A,914,13744
="Bridgeport School District",7831,326,313,1004,1818,1304,976,43,14296
="Bristol School District",8314,165,525,1250,1011,1391,908,237,14066
="Brookfield School District",8362,247,874,1000,1943,1178,929,225,14994
="Brooklyn School District",8188,197,301,1177,1553,1663,913,38,14707
="Canaan School District",17167,853,930,1675,3862,5134,1155,205,31627
="Canterbury School District",10611,273,236,1038,1850,2682,898,61,18530
="Canton School District",8263,295,318,2211,2054,1642,864,298,15975
="Capital Preparatory Harbor School District",5098,1309,1448,738,1750,738,N/A,641,11799
="Chaplin School District",12542,410,763,1563,2448,1432,682,37,18945
="Cheshire School District",9284,304,593,938,1533,1561,839,222,15781
="Chester School District",10620,352,184,2913,2885,2239,281,364,19352
="Clinton School District",11532,236,375,1140,1651,1294,799,86,17596
="Colchester School District",8777,274,339,1233,1818,1577,917,165,15355
="Colebrook School District",13373,155,294,481,3664,3241,646,243,20345
="Columbia School District",8290,281,242,3889,2119,927,1207,908,19421
="Common Ground High School District",6961,231,3263,1118,3240,856,N/A,1004,16721
="Cornwall School District",19857,395,959,1626,4406,3864,1904,9,34236
="Coventry School District",10361,429,249,995,1700,1635,976,9,16406
="Cromwell School District",8811,404,207,745,1579,1504,673,228,14364
="Danbury School District",8375,385,207,542,1320,989,647,86,13039
="Darien School District",11953,404,1015,580,1565,1941,667,296,19727
="Deep River School District",9843,271,354,2611,2244,1610,345,279,18087
="Derby School District",10085,537,9,1035,1973,1808,731,224,16005
="East Granby School District",11456,833,1104,362,2201,2135,758,215,18981
="East Haddam School District",10821,424,485,1070,2226,2288,1020,17,18623
="East Hampton School District",9790,381,378,906,1825,1193,648,9,15020
="East Hartford School District",9162,356,314,1430,2092,1829,652,9,14121
="East Haven School District",9580,309,411,1580,2252,1692,844,332,16354
="East Lyme School District",9776,126,672,819,1582,1989,726,331,15993
="East Windsor School District",11166,280,473,1582,3708,1371,1057,13,19235
="Eastford School District",13243,158,670,1901,2603,1524,1420,0,25137
="Easton School District",13246,217,467,234,2183,1561,754,8,19888
="Ellington School District",7893,289,583,1593,1134,1303,728,200,13632
="Elm City College Preparatory School District",6452,601,394,1184,4392,771,N/A,623,14612
="Elm City Montessori School District",4307,1608,2680,4036,3305,3142,N/A,584,19955
="Enfield School District",9313,249,314,185,1909,1476,813,242,14371
="Essex School District",10373,316,203,2453,2168,2706,404,242,20887
="Explorations District",11079,331,731,1132,2087,4348,N/A,138,20464
="Fairfield School District",9673,197,1077,1296,1711,1578,801,211,17063
="Farmington School District",10612,364,601,1103,1139,1517,715,29,16613
="Franklin School District",9633,107,237,1180,2411,2047,836,67,17307
="Glastonbury School District",9159,548,970,962,1731,1833,849,226,16300
="Granby School District",8330,246,532,1333,1472,1748,756,340,14888
="Great Oaks Charter School District",6075,988,5023,152,2700,1523,N/A,590,18182
="Greenwich School District",14464,263,498,1455,2074,1551,576,0,21518
="Griswold School District",8810,146,164,591,1426,1787,836,148,14291
="Groton School District",9322,200,681,1890,1805,1530,972,0,16092
="Guilford School District",9798,289,569,1119,1894,1631,934,299,17493
="Hamden School District",12538,303,288,1644,1945,2055,1113,180,19128
="Hampton School District",12218,643,570,2363,3123,2285,874,125,23845
="Hartland School District",10111,278,1052,2185,2404,1404,1167,825,17704
="Hebron School District",10286,502,598,1042,1440,1846,314,0,16077
="Highville Charter School District",4863,513,211,678,2724,2079,N/A,693,11773
="Integrated Day Charter School District",6934,344,490,595,2264,1365,N/A,661,12715
="Interdistrict School for Arts and Comm District",7636,250,1315,637,2484,1181,N/A,0,13531
