"Per Pupil Expenditures, 2008-09"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
"Type","Instructional Staff and Services","Instructional Supplies and Equipment","Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Management","Transportation","Other","Total Expenditures"
"Achievement First Bridgeport Academy District",4476,894,309,754,4607,655,N/A,640,12335
="Achievement First Hartford Academy District",4163,1768,254,992,5257,48,N/A,15,13798
="Amistad Academy District",6218,756,354,1403,3585,828,N/A,607,14686
="Andover School District",7187,276,270,488,1686,1118,248,0,11790
="Ansonia School District",6264,326,244,498,1280,968,421,337,10214
="Ashford School District",10122,448,61,258,1446,1094,655,70,15352
="Avon School District",6804,220,271,1157,981,1276,498,139,11575
="Barkhamsted School District",6484,326,345,132,1074,1049,401,7,10523
="Berlin School District",6661,324,312,1130,1402,1670,580,251,12603
="Bethany School District",6964,256,603,419,1290,1488,320,0,11694
="Bethel School District",7377,185,897,938,1371,1338,736,147,13463
="Bloomfield School District",9209,765,321,1453,2909,2543,715,251,16330
="Bolton School District",8180,225,635,975,1643,1335,831,208,14225
="Bozrah School District",7774,197,154,577,2185,1147,826,27,14372
="Branford School District",7680,569,627,819,1223,1157,752,248,13522
="Bridgeport School District",8037,300,253,806,1126,1380,607,87,13101
="Bristol School District",7370,171,566,445,1071,1174,600,227,12037
="Brookfield School District",6277,172,350,973,1993,966,549,211,11888
="Brooklyn School District",6877,223,185,832,908,1151,805,14,11772
="Canaan School District",14395,616,556,1272,3173,2730,1012,206,24406
="Canterbury School District",7606,152,104,621,1255,1887,951,31,13930
="Canton School District",6789,273,220,918,1769,1630,726,37,12661
="Chaplin School District",11049,475,754,1765,1970,1565,573,31,18817
="Charter School for Young Children on Asylum Hill District",7193,260,86,647,2568,1489,N/A,83,12327
="Cheshire School District",7012,249,468,764,1108,1223,635,197,11997
="Chester School District",7617,188,128,1904,1954,1269,239,0,13192
="Clinton School District",9071,454,406,922,1028,1425,658,143,14442
="Colchester School District",6460,207,256,848,1158,1058,703,145,11194
="Colebrook School District",9339,161,419,306,2084,1652,468,102,14731
="Columbia School District",7390,362,284,2827,1778,1113,927,63,15633
="Common Ground High School District",7290,1627,41,666,1701,757,N/A,1062,13184
="Cornwall School District",11720,651,1291,1201,2945,2840,1069,4,21779
="Coventry School District",7051,217,262,1127,1094,1147,876,477,12678
="Cromwell School District",7974,314,130,528,1498,1377,494,186,12759
="Danbury School District",7903,325,463,759,1060,947,583,84,12061
="Darien School District",9340,256,557,486,1483,1774,598,387,15287
="Deep River School District",7741,172,191,1679,1842,1530,312,0,13642
="Derby School District",6671,143,89,1281,1407,1241,480,164,11717
="East Granby School District",8019,552,738,733,1747,1593,581,212,14370
="East Haddam School District",6941,402,260,701,1416,1818,847,5,13081
="East Hampton School District",7601,235,337,829,1296,1491,677,9,12793
="East Hartford School District",8808,219,177,402,1560,1190,522,91,12166
="East Haven School District",6808,151,193,1142,1755,1499,606,313,13093
="East Lyme School District",7623,167,539,462,1272,1505,587,233,12764
="East Windsor School District",7887,326,240,442,1695,1310,898,317,13452
="Eastford School District",8237,530,281,1201,1811,1572,644,0,14982
="Easton School District",8680,163,239,178,1432,1299,618,148,13443
="Ellington School District",6870,202,355,553,838,1224,648,155,11208
="Elm City College Preparatory School District",5730,773,302,579,3393,617,N/A,647,12930
="Enfield School District",7232,126,285,899,1374,1228,535,222,12089
="Essex School District",6943,286,176,1223,1580,1007,273,0,12090
="Explorations District",6288,87,239,477,2403,1916,N/A,69,11634
="Fairfield School District",8142,235,918,1089,1678,1621,649,199,14812
="Farmington School District",7386,302,382,910,913,1300,583,43,12338
="Franklin School District",8432,155,3,698,1665,1540,646,31,14308
="Glastonbury School District",6807,230,629,698,1302,1398,633,170,12115
="Granby School District",6741,519,392,752,1196,1346,583,268,11870
="Greenwich School District",11427,376,365,1169,1689,1930,474,0,17909
="Griswold School District",6396,423,197,445,1681,1490,699,238,11729
="Groton School District",7951,460,625,1213,1428,1591,707,1,14094
="Guilford School District",7333,267,291,849,1625,1317,822,186,13320
