"Per Pupil Expenditures, 2007-08"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
"Type","Instructional Staff and Services","Instructional Supplies and Equipment","Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Management","Transportation","Other","Total Expenditures"
"Achievement First Bridgeport Academy District",3504,1915,318,1406,7063,852,N/A,757,15815
="Amistad Academy District",4573,1028,324,1514,4331,737,N/A,701,13208
="Andover School District",6631,347,339,458,1576,1005,235,0,10833
="Ansonia School District",6371,327,311,358,1281,903,429,224,10261
="Ashford School District",8799,400,52,142,1373,1157,608,56,13880
="Avon School District",6532,175,241,1190,941,1187,469,154,11130
="Barkhamsted School District",6439,186,404,132,1005,1020,399,0,10078
="Berlin School District",6343,278,309,1036,1289,1465,523,225,11722
="Bethany School District",6459,321,516,388,1196,1193,310,0,10867
="Bethel School District",7051,171,908,885,1296,1245,655,157,12849
="Bloomfield School District",8800,603,306,1382,2726,2198,720,228,15258
="Bolton School District",7945,183,605,908,1526,1278,748,218,13575
="Bozrah School District",7988,260,160,690,1672,1323,735,196,13992
="Branford School District",7580,392,579,817,1194,1083,684,247,13002
="Bridgeport School District",7599,311,299,668,1127,1320,576,112,12510
="Bristol School District",6902,210,557,444,1033,1076,566,195,11374
="Brookfield School District",6472,130,524,848,2049,897,500,241,11774
="Brooklyn School District",6381,117,219,851,943,829,779,21,10901
="Canaan School District",11916,552,515,1016,2616,2049,929,183,19053
="Canterbury School District",7759,431,128,583,1281,1869,1210,8,14553
="Canton School District",6748,296,143,884,1627,1736,717,33,12550
="Chaplin School District",9131,352,573,1414,1650,1329,553,21,15288
="Cheshire School District",6566,209,403,723,1052,1161,601,193,11241
="Chester School District",6771,197,121,1585,1768,912,202,0,11526
="Clinton School District",8475,535,359,908,931,1083,664,176,13462
="Colchester School District",6111,212,241,786,1014,953,689,131,10558
="Colebrook School District",8454,160,601,284,2009,1198,349,91,13827
="Columbia School District",8549,418,310,1789,1100,1070,838,91,15114
="Common Ground High School District",7045,239,134,395,1622,709,N/A,866,11072
="Cornwall School District",10824,692,1441,1084,2559,2097,1156,4,19375
="Coventry School District",6732,175,277,1093,1105,999,803,197,11623
="Cromwell School District",7823,335,131,527,1396,1187,450,146,12387
="Danbury School District",7675,304,471,717,1054,904,535,83,11701
="Darien School District",8902,279,501,466,1356,1491,559,329,14147
="Deep River School District",7034,226,122,1415,1623,1187,242,1,12960
="Derby School District",6649,321,263,1009,1468,1116,439,191,11513
="East Granby School District",7924,365,649,666,1797,1291,530,196,13688
="East Haddam School District",6979,297,278,731,1358,1477,800,3,12639
="East Hampton School District",6923,378,277,761,1182,1226,717,6,12055
="East Hartford School District",8153,256,212,360,1483,1235,508,85,11485
="East Haven School District",6047,64,548,1056,1572,1380,562,247,11895
="East Lyme School District",7067,188,490,445,1130,1421,477,244,11960
="East Windsor School District",6970,255,237,424,1752,1152,833,108,12074
="Eastford School District",7004,342,159,2315,1688,1765,765,0,14827
="Easton School District",8247,150,226,166,1326,1225,620,0,12670
="Ellington School District",6660,206,298,487,850,1103,609,133,10768
="Elm City College Preparatory School",3188,929,313,1105,2487,630,N/A,601,9253
="Enfield School District",7183,186,272,841,1143,1183,496,246,11712
="Essex School District",6954,302,120,1138,1620,1103,239,0,11469
="Explorations District",5393,213,357,409,2361,1970,N/A,86,10984
="Fairfield School District",7847,244,851,1056,1564,1612,693,200,14323
="Farmington School District",6744,259,435,850,1217,1439,607,215,12270
="Franklin School District",7833,500,0,578,1670,1633,670,36,13605
