"Per Pupil Expenditures, 2016-17"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
"Type","Instructional Staff and Services","Instructional Supplies and Equipment","Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Management","Transportation","Other","Total Expenditures"
"Achievement First Bridgeport Academy District",6258,343,276,976,3240,526,N/A,602,12401
="Achievement First Hartford Academy District",7537,498,459,1210,4140,25,N/A,26,13914
="Amistad Academy District",6325,321,329,1124,3203,570,N/A,585,12669
="Andover School District",12027,241,946,661,2511,5132,326,30,21810
="Ansonia School District",9082,401,67,463,1595,1124,919,0,14531
="Ashford School District",11590,760,81,594,2552,1962,712,191,18990
="Avon School District",10195,241,258,1165,1669,1464,820,316,16715
="Barkhamsted School District",10122,213,654,246,2121,2229,533,11,17239
="Berlin School District",9022,267,440,1563,2140,1862,950,432,16702
="Bethany School District",11322,1375,416,590,2604,1816,440,0,19748
="Bethel School District",9100,183,1267,1105,1521,1321,853,285,16252
="Bloomfield School District",11585,323,488,1422,3742,2709,1199,309,20624
="Bolton School District",9538,239,730,1165,2488,1770,909,225,17287
="Booker T. Washington Academy District",7251,952,466,918,2389,618,N/A,7,12783
="Bozrah School District",12167,701,219,1202,2252,2103,962,52,21085
="Branford School District",10836,318,1244,885,1956,1553,1004,370,18513
="Brass City Charter School District",8475,667,62,648,2235,1338,N/A,961,14422
="Bridgeport School District",7717,292,310,1057,1743,1272,966,37,14088
="Bristol School District",8706,92,591,1056,1210,1285,973,280,14281
="Brookfield School District",8578,105,1056,1051,1974,1122,969,243,15377
="Brooklyn School District",9507,124,387,204,1478,1192,1190,84,15403
="Canaan School District",16410,556,838,1812,4557,2861,1226,55,28335
="Canterbury School District",11154,432,238,1049,1968,2441,905,159,19212
="Canton School District",8458,306,352,2242,2081,1472,901,364,16131
="Capital Preparatory Harbor School District",4333,138,943,216,3103,1320,N/A,478,10841
="Chaplin School District",14238,357,889,1446,3122,1745,883,38,22184
="Cheshire School District",9621,215,624,948,1555,1647,863,226,16123
="Chester School District",10995,421,221,3356,3085,2410,315,309,20662
="Clinton School District",11898,273,388,1244,1766,1329,776,70,18392
="Colchester School District",8851,269,322,1322,1963,1496,930,183,15617
="Colebrook School District",15006,148,408,525,4182,1723,736,282,23456
="Columbia School District",8743,175,253,4118,2367,975,1156,919,19690
="Common Ground High School District",6685,230,1164,2786,3066,1155,N/A,872,15958
="Cornwall School District",24697,1011,1608,2161,6186,5431,2056,15,44341
="Coventry School District",10843,439,243,1109,1708,1357,1079,0,17199
="Cromwell School District",8367,448,205,1040,1794,1510,714,244,14918
="Danbury School District",8347,387,204,551,1354,960,676,107,13032
="Darien School District",12377,462,990,608,1771,1950,631,337,20576
="Deep River School District",11015,360,201,3027,2686,1620,359,301,20404
="Derby School District",10779,427,11,1082,2070,1891,768,217,17063
="East Granby School District",11525,430,1108,769,2307,1942,761,208,19290
="East Haddam School District",11498,490,452,1176,2555,2302,1049,56,19774
="East Hampton School District",10032,213,352,1112,1904,1179,657,8,15288
="East Hartford School District",9998,263,357,1647,2119,1952,690,14,15017
="East Haven School District",9951,370,486,1439,1917,1206,883,283,16008
="East Lyme School District",10153,112,761,1017,1644,2027,674,334,16684
="East Windsor School District",10865,2079,609,1820,3588,1463,1240,486,21605
="Eastford School District",12586,239,742,2281,2453,2269,1351,0,24297
="Easton School District",12414,200,441,251,2356,1710,756,0,18855
="Ellington School District",8436,209,602,1370,1126,1306,735,219,14051
="Elm City College Preparatory School District",6768,459,430,1220,5333,686,N/A,602,15698
="Elm City Montessori School District",4976,368,1841,3475,3313,3481,N/A,676,18767
="Enfield School District",9374,352,403,181,1921,1522,865,231,14841
="Essex School District",11708,318,172,2731,2469,2768,454,260,22616
="Explorations District",11069,108,1052,1715,2611,2674,N/A,199,19815
="Fairfield School District",9680,234,1058,1301,1781,1760,844,215,17505
="Farmington School District",10282,394,624,1192,1277,1717,753,50,16805
="Franklin School District",9744,151,363,1205,2664,2090,1019,44,18200
="Glastonbury School District",9380,496,964,1022,1813,1874,867,255,16758
="Granby School District",8656,243,726,1269,1560,1644,701,379,15353
="Great Oaks Charter School District",8377,824,5434,106,926,1122,N/A,606,18515
="Greenwich School District",14380,269,496,1453,2079,1536,585,0,21502
="Griswold School District",9438,79,169,619,1511,1803,969,152,15185
="Groton School District",9873,234,468,1601,1790,1578,1101,0,16454
="Guilford School District",9852,325,610,1117,1921,1714,948,293,17771
="Hamden School District",12633,256,285,1839,1999,1966,1133,156,19552
="Hampton School District",12057,448,567,1859,3358,2502,890,148,24951
="Hartford School District",9203,290,372,1469,2649,1816,1062,0,17324
="Hartland School District",10233,287,1056,2301,2644,1422,1132,817,17931
="Hebron School District",10496,311,925,966,1510,1798,305,0,17052
="Highville Charter School District",5014,319,37,546,2515,1275,N/A,681,10402
="Integrated Day Charter School District",6930,285,565,379,2494,1132,N/A,573,12374
="Interdistrict School for Arts and Comm District",7217,192,1675,645,2527,1196,N/A,0,13490
="Jumoke Academy District",6550,433,84,1098,2705,1327,N/A,3,12202
="Kent School District",14434,984,547,1672,2549,2541,1275,116,24241
="Killingly School District",8180,259,1015,854,1888,2046,1088,50,17610
="Lebanon School District",9838,673,513,1565,1832,2024,1393,291,18602
="Ledyard School District",8599,278,605,1068,2151,1303,993,153,15355
="Lisbon School District",10074,210,220,1630,1672,1310,1524,63,19725
="Litchfield School District",10312,137,1141,1792,2013,1864,1272,889,20641
="Madison School District",10224,346,949,1721,1450,1845,1163,493,18837
="Manchester School District",10473,145,1329,1309,2107,2095,674,195,16586
="Mansfield School District",11838,589,545,1175,2801,1985,574,87,20046
="Marlborough School District",9294,290,577,296,1513,1147,291,0,13521
="Meriden School District",8904,281,111,1112,1374,1840,707,151,14318
="Middletown School District",10676,243,424,967,1510,1914,1418,343,17538
="Milford School District",12415,457,405,604,2047,2040,746,363,19710
="Monroe School District",9323,111,1772,1235,1774,1706,933,212,17496
="Montville School District",10384,438,336,984,1411,1692,972,311,16238
="Naugatuck School District",8785,248,248,1344,2911,1366,678,166,15316
="New Beginnings Inc Family Academy District",7278,513,3,777,3123,1716,N/A,1090,14527
="New Britain School District",9609,154,434,564,1146,1219,1106,21,13990
="New Canaan School District",11270,407,756,1982,2000,2283,1199,415,21135
="New Fairfield School District",9675,307,653,1193,1686,1436,801,256,16551
="New Hartford School District",11030,196,153,712,2264,2103,663,51,17631
="New Haven School District",10867,323,259,174,1777,1389,1379,91,16893
="New London School District",8554,494,375,1239,2978,2471,1130,207,15897
="New Milford School District",8709,244,305,1089,1565,1446,1134,257,15272
="Newington School District",9726,431,520,985,2069,2346,854,213,17128
="Newtown School District",8770,333,401,1640,1901,2299,980,247,17372
="Norfolk School District",12646,616,1783,551,5959,3454,686,80,26409
="North Branford School District",8216,168,995,1370,1910,2033,1174,436,16470
="North Canaan School District",12871,360,193,1367,2240,1792,936,69,20320
="North Haven School District",8861,126,390,1470,2121,1422,1088,190,16370
="North Stonington School District",9772,688,269,1167,2918,1521,1161,0,17161
="Norwalk School District",10623,177,103,1290,2443,1346,768,153,17466
="Norwich School District",10765,600,117,1345,1042,1135,1273,0,17942
="Odyssey Community School District",6991,424,144,170,2508,1624,N/A,0,11861
="Old Saybrook School District",9950,645,943,1277,1918,2661,917,495,19862
="Orange School District",9610,816,633,1790,2425,1582,494,87,18683
="Oxford School District",8716,447,154,1208,1819,1248,928,324,15249
="Park City Prep Charter School District",4540,1343,612,808,2543,2917,N/A,408,13172
="Path Academy District",6139,458,413,2189,2297,1042,N/A,591,13165
="Plainfield School District",8402,239,326,1270,1661,1694,1331,192,15578
="Plainville School District",9803,194,531,777,1965,1321,787,0,15880
="Plymouth School District",8894,302,263,1191,1455,1402,1089,890,15145
="Pomfret School District",11578,367,755,419,2129,1611,1238,37,20198
="Portland School District",8704,242,485,982,1662,1995,772,320,15076
="Preston School District",12377,336,239,678,2019,1665,1574,111,20948
="Putnam School District",8490,324,206,2143,2011,2090,970,245,18449
="Redding School District",15975,217,483,227,1939,2117,883,0,23238
="Regional School District 01",12530,764,1310,2011,2797,2915,343,1024,25690
="Regional School District 04",9305,254,508,1297,2335,1859,669,1030,18093
="Regional School District 05",9336,202,488,1256,2711,1972,1105,486,18696
="Regional School District 06",10276,441,856,1274,2362,2019,1058,393,18876
="Regional School District 07",9806,343,227,785,1874,1893,1442,415,17502
="Regional School District 08",9066,181,600,955,1615,1934,974,438,16023
="Regional School District 09",14366,278,367,235,1706,2149,1389,0,22519
="Regional School District 10",8682,257,951,1027,1492,1741,949,0,15590
="Regional School District 11",11076,388,306,1576,4005,2409,1546,1039,21983
="Regional School District 12",14017,746,1659,2486,2991,3723,2160,675,30081
="Regional School District 13",10695,214,576,1710,2785,2020,919,351,19542
="Regional School District 14",8958,268,1196,1778,2024,2097,1095,466,18586
="Regional School District 15",9955,149,407,1697,1769,1835,1135,388,17921
="Regional School District 16",8643,209,870,1021,2091,1498,1085,242,15922
="Regional School District 17",9897,190,347,1081,2170,2356,1464,428,18571
="Regional School District 18",10714,342,1108,1512,2621,3231,927,478,21305
="Regional School District 19",10234,299,212,1073,2222,1419,1731,697,18408
="Ridgefield School District",10778,187,1211,1033,1599,1820,949,297,18634
="Rocky Hill School District",9225,272,987,1078,1248,2104,633,0,15388
="Salem School District",7674,485,200,2730,2822,1979,1307,0,19498
="Salisbury School District",14602,305,594,1402,2252,3722,1334,61,25805
="Scotland School District",10966,235,891,2214,3323,2249,748,190,20963
="Seymour School District",8447,324,427,1099,2069,1677,825,250,15448
="Sharon School District",17576,476,623,2591,4484,4871,1627,54,33108
="Shelton School District",9215,150,338,871,1431,1687,765,186,14477
="Sherman School District",14176,429,1511,178,2064,1887,922,226,22399
="Side By Side Charter School District",6932,89,19,1237,2709,1280,N/A,0,12265
="Simsbury School District",9906,259,963,1274,1506,1715,839,188,16725
="Somers School District",9435,387,417,1002,1487,1887,716,216,16032
="South Windsor School District",9842,202,1144,1378,1824,1556,863,391,17324
="Southington School District",8739,172,179,1131,1630,1403,645,148,14492
="Sprague School District",9220,133,439,899,1782,975,956,0,15396
="Stafford School District",10974,286,429,611,2119,2049,1285,165,18023
="Stamford Academy District",6086,79,0,2939,9681,157,N/A,419,19739
="Stamford Charter School for Excellence District",4900,461,685,136,1652,595,N/A,125,8554
="Stamford School District",11011,215,1148,1104,1808,1646,903,0,18756
="Sterling School District",8123,173,540,394,1733,1155,1072,61,15042
="Stonington School District",9653,96,914,1007,2208,2036,1008,224,17788
="Stratford School District",9531,155,487,1745,1707,1507,746,281,16498
="Suffield School District",9478,187,540,1174,1831,1433,697,257,16371
="The Bridge Academy District",8117,574,227,1239,1518,695,N/A,566,12978
="Thomaston School District",9530,283,122,952,2218,1685,1154,377,15607
="Thompson School District",9189,392,253,1296,2671,1947,923,199,18089
="Tolland School District",9088,268,731,650,1783,1597,922,48,15872
="Torrington School District",10411,196,320,1547,1517,1335,1025,132,17334
="Trailblazers Academy District",8167,122,0,3641,16863,2166,N/A,784,31923
="Trumbull School District",9380,191,800,1267,1852,1241,765,207,16156
="Union School District",13687,729,224,731,4142,1912,1131,0,23706
="Vernon School District",9893,228,817,888,1961,1846,769,199,16041
="Voluntown School District",10186,409,453,1523,2778,1320,1311,210,19758
="Wallingford School District",10092,127,688,1142,2232,1573,1124,308,17772
="Waterbury School District",9360,206,1240,497,1310,1105,735,574,15350
="Waterford School District",10897,517,210,1294,1837,1999,847,372,16687
="Watertown School District",9470,125,255,622,2168,1805,880,21,15966
="West Hartford School District",9361,269,760,1158,1970,1455,798,149,16230
="West Haven School District",8955,226,510,900,1190,2801,777,307,14533
="Westbrook School District",14815,788,495,475,2267,2397,771,905,23521
="Weston School District",10757,142,1816,1966,2035,2312,722,514,21379
="Westport School District",11918,647,545,1835,2098,2299,996,327,21175
="Wethersfield School District",9119,138,380,1147,1939,1736,830,266,15871
="Willington School District",11095,277,737,1310,2715,1687,930,3,19637
="Wilton School District",11552,208,982,1764,2547,1554,975,0,20667
