"Per Pupil Expenditures, 2012-13"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
"Type","Instructional Staff and Services","Instructional Supplies and Equipment","Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Management","Transportation","Other","Total Expenditures"
"Achievement First Bridgeport Academy District",6121,448,371,1187,3381,498,N/A,626,12780
="Achievement First Hartford Academy District",7018,349,317,795,2868,46,N/A,48,11474
="Amistad Academy District",6440,374,517,1111,2289,481,N/A,570,11895
="Andover School District",8372,266,251,499,1940,1400,368,0,13996
="Ansonia School District",7076,386,207,527,1534,2843,665,231,13360
="Ashford School District",10027,791,140,560,1864,1343,855,148,16704
="Avon School District",8948,263,320,1064,1390,1276,664,30,14108
="Barkhamsted School District",7328,116,455,151,1269,1149,451,0,11469
="Berlin School District",7735,381,428,1435,1628,1737,704,304,14349
="Bethany School District",8927,403,203,334,1569,1966,389,0,14529
="Bethel School District",8592,233,990,991,1375,1223,748,198,14935
="Bloomfield School District",10334,403,894,1423,2983,2552,921,235,18556
="Bolton School District",8491,106,603,1102,1729,1308,888,241,14996
="Bozrah School District",9697,387,158,868,1802,1495,877,42,16998
="Branford School District",9374,292,658,977,1392,1312,853,339,15592
="Bridgeport School District",8393,335,233,923,1333,1371,703,46,13761
="Bristol School District",7585,119,543,829,984,1079,689,364,12654
="Brookfield School District",8441,156,703,969,1418,1325,678,302,14203
="Brooklyn School District",7806,108,205,776,1027,1310,844,0,13069
="Canaan School District",17448,534,558,1475,3873,2559,970,168,26640
="Canterbury School District",10076,223,161,977,1689,4127,1170,81,20059
="Canton School District",7429,211,343,1821,1632,1342,904,262,14155
="Chaplin School District",10865,343,751,1398,1926,1559,690,65,18158
="Cheshire School District",7915,238,543,852,1318,1331,811,209,13670
="Chester School District",9201,254,112,2315,2484,1833,273,135,16242
="Clinton School District",9787,458,229,1066,1320,1144,783,56,15288
="Colchester School District",7729,161,237,1080,1342,1284,868,156,13264
="Colebrook School District",10295,262,149,389,3141,1729,441,148,16872
="Columbia School District",7178,288,202,3232,1936,1178,931,814,16897
="Common Ground High School District",6010,396,1599,1153,3278,699,N/A,1343,14549
="Cornwall School District",16150,643,817,1559,3960,3051,1602,7,27759
="Coventry School District",9285,357,113,838,1396,1330,1019,35,14649
="Cromwell School District",8679,294,184,666,1406,1410,553,188,13342
="Danbury School District",8143,276,172,622,1192,714,591,85,12154
="Darien School District",11054,264,809,533,1347,1579,600,257,17061
="Deep River School District",8844,254,178,2275,2000,1418,414,57,15574
="Derby School District",7420,222,121,1000,1694,1377,563,124,12753
="East Granby School District",9792,597,743,972,2173,1685,617,293,16181
="East Haddam School District",8651,369,266,863,1616,1867,912,1,15028
="East Hampton School District",8823,201,396,919,1833,1483,709,944,15107
="East Hartford School District",9320,199,301,558,1701,1365,659,101,12939
="East Haven School District",7927,122,41,1303,1987,1136,759,278,13681
="East Lyme School District",8488,164,626,828,1380,1753,635,278,14493
="East Windsor School District",9286,248,343,1044,2755,1036,1098,74,15426
="Eastford School District",9805,490,449,1600,2061,1742,1046,0,19178
="Easton School District",10392,205,436,188,1890,1553,737,1,16068
="Ellington School District",7033,213,334,988,945,1281,693,166,11825
