"Per Pupil Expenditures, 2010-11"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
"Type","Instructional Staff and Services","Instructional Supplies and Equipment","Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Management","Transportation","Other","Total Expenditures"
"Achievement First Bridgeport Academy District",5341,1156,2218,996,2739,345,N/A,692,13569
="Achievement First Hartford Academy District",6235,940,1704,500,2148,89,N/A,51,11683
="Amistad Academy District",6311,818,1832,1927,2233,226,N/A,602,13993
="Andover School District",7988,322,223,467,1749,1360,228,0,12923
="Ansonia School District",6563,395,284,611,1200,1074,562,288,10992
="Ashford School District",9502,325,126,460,1574,1031,912,60,14873
="Avon School District",7499,219,345,956,1205,1277,581,277,12562
="Barkhamsted School District",6737,140,413,140,1095,937,427,1,10744
="Berlin School District",7108,357,337,1240,1417,1642,645,268,13264
="Bethany School District",7856,376,547,297,1321,1442,360,0,13317
="Bethel School District",8263,203,957,967,1358,1238,718,179,14459
="Bloomfield School District",10151,527,274,1461,2838,2367,777,245,17318
="Bolton School District",8219,231,592,991,1553,1160,789,251,14108
="Bozrah School District",9573,510,148,819,1860,1324,989,0,17367
="Branford School District",8640,391,556,895,1214,1178,809,286,14407
="Bridgeport School District",8816,201,252,883,1134,1227,682,48,13795
="Bristol School District",7627,171,654,623,1109,1204,614,241,12679
="Brookfield School District",8041,150,624,869,1403,1141,644,230,12996
="Brooklyn School District",7870,175,184,746,976,1130,805,78,12694
="Canaan School District",15577,538,649,1357,3155,2089,799,170,23960
="Canterbury School District",8779,422,139,841,1626,2569,1241,50,17016
="Canton School District",6672,246,302,1669,1328,1448,723,348,13098
="Chaplin School District",10522,432,1030,1391,1894,1665,670,29,18176
="Charter School for Young Children on Asylum Hill District",7918,696,38,723,2079,2612,N/A,268,14334
="Cheshire School District",7541,247,455,830,1252,1310,777,183,13023
="Chester School District",8785,233,134,2352,2439,1394,234,0,15304
="Clinton School District",9414,605,321,1044,1294,1043,701,76,15099
="Colchester School District",7182,175,173,874,1206,1083,793,119,12047
