"Per Pupil Expenditures, 2009-10"
"All Districts"

"","_","_","_","_","_","_","_","_","_"
"Type","Instructional Staff and Services","Instructional Supplies and Equipment","Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Management","Transportation","Other","Total Expenditures"
"Achievement First Bridgeport Academy District",4558,710,333,767,4874,750,N/A,626,12619
="Achievement First Hartford Academy District",4746,822,245,926,4446,37,N/A,0,11222
="Amistad Academy District",6109,587,421,1394,3518,795,N/A,573,13397
="Andover School District",7593,290,267,505,1694,1179,202,0,12262
="Ansonia School District",6230,444,313,389,1323,988,497,321,10462
="Ashford School District",10605,445,35,419,1241,1073,684,28,15556
="Avon School District",7065,221,303,1228,953,1239,545,212,11961
="Barkhamsted School District",6622,158,420,137,1062,1018,422,0,10596
="Berlin School District",7150,293,302,1195,1346,1559,632,261,13047
="Bethany School District",7879,313,563,319,1362,1253,327,0,12623
="Bethel School District",7782,177,932,918,1269,1256,698,152,13706
="Bloomfield School District",9631,514,348,1456,2697,2315,673,254,16805
="Bolton School District",8435,219,588,1060,1639,1213,777,233,14380
="Bozrah School District",8339,144,159,642,1816,1533,839,0,15245
="Branford School District",8181,564,541,852,1182,1143,759,259,13863
="Bridgeport School District",8371,202,257,870,1182,1281,659,81,13479
="Bristol School District",7550,261,560,488,1200,1234,562,217,12511
="Brookfield School District",7072,175,590,809,1675,902,589,213,12263
="Brooklyn School District",7233,181,188,832,966,1096,775,32,12027
="Canaan School District",13034,457,377,1117,2701,1929,765,145,20426
="Canterbury School District",8519,318,90,710,1441,2086,1194,42,15828
="Canton School District",6762,338,139,1403,1665,1451,702,351,13134
="Chaplin School District",11329,660,743,1951,2098,1576,645,31,19649
="Charter School for Young Children on Asylum Hill District",7806,1000,75,431,2456,2221,N/A,341,14330
="Cheshire School District",7181,211,442,790,1159,1144,708,184,12196
="Chester School District",8400,196,117,2032,2010,1180,259,0,14104
="Clinton School District",9559,361,466,995,1230,897,689,112,14745
="Colchester School District",6883,189,175,781,1028,949,740,135,11349
="Colebrook School District",9333,79,291,307,2019,1365,449,98,14570
="Columbia School District",7631,82,296,3068,1658,1010,906,112,15969
="Common Ground High School District",6325,377,162,1003,2512,885,N/A,1127,12445
="Cornwall School District",12355,579,1318,1250,2777,2493,1229,0,22812
="Coventry School District",7841,231,182,774,1095,1116,846,391,13060
="Cromwell School District",7848,316,162,561,1602,1176,514,208,12582
="Danbury School District",7988,385,393,659,1048,888,600,87,12010
="Darien School District",9798,253,552,496,1608,1453,553,385,15328
="Deep River School District",8375,209,141,1422,1855,1290,425,0,14548
="Derby School District",7001,204,52,925,1709,1316,580,147,12226
="East Granby School District",8570,658,797,798,1701,1608,577,221,14704
="East Haddam School District",7544,244,267,749,1431,1653,864,13,13441
="East Hampton School District",7942,225,364,835,1374,1277,694,12,13014
="East Hartford School District",8663,237,274,403,1437,1238,545,94,11987
="East Haven School District",7380,155,59,1224,1833,1464,622,266,13378
="East Lyme School District",7955,117,544,463,1205,1569,567,238,13220
="East Windsor School District",8412,446,230,498,1778,1164,890,64,13576
="Eastford School District",9482,302,477,2435,1949,1095,711,0,17081
="Easton School District",9115,237,309,162,1471,1338,646,12,13873
="Ellington School District",6801,247,316,724,819,1108,604,136,11021
="Elm City College Preparatory School District",5751,517,329,580,3411,724,N/A,685,11996
="Enfield School District",7532,199,200,894,1125,1294,489,202,12147
="Essex School District",7571,224,152,1214,1560,980,305,26,12621
="Explorations District",6959,192,180,567,2703,2005,N/A,78,12871
="Fairfield School District",8239,234,920,1073,1625,1475,704,199,14834
="Farmington School District",7929,242,403,889,1023,1367,603,92,12972
="Franklin School District",9337,75,7,664,1600,1437,598,22,15001
="Glastonbury School District",7239,279,655,704,1308,1389,635,155,12547
="Granby School District",7087,539,393,726,1238,1289,567,257,12014
="Greenwich School District",11629,377,260,1169,1646,1893,476,0,18020
="Griswold School District",8175,117,191,479,1524,1257,734,174,12854
="Groton School District",8496,395,555,1247,1497,1636,751,0,14666
="Guilford School District",7902,354,417,856,1392,1191,823,190,13736
="Hamden School District",10172,250,204,1145,1351,1600,843,126,15412
="Hampton School District",9409,494,519,1280,2197,1658,644,127,18396
="Hartford School District",8818,931,275,1190,2322,1847,1191,11,16876
="Hartland School District",6626,294,835,1627,1716,1128,906,531,10836
="Hebron School District",6694,232,373,777,953,1057,268,0,10635
="Highville Charter School District",4970,468,128,668,1853,1866,N/A,542,10600
="Integrated Day Charter School District",5746,202,451,274,1503,1181,N/A,336,9695
="Interdistrict School for Arts and Comm District",7466,236,409,431,2089,1039,N/A,0,11697
="Jumoke Academy District",5309,209,290,889,1826,1327,N/A,0,9850
="Kent School District",10037,461,392,1056,1731,1673,874,30,17181
="Killingly School District",7751,265,690,770,1508,1202,870,0,14275
="Lebanon School District",6832,156,201,961,1318,1260,871,141,12228
="Ledyard School District",7621,315,394,738,1462,1067,883,145,12893
="Lisbon School District",8016,281,47,1086,1195,895,737,0,13033
="Litchfield School District",7343,177,829,1149,1342,1436,703,334,13671
="Madison School District",7268,342,528,1076,1021,1485,784,343,13208
="Manchester School District",8687,267,508,1005,1483,1606,482,177,14046
="Mansfield School District",10454,391,494,805,2132,1578,438,55,16709
="Marlborough School District",7307,284,282,404,1052,908,275,0,10679
="Meriden School District",7625,249,186,1000,1230,1252,547,106,12614
="Middletown School District",8414,131,327,718,969,1503,1222,172,13940
="Milford School District",9722,398,278,453,1258,1591,471,128,14675
="Monroe School District",8267,154,467,975,1265,1466,570,109,13392
="Montville School District",8065,462,282,839,1256,1666,785,194,13534
="Naugatuck School District",8193,208,154,875,1420,1138,542,151,12583
="New Beginnings Inc Family Academy District",5715,646,254,536,2011,1306,N/A,811,11348
="New Britain School District",8060,385,369,518,1081,1186,1013,16,12936
="New Canaan School District",9841,179,342,1693,2083,2076,943,287,18058
="New Fairfield School District",7107,279,325,910,1322,1149,469,167,12054
="New Hartford School District",8561,174,54,473,1191,1409,528,5,13086
="New Haven School District",9940,365,370,471,2024,1672,1000,193,16499
="New London School District",8628,403,604,1015,1813,1834,801,150,13824
="New Milford School District",7105,252,231,759,1145,1160,844,234,12125
="Newington School District",8099,352,408,774,1335,1658,580,169,13818
="Newtown School District",7034,315,329,838,1217,1613,829,161,12633
="Norfolk School District",9369,278,960,375,2978,2487,629,15,17768
="North Branford School District",6426,285,677,1013,1335,1522,763,279,12304
="North Canaan School District",10135,330,59,875,1969,1517,680,0,16262
="North Haven School District",6563,131,306,1165,1775,1090,619,130,12175
="North Stonington School District",9419,416,211,835,1872,1479,940,0,15309
="Norwalk School District",10221,127,157,795,2096,1337,477,164,15727
="Norwich School District",8175,164,116,1327,1220,1167,908,0,14677
="Odyssey Community School District",5979,228,1110,187,1275,1305,N/A,0,10084
="Old Saybrook School District",7754,169,682,778,1316,1509,486,268,13531
="Orange School District",8939,250,598,988,1321,1070,364,21,13944
="Oxford School District",6970,284,7,881,1481,1153,606,211,12019
="Park City Prep Charter School District",4074,1174,200,822,2565,1890,N/A,0,10725
="Plainfield School District",7642,165,199,946,1327,1343,959,102,13452
="Plainville School District",8190,289,429,623,1313,1426,606,0,13447
="Plymouth School District",7329,382,234,610,1123,1607,1075,213,12321
="Pomfret School District",8763,366,221,216,1097,1246,851,0,14179
="Portland School District",7432,159,337,724,1370,1626,521,178,12421
="Preston School District",10199,590,317,890,1807,1679,1478,1,19928
="Putnam School District",8489,190,252,1285,1448,1857,623,205,15220
="Redding School District",11537,246,339,168,1399,1407,754,14,16664
="Regional School District 01",10764,389,699,1728,1986,2270,276,638,19811
="Regional School District 04",7983,173,338,869,2645,1770,537,83,15184
="Regional School District 05",7687,210,486,816,2096,1336,765,342,14327
="Regional School District 06",8298,542,581,951,1723,1719,832,258,15224
="Regional School District 07",7950,451,195,662,1442,1510,1223,364,14239
="Regional School District 08",7367,127,513,638,1110,1191,719,193,12326
="Regional School District 09",12265,385,476,136,1534,1955,805,13,19091
="Regional School District 10",6732,240,675,791,1032,1122,857,0,11991
="Regional School District 11",9841,542,375,970,2946,2141,1076,769,19411
="Regional School District 12",11262,618,860,1623,2130,2101,1389,412,20734
="Regional School District 13",7771,208,447,1793,1598,1607,788,280,14838
="Regional School District 14",7212,294,703,1263,1212,1623,797,337,14328
="Regional School District 15",7508,226,412,1123,1169,1342,758,263,13002
="Regional School District 16",7344,200,770,909,1377,1227,710,175,12956
="Regional School District 17",7888,218,240,717,1483,1796,768,231,13752
="Regional School District 18",8551,306,995,1308,1863,2540,826,394,17312
="Regional School District 19",8866,340,228,914,1781,1221,1070,569,15562
="Ridgefield School District",8635,170,766,711,1139,1559,825,242,14555
="Rocky Hill School District",7458,288,723,733,1021,1444,477,0,12451
="Salem School District",9607,710,101,275,2218,1522,914,0,16096
="Salisbury School District",11799,285,491,905,1634,2061,966,0,19252
="Scotland School District",10139,397,274,1049,1555,1255,485,177,15781
="Seymour School District",6803,326,316,811,1688,1516,542,163,12176
="Sharon School District",12249,402,482,1519,2575,2384,881,37,21392
="Shelton School District",7016,296,517,1034,1087,1228,570,131,12105
="Sherman School District",9708,95,560,111,1330,1117,671,85,12787
="Side By Side Charter School District",6332,103,90,1239,1777,1059,N/A,0,10599
="Simsbury School District",7716,298,769,909,1073,1494,525,137,13072
="Somers School District",7242,218,261,745,1118,1099,634,162,12043
="South Windsor School District",7758,351,367,935,1311,1216,696,259,13180
="Southington School District",7777,252,143,861,1270,1036,483,104,12374
="Sprague School District",8192,325,150,590,1996,1387,904,117,13907
="Stafford School District",8141,210,228,1045,1508,1292,1050,45,14109
="Stamford Academy District",7739,42,0,2524,8448,630,N/A,527,20368
="Stamford School District",9601,268,946,1090,1760,1443,747,0,16375
="Sterling School District",7378,317,626,331,1036,947,798,37,12620
="Stonington School District",7389,156,536,846,1097,1551,744,176,13039
="Stratford School District",7503,192,435,1202,1100,1190,552,210,12889
="Suffield School District",7528,299,86,744,1539,873,527,67,12361
="The Bridge Academy District",7229,341,46,787,852,564,N/A,353,10277
="Thomaston School District",7463,240,14,553,1506,1317,760,250,11740
="Thompson School District",6411,108,166,906,1639,1399,711,199,12659
="Tolland School District",6885,165,470,464,1020,1076,551,33,11133
="Torrington School District",8463,198,265,690,1153,1275,843,99,13878
="Trailblazers Academy District",8399,61,0,1953,11132,2287,N/A,663,24670
="Trumbull School District",7124,294,506,935,1492,1347,646,119,12952
="Union School District",8853,1097,52,677,2177,837,1696,0,14115
="Vernon School District",7511,476,461,835,1037,1321,613,149,12655
="Voluntown School District",8523,593,295,1416,1888,1455,996,188,16757
="Wallingford School District",7644,50,363,845,1697,1286,807,199,13226
="Waterbury School District",7501,319,1886,675,1247,1179,598,428,14122
="Waterford School District",8604,343,168,973,1422,1433,753,271,13303
="Watertown School District",7269,262,146,447,1411,1263,537,0,11624
="West Hartford School District",7392,200,604,854,1478,1285,509,117,12701
="West Haven School District",8063,221,431,767,1083,2493,616,261,12901
="Westbrook School District",8602,514,260,759,1517,1684,429,396,14315
="Weston School District",9907,216,1413,1012,1396,2268,617,425,17837
="Westport School District",9655,472,771,1293,1676,2150,705,238,17454
="Wethersfield School District",8100,268,325,787,1185,1582,557,177,13368
