"Student Counts by District and Year"
"All Districts"
"2019-20"

"District","District Code","Count"
"Achievement First Bridgeport Academy District","=""2850013""",1110
"Achievement First Hartford Academy District","=""2880013""",1169
"Amistad Academy District","=""2790013""",1103
"Andover School District","=""0010011""",195
"Ansonia School District","=""0020011""",2284
"Area Cooperative Educational Services","=""2440014""",1836
"Ashford School District","=""0030011""",390
"Avon School District","=""0040011""",3185
"Barkhamsted School District","=""0050011""",219
"Berlin School District","=""0070011""",2755
"Bethany School District","=""0080011""",370
"Bethel School District","=""0090011""",3148
"Bloomfield School District","=""0110011""",2206
"Bolton School District","=""0120011""",779
"Booker T. Washington Academy District","=""2950013""",420
"Bozrah School District","=""0130011""",190
"Branford School District","=""0140011""",2802
"Brass City Charter School District","=""2900013""",326
"Bridgeport School District","=""0150011""",20311
"Bristol School District","=""0170011""",7976
"Brookfield School District","=""0180011""",2623
"Brooklyn School District","=""0190011""",918
"Canaan School District","=""0210011""",67
"Canterbury School District","=""0220011""",475
"Canton School District","=""0230011""",1574
"Capital Preparatory Harbor School District","=""2970013""",760
"Capitol Region Education Council","=""2410014""",8657
"Chaplin School District","=""0240011""",140
"Cheshire School District","=""0250011""",4199
"Chester School District","=""0260011""",186
"Clinton School District","=""0270011""",1682
"Colchester School District","=""0280011""",2322
"Colebrook School District","=""0290011""",74
"Columbia School District","=""0300011""",410
"Common Ground High School District","=""2680013""",223
"Connecticut Technical Education and Career System","=""9000016""",10995
"Cooperative Educational Services","=""2430014""",859
"Cornwall School District","=""0310011""",87
"Coventry School District","=""0320011""",1678
"Cromwell School District","=""0330011""",1982
"Danbury School District","=""0340011""",11928
"Darien School District","=""0350011""",4765
"Deep River School District","=""0360011""",235
"Department of Mental Health and Addiction Services","=""""",7
"Derby School District","=""0370011""",1295
"East Granby School District","=""0400011""",836
"East Haddam School District","=""0410011""",997
"East Hampton School District","=""0420011""",1842
"East Hartford School District","=""0430011""",6793
"East Haven School District","=""0440011""",2894
"East Lyme School District","=""0450011""",2693
"East Windsor School District","=""0470011""",1079
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",474
"Eastford School District","=""0390011""",151
"Easton School District","=""0460011""",885
"EdAdvance","=""2420014""",265
"Ellington School District","=""0480011""",2681
"Elm City College Preparatory School District","=""2890013""",767
"Elm City Montessori School District","=""2910013""",229
"Enfield School District","=""0490011""",5045
"Essex School District","=""0500011""",331
"Explorations District","=""2720013""",93
"Fairfield School District","=""0510011""",9671
"Farmington School District","=""0520011""",4159
"Franklin School District","=""0530011""",160
"Glastonbury School District","=""0540011""",5835
"Granby School District","=""0560011""",1799
"Great Oaks Charter School District","=""2940013""",555
"Greenwich School District","=""0570011""",9048
"Griswold School District","=""0580011""",1772
"Groton School District","=""0590011""",4272
"Guilford School District","=""0600011""",3259
"Hamden School District","=""0620011""",5495
"Hampton School District","=""0630011""",90
"Hartford School District","=""0640011""",18880
"Hartland School District","=""0650011""",157
"Hebron School District","=""0670011""",658
"Highville Charter School District","=""2860013""",460
"Integrated Day Charter School District","=""2640013""",352
"Interdistrict School for Arts and Comm District","=""2650013""",279
"Jumoke Academy District","=""2610013""",706
"Kent School District","=""0680011""",205
"Killingly School District","=""0690011""",2490
"Learn","=""2450014""",2518
"Lebanon School District","=""0710011""",991
"Ledyard School District","=""0720011""",2426
"Lisbon School District","=""0730011""",421
"Litchfield School District","=""0740011""",889
"Madison School District","=""0760011""",2626
"Manchester School District","=""0770011""",6309
"Mansfield School District","=""0780011""",1133
"Marlborough School District","=""0790011""",448
"Meriden School District","=""0800011""",8163
"Middletown School District","=""0830011""",4620
"Milford School District","=""0840011""",5621
"Monroe School District","=""0850011""",3136
"Montville School District","=""0860011""",2064
"Naugatuck School District","=""0880011""",4372
"New Beginnings Inc Family Academy District","=""2800013""",505
"New Britain School District","=""0890011""",10093
"New Canaan School District","=""0900011""",4221
"New Fairfield School District","=""0910011""",2186
"New Hartford School District","=""0920011""",437
"New Haven School District","=""0930011""",20675
"New London School District","=""0950011""",3440
"New Milford School District","=""0960011""",3948
"Newington School District","=""0940011""",4015
"Newtown School District","=""0970011""",4188
"Norfolk School District","=""0980011""",74
"North Branford School District","=""0990011""",1700
"North Canaan School District","=""1000011""",253
"North Haven School District","=""1010011""",3181
"North Stonington School District","=""1020011""",747
"Norwalk School District","=""1030011""",11716
"Norwich Free Academy District","=""9010022""",2266
"Norwich School District","=""1040011""",3588
"Odyssey Community School District","=""2630013""",329
"Old Saybrook School District","=""1060011""",1195
"Orange School District","=""1070011""",1236
"Oxford School District","=""1080011""",1722
"Park City Prep Charter School District","=""2830013""",361
"Plainfield School District","=""1090011""",2180
"Plainville School District","=""1100011""",2356
"Plymouth School District","=""1110011""",1368
"Pomfret School District","=""1120011""",385
"Portland School District","=""1130011""",1310
"Preston School District","=""1140011""",438
"Putnam School District","=""1160011""",1175
"Redding School District","=""1170011""",836
"Regional School District 01","=""2010012""",362
