"Student Counts by District and Year"
"All Districts"
"2023-24"

"District","District Code","Count"
"Achievement First Bridgeport Academy District","=""2850013""",1098
"Achievement First Hartford Academy District","=""2880013""",961
"Amistad Academy District","=""2790013""",1125
"Andover School District","=""0010011""",205
"Ansonia School District","=""0020011""",2397
"Area Cooperative Educational Services","=""2440014""",1719
"Ashford School District","=""0030011""",355
"Avon School District","=""0040011""",3125
"Barkhamsted School District","=""0050011""",218
"Berlin School District","=""0070011""",2661
"Bethany School District","=""0080011""",445
"Bethel School District","=""0090011""",3249
"Bloomfield School District","=""0110011""",1982
"Bolton School District","=""0120011""",699
"Booker T. Washington Academy District","=""2950013""",384
"Bozrah School District","=""0130011""",170
"Branford School District","=""0140011""",2625
"Brass City Charter School District","=""2900013""",363
"Bridgeport School District","=""0150011""",19591
"Bristol School District","=""0170011""",7774
"Brookfield School District","=""0180011""",2582
"Brooklyn School District","=""0190011""",885
"Canaan School District","=""0210011""",80
"Canterbury School District","=""0220011""",486
"Canton School District","=""0230011""",1506
"Capital Preparatory Harbor School District","=""2970013""",781
"Capitol Region Education Council","=""2410014""",8916
"Chaplin School District","=""0240011""",154
"Cheshire School District","=""0250011""",4224
"Chester School District","=""0260011""",207
"Clinton School District","=""0270011""",1457
"Colchester School District","=""0280011""",2161
"Colebrook School District","=""0290011""",66
"Columbia School District","=""0300011""",477
"Common Ground High School District","=""2680013""",223
"Connecticut Technical Education and Career System","=""9000016""",11194
"Cooperative Educational Services","=""2430014""",808
"Cornwall School District","=""0310011""",97
"Coventry School District","=""0320011""",1633
"Cromwell School District","=""0330011""",1904
"Danbury School District","=""0340011""",12126
"Darien School District","=""0350011""",4681
"Deep River School District","=""0360011""",195
"Department of Mental Health and Addiction Services","=""""","*"
"Derby School District","=""0370011""",1345
"East Granby School District","=""0400011""",825
"East Haddam School District","=""0410011""",999
"East Hampton School District","=""0420011""",1742
"East Hartford School District","=""0430011""",6410
"East Haven School District","=""0440011""",2903
"East Lyme School District","=""0450011""",2506
"East Windsor School District","=""0470011""",1052
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",368
"Eastford School District","=""0390011""",174
"Easton School District","=""0460011""",904
"EdAdvance","=""2420014""",288
"Ellington School District","=""0480011""",2547
"Elm City College Preparatory School District","=""2890013""",775
"Elm City Montessori School District","=""2910013""",305
"Enfield School District","=""0490011""",4826
"Essex School District","=""0500011""",300
"Explorations District","=""2720013""",88
"Fairfield School District","=""0510011""",9355
"Farmington School District","=""0520011""",4194
"Franklin School District","=""0530011""",192
"Glastonbury School District","=""0540011""",5674
"Goodwin University Educational Services (GUES)","=""2310018""",1214
"Granby School District","=""0560011""",1742
"Great Oaks Charter School District","=""2940013""",659
"Greenwich School District","=""0570011""",8589
"Griswold School District","=""0580011""",1775
"Groton School District","=""0590011""",4099
"Guilford School District","=""0600011""",3130
"Hamden School District","=""0620011""",5455
"Hampton School District","=""0630011""",74
"Hartford School District","=""0640011""",16839
"Hartland School District","=""0650011""",109
"Hebron School District","=""0670011""",701
"Highville Charter School District","=""2860013""",504
"Integrated Day Charter School District","=""2640013""",362
"Interdistrict School for Arts and Comm District","=""2650013""",279
"Jumoke Academy District","=""2610013""",619
"Kent School District","=""0680011""",191
"Killingly School District","=""0690011""",2423
"Learn","=""2450014""",1396
"Lebanon School District","=""0710011""",985
"Ledyard School District","=""0720011""",2445
"Lisbon School District","=""0730011""",442
"Litchfield School District","=""0740011""",822
"Madison School District","=""0760011""",2434
"Manchester School District","=""0770011""",6167
"Mansfield School District","=""0780011""",1002
"Marlborough School District","=""0790011""",445
"Meriden School District","=""0800011""",8789
"Middletown School District","=""0830011""",4378
"Milford School District","=""0840011""",5327
"Monroe School District","=""0850011""",3470
"Montville School District","=""0860011""",2021
"Naugatuck School District","=""0880011""",4231
"New Beginnings Inc Family Academy District","=""2800013""",392
