"Student Counts by District and Year"
"All Districts"
"2025-26"

"District","District Code","Count"
"Achievement First Bridgeport Academy District","=""2850013""",1054
"Achievement First Hartford Academy District","=""2880013""",915
"Amistad Academy District","=""2790013""",1089
"Andover School District","=""0010011""",245
"Ansonia School District","=""0020011""",2390
"Area Cooperative Educational Services","=""2440014""",1702
"Ashford School District","=""0030011""",370
"Avon School District","=""0040011""",2981
"Barkhamsted School District","=""0050011""",242
"Berlin School District","=""0070011""",2579
"Bethany School District","=""0080011""",433
"Bethel School District","=""0090011""",3125
"Bloomfield School District","=""0110011""",1770
"Bolton School District","=""0120011""",663
"Booker T. Washington Academy District","=""2950013""",417
"Bozrah School District","=""0130011""",183
"Branford School District","=""0140011""",2480
"Brass City Charter School District","=""2900013""",400
"Bridgeport School District","=""0150011""",19380
"Bristol School District","=""0170011""",7597
"Brookfield School District","=""0180011""",2509
"Brooklyn School District","=""0190011""",832
"Canaan School District","=""0210011""",71
"Canterbury School District","=""0220011""",495
"Canton School District","=""0230011""",1429
"Capital Preparatory Harbor School District","=""2970013""",772
"Capitol Region Education Council","=""2410014""",9118
"Chaplin School District","=""0240011""",145
"Cheshire School District","=""0250011""",4348
"Chester School District","=""0260011""",194
"Clinton School District","=""0270011""",1379
"Colchester School District","=""0280011""",2070
"Colebrook School District","=""0290011""",59
"Columbia School District","=""0300011""",436
"Common Ground High School District","=""2680013""",219
"Connecticut Technical Education and Career System","=""9000016""",11612
"Cooperative Educational Services","=""2430014""",753
"Cornwall School District","=""0310011""",94
"Coventry School District","=""0320011""",1619
"Cromwell School District","=""0330011""",1789
"Danbury School District","=""0340011""",11450
"Darien School District","=""0350011""",4581
"Deep River School District","=""0360011""",180
"Department of Mental Health and Addiction Services","=""""","*"
"Derby School District","=""0370011""",1231
"East Granby School District","=""0400011""",853
"East Haddam School District","=""0410011""",934
"East Hampton School District","=""0420011""",1631
"East Hartford School District","=""0430011""",6171
"East Haven School District","=""0440011""",2789
"East Lyme School District","=""0450011""",2447
"East Windsor School District","=""0470011""",992
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",359
"Eastford School District","=""0390011""",163
"Easton School District","=""0460011""",910
"EdAdvance","=""2420014""",257
"Edmonds Cofield Preparatory Academy for Young Men, Inc. District","=""""",45
"Ellington School District","=""0480011""",2515
"Elm City College Preparatory School District","=""2890013""",758
"Elm City Montessori School District","=""2910013""",317
"Enfield School District","=""0490011""",4589
"Essex School District","=""0500011""",307
"Explorations District","=""2720013""",82
"Fairfield School District","=""0510011""",9012
"Farmington School District","=""0520011""",4091
"Franklin School District","=""0530011""",195
"Glastonbury School District","=""0540011""",5631
"Goodwin University Educational Services (GUES)","=""2310018""",1364
"Granby School District","=""0560011""",1696
"Great Oaks Charter School District","=""2940013""",661
"Greenwich School District","=""0570011""",8313
"Griswold School District","=""0580011""",1818
"Groton School District","=""0590011""",3820
"Guilford School District","=""0600011""",3000
"Hamden School District","=""0620011""",5350
"Hampton School District","=""0630011""",71
"Hartford School District","=""0640011""",15563
"Hartland School District","=""0650011""",116
"Hebron School District","=""0670011""",689
"Highville Charter School District","=""2860013""",507
"Integrated Day Charter School District","=""2640013""",364
"Interdistrict School for Arts and Comm District","=""2650013""",330
"Jumoke Academy District","=""2610013""",621
"Kent School District","=""0680011""",185
"Killingly School District","=""0690011""",2322
"Learn","=""2450014""",1399
"Lebanon School District","=""0710011""",926
"Ledyard School District","=""0720011""",2302
"Lisbon School District","=""0730011""",401
"Madison School District","=""0760011""",2464
"Manchester School District","=""0770011""",5913
"Mansfield School District","=""0780011""",939
"Marlborough School District","=""0790011""",462
"Meriden School District","=""0800011""",8381
"Middletown School District","=""0830011""",4344
"Milford School District","=""0840011""",5170
"Monroe School District","=""0850011""",3413
"Montville School District","=""0860011""",1873
"Naugatuck School District","=""0880011""",3981
"New Beginnings Inc Family Academy District","=""2800013""",434
"New Britain School District","=""0890011""",9897
"New Canaan School District","=""0900011""",4029
"New Fairfield School District","=""0910011""",2095
"New Hartford School District","=""0920011""",437
"New Haven School District","=""0930011""",17837
"New London School District","=""0950011""",2867
"New Milford School District","=""0960011""",3446
"Newington School District","=""0940011""",3827
"Newtown School District","=""0970011""",3881
"Norfolk School District","=""0980011""",55
"North Branford School District","=""0990011""",1548
"North Canaan School District","=""1000011""",236
"North Haven School District","=""1010011""",3135
"North Stonington School District","=""1020011""",732
"Norwalk School District","=""1030011""",11292
"Norwich Free Academy District","=""9010022""",2004
"Norwich School District","=""1040011""",3256
"Odyssey Community School District","=""2630013""",420
"Old Saybrook School District","=""1060011""",990
"Orange School District","=""1070011""",1274
"Oxford School District","=""1080011""",1597
"Park City Prep Charter School District","=""2830013""",437
"Plainfield School District","=""1090011""",1815
"Plainville School District","=""1100011""",2141
"Plymouth School District","=""1110011""",1244
"Pomfret School District","=""1120011""",328
"Portland School District","=""1130011""",1232
"Preston School District","=""1140011""",414
"Putnam School District","=""1160011""",1161
"Redding School District","=""1170011""",850
"Regional School District 01","=""2010012""",327
"Regional School District 04","=""2040012""",595
"Regional School District 05","=""2050012""",2136
"Regional School District 07","=""2070012""",767
"Regional School District 08","=""2080012""",1031
"Regional School District 09","=""2090012""",696
"Regional School District 10","=""2100012""",2055
"Regional School District 11","=""2110012""",192
"Regional School District 12","=""2120012""",810
"Regional School District 13","=""2130012""",1294
"Regional School District 14","=""2140012""",1536
"Regional School District 15","=""2150012""",3350
"Regional School District 16","=""2160012""",1890
"Regional School District 17","=""2170012""",1668
"Regional School District 18","=""2180012""",1249
"Regional School District 19","=""2190012""",1004
"Regional School District 20","=""2200012""",1598
"Ridgefield School District","=""1180011""",4389
"Rocky Hill School District","=""1190011""",2561
"Salem School District","=""1210011""",399
"Salisbury School District","=""1220011""",276
"Scotland School District","=""1230011""",87
"Seymour School District","=""1240011""",2031
"Sharon School District","=""1250011""",94
"Shelton School District","=""1260011""",4409
"Sherman School District","=""1270011""",234
"Side By Side Charter School District","=""2700013""",236
"Simsbury School District","=""1280011""",4036
"Somers School District","=""1290011""",1304
"South Windsor School District","=""1320011""",5153
"Southington School District","=""1310011""",6115
"Sprague School District","=""1330011""",254
"Stafford School District","=""1340011""",1269
"Stamford Big Picture Learning Academy District","=""""","*"
"Stamford Charter School for Excellence District","=""2960013""",541
"Stamford School District","=""1350011""",15342
"Sterling School District","=""1360011""",300
"Stonington School District","=""1370011""",1668
"Stratford School District","=""1380011""",6407
"Suffield School District","=""1390011""",2035
"The Bridge Academy District","=""2690013""",281
"The Gilbert School District","=""9020022""",415
"The Woodstock Academy District","=""9030022""",998
"Thomaston School District","=""1400011""",765
"Thompson School District","=""1410011""",794
"Tolland School District","=""1420011""",2114
"Torrington School District","=""1430011""",3868
"Trumbull School District","=""1440011""",6879
"Unified School District #1","=""3360015""",143
"Unified School District #2","=""3470015""",90
"Union School District","=""1450011""",41
"Vernon School District","=""1460011""",3246
"Voluntown School District","=""1470011""",209
"Wallingford School District","=""1480011""",5091
"Waterbury School District","=""1510011""",18381
"Waterford School District","=""1520011""",2205
"Watertown School District","=""1530011""",2544
"West Hartford School District","=""1550011""",9069
"West Haven School District","=""1560011""",5863
"Westbrook School District","=""1540011""",553
"Weston School District","=""1570011""",2034
"Westport School District","=""1580011""",5266
"Wethersfield School District","=""1590011""",3412
"Willington School District","=""1600011""",376
"Wilton School District","=""1610011""",3702
"Winchester School District","=""1620011""",607
"Windham School District","=""1630011""",3058
"Windsor Locks School District","=""1650011""",1441
"Windsor School District","=""1640011""",3217
"Wolcott School District","=""1660011""",2025
"Woodbridge School District","=""1670011""",862
"Woodstock School District","=""1690011""",747
"Total","=""""",497764

