"Student Counts by District and Year"
"All Districts"
"2021-22"

"District","District Code","Count"
"Achievement First Bridgeport Academy District","=""2850013""",1105
"Achievement First Hartford Academy District","=""2880013""",1123
"Amistad Academy District","=""2790013""",1115
"Andover School District","=""0010011""",192
"Ansonia School District","=""0020011""",2265
"Area Cooperative Educational Services","=""2440014""",1819
"Ashford School District","=""0030011""",381
"Avon School District","=""0040011""",3127
"Barkhamsted School District","=""0050011""",209
"Berlin School District","=""0070011""",2668
"Bethany School District","=""0080011""",389
"Bethel School District","=""0090011""",3160
"Bloomfield School District","=""0110011""",2041
"Bolton School District","=""0120011""",750
"Booker T. Washington Academy District","=""2950013""",519
"Bozrah School District","=""0130011""",169
"Branford School District","=""0140011""",2634
"Brass City Charter School District","=""2900013""",360
"Bridgeport School District","=""0150011""",19231
"Bristol School District","=""0170011""",7756
"Brookfield School District","=""0180011""",2601
"Brooklyn School District","=""0190011""",878
"Canaan School District","=""0210011""",74
"Canterbury School District","=""0220011""",470
"Canton School District","=""0230011""",1512
"Capital Preparatory Harbor School District","=""2970013""",793
"Capitol Region Education Council","=""2410014""",8751
"Chaplin School District","=""0240011""",155
"Cheshire School District","=""0250011""",4193
"Chester School District","=""0260011""",210
"Clinton School District","=""0270011""",1549
"Colchester School District","=""0280011""",2221
"Colebrook School District","=""0290011""",77
"Columbia School District","=""0300011""",442
"Common Ground High School District","=""2680013""",231
"Connecticut Technical Education and Career System","=""9000016""",11500
"Cooperative Educational Services","=""2430014""",828
"Cornwall School District","=""0310011""",111
"Coventry School District","=""0320011""",1658
"Cromwell School District","=""0330011""",1948
"Danbury School District","=""0340011""",11843
"Darien School District","=""0350011""",4754
"Deep River School District","=""0360011""",204
"Department of Mental Health and Addiction Services","=""""","*"
"Derby School District","=""0370011""",1285
"East Granby School District","=""0400011""",827
"East Haddam School District","=""0410011""",971
"East Hampton School District","=""0420011""",1786
"East Hartford School District","=""0430011""",6326
"East Haven School District","=""0440011""",2869
"East Lyme School District","=""0450011""",2644
"East Windsor School District","=""0470011""",1031
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",417
"Eastford School District","=""0390011""",144
"Easton School District","=""0460011""",895
"EdAdvance","=""2420014""",254
"Ellington School District","=""0480011""",2621
"Elm City College Preparatory School District","=""2890013""",776
"Elm City Montessori School District","=""2910013""",282
"Enfield School District","=""0490011""",4895
"Essex School District","=""0500011""",301
"Explorations District","=""2720013""",89
"Fairfield School District","=""0510011""",9378
"Farmington School District","=""0520011""",4116
"Franklin School District","=""0530011""",180
"Glastonbury School District","=""0540011""",5700
"Goodwin University Educational Services (GUES)","=""2310018""",1065
"Granby School District","=""0560011""",1765
"Great Oaks Charter School District","=""2940013""",650
"Greenwich School District","=""0570011""",8630
"Griswold School District","=""0580011""",1719
"Groton School District","=""0590011""",4113
"Guilford School District","=""0600011""",3136
"Hamden School District","=""0620011""",5462
"Hampton School District","=""0630011""",74
"Hartford School District","=""0640011""",17183
