"Student Counts by District and Year"
"All Districts"
"2020-21"

"District","District Code","Count"
"Achievement First Bridgeport Academy District","=""2850013""",1127
"Achievement First Hartford Academy District","=""2880013""",1164
"Amistad Academy District","=""2790013""",1134
"Andover School District","=""0010011""",174
"Ansonia School District","=""0020011""",2238
"Area Cooperative Educational Services","=""2440014""",1826
"Ashford School District","=""0030011""",370
"Avon School District","=""0040011""",3128
"Barkhamsted School District","=""0050011""",203
"Berlin School District","=""0070011""",2715
"Bethany School District","=""0080011""",370
"Bethel School District","=""0090011""",3089
"Bloomfield School District","=""0110011""",2080
"Bolton School District","=""0120011""",753
"Booker T. Washington Academy District","=""2950013""",480
"Bozrah School District","=""0130011""",180
"Branford School District","=""0140011""",2590
"Brass City Charter School District","=""2900013""",361
"Bridgeport School District","=""0150011""",19449
"Bristol School District","=""0170011""",7726
"Brookfield School District","=""0180011""",2563
"Brooklyn School District","=""0190011""",831
"Canaan School District","=""0210011""",68
"Canterbury School District","=""0220011""",435
"Canton School District","=""0230011""",1517
"Capital Preparatory Harbor School District","=""2970013""",785
"Capitol Region Education Council","=""2410014""",8799
"Chaplin School District","=""0240011""",131
"Cheshire School District","=""0250011""",4122
"Chester School District","=""0260011""",201
"Clinton School District","=""0270011""",1570
"Colchester School District","=""0280011""",2193
"Colebrook School District","=""0290011""",75
"Columbia School District","=""0300011""",402
"Common Ground High School District","=""2680013""",236
"Connecticut Technical Education and Career System","=""9000016""",11338
"Cooperative Educational Services","=""2430014""",789
"Cornwall School District","=""0310011""",104
"Coventry School District","=""0320011""",1606
"Cromwell School District","=""0330011""",1989
"Danbury School District","=""0340011""",11834
"Darien School District","=""0350011""",4682
"Deep River School District","=""0360011""",218
"Department of Mental Health and Addiction Services","=""""","*"
"Derby School District","=""0370011""",1234
"East Granby School District","=""0400011""",834
"East Haddam School District","=""0410011""",935
"East Hampton School District","=""0420011""",1824
"East Hartford School District","=""0430011""",6581
"East Haven School District","=""0440011""",2801
"East Lyme School District","=""0450011""",2612
"East Windsor School District","=""0470011""",1050
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",444
"Eastford School District","=""0390011""",140
"Easton School District","=""0460011""",858
"EdAdvance","=""2420014""",228
"Ellington School District","=""0480011""",2626
"Elm City College Preparatory School District","=""2890013""",774
"Elm City Montessori School District","=""2910013""",259
"Enfield School District","=""0490011""",4921
"Essex School District","=""0500011""",313
"Explorations District","=""2720013""",86
"Fairfield School District","=""0510011""",9444
"Farmington School District","=""0520011""",4086
"Franklin School District","=""0530011""",165
"Glastonbury School District","=""0540011""",5758
"Granby School District","=""0560011""",1729
"Great Oaks Charter School District","=""2940013""",670
"Greenwich School District","=""0570011""",8796
"Griswold School District","=""0580011""",1671
"Groton School District","=""0590011""",4068
"Guilford School District","=""0600011""",3105
"Hamden School District","=""0620011""",5344
"Hampton School District","=""0630011""",73
"Hartford School District","=""0640011""",17733
"Hartland School District","=""0650011""",145
"Hebron School District","=""0670011""",636
"Highville Charter School District","=""2860013""",447
"Integrated Day Charter School District","=""2640013""",353
"Interdistrict School for Arts and Comm District","=""2650013""",281
"Jumoke Academy District","=""2610013""",686
"Kent School District","=""0680011""",207
"Killingly School District","=""0690011""",2336
"Learn","=""2450014""",2359
"Lebanon School District","=""0710011""",948
"Ledyard School District","=""0720011""",2358
"Lisbon School District","=""0730011""",430
"Litchfield School District","=""0740011""",821
"Madison School District","=""0760011""",2478
"Manchester School District","=""0770011""",6091
"Mansfield School District","=""0780011""",1039
"Marlborough School District","=""0790011""",442
"Meriden School District","=""0800011""",8118
"Middletown School District","=""0830011""",4409
"Milford School District","=""0840011""",5433
"Monroe School District","=""0850011""",3179
"Montville School District","=""0860011""",1964
"Naugatuck School District","=""0880011""",4255
"New Beginnings Inc Family Academy District","=""2800013""",502
"New Britain School District","=""0890011""",9665
"New Canaan School District","=""0900011""",4232
"New Fairfield School District","=""0910011""",2132
"New Hartford School District","=""0920011""",420
"New Haven School District","=""0930011""",20051
"New London School District","=""0950011""",3297
"New Milford School District","=""0960011""",3733
"Newington School District","=""0940011""",3974
"Newtown School District","=""0970011""",4053
"Norfolk School District","=""0980011""",80
"North Branford School District","=""0990011""",1615
"North Canaan School District","=""1000011""",248
"North Haven School District","=""1010011""",3093
"North Stonington School District","=""1020011""",707
"Norwalk School District","=""1030011""",11579
"Norwich Free Academy District","=""9010022""",2113
"Norwich School District","=""1040011""",3377
"Odyssey Community School District","=""2630013""",328
"Old Saybrook School District","=""1060011""",1074
"Orange School District","=""1070011""",1234
"Oxford School District","=""1080011""",1618
"Park City Prep Charter School District","=""2830013""",360
"Plainfield School District","=""1090011""",2010
"Plainville School District","=""1100011""",2265
"Plymouth School District","=""1110011""",1300
"Pomfret School District","=""1120011""",339
"Portland School District","=""1130011""",1279
"Preston School District","=""1140011""",405
"Putnam School District","=""1160011""",1114
"Redding School District","=""1170011""",806
"Regional School District 01","=""2010012""",323
"Regional School District 04","=""2040012""",838
"Regional School District 05","=""2050012""",2184
"Regional School District 06","=""2060012""",880
"Regional School District 07","=""2070012""",991
"Regional School District 08","=""2080012""",1302
"Regional School District 09","=""2090012""",835
"Regional School District 10","=""2100012""",2201
"Regional School District 11","=""2110012""",205
"Regional School District 12","=""2120012""",688
"Regional School District 13","=""2130012""",1440
"Regional School District 14","=""2140012""",1580
"Regional School District 15","=""2150012""",3513
"Regional School District 16","=""2160012""",2001
"Regional School District 17","=""2170012""",1849
"Regional School District 18","=""2180012""",1283
"Regional School District 19","=""2190012""",1105
"Ridgefield School District","=""1180011""",4556
"Rocky Hill School District","=""1190011""",2642
"Salem School District","=""1210011""",390
"Salisbury School District","=""1220011""",310
"Scotland School District","=""1230011""",88
"Seymour School District","=""1240011""",2110
"Sharon School District","=""1250011""",112
"Shelton School District","=""1260011""",4405
"Sherman School District","=""1270011""",252
"Side By Side Charter School District","=""2700013""",235
"Simsbury School District","=""1280011""",4022
"Somers School District","=""1290011""",1305
"South Windsor School District","=""1320011""",4558
"Southington School District","=""1310011""",6190
"Sprague School District","=""1330011""",254
"Stafford School District","=""1340011""",1352
"Stamford Charter School for Excellence District","=""2960013""",391
"Stamford School District","=""1350011""",16273
"Sterling School District","=""1360011""",312
"Stonington School District","=""1370011""",1901
"Stratford School District","=""1380011""",6699
"Suffield School District","=""1390011""",2073
"The Bridge Academy District","=""2690013""",281
"The Gilbert School District","=""9020022""",452
"The Woodstock Academy District","=""9030022""",1044
"Thomaston School District","=""1400011""",825
"Thompson School District","=""1410011""",976
"Tolland School District","=""1420011""",2281
"Torrington School District","=""1430011""",3704
"Trumbull School District","=""1440011""",6739
"Unified School District #1","=""3360015""",145
"Unified School District #2","=""3470015""",75
"Union School District","=""1450011""","*"
"Vernon School District","=""1460011""",3050
"Voluntown School District","=""1470011""",248
"Wallingford School District","=""1480011""",5451
"Waterbury School District","=""1510011""",18450
"Waterford School District","=""1520011""",2367
"Watertown School District","=""1530011""",2639
"West Hartford School District","=""1550011""",9205
"West Haven School District","=""1560011""",5801
"Westbrook School District","=""1540011""",650
"Weston School District","=""1570011""",2278
"Westport School District","=""1580011""",5358
"Wethersfield School District","=""1590011""",3574
"Willington School District","=""1600011""",398
"Wilton School District","=""1610011""",3723
"Winchester School District","=""1620011""",554
"Windham School District","=""1630011""",3256
"Windsor Locks School District","=""1650011""",1534
"Windsor School District","=""1640011""",3325
"Wolcott School District","=""1660011""",2160
"Woodbridge School District","=""1670011""",817
"Woodstock School District","=""1690011""",798
"Total","=""""",513079

