"Student Counts by District and Year"
"All Districts"
"2022-23"

"District","District Code","Count"
"Integrated Day Charter School District","=""2640013""",361
"Interdistrict School for Arts and Comm District","=""2650013""",281
"Jumoke Academy District","=""2610013""",629
"Kent School District","=""0680011""",194
"Killingly School District","=""0690011""",2450
"Learn","=""2450014""",1410
"Lebanon School District","=""0710011""",958
"Ledyard School District","=""0720011""",2421
"Lisbon School District","=""0730011""",437
"Litchfield School District","=""0740011""",813
"Madison School District","=""0760011""",2444
"Manchester School District","=""0770011""",6192
"Mansfield School District","=""0780011""",1027
"Marlborough School District","=""0790011""",456
"Meriden School District","=""0800011""",8630
"Middletown School District","=""0830011""",4414
"Milford School District","=""0840011""",5382
"Monroe School District","=""0850011""",3398
"Montville School District","=""0860011""",2017
"Naugatuck School District","=""0880011""",4337
"New Beginnings Inc Family Academy District","=""2800013""",406
"New Britain School District","=""0890011""",9717
"New Canaan School District","=""0900011""",4168
"New Fairfield School District","=""0910011""",2143
"New Hartford School District","=""0920011""",443
"New Haven School District","=""0930011""",19150
"New London School District","=""0950011""",2948
"New Milford School District","=""0960011""",3683
"Newington School District","=""0940011""",3937
"Newtown School District","=""0970011""",4003
"Norfolk School District","=""0980011""",66
"North Branford School District","=""0990011""",1538
"North Canaan School District","=""1000011""",238
"North Haven School District","=""1010011""",3187
"North Stonington School District","=""1020011""",759
"Norwalk School District","=""1030011""",11514
"Norwich Free Academy District","=""9010022""",2106
"Norwich School District","=""1040011""",3348
"Odyssey Community School District","=""2630013""",374
"Old Saybrook School District","=""1060011""",1070
"Orange School District","=""1070011""",1281
"Oxford School District","=""1080011""",1717
"Park City Prep Charter School District","=""2830013""",383
"Plainfield School District","=""1090011""",1944
"Plainville School District","=""1100011""",2291
"Plymouth School District","=""1110011""",1306
"Pomfret School District","=""1120011""",370
"Portland School District","=""1130011""",1240
"Preston School District","=""1140011""",440
"Putnam School District","=""1160011""",1185
"Redding School District","=""1170011""",832
"Regional School District 01","=""2010012""",326
"Regional School District 04","=""2040012""",751
"Regional School District 05","=""2050012""",2075
"Regional School District 06","=""2060012""",853
"Regional School District 07","=""2070012""",890
"Regional School District 08","=""2080012""",1206
"Regional School District 09","=""2090012""",779
"Regional School District 10","=""2100012""",2147
"Regional School District 11","=""2110012""",225
"Regional School District 12","=""2120012""",804
"Regional School District 13","=""2130012""",1365
"Regional School District 14","=""2140012""",1617
"Regional School District 15","=""2150012""",3469
"Regional School District 16","=""2160012""",1958
"Regional School District 17","=""2170012""",1814
"Regional School District 18","=""2180012""",1288
"Regional School District 19","=""2190012""",1126
"Ridgefield School District","=""1180011""",4568
"Rocky Hill School District","=""1190011""",2550
"Salem School District","=""1210011""",401
"Salisbury School District","=""1220011""",296
"Scotland School District","=""1230011""",97
"Seymour School District","=""1240011""",2133
"Sharon School District","=""1250011""",97
"Shelton School District","=""1260011""",4512
"Sherman School District","=""1270011""",265
"Side By Side Charter School District","=""2700013""",236
"Simsbury School District","=""1280011""",4125
"Somers School District","=""1290011""",1345
"South Windsor School District","=""1320011""",4877
"Southington School District","=""1310011""",6284
"Sprague School District","=""1330011""",276
"Stafford School District","=""1340011""",1401
"Stamford Charter School for Excellence District","=""2960013""",561
"Stamford School District","=""1350011""",16158
"Sterling School District","=""1360011""",323
"Stonington School District","=""1370011""",1800
"Stratford School District","=""1380011""",6762
"Suffield School District","=""1390011""",2041
"The Bridge Academy District","=""2690013""",280
"The Gilbert School District","=""9020022""",410
"The Woodstock Academy District","=""9030022""",1041
"Thomaston School District","=""1400011""",820
"Thompson School District","=""1410011""",927
"Tolland School District","=""1420011""",2302
"Torrington School District","=""1430011""",3883
"Trumbull School District","=""1440011""",6920
"Unified School District #1","=""3360015""",124
"Unified School District #2","=""3470015""",72
"Union School District","=""1450011""","*"
"Vernon School District","=""1460011""",3148
"Voluntown School District","=""1470011""",250
"Wallingford School District","=""1480011""",5335
"Waterbury School District","=""1510011""",18701
"Waterford School District","=""1520011""",2338
"Watertown School District","=""1530011""",2598
"West Hartford School District","=""1550011""",9231
"West Haven School District","=""1560011""",5976
"Westbrook School District","=""1540011""",617
"Weston School District","=""1570011""",2197
"Westport School District","=""1580011""",5387
"Wethersfield School District","=""1590011""",3646
"Willington School District","=""1600011""",398
"Wilton School District","=""1610011""",3788
"Winchester School District","=""1620011""",606
"Windham School District","=""1630011""",3224
"Windsor Locks School District","=""1650011""",1549
"Windsor School District","=""1640011""",3337
"Wolcott School District","=""1660011""",2139
"Woodbridge School District","=""1670011""",848
"Woodstock School District","=""1690011""",774
"Total","=""""",513513

