"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2022-23"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",705,278,101,1084
"Achievement First Hartford Academy District","=""2880013""",441,552,48,1041
"Amistad Academy District","=""2790013""",787,260,69,1116
"Andover School District","=""0010011""",38,150,9,197
"Ansonia School District","=""0020011""",1297,832,203,2332
"Area Cooperative Educational Services","=""2440014""",659,959,122,1740
"Ashford School District","=""0030011""",116,238,14,368
"Avon School District","=""0040011""",264,2770,72,3106
"Barkhamsted School District","=""0050011""",29,169,11,209
"Berlin School District","=""0070011""",492,2067,123,2682
"Bethany School District","=""0080011""",42,381,6,429
"Bethel School District","=""0090011""",728,2291,204,3223
"Bloomfield School District","=""0110011""",1009,863,183,2055
"Bolton School District","=""0120011""",152,558,24,734
"Booker T. Washington Academy District","=""2950013""",274,79,91,444
"Bozrah School District","=""0130011""",61,94,15,170
"Branford School District","=""0140011""",759,1647,245,2651
"Brass City Charter School District","=""2900013""",184,154,22,360
"Bridgeport School District","=""0150011""",14528,3743,1066,19337
"Bristol School District","=""0170011""",3553,3598,633,7784
"Brookfield School District","=""0180011""",423,1992,148,2563
"Brooklyn School District","=""0190011""",285,553,65,903
"Canaan School District","=""0210011""",17,47,8,72
"Canterbury School District","=""0220011""",112,326,36,474
"Canton School District","=""0230011""",189,1305,34,1528
"Capital Preparatory Harbor School District","=""2970013""",457,230,85,772
"Capitol Region Education Council","=""2410014""",5141,3037,764,8942
"Chaplin School District","=""0240011""","*",84,"*",144
"Cheshire School District","=""0250011""",547,3506,155,4208
"Chester School District","=""0260011""","*",164,"*",222
"Clinton School District","=""0270011""",418,966,113,1497
"Colchester School District","=""0280011""",461,1686,88,2235
"Colebrook School District","=""0290011""","*",46,"*",72
"Columbia School District","=""0300011""",81,355,28,464
"Common Ground High School District","=""2680013""",141,70,15,226
"Connecticut Technical Education and Career System","=""9000016""",4616,5862,705,11183
"Cooperative Educational Services","=""2430014""",295,459,68,822
"Cornwall School District","=""0310011""",18,65,11,94
"Coventry School District","=""0320011""",312,1257,88,1657
"Cromwell School District","=""0330011""",403,1434,110,1947
"Danbury School District","=""0340011""",4879,6264,966,12109
"Darien School District","=""0350011""",44,4638,18,4700
"Deep River School District","=""0360011""",50,124,18,192
"Department of Mental Health and Addiction Services","=""""","*",0,0,"*"
"Derby School District","=""0370011""",640,588,89,1317
"East Granby School District","=""0400011""",137,727,0,864
"East Haddam School District","=""0410011""",217,733,40,990
"East Hampton School District","=""0420011""",271,1427,72,1770
"East Hartford School District","=""0430011""",3650,2101,641,6392
"East Haven School District","=""0440011""",1260,1358,267,2885
"East Lyme School District","=""0450011""",472,2013,132,2617
"East Windsor School District","=""0470011""",460,490,80,1030
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",170,205,29,404
"Eastford School District","=""0390011""",46,108,0,154
"Easton School District","=""0460011""",59,831,13,903
"EdAdvance","=""2420014""",204,67,6,277
"Ellington School District","=""0480011""",390,2106,90,2586
"Elm City College Preparatory School District","=""2890013""",538,170,75,783
"Elm City Montessori School District","=""2910013""",119,179,0,298
"Enfield School District","=""0490011""",1921,2648,344,4913
"Essex School District","=""0500011""",55,232,14,301
"Explorations District","=""2720013""",43,39,11,93
"Fairfield School District","=""0510011""",1260,7736,383,9379
"Farmington School District","=""0520011""",535,3474,138,4147
"Franklin School District","=""0530011""",26,155,6,187
"Glastonbury School District","=""0540011""",595,4911,157,5663
"Goodwin University Educational Services (GUES)","=""2310018""",664,353,123,1140
"Granby School District","=""0560011""",215,1465,58,1738
"Great Oaks Charter School District","=""2940013""",276,349,39,664
"Greenwich School District","=""0570011""",1241,6990,329,8560
"Griswold School District","=""0580011""",723,856,146,1725
"Groton School District","=""0590011""",1423,2274,407,4104
"Guilford School District","=""0600011""",278,2779,98,3155
"Hamden School District","=""0620011""",1908,3172,388,5468
"Hampton School District","=""0630011""",20,40,7,67
"Hartford School District","=""0640011""",12741,3544,489,16774
"Hartland School District","=""0650011""",11,97,8,116
"Hebron School District","=""0670011""",86,582,28,696
"Highville Charter School District","=""2860013""",321,126,58,505
"Integrated Day Charter School District","=""2640013""",168,163,30,361
"Interdistrict School for Arts and Comm District","=""2650013""",173,82,26,281
"Jumoke Academy District","=""2610013""",610,19,0,629
"Kent School District","=""0680011""",33,146,15,194
"Killingly School District","=""0690011""",1043,1221,186,2450
"Learn","=""2450014""",672,624,114,1410
"Lebanon School District","=""0710011""",222,686,50,958
"Ledyard School District","=""0720011""",454,1856,111,2421
"Lisbon School District","=""0730011""",127,281,29,437
