"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2023-24"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",678,320,100,1098
"Achievement First Hartford Academy District","=""2880013""",681,205,75,961
"Amistad Academy District","=""2790013""",780,250,95,1125
"Andover School District","=""0010011""",39,147,19,205
"Ansonia School District","=""0020011""",1295,903,199,2397
"Area Cooperative Educational Services","=""2440014""",682,931,106,1719
"Ashford School District","=""0030011""",102,238,15,355
"Avon School District","=""0040011""",316,2728,81,3125
"Barkhamsted School District","=""0050011""",38,172,8,218
"Berlin School District","=""0070011""",560,1966,135,2661
"Bethany School District","=""0080011""",50,379,16,445
"Bethel School District","=""0090011""",786,2209,254,3249
"Bloomfield School District","=""0110011""",916,871,195,1982
"Bolton School District","=""0120011""",153,528,18,699
"Booker T. Washington Academy District","=""2950013""",258,42,84,384
"Bozrah School District","=""0130011""",47,106,17,170
"Branford School District","=""0140011""",765,1658,202,2625
"Brass City Charter School District","=""2900013""",210,119,34,363
"Bridgeport School District","=""0150011""",15997,2704,890,19591
"Bristol School District","=""0170011""",3715,3341,718,7774
"Brookfield School District","=""0180011""",469,1946,167,2582
"Brooklyn School District","=""0190011""",282,559,44,885
"Canaan School District","=""0210011""",21,51,8,80
"Canterbury School District","=""0220011""",112,332,42,486
"Canton School District","=""0230011""",215,1231,60,1506
"Capital Preparatory Harbor School District","=""2970013""",461,243,77,781
"Capitol Region Education Council","=""2410014""",4571,3768,577,8916
"Chaplin School District","=""0240011""","*",95,"*",154
"Cheshire School District","=""0250011""",549,3513,162,4224
"Chester School District","=""0260011""",49,151,7,207
"Clinton School District","=""0270011""",445,886,126,1457
"Colchester School District","=""0280011""",456,1601,104,2161
"Colebrook School District","=""0290011""","*",43,"*",66
"Columbia School District","=""0300011""",90,364,23,477
"Common Ground High School District","=""2680013""",133,77,13,223
"Connecticut Technical Education and Career System","=""9000016""",4465,5808,921,11194
"Cooperative Educational Services","=""2430014""",298,411,99,808
"Cornwall School District","=""0310011""",25,65,7,97
"Coventry School District","=""0320011""",323,1201,109,1633
"Cromwell School District","=""0330011""",447,1340,117,1904
"Danbury School District","=""0340011""",5257,5776,1093,12126
"Darien School District","=""0350011""",48,4615,18,4681
"Deep River School District","=""0360011""",47,129,19,195
"Department of Mental Health and Addiction Services","=""""","*",0,0,"*"
"Derby School District","=""0370011""",682,578,85,1345
"East Granby School District","=""0400011""",126,699,0,825
"East Haddam School District","=""0410011""",220,726,53,999
"East Hampton School District","=""0420011""",284,1384,74,1742
"East Hartford School District","=""0430011""",3409,2507,494,6410
"East Haven School District","=""0440011""",1239,1376,288,2903
"East Lyme School District","=""0450011""",464,1892,150,2506
"East Windsor School District","=""0470011""",502,457,93,1052
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",164,176,28,368
"Eastford School District","=""0390011""",47,127,0,174
"Easton School District","=""0460011""",52,835,17,904
"EdAdvance","=""2420014""",189,89,10,288
"Ellington School District","=""0480011""",450,2007,90,2547
"Elm City College Preparatory School District","=""2890013""",535,171,69,775
"Elm City Montessori School District","=""2910013""","*",188,"*",305
"Enfield School District","=""0490011""",2015,2458,353,4826
"Essex School District","=""0500011""",53,236,11,300
"Explorations District","=""2720013""",47,32,9,88
"Fairfield School District","=""0510011""",1219,7781,355,9355
"Farmington School District","=""0520011""",618,3382,194,4194
"Franklin School District","=""0530011""",44,142,6,192
"Glastonbury School District","=""0540011""",603,4927,144,5674
"Goodwin University Educational Services (GUES)","=""2310018""",680,403,131,1214
"Granby School District","=""0560011""",238,1436,68,1742
"Great Oaks Charter School District","=""2940013""",340,"*","*",659
"Greenwich School District","=""0570011""",1310,6913,366,8589
"Griswold School District","=""0580011""",779,824,172,1775
"Groton School District","=""0590011""",1975,1880,244,4099
"Guilford School District","=""0600011""",321,2714,95,3130
"Hamden School District","=""0620011""",2167,2822,466,5455
"Hampton School District","=""0630011""",22,44,8,74
"Hartford School District","=""0640011""",12753,3617,469,16839
"Hartland School District","=""0650011""","*",94,"*",109
"Hebron School District","=""0670011""",101,573,27,701
"Highville Charter School District","=""2860013""",321,140,43,504
"Integrated Day Charter School District","=""2640013""",141,202,19,362
"Interdistrict School for Arts and Comm District","=""2650013""",171,81,27,279
"Jumoke Academy District","=""2610013""","*","*",0,619
"Kent School District","=""0680011""",28,144,19,191
"Killingly School District","=""0690011""",1007,1218,198,2423
"Learn","=""2450014""",689,581,126,1396
"Lebanon School District","=""0710011""",233,681,71,985
"Ledyard School District","=""0720011""",600,1656,189,2445
"Lisbon School District","=""0730011""",129,276,37,442
"Litchfield School District","=""0740011""",150,615,57,822
"Madison School District","=""0760011""",61,2343,30,2434
"Manchester School District","=""0770011""",3234,2520,413,6167
"Mansfield School District","=""0780011""",266,685,51,1002
"Marlborough School District","=""0790011""",59,361,25,445
"Meriden School District","=""0800011""",5829,1916,1044,8789
"Middletown School District","=""0830011""",1834,2263,281,4378
"Milford School District","=""0840011""",1269,3727,331,5327
"Monroe School District","=""0850011""",351,3021,98,3470
"Montville School District","=""0860011""",735,1105,181,2021
"Naugatuck School District","=""0880011""",2065,1730,436,4231
"New Beginnings Inc Family Academy District","=""2800013""",295,73,24,392
"New Britain School District","=""0890011""",6803,2432,665,9900
"New Canaan School District","=""0900011""",0,4109,0,4109
"New Fairfield School District","=""0910011""",264,1806,84,2154
"New Hartford School District","=""0920011""",76,365,14,455
"New Haven School District","=""0930011""",13074,4478,1414,18966
"New London School District","=""0950011""",2188,426,308,2922
"New Milford School District","=""0960011""",949,2410,243,3602
"Newington School District","=""0940011""",1135,2454,304,3893
"Newtown School District","=""0970011""",381,3427,143,3951
"Norfolk School District","=""0980011""","*",39,"*",56
"North Branford School District","=""0990011""",300,1162,79,1541
"North Canaan School District","=""1000011""",85,140,19,244
"North Haven School District","=""1010011""",595,2421,220,3236
"North Stonington School District","=""1020011""",107,589,45,741
"Norwalk School District","=""1030011""",4856,5615,1049,11520
"Norwich Free Academy District","=""9010022""",1017,912,142,2071
"Norwich School District","=""1040011""",2177,823,336,3336
"Odyssey Community School District","=""2630013""",131,203,36,370
"Old Saybrook School District","=""1060011""",207,783,40,1030
"Orange School District","=""1070011""",134,1107,40,1281
"Oxford School District","=""1080011""",239,1395,33,1667
"Park City Prep Charter School District","=""2830013""",257,98,48,403
"Plainfield School District","=""1090011""",927,780,188,1895
"Plainville School District","=""1100011""",740,1302,213,2255
"Plymouth School District","=""1110011""",480,646,153,1279
"Pomfret School District","=""1120011""",60,276,13,349
"Portland School District","=""1130011""",312,871,60,1243
"Preston School District","=""1140011""",104,305,41,450
"Putnam School District","=""1160011""",596,498,87,1181
"Redding School District","=""1170011""",69,789,7,865
"Regional School District 01","=""2010012""",69,218,27,314
"Regional School District 04","=""2040012""",154,511,58,723
"Regional School District 05","=""2050012""",235,1810,67,2112
"Regional School District 06","=""2060012""",166,617,65,848
"Regional School District 07","=""2070012""",162,601,68,831
"Regional School District 08","=""2080012""",153,969,40,1162
"Regional School District 09","=""2090012""",77,653,19,749
"Regional School District 10","=""2100012""",247,1801,73,2121
"Regional School District 11","=""2110012""",67,121,24,212
"Regional School District 12","=""2120012""",115,644,38,797
"Regional School District 13","=""2130012""",184,1127,39,1350
"Regional School District 14","=""2140012""",274,1220,87,1581
"Regional School District 15","=""2150012""",419,2892,124,3435
"Regional School District 16","=""2160012""",390,1429,112,1931
"Regional School District 17","=""2170012""",207,1517,46,1770
"Regional School District 18","=""2180012""",136,1128,28,1292
"Regional School District 19","=""2190012""",246,772,66,1084
"Ridgefield School District","=""1180011""",239,4156,79,4474
"Rocky Hill School District","=""1190011""",467,1948,115,2530
"Salem School District","=""1210011""",73,294,19,386
"Salisbury School District","=""1220011""",53,237,13,303
"Scotland School District","=""1230011""",36,59,8,103
"Seymour School District","=""1240011""",740,1120,241,2101
"Sharon School District","=""1250011""",38,62,6,106
"Shelton School District","=""1260011""",1251,2904,358,4513
"Sherman School District","=""1270011""",12,234,0,246
"Side By Side Charter School District","=""2700013""",112,101,23,236
"Simsbury School District","=""1280011""",540,3494,131,4165
"Somers School District","=""1290011""",79,1272,6,1357
"South Windsor School District","=""1320011""",666,4126,230,5022
"Southington School District","=""1310011""",1332,4586,324,6242
"Sprague School District","=""1330011""",130,129,32,291
"Stafford School District","=""1340011""",442,781,95,1318
"Stamford Charter School for Excellence District","=""2960013""",256,233,51,540
"Stamford School District","=""1350011""",6778,8004,1557,16339
"Sterling School District","=""1360011""",103,211,14,328
"Stonington School District","=""1370011""",379,1307,76,1762
"Stratford School District","=""1380011""",2495,3620,628,6743
"Suffield School District","=""1390011""",240,1709,89,2038
"The Bridge Academy District","=""2690013""",181,39,61,281
"The Gilbert School District","=""9020022""",201,187,59,447
"The Woodstock Academy District","=""9030022""","*",929,"*",974
"Thomaston School District","=""1400011""",243,479,54,776
"Thompson School District","=""1410011""",310,498,77,885
"Tolland School District","=""1420011""",248,1896,66,2210
"Torrington School District","=""1430011""",2253,1303,389,3945
"Trumbull School District","=""1440011""",911,5730,299,6940
"Unified School District #1","=""3360015""",144,0,0,144
"Unified School District #2","=""3470015""",69,0,0,69
"Union School District","=""1450011""","*",45,0,"*"
"Vernon School District","=""1460011""",1490,1471,265,3226
"Voluntown School District","=""1470011""",60,153,23,236
"Wallingford School District","=""1480011""",1549,3425,318,5292
"Waterbury School District","=""1510011""",15115,3654,187,18956
"Waterford School District","=""1520011""",548,1663,130,2341
"Watertown School District","=""1530011""",795,1542,241,2578
"West Hartford School District","=""1550011""",2078,6688,495,9261
"West Haven School District","=""1560011""",2948,2592,458,5998
"Westbrook School District","=""1540011""",144,389,64,597
"Weston School District","=""1570011""","*",2143,"*",2168
"Westport School District","=""1580011""",107,5182,44,5333
"Wethersfield School District","=""1590011""",842,2543,199,3584
"Willington School District","=""1600011""",125,251,18,394
"Wilton School District","=""1610011""","*",3581,"*",3809
"Winchester School District","=""1620011""",296,254,69,619
"Windham School District","=""1630011""",2172,840,214,3226
"Windsor Locks School District","=""1650011""",554,845,88,1487
"Windsor School District","=""1640011""",1267,1767,308,3342
"Wolcott School District","=""1660011""",570,1379,183,2132
"Woodbridge School District","=""1670011""",86,768,28,882
"Woodstock School District","=""1690011""",137,590,48,775
"Total","=""""",194521,287289,30842,512652

