"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2018-19"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",593,376,124,1093
"Achievement First Hartford Academy District","=""2880013""",783,255,74,1112
"Amistad Academy District","=""2790013""",665,321,97,1083
"Andover School District","=""0010011""","*",158,"*",191
"Ansonia School District","=""0020011""",1202,926,196,2324
"Area Cooperative Educational Services","=""2440014""",935,840,99,1874
"Ashford School District","=""0030011""",104,253,53,410
"Avon School District","=""0040011""",259,2835,58,3152
"Barkhamsted School District","=""0050011""",38,181,8,227
"Berlin School District","=""0070011""",471,2219,113,2803
"Bethany School District","=""0080011""",46,301,19,366
"Bethel School District","=""0090011""",638,2239,235,3112
"Bloomfield School District","=""0110011""",988,961,235,2184
"Bolton School District","=""0120011""",153,607,26,786
"Booker T. Washington Academy District","=""2950013""",214,74,72,360
"Bozrah School District","=""0130011""",51,129,23,203
"Branford School District","=""0140011""",759,1865,236,2860
"Brass City Charter School District","=""2900013""",178,85,24,287
"Bridgeport School District","=""0150011""",13722,5465,1385,20572
"Bristol School District","=""0170011""",3331,4219,406,7956
"Brookfield School District","=""0180011""",375,2131,124,2630
"Brooklyn School District","=""0190011""",280,578,64,922
"Canaan School District","=""0210011""","*",47,"*",63
"Canterbury School District","=""0220011""",136,311,24,471
"Canton School District","=""0230011""",204,1300,56,1560
"Capital Preparatory Harbor School District","=""2970013""",374,196,64,634
"Capitol Region Education Council","=""2410014""",4062,3642,968,8672
"Chaplin School District","=""0240011""",69,79,8,156
"Cheshire School District","=""0250011""",447,3710,127,4284
"Chester School District","=""0260011""",37,142,15,194
"Clinton School District","=""0270011""",448,1148,148,1744
"Colchester School District","=""0280011""",410,1790,121,2321
"Colebrook School District","=""0290011""",15,62,7,84
"Columbia School District","=""0300011""",77,344,16,437
"Common Ground High School District","=""2680013""",121,81,14,216
"Connecticut Technical Education and Career System","=""9000016""",4474,4923,1250,10647
"Cooperative Educational Services","=""2430014""",219,524,96,839
"Cornwall School District","=""0310011""","*",78,"*",91
"Coventry School District","=""0320011""",324,1241,84,1649
"Cromwell School District","=""0330011""",354,1506,86,1946
"Danbury School District","=""0340011""",6287,3897,1347,11531
"Darien School District","=""0350011""",69,4656,44,4769
"Deep River School District","=""0360011""",64,152,26,242
"Department of Mental Health and Addiction Services","=""""","*",0,0,"*"
"Derby School District","=""0370011""",781,371,156,1308
"East Granby School District","=""0400011""","*",706,"*",855
"East Haddam School District","=""0410011""",201,744,64,1009
"East Hampton School District","=""0420011""",269,1510,90,1869
"East Hartford School District","=""0430011""",3657,2650,529,6836
"East Haven School District","=""0440011""",1388,1195,313,2896
"East Lyme School District","=""0450011""",429,2115,155,2699
"East Windsor School District","=""0470011""",471,503,133,1107
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",196,200,33,429
"Eastford School District","=""0390011""",53,113,0,166
"Easton School District","=""0460011""",59,824,18,901
"EdAdvance","=""2420014""",237,"*","*",278
"Ellington School District","=""0480011""",353,2291,91,2735
"Elm City College Preparatory School District","=""2890013""",479,219,58,756
"Elm City Montessori School District","=""2910013""",80,111,8,199
"Enfield School District","=""0490011""",1945,2757,398,5100
"Essex School District","=""0500011""",55,257,23,335
"Explorations District","=""2720013""",46,35,7,88
"Fairfield School District","=""0510011""",1185,8263,402,9850
"Farmington School District","=""0520011""",538,3442,114,4094
"Franklin School District","=""0530011""",23,125,6,154
"Glastonbury School District","=""0540011""",592,5133,173,5898
"Granby School District","=""0560011""",194,1629,54,1877
"Great Oaks Charter School District","=""2940013""",301,125,39,465
"Greenwich School District","=""0570011""",1335,7286,478,9099
