"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2020-21"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",675,355,97,1127
"Achievement First Hartford Academy District","=""2880013""",825,252,87,1164
"Amistad Academy District","=""2790013""",704,308,122,1134
"Andover School District","=""0010011""",30,136,8,174
"Ansonia School District","=""0020011""",1300,719,219,2238
"Area Cooperative Educational Services","=""2440014""",957,748,121,1826
"Ashford School District","=""0030011""",113,230,27,370
"Avon School District","=""0040011""",188,2888,52,3128
"Barkhamsted School District","=""0050011""",37,159,7,203
"Berlin School District","=""0070011""",504,2084,127,2715
"Bethany School District","=""0080011""",37,320,13,370
"Bethel School District","=""0090011""",743,2105,241,3089
"Bloomfield School District","=""0110011""",1021,841,218,2080
"Bolton School District","=""0120011""",161,566,26,753
"Booker T. Washington Academy District","=""2950013""",272,98,110,480
"Bozrah School District","=""0130011""",51,109,20,180
"Branford School District","=""0140011""",770,1615,205,2590
"Brass City Charter School District","=""2900013""",170,168,23,361
"Bridgeport School District","=""0150011""",11553,6425,1471,19449
"Bristol School District","=""0170011""",3678,3497,551,7726
"Brookfield School District","=""0180011""",410,2032,121,2563
"Brooklyn School District","=""0190011""",260,496,75,831
"Canaan School District","=""0210011""",13,46,9,68
"Canterbury School District","=""0220011""",89,311,35,435
"Canton School District","=""0230011""",230,1274,13,1517
"Capital Preparatory Harbor School District","=""2970013""",435,282,68,785
"Capitol Region Education Council","=""2410014""",4718,3141,940,8799
"Chaplin School District","=""0240011""","*",76,"*",131
"Cheshire School District","=""0250011""",473,3476,173,4122
"Chester School District","=""0260011""",49,145,7,201
"Clinton School District","=""0270011""",437,986,147,1570
"Colchester School District","=""0280011""",403,1672,118,2193
"Colebrook School District","=""0290011""",15,52,8,75
"Columbia School District","=""0300011""",81,311,10,402
"Common Ground High School District","=""2680013""",142,81,13,236
"Connecticut Technical Education and Career System","=""9000016""",5428,5023,887,11338
"Cooperative Educational Services","=""2430014""",254,468,67,789
"Cornwall School District","=""0310011""","*",87,"*",104
"Coventry School District","=""0320011""",316,1197,93,1606
"Cromwell School District","=""0330011""",438,1430,121,1989
"Danbury School District","=""0340011""",5147,5387,1300,11834
"Darien School District","=""0350011""",35,4622,25,4682
"Deep River School District","=""0360011""",71,132,15,218
"Department of Mental Health and Addiction Services","=""""","*",0,0,"*"
"Derby School District","=""0370011""",583,561,90,1234
"East Granby School District","=""0400011""",104,730,0,834
"East Haddam School District","=""0410011""",157,738,40,935
"East Hampton School District","=""0420011""",296,1447,81,1824
"East Hartford School District","=""0430011""",3462,2593,526,6581
"East Haven School District","=""0440011""",1294,1273,234,2801
"East Lyme School District","=""0450011""",455,2020,137,2612
"East Windsor School District","=""0470011""",432,553,65,1050
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",213,207,24,444
"Eastford School District","=""0390011""",40,100,0,140
"Easton School District","=""0460011""",75,765,18,858
"EdAdvance","=""2420014""",159,62,7,228
"Ellington School District","=""0480011""",404,2137,85,2626
"Elm City College Preparatory School District","=""2890013""",506,195,73,774
"Elm City Montessori School District","=""2910013""",101,147,11,259
"Enfield School District","=""0490011""",2004,2548,369,4921
"Essex School District","=""0500011""",46,250,17,313
"Explorations District","=""2720013""",56,22,8,86
"Fairfield School District","=""0510011""",1166,7955,323,9444
"Farmington School District","=""0520011""",592,3334,160,4086
"Franklin School District","=""0530011""",22,134,9,165
"Glastonbury School District","=""0540011""",649,4956,153,5758
"Granby School District","=""0560011""",186,1511,32,1729
"Great Oaks Charter School District","=""2940013""",469,201,0,670
"Greenwich School District","=""0570011""",1536,6893,367,8796
"Griswold School District","=""0580011""",662,831,178,1671
"Groton School District","=""0590011""",1657,1886,525,4068
"Guilford School District","=""0600011""",302,2701,102,3105
"Hamden School District","=""0620011""",1878,3008,458,5344
"Hampton School District","=""0630011""","*",50,"*",73
"Hartford School District","=""0640011""",13719,3536,478,17733
"Hartland School District","=""0650011""",20,119,6,145
"Hebron School District","=""0670011""",76,540,20,636
"Highville Charter School District","=""2860013""",252,158,37,447
"Integrated Day Charter School District","=""2640013""",117,208,28,353
"Interdistrict School for Arts and Comm District","=""2650013""",175,80,26,281
"Jumoke Academy District","=""2610013""",145,528,13,686
"Kent School District","=""0680011""",38,160,9,207
"Killingly School District","=""0690011""",912,1257,167,2336
"Learn","=""2450014""",1203,852,304,2359
"Lebanon School District","=""0710011""",223,680,45,948
"Ledyard School District","=""0720011""",501,1686,171,2358
"Lisbon School District","=""0730011""",119,266,45,430
"Litchfield School District","=""0740011""",121,671,29,821
"Madison School District","=""0760011""",62,2391,25,2478
"Manchester School District","=""0770011""",3092,2515,484,6091
"Mansfield School District","=""0780011""",257,727,55,1039
"Marlborough School District","=""0790011""",46,378,18,442
"Meriden School District","=""0800011""",5412,1860,846,8118
"Middletown School District","=""0830011""",1729,2406,274,4409
"Milford School District","=""0840011""",1251,3873,309,5433
"Monroe School District","=""0850011""",261,2838,80,3179
"Montville School District","=""0860011""",694,1068,202,1964
"Naugatuck School District","=""0880011""",2217,1798,240,4255
"New Beginnings Inc Family Academy District","=""2800013""",366,98,38,502
"New Britain School District","=""0890011""",6404,2492,769,9665
"New Canaan School District","=""0900011""",0,4232,0,4232
"New Fairfield School District","=""0910011""",209,1851,72,2132
"New Hartford School District","=""0920011""",67,340,13,420
"New Haven School District","=""0930011""",12590,6045,1416,20051
"New London School District","=""0950011""",2376,594,327,3297
"New Milford School District","=""0960011""",1027,2366,340,3733
"Newington School District","=""0940011""",992,2644,338,3974
"Newtown School District","=""0970011""",435,3475,143,4053
"Norfolk School District","=""0980011""","*",58,"*",80
"North Branford School District","=""0990011""",302,1217,96,1615
"North Canaan School District","=""1000011""",99,124,25,248
"North Haven School District","=""1010011""",501,2440,152,3093
"North Stonington School District","=""1020011""",128,551,28,707
"Norwalk School District","=""1030011""",5804,4550,1225,11579
"Norwich Free Academy District","=""9010022""",817,1148,148,2113
"Norwich School District","=""1040011""",2081,961,335,3377
"Odyssey Community School District","=""2630013""",98,203,27,328
"Old Saybrook School District","=""1060011""",213,790,71,1074
"Orange School District","=""1070011""",132,1054,48,1234
"Oxford School District","=""1080011""",178,1398,42,1618
"Park City Prep Charter School District","=""2830013""",241,82,37,360
"Plainfield School District","=""1090011""",906,850,254,2010
"Plainville School District","=""1100011""",707,1330,228,2265
"Plymouth School District","=""1110011""",459,699,142,1300
"Pomfret School District","=""1120011""",64,258,17,339
"Portland School District","=""1130011""",313,907,59,1279
"Preston School District","=""1140011""",79,297,29,405
"Putnam School District","=""1160011""",618,392,104,1114
"Redding School District","=""1170011""",67,724,15,806
"Regional School District 01","=""2010012""",104,198,21,323
"Regional School District 04","=""2040012""",149,650,39,838
"Regional School District 05","=""2050012""",219,1903,62,2184
"Regional School District 06","=""2060012""",171,659,50,880
"Regional School District 07","=""2070012""",157,780,54,991
"Regional School District 08","=""2080012""",163,1092,47,1302
"Regional School District 09","=""2090012""",70,748,17,835
"Regional School District 10","=""2100012""",234,1911,56,2201
"Regional School District 11","=""2110012""",75,120,10,205
"Regional School District 12","=""2120012""",115,539,34,688
"Regional School District 13","=""2130012""",175,1208,57,1440
"Regional School District 14","=""2140012""",214,1293,73,1580
"Regional School District 15","=""2150012""",386,3025,102,3513
"Regional School District 16","=""2160012""",337,1549,115,2001
"Regional School District 17","=""2170012""",205,1580,64,1849
"Regional School District 18","=""2180012""",200,1036,47,1283
"Regional School District 19","=""2190012""",261,779,65,1105
"Ridgefield School District","=""1180011""",193,4310,53,4556
"Rocky Hill School District","=""1190011""",401,2163,78,2642
"Salem School District","=""1210011""",70,301,19,390
"Salisbury School District","=""1220011""",46,253,11,310
"Scotland School District","=""1230011""","*",55,"*",88
"Seymour School District","=""1240011""",654,1258,198,2110
"Sharon School District","=""1250011""",31,70,11,112
"Shelton School District","=""1260011""",1072,3013,320,4405
"Sherman School District","=""1270011""","*",244,"*",252
"Side By Side Charter School District","=""2700013""",97,99,39,235
"Simsbury School District","=""1280011""",493,3384,145,4022
"Somers School District","=""1290011""",50,1245,10,1305
"South Windsor School District","=""1320011""",620,3744,194,4558
"Southington School District","=""1310011""",1156,4702,332,6190
"Sprague School District","=""1330011""",128,91,35,254
"Stafford School District","=""1340011""",426,788,138,1352
"Stamford Charter School for Excellence District","=""2960013""",197,150,44,391
"Stamford School District","=""1350011""",7820,6861,1592,16273
"Sterling School District","=""1360011""",92,203,17,312
"Stonington School District","=""1370011""",411,1382,108,1901
"Stratford School District","=""1380011""",2545,3604,550,6699
"Suffield School District","=""1390011""",281,1717,75,2073
"The Bridge Academy District","=""2690013""",185,62,34,281
"The Gilbert School District","=""9020022""",166,249,37,452
"The Woodstock Academy District","=""9030022""",7,1037,0,1044
"Thomaston School District","=""1400011""",213,539,73,825
"Thompson School District","=""1410011""",379,509,88,976
"Tolland School District","=""1420011""",200,1973,108,2281
"Torrington School District","=""1430011""",2034,1198,472,3704
"Trumbull School District","=""1440011""",926,5519,294,6739
"Unified School District #1","=""3360015""",145,0,0,145
"Unified School District #2","=""3470015""",75,0,0,75
"Union School District","=""1450011""","*",40,0,"*"
"Vernon School District","=""1460011""",1388,1381,281,3050
"Voluntown School District","=""1470011""",51,178,19,248
"Wallingford School District","=""1480011""",1475,3673,303,5451
"Waterbury School District","=""1510011""",13605,4377,468,18450
"Waterford School District","=""1520011""",491,1719,157,2367
"Watertown School District","=""1530011""",733,1649,257,2639
"West Hartford School District","=""1550011""",1942,6770,493,9205
"West Haven School District","=""1560011""",3039,2257,505,5801
"Westbrook School District","=""1540011""",188,408,54,650
"Weston School District","=""1570011""",24,2242,12,2278
"Westport School District","=""1580011""",110,5225,23,5358
"Wethersfield School District","=""1590011""",741,2687,146,3574
"Willington School District","=""1600011""",133,244,21,398
"Wilton School District","=""1610011""",149,3546,28,3723
"Winchester School District","=""1620011""",254,246,54,554
"Windham School District","=""1630011""",2063,958,235,3256
"Windsor Locks School District","=""1650011""",544,898,92,1534
"Windsor School District","=""1640011""",1180,1855,290,3325
"Wolcott School District","=""1660011""",487,1491,182,2160
"Woodbridge School District","=""1670011""",87,699,31,817
"Woodstock School District","=""1690011""",113,648,37,798
"Total","=""""",186938,293907,32234,513079

