"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2021-22"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",537,503,65,1105
"Achievement First Hartford Academy District","=""2880013""",710,350,63,1123
"Amistad Academy District","=""2790013""",650,393,72,1115
"Andover School District","=""0010011""","*",158,"*",192
"Ansonia School District","=""0020011""",1332,691,242,2265
"Area Cooperative Educational Services","=""2440014""",924,751,144,1819
"Ashford School District","=""0030011""",104,256,21,381
"Avon School District","=""0040011""",246,2815,66,3127
"Barkhamsted School District","=""0050011""",33,165,11,209
"Berlin School District","=""0070011""",460,2081,127,2668
"Bethany School District","=""0080011""",41,342,6,389
"Bethel School District","=""0090011""",709,2224,227,3160
"Bloomfield School District","=""0110011""",866,979,196,2041
"Bolton School District","=""0120011""",146,572,32,750
"Booker T. Washington Academy District","=""2950013""",304,102,113,519
"Bozrah School District","=""0130011""",54,100,15,169
"Branford School District","=""0140011""",715,1722,197,2634
"Brass City Charter School District","=""2900013""",176,162,22,360
"Bridgeport School District","=""0150011""",10838,6699,1694,19231
"Bristol School District","=""0170011""",3767,3528,461,7756
"Brookfield School District","=""0180011""",399,2062,140,2601
"Brooklyn School District","=""0190011""",247,574,57,878
"Canaan School District","=""0210011""","*",52,"*",74
"Canterbury School District","=""0220011""",105,329,36,470
"Canton School District","=""0230011""","*",1237,"*",1512
"Capital Preparatory Harbor School District","=""2970013""",433,289,71,793
"Capitol Region Education Council","=""2410014""",4774,3134,843,8751
"Chaplin School District","=""0240011""",68,81,6,155
"Cheshire School District","=""0250011""",476,3563,154,4193
"Chester School District","=""0260011""",44,158,8,210
"Clinton School District","=""0270011""",419,1001,129,1549
"Colchester School District","=""0280011""",418,1704,99,2221
"Colebrook School District","=""0290011""","*",56,"*",77
"Columbia School District","=""0300011""",80,346,16,442
"Common Ground High School District","=""2680013""",132,82,17,231
"Connecticut Technical Education and Career System","=""9000016""",4324,6312,864,11500
"Cooperative Educational Services","=""2430014""",253,461,114,828
