"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2019-20"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",684,322,104,1110
"Achievement First Hartford Academy District","=""2880013""",884,227,58,1169
"Amistad Academy District","=""2790013""",729,281,93,1103
"Andover School District","=""0010011""",34,155,6,195
"Ansonia School District","=""0020011""",1330,735,219,2284
"Area Cooperative Educational Services","=""2440014""",991,701,144,1836
"Ashford School District","=""0030011""",119,236,35,390
"Avon School District","=""0040011""",273,2851,61,3185
"Barkhamsted School District","=""0050011""",47,164,8,219
"Berlin School District","=""0070011""",494,2146,115,2755
"Bethany School District","=""0080011""",36,310,24,370
"Bethel School District","=""0090011""",718,2175,255,3148
"Bloomfield School District","=""0110011""",1018,982,206,2206
"Bolton School District","=""0120011""",159,590,30,779
"Booker T. Washington Academy District","=""2950013""",232,86,102,420
"Bozrah School District","=""0130011""",55,114,21,190
"Branford School District","=""0140011""",814,1783,205,2802
"Brass City Charter School District","=""2900013""",180,123,23,326
"Bridgeport School District","=""0150011""",12853,5781,1677,20311
"Bristol School District","=""0170011""",3773,3676,527,7976
"Brookfield School District","=""0180011""",435,2078,110,2623
"Brooklyn School District","=""0190011""",293,553,72,918
"Canaan School District","=""0210011""","*",44,"*",67
"Canterbury School District","=""0220011""",133,312,30,475
"Canton School District","=""0230011""",216,1322,36,1574
"Capital Preparatory Harbor School District","=""2970013""",531,172,57,760
"Capitol Region Education Council","=""2410014""",4478,3308,871,8657
"Chaplin School District","=""0240011""","*",76,"*",140
"Cheshire School District","=""0250011""",488,3572,139,4199
"Chester School District","=""0260011""",34,145,7,186
"Clinton School District","=""0270011""",459,1054,169,1682
"Colchester School District","=""0280011""",430,1759,133,2322
"Colebrook School District","=""0290011""","*",56,"*",74
"Columbia School District","=""0300011""",88,304,18,410
"Common Ground High School District","=""2680013""",129,82,12,223
"Connecticut Technical Education and Career System","=""9000016""",6068,4639,288,10995
"Cooperative Educational Services","=""2430014""",318,442,99,859
"Cornwall School District","=""0310011""",6,71,10,87
"Coventry School District","=""0320011""",351,1234,93,1678
"Cromwell School District","=""0330011""",422,1460,100,1982
"Danbury School District","=""0340011""",5083,5668,1177,11928
