"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2013-14"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",552,176,107,835
"Achievement First Hartford Academy District","=""2880013""","*","*",0,870
"Amistad Academy District","=""2790013""",705,145,87,937
"Andover School District","=""0010011""","*",256,"*",299
"Ansonia School District","=""0020011""",1257,794,287,2338
"Area Cooperative Educational Services","=""2440014""",913,840,180,1933
"Ashford School District","=""0030011""",107,298,19,424
"Avon School District","=""0040011""",158,3183,46,3387
"Barkhamsted School District","=""0050011""",13,283,11,307
"Berlin School District","=""0070011""",354,2543,66,2963
"Bethany School District","=""0080011""",15,415,6,436
"Bethel School District","=""0090011""",405,2445,150,3000
"Bloomfield School District","=""0110011""",880,1018,198,2096
"Bolton School District","=""0120011""",105,751,13,869
"Bozrah School District","=""0130011""",51,178,15,244
"Branford School District","=""0140011""",577,2486,182,3245
"Brass City Charter School District","=""2900013""",60,42,13,115
"Bridgeport School District","=""0150011""",20755,29,145,20929
"Bristol School District","=""0170011""",3107,4553,608,8268
"Brookfield School District","=""0180011""",187,2533,51,2771
"Brooklyn School District","=""0190011""",220,682,24,926
"Canaan School District","=""0210011""","*",70,0,"*"
"Canterbury School District","=""0220011""",81,354,29,464
"Canton School District","=""0230011""",136,1536,28,1700
"Capitol Region Education Council","=""2410014""",2588,3958,631,7177
"Chaplin School District","=""0240011""",53,115,15,183
"Cheshire School District","=""0250011""",255,4290,75,4620
"Chester School District","=""0260011""","*",199,"*",228
"Clinton School District","=""0270011""",341,1547,73,1961
"Colchester School District","=""0280011""",346,2316,82,2744
"Colebrook School District","=""0290011""","*",79,"*",99
"Columbia School District","=""0300011""","*",442,"*",474
"Common Ground High School District","=""2680013""",90,77,13,180
"Connecticut Technical Education and Career System","=""9000016""",4042,5821,835,10698
"Cooperative Educational Services","=""2430014""",162,584,76,822
"Cornwall School District","=""0310011""",22,83,0,105
"Coventry School District","=""0320011""",253,1391,49,1693
"Cromwell School District","=""0330011""",235,1649,84,1968
"Danbury School District","=""0340011""",4398,5022,1373,10793
"Darien School District","=""0350011""",22,4890,17,4929
"Deep River School District","=""0360011""",39,283,11,333
"Department of Mental Health and Addiction Services","=""""","*",0,0,"*"
"Derby School District","=""0370011""",714,688,120,1522
"East Granby School District","=""0400011""",63,811,0,874
"East Haddam School District","=""0410011""",110,1042,47,1199
"East Hampton School District","=""0420011""",169,1676,32,1877
"East Hartford School District","=""0430011""",4048,2602,508,7158
"East Haven School District","=""0440011""",1210,1563,354,3127
"East Lyme School District","=""0450011""",271,2528,69,2868
"East Windsor School District","=""0470011""",391,729,96,1216
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",132,211,23,366
"Eastford School District","=""0390011""",24,128,0,152
"Easton School District","=""0460011""",21,934,7,962
"EdAdvance","=""2420014""",219,10,0,229
"Ellington School District","=""0480011""",213,2388,63,2664
"Elm City College Preparatory School District","=""2890013""",411,139,74,624
"Enfield School District","=""0490011""",1515,3334,376,5225
"Essex School District","=""0500011""",37,450,23,510
"Explorations District","=""2720013""",27,56,0,83
"Fairfield School District","=""0510011""",737,9353,198,10288
"Farmington School District","=""0520011""",302,3681,53,4036
"Franklin School District","=""0530011""","*",151,"*",185
"Glastonbury School District","=""0540011""",419,5842,149,6410
"Granby School District","=""0560011""",136,1888,41,2065
"Greenwich School District","=""0570011""",948,7487,351,8786
"Griswold School District","=""0580011""",597,1233,151,1981
"Groton School District","=""0590011""",1627,2546,529,4702
"Guilford School District","=""0600011""",205,3225,110,3540
"Hamden School District","=""0620011""",1906,3476,429,5811
"Hampton School District","=""0630011""","*",78,"*",111
"Hartford School District","=""0640011""",17911,3359,550,21820
"Hartland School District","=""0650011""","*",194,"*",205
"Hebron School District","=""0670011""",42,811,15,868
"Highville Charter School District","=""2860013""",188,101,72,361
"Integrated Day Charter School District","=""2640013""",84,213,33,330
"Interdistrict School for Arts and Comm District","=""2650013""",130,93,23,246
"Jumoke Academy District","=""2610013""",361,255,88,704
"Kent School District","=""0680011""",28,234,10,272
"Killingly School District","=""0690011""",915,1575,181,2671
"Learn","=""2450014""",705,1297,135,2137
"Lebanon School District","=""0710011""",136,969,53,1158
"Ledyard School District","=""0720011""",417,2062,101,2580
"Lisbon School District","=""0730011""",67,321,14,402
"Litchfield School District","=""0740011""",102,855,35,992
"Madison School District","=""0760011""",115,3117,65,3297
"Manchester School District","=""0770011""",2940,2838,478,6256
"Mansfield School District","=""0780011""",254,941,54,1249
"Marlborough School District","=""0790011""",37,551,17,605
"Meriden School District","=""0800011""",4982,2483,718,8183
"Middletown School District","=""0830011""",1944,2645,258,4847
"Milford School District","=""0840011""",1055,5105,274,6434
"Monroe School District","=""0850011""",185,3122,72,3379
"Montville School District","=""0860011""",632,1579,207,2418
"Naugatuck School District","=""0880011""",1401,2579,376,4356
"New Beginnings Inc Family Academy District","=""2800013""",284,68,50,402
"New Britain School District","=""0890011""",7223,2082,831,10136
"New Canaan School District","=""0900011""",0,4192,0,4192
"New Fairfield School District","=""0910011""",193,2449,88,2730
"New Hartford School District","=""0920011""",38,495,12,545
"New Haven School District","=""0930011""",12904,7337,1179,21420
"New London School District","=""0950011""",1964,938,213,3115
"New Milford School District","=""0960011""",654,3612,238,4504
"Newington School District","=""0940011""",702,3309,233,4244
"Newtown School District","=""0970011""",215,4639,66,4920
"Norfolk School District","=""0980011""",9,99,9,117
"North Branford School District","=""0990011""",226,1694,98,2018
"North Canaan School District","=""1000011""",51,231,13,295
"North Haven School District","=""1010011""",306,2977,119,3402
"North Stonington School District","=""1020011""",118,603,30,751
"Norwalk School District","=""1030011""",4533,5707,929,11169
"Norwich Free Academy District","=""9010022""",452,1765,107,2324
"Norwich School District","=""1040011""",2378,1060,366,3804
"Odyssey Community School District","=""2630013""",94,216,15,325
"Old Saybrook School District","=""1060011""",199,1185,62,1446
"Orange School District","=""1070011""",54,1111,27,1192
"Oxford School District","=""1080011""",119,1902,32,2053
"Park City Prep Charter School District","=""2830013""",123,116,21,260
"Plainfield School District","=""1090011""",880,1346,236,2462
"Plainville School District","=""1100011""",526,1616,196,2338
"Plymouth School District","=""1110011""",303,1208,66,1577
"Pomfret School District","=""1120011""",48,361,17,426
"Portland School District","=""1130011""",215,1125,42,1382
"Preston School District","=""1140011""",54,355,24,433
"Putnam School District","=""1160011""",674,471,120,1265
"Redding School District","=""1170011""",31,1020,9,1060
"Regional School District 01","=""2010012""",50,356,26,432
"Regional School District 04","=""2040012""",82,871,30,983
"Regional School District 05","=""2050012""",83,2264,25,2372
"Regional School District 06","=""2060012""",113,857,26,996
"Regional School District 07","=""2070012""",86,1020,33,1139
"Regional School District 08","=""2080012""",110,1585,48,1743
"Regional School District 09","=""2090012""",28,1039,15,1082
"Regional School District 10","=""2100012""",145,2395,37,2577
"Regional School District 11","=""2110012""",62,204,29,295
"Regional School District 12","=""2120012""",52,736,12,800
"Regional School District 13","=""2130012""",88,1745,42,1875
"Regional School District 14","=""2140012""",181,1667,57,1905
"Regional School District 15","=""2150012""",181,3784,37,4002
"Regional School District 16","=""2160012""",208,2046,98,2352
"Regional School District 17","=""2170012""",168,2058,55,2281
"Regional School District 18","=""2180012""",87,1308,16,1411
"Regional School District 19","=""2190012""",140,1025,40,1205
"Ridgefield School District","=""1180011""",131,5136,26,5293
"Rocky Hill School District","=""1190011""",205,2146,74,2425
"Salem School District","=""1210011""",34,387,14,435
"Salisbury School District","=""1220011""",31,237,12,280
"Scotland School District","=""1230011""","*",93,"*",133
"Seymour School District","=""1240011""",441,1688,177,2306
"Sharon School District","=""1250011""",32,139,6,177
"Shelton School District","=""1260011""",762,3921,299,4982
"Sherman School District","=""1270011""",17,356,0,373
"Side By Side Charter School District","=""2700013""",99,119,17,235
"Simsbury School District","=""1280011""",297,4007,73,4377
"Somers School District","=""1290011""",82,1390,43,1515
"South Windsor School District","=""1320011""",379,3775,133,4287
"Southington School District","=""1310011""",805,5660,239,6704
"Sprague School District","=""1330011""",124,207,34,365
"Stafford School District","=""1340011""",349,1188,97,1634
"Stamford Academy District","=""2820013""",132,"*","*",147
"Stamford School District","=""1350011""",6512,8218,1197,15927
"Sterling School District","=""1360011""",143,313,29,485
"Stonington School District","=""1370011""",385,1832,103,2320
"Stratford School District","=""1380011""",2342,4013,861,7216
"Suffield School District","=""1390011""",215,2158,56,2429
"The Bridge Academy District","=""2690013""",167,62,48,277
"The Gilbert School District","=""9020022""",190,297,50,537
"The Woodstock Academy District","=""9030022""","*",1000,"*",1033
"Thomaston School District","=""1400011""",177,705,68,950
"Thompson School District","=""1410011""",269,737,73,1079
