"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2016-17"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",657,287,100,1044
"Achievement First Hartford Academy District","=""2880013""",1066,0,0,1066
"Amistad Academy District","=""2790013""",686,289,82,1057
"Andover School District","=""0010011""",32,184,9,225
"Ansonia School District","=""0020011""",1361,767,236,2364
"Area Cooperative Educational Services","=""2440014""",1141,665,141,1947
"Ashford School District","=""0030011""",105,289,13,407
"Avon School District","=""0040011""",173,3088,27,3288
"Barkhamsted School District","=""0050011""",14,235,6,255
"Berlin School District","=""0070011""",321,2397,87,2805
"Bethany School District","=""0080011""","*",323,"*",356
"Bethel School District","=""0090011""",437,2390,169,2996
"Bloomfield School District","=""0110011""",889,1095,173,2157
"Bolton School District","=""0120011""",108,702,10,820
"Booker T. Washington Academy District","=""2950013""",151,44,46,241
"Bozrah School District","=""0130011""","*",159,"*",208
"Branford School District","=""0140011""",640,2176,167,2983
"Brass City Charter School District","=""2900013""",115,74,30,219
"Bridgeport School District","=""0150011""",10855,10367,0,21222
"Bristol School District","=""0170011""",3197,4349,527,8073
"Brookfield School District","=""0180011""",200,2415,58,2673
"Brooklyn School District","=""0190011""",234,587,42,863
"Canaan School District","=""0210011""",9,64,0,73
"Canterbury School District","=""0220011""",93,357,21,471
"Canton School District","=""0230011""",142,1452,29,1623
"Capital Preparatory Harbor School District","=""2970013""",134,99,21,254
"Capitol Region Education Council","=""2410014""",3882,4102,607,8591
"Chaplin School District","=""0240011""",64,88,6,158
"Cheshire School District","=""0250011""",285,3981,92,4358
"Chester School District","=""0260011""",29,169,8,206
"Clinton School District","=""0270011""",341,1365,84,1790
"Colchester School District","=""0280011""",345,2047,96,2488
"Colebrook School District","=""0290011""","*",62,"*",78
"Columbia School District","=""0300011""",68,354,12,434
"Common Ground High School District","=""2680013""",80,102,18,200
"Connecticut Technical Education and Career System","=""9000016""",4022,6054,480,10556
"Cooperative Educational Services","=""2430014""",207,531,104,842
"Cornwall School District","=""0310011""",10,62,0,72
"Coventry School District","=""0320011""",281,1295,49,1625
"Cromwell School District","=""0330011""",338,1579,87,2004
"Danbury School District","=""0340011""",4882,5191,1299,11372
"Darien School District","=""0350011""",83,4721,24,4828
"Deep River School District","=""0360011""",45,217,23,285
"Department of Mental Health and Addiction Services","=""""","*",0,0,"*"
"Derby School District","=""0370011""",713,524,150,1387
"East Granby School District","=""0400011""",123,743,0,866
"East Haddam School District","=""0410011""",124,872,36,1032
"East Hampton School District","=""0420011""",205,1632,39,1876
"East Hartford School District","=""0430011""",3438,2831,465,6734
"East Haven School District","=""0440011""",1157,1478,361,2996
"East Lyme School District","=""0450011""",335,2338,109,2782
"East Windsor School District","=""0470011""",378,579,92,1049
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",146,251,16,413
"Eastford School District","=""0390011""",22,121,0,143
"Easton School District","=""0460011""","*",849,"*",882
"EdAdvance","=""2420014""",207,"*","*",219
"Ellington School District","=""0480011""",239,2375,33,2647
"Elm City College Preparatory School District","=""2890013""",466,175,85,726
"Elm City Montessori School District","=""2910013""",18,122,0,140
"Enfield School District","=""0490011""",1766,3143,340,5249
"Essex School District","=""0500011""",20,330,21,371
"Explorations District","=""2720013""",31,54,7,92
"Fairfield School District","=""0510011""",754,9036,237,10027
"Farmington School District","=""0520011""",385,3644,49,4078
"Franklin School District","=""0530011""",19,136,8,163
"Glastonbury School District","=""0540011""",484,5405,107,5996
"Granby School District","=""0560011""",140,1701,39,1880
"Great Oaks Charter School District","=""2940013""",228,61,35,324
"Greenwich School District","=""0570011""",1035,7637,299,8971
"Griswold School District","=""0580011""",580,1152,116,1848
"Groton School District","=""0590011""",1471,2445,545,4461
"Guilford School District","=""0600011""",227,3110,76,3413
"Hamden School District","=""0620011""",1875,3192,426,5493
"Hampton School District","=""0630011""","*",85,"*",105
"Hartford School District","=""0640011""",14619,5983,291,20893
"Hartland School District","=""0650011""","*",165,"*",189
"Hebron School District","=""0670011""",56,628,22,706
"Highville Charter School District","=""2860013""",254,167,81,502
"Integrated Day Charter School District","=""2640013""",89,200,41,330
"Interdistrict School for Arts and Comm District","=""2650013""",163,75,32,270
"Jumoke Academy District","=""2610013""",274,432,47,753
"Kent School District","=""0680011""","*",201,"*",235
"Killingly School District","=""0690011""",908,1459,183,2550
"Learn","=""2450014""",1062,1194,165,2421
"Lebanon School District","=""0710011""",155,821,44,1020
"Ledyard School District","=""0720011""",438,1858,99,2395
"Lisbon School District","=""0730011""",85,292,24,401
"Litchfield School District","=""0740011""",122,804,20,946
"Madison School District","=""0760011""",84,2807,50,2941
"Manchester School District","=""0770011""",2851,3041,399,6291
"Mansfield School District","=""0780011""",263,916,38,1217
"Marlborough School District","=""0790011""",41,487,7,535
"Meriden School District","=""0800011""",4993,2296,660,7949
"Middletown School District","=""0830011""",1925,2520,257,4702
"Milford School District","=""0840011""",937,4758,231,5926
"Monroe School District","=""0850011""",179,2920,90,3189
"Montville School District","=""0860011""",616,1348,246,2210
"Naugatuck School District","=""0880011""",1698,2155,428,4281
"New Beginnings Inc Family Academy District","=""2800013""",443,35,21,499
"New Britain School District","=""0890011""",7146,2495,504,10145
"New Canaan School District","=""0900011""",0,4260,0,4260
"New Fairfield School District","=""0910011""",151,2199,44,2394
"New Hartford School District","=""0920011""",39,395,10,444
"New Haven School District","=""0930011""",11203,"*","*",21981
"New London School District","=""0950011""",2925,535,99,3559
"New Milford School District","=""0960011""",723,3259,235,4217
