"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2010-11"

"",,"Free/Reduced Lunch Eligibility",,,
"East Haven School District","=""0440011""",1083,1984,381,3448
"East Lyme School District","=""0450011""",221,2784,79,3084
"East Windsor School District","=""0470011""",377,889,79,1345
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",63,197,24,284
"Eastford School District","=""0390011""",17,163,0,180
"Easton School District","=""0460011""","*",1087,"*",1103
"EdAdvance","=""2420014""",0,217,0,217
"Ellington School District","=""0480011""",184,2505,45,2734
"Elm City College Preparatory School District","=""2890013""",323,155,107,585
"Enfield School District","=""0490011""",1426,4110,376,5912
"Essex School District","=""0500011""",25,556,13,594
"Explorations District","=""2720013""",36,44,0,80
"Fairfield School District","=""0510011""",690,9283,234,10207
"Farmington School District","=""0520011""",244,3831,76,4151
"Franklin School District","=""0530011""",23,195,6,224
"Glastonbury School District","=""0540011""",376,6341,124,6841
"Granby School District","=""0560011""",131,2089,33,2253
"Greenwich School District","=""0570011""",864,7706,303,8873
"Griswold School District","=""0580011""",452,1419,142,2013
"Groton School District","=""0590011""",1257,3239,501,4997
"Guilford School District","=""0600011""",142,3465,95,3702
"Hamden School District","=""0620011""",1831,3830,383,6044
"Hampton School District","=""0630011""",18,114,8,140
"Hartford School District","=""0640011""",19033,1950,382,21365
"Hartland School District","=""0650011""",6,219,0,225
"Hebron School District","=""0670011""",40,1081,15,1136
"Highville Charter School District","=""2860013""",171,77,52,300
"Integrated Day Charter School District","=""2640013""",66,238,27,331
"Interdistrict School for Arts and Comm District","=""2650013""",97,54,31,182
"Jumoke Academy District","=""2610013""",225,145,62,432
"Kent School District","=""0680011""","*",250,"*",287
"Killingly School District","=""0690011""",847,1576,288,2711
"Learn","=""2450014""",562,650,83,1295
"Lebanon School District","=""0710011""",129,1238,45,1412
"Ledyard School District","=""0720011""",254,2308,81,2643
"Lisbon School District","=""0730011""",78,432,25,535
"Litchfield School District","=""0740011""",75,1066,35,1176
"Madison School District","=""0760011""",88,3502,40,3630
"Manchester School District","=""0770011""",2968,3343,551,6862
"Mansfield School District","=""0780011""",256,1025,50,1331
"Marlborough School District","=""0790011""","*",633,"*",675
"Meriden School District","=""0800011""",4810,2826,770,8406
"Middletown School District","=""0830011""",1849,3052,350,5251
"Milford School District","=""0840011""",762,5900,326,6988
"Monroe School District","=""0850011""",175,3481,105,3761
"Montville School District","=""0860011""",558,1909,203,2670
"Naugatuck School District","=""0880011""",1443,2813,418,4674
"New Beginnings Inc Family Academy District","=""2800013""",257,64,39,360
"New Britain School District","=""0890011""",6634,2821,767,10222
"New Canaan School District","=""0900011""",0,4143,0,4143
"New Fairfield School District","=""0910011""",192,2656,72,2920
"New Hartford School District","=""0920011""",29,575,6,610
"New Haven School District","=""0930011""",14058,4426,1710,20194
"New London School District","=""0950011""",2605,459,42,3106
"New Milford School District","=""0960011""",542,4028,203,4773
"Newington School District","=""0940011""",522,3696,229,4447
"Newtown School District","=""0970011""",233,5141,90,5464
"Norfolk School District","=""0980011""","*",129,"*",141
"North Branford School District","=""0990011""",219,1981,93,2293
"North Canaan School District","=""1000011""",58,241,19,318
"North Haven School District","=""1010011""",219,3309,96,3624
"North Stonington School District","=""1020011""",85,660,51,796
"Norwalk School District","=""1030011""",3927,6357,859,11143
"Norwich Free Academy District","=""9010022""",418,1901,62,2381
"Norwich School District","=""1040011""",2322,1198,357,3877
"Odyssey Community School District","=""2630013""",51,124,6,181
"Old Saybrook School District","=""1060011""",165,1368,44,1577
"Orange School District","=""1070011""",20,1248,16,1284
"Oxford School District","=""1080011""",131,2027,47,2205
"Park City Prep Charter School District","=""2830013""",118,92,40,250
"Plainfield School District","=""1090011""",775,1655,215,2645
"Plainville School District","=""1100011""",420,1927,139,2486
"Plymouth School District","=""1110011""",349,1287,109,1745
"Pomfret School District","=""1120011""",55,457,6,518
"Portland School District","=""1130011""",166,1215,27,1408
"Preston School District","=""1140011""",46,371,21,438
"Putnam School District","=""1160011""",643,562,96,1301
"Redding School District","=""1170011""",17,1218,11,1246
"Regional School District 01","=""2010012""",60,406,40,506
"Regional School District 04","=""2040012""",56,905,22,983
"Regional School District 05","=""2050012""",56,2409,30,2495
"Regional School District 06","=""2060012""",81,925,47,1053
"Regional School District 07","=""2070012""",67,1099,13,1179
"Regional School District 08","=""2080012""",71,1666,43,1780
"Regional School District 09","=""2090012""","*",970,"*",985
"Regional School District 10","=""2100012""",82,2663,28,2773
"Regional School District 11","=""2110012""",51,216,15,282
"Regional School District 12","=""2120012""",54,870,9,933
"Regional School District 13","=""2130012""",85,1933,34,2052
"Regional School District 14","=""2140012""",114,1933,57,2104
"Regional School District 15","=""2150012""",123,4270,47,4440
"Regional School District 16","=""2160012""",199,2232,115,2546
"Regional School District 17","=""2170012""",121,2318,46,2485
"Regional School District 18","=""2180012""",81,1391,27,1499
"Regional School District 19","=""2190012""",123,1043,31,1197
"Ridgefield School District","=""1180011""",78,5325,34,5437
"Rocky Hill School District","=""1190011""",196,2326,71,2593
"Salem School District","=""1210011""",23,430,10,463
"Salisbury School District","=""1220011""",23,278,9,310
"Scotland School District","=""1230011""","*",126,"*",143
"Seymour School District","=""1240011""",440,1866,118,2424
"Sharon School District","=""1250011""",25,160,12,197
"Shelton School District","=""1260011""",626,4452,227,5305
"Sherman School District","=""1270011""",27,382,0,409
"Side By Side Charter School District","=""2700013""",92,119,22,233
"Simsbury School District","=""1280011""",246,4461,74,4781
"Somers School District","=""1290011""",47,1553,40,1640
"South Windsor School District","=""1320011""",264,4232,103,4599
"Southington School District","=""1310011""",517,6151,164,6832
"Sprague School District","=""1330011""",115,224,34,373
"Stafford School District","=""1340011""",378,1356,131,1865
"Stamford Academy District","=""2820013""",88,16,33,137
"Stamford School District","=""1350011""",5968,7974,1448,15390
"Sterling School District","=""1360011""",120,330,36,486
"Stonington School District","=""1370011""",160,2297,58,2515
"Stratford School District","=""1380011""",1912,4590,836,7338
"Suffield School District","=""1390011""",159,2293,68,2520
"The Bridge Academy District","=""2690013""",164,48,59,271
"The Gilbert School District","=""9020022""",84,206,35,325
"The Woodstock Academy District","=""9030022""",0,1049,47,1096
"Thomaston School District","=""1400011""",113,956,60,1129
"Thompson School District","=""1410011""",262,895,120,1277
"Tolland School District","=""1420011""",113,2935,26,3074
"Torrington School District","=""1430011""",1593,2691,336,4620
"Trailblazers Academy District","=""2780013""",127,14,21,162
"Trumbull School District","=""1440011""",280,6567,145,6992
"Unified School District #1","=""3360015""","*",0,"*",816
"Unified School District #2","=""3470015""",305,0,0,305
"Union School District","=""1450011""",0,"*","*",82
"Vernon School District","=""1460011""",1042,2408,165,3615
"Voluntown School District","=""1470011""",43,263,12,318
"Wallingford School District","=""1480011""",632,5826,142,6600
"Waterbury School District","=""1510011""",13100,3619,1469,18188
"Waterford School District","=""1520011""",254,2480,95,2829
"Watertown School District","=""1530011""",359,2676,152,3187
"West Hartford School District","=""1550011""",1472,8360,437,10269
"West Haven School District","=""1560011""",3056,2676,534,6266
"Westbrook School District","=""1540011""",75,849,26,950
"Weston School District","=""1570011""",30,2496,15,2541
"Westport School District","=""1580011""",133,5627,40,5800
"Wethersfield School District","=""1590011""",451,3184,184,3819
"Willington School District","=""1600011""",77,421,16,514
"Wilton School District","=""1610011""",35,4290,15,4340
"Winchester School District","=""1620011""",315,562,87,964
"Windham School District","=""1630011""",2286,837,274,3397
"Windsor Locks School District","=""1650011""",408,1231,160,1799
"Windsor School District","=""1640011""",768,2632,252,3652
"Wolcott School District","=""1660011""",321,2220,211,2752
"Woodbridge School District","=""1670011""",23,692,8,723
"Woodstock School District","=""1690011""",71,837,24,932
"Total","=""""",164683,371947,27869,564499

