"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2009-10"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",122,79,37,238
"Achievement First Hartford Academy District","=""2880013""",251,139,50,440
"Amistad Academy District","=""2790013""",378,251,115,744
"Andover School District","=""0010011""",22,302,12,336
"Ansonia School District","=""0020011""",1257,1148,333,2738
"Area Cooperative Educational Services","=""2440014""",914,919,243,2076
"Ashford School District","=""0030011""",72,374,32,478
"Avon School District","=""0040011""",91,3449,58,3598
"Barkhamsted School District","=""0050011""","*",350,"*",367
"Berlin School District","=""0070011""",151,2970,48,3169
"Bethany School District","=""0080011""",12,496,8,516
"Bethel School District","=""0090011""",289,2643,121,3053
"Bloomfield School District","=""0110011""",768,1269,261,2298
"Bolton School District","=""0120011""",51,811,26,888
"Bozrah School District","=""0130011""",23,216,19,258
"Branford School District","=""0140011""",433,2867,234,3534
"Bridgeport School District","=""0150011""",19458,318,531,20307
"Bristol School District","=""0170011""",2595,5394,764,8753
"Brookfield School District","=""0180011""",83,2772,51,2906
"Brooklyn School District","=""0190011""",165,765,42,972
"Canaan School District","=""0210011""",11,84,0,95
"Canterbury School District","=""0220011""",66,455,35,556
"Canton School District","=""0230011""",58,1695,22,1775
"Capitol Region Education Council","=""2410014""",1133,2422,393,3948
"Chaplin School District","=""0240011""","*",148,"*",173
"Charter School for Young Children on Asylum Hill District","=""2870013""",55,112,18,185
"Cheshire School District","=""0250011""",181,4700,90,4971
"Chester School District","=""0260011""",20,272,7,299
"Clinton School District","=""0270011""",174,1779,82,2035
"Colchester School District","=""0280011""",182,2935,111,3228
"Colebrook School District","=""0290011""","*",102,"*",119
"Columbia School District","=""0300011""",32,520,8,560
"Common Ground High School District","=""2680013""",81,65,14,160
"Connecticut Technical Education and Career System","=""9000016""",2683,6843,943,10469
"Cooperative Educational Services","=""2430014""",172,540,66,778
"Cornwall School District","=""0310011""",7,115,0,122
"Coventry School District","=""0320011""",217,1616,87,1920
"Cromwell School District","=""0330011""",205,1792,71,2068
"Danbury School District","=""0340011""",2627,7072,784,10483
"Darien School District","=""0350011""",26,4740,25,4791
"Deep River School District","=""0360011""",34,308,9,351
"Department of Mental Health and Addiction Services","=""""",0,"*",0,"*"
"Derby School District","=""0370011""",579,729,166,1474
"East Granby School District","=""0400011""",17,890,0,907
"East Haddam School District","=""0410011""",89,1259,57,1405
"East Hampton School District","=""0420011""",124,1848,62,2034
"East Hartford School District","=""0430011""",3575,2712,993,7280
"East Haven School District","=""0440011""",885,2267,394,3546
"East Lyme School District","=""0450011""",176,2877,60,3113
"East Windsor School District","=""0470011""",319,995,83,1397
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",40,149,19,208
"Eastford School District","=""0390011""",13,158,0,171
"Easton School District","=""0460011""","*",1097,"*",1114
"EdAdvance","=""2420014""",173,27,0,200
"Ellington School District","=""0480011""",152,2472,51,2675
"Elm City College Preparatory School District","=""2890013""",294,169,84,547
"Enfield School District","=""0490011""",1353,4314,452,6119
"Essex School District","=""0500011""",22,555,16,593
"Explorations District","=""2720013""",20,60,0,80
"Fairfield School District","=""0510011""",570,9282,282,10134
"Farmington School District","=""0520011""",218,3844,107,4169
"Franklin School District","=""0530011""","*",201,"*",225
"Glastonbury School District","=""0540011""",328,6359,159,6846
"Granby School District","=""0560011""",57,2212,25,2294
"Greenwich School District","=""0570011""",718,7824,321,8863
"Griswold School District","=""0580011""",440,1465,163,2068
"Groton School District","=""0590011""",1196,3337,530,5063
"Guilford School District","=""0600011""",150,3480,106,3736
"Hamden School District","=""0620011""",1470,4102,425,5997
"Hampton School District","=""0630011""","*",121,"*",143
"Hartford School District","=""0640011""",19481,1553,518,21552
"Hartland School District","=""0650011""",7,222,0,229
"Hebron School District","=""0670011""",27,1126,19,1172
"Highville Charter School District","=""2860013""",150,100,53,303
"Integrated Day Charter School District","=""2640013""",48,264,18,330
"Interdistrict School for Arts and Comm District","=""2650013""",98,50,34,182
"Jumoke Academy District","=""2610013""",233,121,80,434
"Kent School District","=""0680011""",21,250,11,282
"Killingly School District","=""0690011""",840,1592,276,2708
"Learn","=""2450014""",403,627,91,1121
"Lebanon School District","=""0710011""",155,1255,47,1457
"Ledyard School District","=""0720011""",286,2297,99,2682
"Lisbon School District","=""0730011""",69,469,31,569
"Litchfield School District","=""0740011""",78,1081,48,1207
"Madison School District","=""0760011""",60,3591,44,3695
"Manchester School District","=""0770011""",2571,3729,641,6941
"Mansfield School District","=""0780011""",177,1025,73,1275
"Marlborough School District","=""0790011""",21,637,11,669
"Meriden School District","=""0800011""",4243,3235,985,8463
"Middletown School District","=""0830011""",1693,3138,408,5239
"Milford School District","=""0840011""",815,5948,384,7147
