"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2008-09"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",100,45,15,160
"Achievement First Hartford Academy District","=""2880013""",134,93,34,261
"Amistad Academy District","=""2790013""",264,272,105,641
"Andover School District","=""0010011""",10,312,12,334
"Ansonia School District","=""0020011""",1171,1240,311,2722
"Area Cooperative Educational Services","=""2440014""",801,1029,268,2098
"Ashford School District","=""0030011""",65,396,27,488
"Avon School District","=""0040011""",64,3456,49,3569
"Barkhamsted School District","=""0050011""",12,337,13,362
"Berlin School District","=""0070011""",145,2996,82,3223
"Bethany School District","=""0080011""",8,536,7,551
"Bethel School District","=""0090011""",187,2747,153,3087
"Bloomfield School District","=""0110011""",720,1190,271,2181
"Bolton School District","=""0120011""",42,814,13,869
"Bozrah School District","=""0130011""",18,228,15,261
"Branford School District","=""0140011""",418,2897,200,3515
"Bridgeport School District","=""0150011""",19455,399,742,20596
"Bristol School District","=""0170011""",2402,5619,845,8866
"Brookfield School District","=""0180011""",47,2871,34,2952
"Brooklyn School District","=""0190011""",136,788,63,987
"Canaan School District","=""0210011""",8,77,0,85
"Canterbury School District","=""0220011""",81,498,26,605
"Canton School District","=""0230011""",39,1701,21,1761
"Capitol Region Education Council","=""2410014""",712,2391,333,3436
"Chaplin School District","=""0240011""","*",138,"*",178
"Charter School for Young Children on Asylum Hill District","=""2870013""",0,136,0,136
"Cheshire School District","=""0250011""",164,4763,105,5032
"Chester School District","=""0260011""",13,299,7,319
"Clinton School District","=""0270011""",152,1846,93,2091
"Colchester School District","=""0280011""",220,2867,110,3197
"Colebrook School District","=""0290011""","*",103,"*",116
"Columbia School District","=""0300011""",24,536,19,579
"Common Ground High School District","=""2680013""",87,50,18,155
"Connecticut Technical Education and Career System","=""9000016""",2486,6748,1023,10257
"Cooperative Educational Services","=""2430014""",158,523,73,754
"Cornwall School District","=""0310011""",11,111,0,122
"Coventry School District","=""0320011""",158,1726,78,1962
"Cromwell School District","=""0330011""",149,1795,85,2029
"Danbury School District","=""0340011""",2231,7396,723,10350
"Darien School District","=""0350011""",52,4652,28,4732
"Deep River School District","=""0360011""",31,317,7,355
"Department of Mental Health and Addiction Services","=""""",0,"*",0,"*"
"Derby School District","=""0370011""",533,797,159,1489
"East Granby School District","=""0400011""",11,889,0,900
"East Haddam School District","=""0410011""",73,1312,52,1437
"East Hampton School District","=""0420011""",104,1913,47,2064
"East Hartford School District","=""0430011""",3402,2837,1025,7264
"East Haven School District","=""0440011""",775,2426,398,3599
"East Lyme School District","=""0450011""",116,2981,72,3169
"East Windsor School District","=""0470011""",295,1060,97,1452
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",43,90,14,147
"Eastford School District","=""0390011""",20,167,0,187
"Easton School District","=""0460011""",11,1141,6,1158
"EdAdvance","=""2420014""",168,26,0,194
"Ellington School District","=""0480011""",112,2488,45,2645
"Elm City College Preparatory School","=""2810013""",254,169,86,509
"Enfield School District","=""0490011""",1234,4648,432,6314
"Essex School District","=""0500011""",19,569,6,594
"Explorations District","=""2720013""","*",60,"*",85
"Fairfield School District","=""0510011""",409,9283,283,9975
"Farmington School District","=""0520011""",175,3943,88,4206
"Franklin School District","=""0530011""","*",206,"*",226
"Glastonbury School District","=""0540011""",250,6500,133,6883
"Granby School District","=""0560011""",61,2195,25,2281
"Greenwich School District","=""0570011""",605,7965,323,8893
"Griswold School District","=""0580011""",462,1550,111,2123
"Groton School District","=""0590011""",984,3651,537,5172
"Guilford School District","=""0600011""",132,3589,75,3796
"Hamden School District","=""0620011""",1554,4129,435,6118
"Hampton School District","=""0630011""",17,124,8,149
"Hartford School District","=""0640011""",19841,1673,442,21956
"Hartland School District","=""0650011""",0,239,0,239
"Hebron School District","=""0670011""",29,1129,15,1173
"Highville Charter School District","=""2860013""",132,110,58,300
"Integrated Day Charter School District","=""2640013""",42,262,26,330
"Interdistrict School for Arts and Comm District","=""2650013""",96,67,19,182
"Jumoke Academy District","=""2610013""",153,211,48,412
"Kent School District","=""0680011""",18,253,13,284
"Killingly School District","=""0690011""",785,1665,274,2724
"Learn","=""2450014""",274,656,107,1037
"Lebanon School District","=""0710011""",146,1358,43,1547
"Ledyard School District","=""0720011""",163,2544,54,2761
"Lisbon School District","=""0730011""",43,490,31,564
"Litchfield School District","=""0740011""",51,1111,41,1203
"Madison School District","=""0760011""",54,3660,26,3740
"Manchester School District","=""0770011""",2319,3979,638,6936
"Mansfield School District","=""0780011""",147,1072,66,1285
"Marlborough School District","=""0790011""",19,645,12,676
"Meriden School District","=""0800011""",4684,3610,426,8720
"Middletown School District","=""0830011""",1464,3279,446,5189
"Milford School District","=""0840011""",780,6162,384,7326
"Monroe School District","=""0850011""",115,3840,95,4050
"Montville School District","=""0860011""",370,2196,218,2784
"Naugatuck School District","=""0880011""",1276,3045,511,4832
"New Beginnings Inc Family Academy District","=""2800013""",227,89,42,358
"New Britain School District","=""0890011""",6472,2982,1042,10496
"New Canaan School District","=""0900011""",0,4104,0,4104
"New Fairfield School District","=""0910011""",105,2871,80,3056
"New Hartford School District","=""0920011""",17,585,18,620
"New Haven School District","=""0930011""",12321,5338,2189,19848
"New London School District","=""0950011""",1921,912,272,3105
"New Milford School District","=""0960011""",308,4420,194,4922
"Newington School District","=""0940011""",425,3813,295,4533
"Newtown School District","=""0970011""",142,5396,74,5612
"Norfolk School District","=""0980011""",15,136,6,157
"North Branford School District","=""0990011""",153,2159,89,2401
"North Canaan School District","=""1000011""",44,278,16,338
"North Haven School District","=""1010011""",197,3515,124,3836
"North Stonington School District","=""1020011""",77,670,48,795
"Norwalk School District","=""1030011""",2502,7589,751,10842
"Norwich Free Academy District","=""9010022""",213,2122,153,2488
"Norwich School District","=""1040011""",2005,1491,508,4004
"Odyssey Community School District","=""2630013""",25,118,35,178
"Old Saybrook School District","=""1060011""",103,1475,50,1628
"Orange School District","=""1070011""",21,1282,17,1320
"Oxford School District","=""1080011""",75,1905,47,2027
"Park City Prep Charter School District","=""2830013""",95,102,27,224
"Plainfield School District","=""1090011""",588,1866,266,2720
"Plainville School District","=""1100011""",304,2085,153,2542
"Plymouth School District","=""1110011""",253,1522,89,1864
"Pomfret School District","=""1120011""",33,495,17,545
"Portland School District","=""1130011""",133,1269,30,1432
"Preston School District","=""1140011""",39,433,22,494
"Putnam School District","=""1160011""",480,585,189,1254
"Redding School District","=""1170011""","*",1294,"*",1304
"Regional School District 01","=""2010012""",33,497,33,563
"Regional School District 04","=""2040012""",43,891,25,959
"Regional School District 05","=""2050012""",33,2454,17,2504
"Regional School District 06","=""2060012""",61,980,43,1084
"Regional School District 07","=""2070012""",42,1129,26,1197
"Regional School District 08","=""2080012""",53,1685,21,1759
"Regional School District 09","=""2090012""",8,959,0,967
"Regional School District 10","=""2100012""",78,2750,34,2862
"Regional School District 11","=""2110012""",37,267,14,318
"Regional School District 12","=""2120012""",27,969,18,1014
"Regional School District 13","=""2130012""",58,2050,35,2143
"Regional School District 14","=""2140012""",94,1991,57,2142
"Regional School District 15","=""2150012""",43,4481,35,4559
"Regional School District 16","=""2160012""",153,2362,103,2618
"Regional School District 17","=""2170012""",61,2452,34,2547
"Regional School District 18","=""2180012""",66,1391,13,1470
"Regional School District 19","=""2190012""",67,1084,30,1181
"Ridgefield School District","=""1180011""",51,5473,27,5551
"Rocky Hill School District","=""1190011""",93,2459,73,2625
"Salem School District","=""1210011""",24,490,9,523
"Salisbury School District","=""1220011""",11,291,17,319
"Scotland School District","=""1230011""",36,146,8,190
"Seymour School District","=""1240011""",293,2140,149,2582
"Sharon School District","=""1250011""",16,167,13,196
"Shelton School District","=""1260011""",469,4855,246,5570
"Sherman School District","=""1270011""",9,451,0,460
"Side By Side Charter School District","=""2700013""",71,126,32,229
"Simsbury School District","=""1280011""",172,4693,85,4950
"Somers School District","=""1290011""",48,1637,44,1729
"South Windsor School District","=""1320011""",174,4554,111,4839
"Southington School District","=""1310011""",369,6352,145,6866
"Sprague School District","=""1330011""",99,229,27,355
"Stafford School District","=""1340011""",286,1432,200,1918
"Stamford Academy District","=""2820013""",80,19,32,131
"Stamford School District","=""1350011""",4883,8483,1590,14956
"Sterling School District","=""1360011""",96,368,49,513
"Stonington School District","=""1370011""",237,2192,97,2526
"Stratford School District","=""1380011""",1143,5596,628,7367
"Suffield School District","=""1390011""",67,2460,52,2579
"The Bridge Academy District","=""2690013""",143,73,46,262
"The Gilbert School District","=""9020022""",74,290,36,400
"The Woodstock Academy District","=""9030022""",0,1152,32,1184
"Thomaston School District","=""1400011""",103,1065,61,1229
"Thompson School District","=""1410011""",220,1063,123,1406
"Tolland School District","=""1420011""",87,3017,55,3159
"Torrington School District","=""1430011""",1068,3241,449,4758
"Trailblazers Academy District","=""2780013""",77,41,32,150
"Trumbull School District","=""1440011""",100,6757,99,6956
"Unified School District #1","=""3360015""",1018,0,0,1018
"Unified School District #2","=""3470015""",336,0,0,336
"Union School District","=""1450011""","*","*",0,79
"Vernon School District","=""1460011""",704,2701,201,3606
"Voluntown School District","=""1470011""",44,247,18,309
"Wallingford School District","=""1480011""",456,6197,175,6828
"Waterbury School District","=""1510011""",11750,4648,2039,18437
"Waterford School District","=""1520011""",194,2598,108,2900
"Watertown School District","=""1530011""",311,2862,173,3346
"West Hartford School District","=""1550011""",1249,8414,466,10129
"West Haven School District","=""1560011""",2229,3369,715,6313
"Westbrook School District","=""1540011""",50,881,39,970
"Weston School District","=""1570011""",10,2570,6,2586
"Westport School District","=""1580011""",60,5683,39,5782
"Wethersfield School District","=""1590011""",280,3372,180,3832
"Willington School District","=""1600011""",45,508,15,568
"Wilton School District","=""1610011""","*",4362,"*",4396
"Winchester School District","=""1620011""",304,574,126,1004
"Windham School District","=""1630011""",2067,1038,418,3523
"Windsor Locks School District","=""1650011""",334,1352,172,1858
"Windsor School District","=""1640011""",681,2904,419,4004
"Wolcott School District","=""1660011""",252,2409,204,2865
"Woodbridge School District","=""1670011""",19,729,8,756
"Woodstock School District","=""1690011""",64,829,37,930
"Total","=""""",141222,397839,31987,571048

