"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2007-08"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",50,24,11,85
"Amistad Academy District","=""2790013""",235,238,74,547
"Andover School District","=""0010011""","*",333,"*",347
"Ansonia School District","=""0020011""",1097,1432,214,2743
"Area Cooperative Educational Services","=""2440014""",624,1290,184,2098
"Ashford School District","=""0030011""",50,434,21,505
"Avon School District","=""0040011""",58,3514,40,3612
"Barkhamsted School District","=""0050011""","*",341,"*",358
"Berlin School District","=""0070011""",124,3074,77,3275
"Bethany School District","=""0080011""",6,554,10,570
"Bethel School District","=""0090011""",149,2894,114,3157
"Bloomfield School District","=""0110011""",643,1352,245,2240
"Bolton School District","=""0120011""",38,825,13,876
"Bozrah School District","=""0130011""",23,232,14,269
"Branford School District","=""0140011""",283,3056,175,3514
"Bridgeport School District","=""0150011""",19660,438,860,20958
"Bristol School District","=""0170011""",2106,6127,747,8980
"Brookfield School District","=""0180011""",39,2881,35,2955
"Brooklyn School District","=""0190011""",109,824,60,993
"Canaan School District","=""0210011""",12,90,0,102
"Canterbury School District","=""0220011""",67,491,26,584
"Canton School District","=""0230011""",31,1692,16,1739
"Capitol Region Education Council","=""2410014""",526,2012,255,2793
"Chaplin School District","=""0240011""",28,169,13,210
"Cheshire School District","=""0250011""",104,4970,70,5144
"Chester School District","=""0260011""","*",323,"*",341
"Clinton School District","=""0270011""",102,1943,68,2113
"Colchester School District","=""0280011""",180,2999,83,3262
"Colebrook School District","=""0290011""","*",110,"*",123
"Columbia School District","=""0300011""",24,558,11,593
"Common Ground High School District","=""2680013""",78,53,21,152
"Connecticut Technical Education and Career System","=""9000016""",1957,7290,726,9973
"Cooperative Educational Services","=""2430014""",186,420,69,675
"Cornwall School District","=""0310011""",7,122,0,129
"Coventry School District","=""0320011""",110,1827,79,2016
"Cromwell School District","=""0330011""",135,1776,89,2000
"Danbury School District","=""0340011""",2439,6886,853,10178
"Darien School District","=""0350011""",53,4580,29,4662
"Deep River School District","=""0360011""",24,351,14,389
"Department of Mental Health and Addiction Services","=""""",0,11,0,11
"Derby School District","=""0370011""",461,875,136,1472
"East Granby School District","=""0400011""",10,904,0,914
"East Haddam School District","=""0410011""",50,1349,34,1433
"East Hampton School District","=""0420011""",113,1933,41,2087
"East Hartford School District","=""0430011""",2585,4108,781,7474
"East Haven School District","=""0440011""",707,2635,357,3699
"East Lyme School District","=""0450011""",102,3098,69,3269
"East Windsor School District","=""0470011""",276,1113,105,1494
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",12,45,7,64
"Eastford School District","=""0390011""",7,175,7,189
"Easton School District","=""0460011""","*",1174,"*",1180
"EdAdvance","=""2420014""",159,20,0,179
"Ellington School District","=""0480011""",76,2490,46,2612
"Elm City College Preparatory School","=""2810013""",261,131,84,476
"Enfield School District","=""0490011""",1091,4861,421,6373
"Essex School District","=""0500011""",10,533,8,551
"Explorations District","=""2720013""",18,60,8,86
"Fairfield School District","=""0510011""",302,9303,192,9797
"Farmington School District","=""0520011""",175,3983,51,4209
"Franklin School District","=""0530011""",12,213,10,235
"Glastonbury School District","=""0540011""",214,6569,99,6882
"Granby School District","=""0560011""",68,2235,36,2339
"Greenwich School District","=""0570011""",549,8216,249,9014
"Griswold School District","=""0580011""",381,1600,165,2146
"Groton School District","=""0590011""",935,3690,573,5198
"Guilford School District","=""0600011""",116,3675,48,3839
"Hamden School District","=""0620011""",1115,4807,384,6306
"Hampton School District","=""0630011""","*",155,"*",166
"Hartford School District","=""0640011""",21932,543,204,22679
"Hartland School District","=""0650011""","*","*",0,236
"Hebron School District","=""0670011""",26,1157,23,1206
"Highville Charter School District","=""2860013""",89,144,44,277
"Integrated Day Charter School District","=""2640013""",41,256,33,330
"Interdistrict School for Arts and Comm District","=""2650013""",91,72,18,181
"Jumoke Academy District","=""2610013""",301,0,68,369
"Kent School District","=""0680011""",8,236,13,257
"Killingly School District","=""0690011""",711,1748,276,2735
"Learn","=""2450014""",338,640,99,1077
"Lebanon School District","=""0710011""",87,1398,45,1530
"Ledyard School District","=""0720011""",209,2580,116,2905
"Lisbon School District","=""0730011""",44,504,31,579
"Litchfield School District","=""0740011""",38,1140,37,1215
"Madison School District","=""0760011""",37,3749,10,3796
"Manchester School District","=""0770011""",1950,4449,514,6913
"Mansfield School District","=""0780011""",140,1119,48,1307
"Marlborough School District","=""0790011""",16,640,7,663
"Meriden School District","=""0800011""",4725,3957,226,8908
"Middletown School District","=""0830011""",1314,3416,358,5088
"Milford School District","=""0840011""",712,6346,342,7400
"Monroe School District","=""0850011""",79,4093,54,4226
"Montville School District","=""0860011""",322,2412,137,2871
"Naugatuck School District","=""0880011""",1101,3378,452,4931
"New Beginnings Inc Family Academy District","=""2800013""",160,166,36,362
"New Britain School District","=""0890011""",5568,4034,1117,10719
"New Canaan School District","=""0900011""",0,4130,0,4130
"New Fairfield School District","=""0910011""",72,2924,52,3048
"New Hartford School District","=""0920011""",15,589,14,618
"New Haven School District","=""0930011""",12858,5938,1185,19981
"New London School District","=""0950011""",1828,768,337,2933
"New Milford School District","=""0960011""",293,4566,175,5034
"Newington School District","=""0940011""",436,3835,295,4566
"Newtown School District","=""0970011""",103,5517,43,5663
"Norfolk School District","=""0980011""",12,149,7,168
"North Branford School District","=""0990011""",161,2174,99,2434
"North Canaan School District","=""1000011""",45,295,19,359
"North Haven School District","=""1010011""",217,3577,103,3897
"North Stonington School District","=""1020011""",95,669,41,805
"Norwalk School District","=""1030011""",2433,7569,727,10729
"Norwich Free Academy District","=""9010022""",244,1916,289,2449
"Norwich School District","=""1040011""",1767,1858,445,4070
"Odyssey Community School District","=""2630013""",24,140,13,177
"Old Saybrook School District","=""1060011""",73,1487,61,1621
"Orange School District","=""1070011""",25,1337,15,1377
"Oxford School District","=""1080011""",80,1739,42,1861
"Park City Prep Charter School District","=""2830013""",79,95,32,206
"Plainfield School District","=""1090011""",533,1990,261,2784
"Plainville School District","=""1100011""",272,2202,155,2629
"Plymouth School District","=""1110011""",207,1600,106,1913
"Pomfret School District","=""1120011""",36,498,9,543
"Portland School District","=""1130011""",130,1285,18,1433
"Preston School District","=""1140011""",32,452,25,509
"Putnam School District","=""1160011""",425,746,148,1319
"Redding School District","=""1170011""","*",1295,"*",1309
"Regional School District 01","=""2010012""",45,503,22,570
"Regional School District 04","=""2040012""",47,886,28,961
"Regional School District 05","=""2050012""",28,2437,18,2483
"Regional School District 06","=""2060012""",42,1049,39,1130
"Regional School District 07","=""2070012""",26,1104,25,1155
