"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2015-16"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",695,211,110,1016
"Achievement First Hartford Academy District","=""2880013""",1063,0,0,1063
"Amistad Academy District","=""2790013""",722,174,140,1036
"Andover School District","=""0010011""","*",209,"*",250
"Ansonia School District","=""0020011""",1361,748,273,2382
"Area Cooperative Educational Services","=""2440014""",1203,608,137,1948
"Ashford School District","=""0030011""",122,262,16,400
"Avon School District","=""0040011""",147,3117,21,3285
"Barkhamsted School District","=""0050011""","*",264,"*",286
"Berlin School District","=""0070011""",340,2446,93,2879
"Bethany School District","=""0080011""","*",352,"*",383
"Bethel School District","=""0090011""",416,2408,147,2971
"Bloomfield School District","=""0110011""",863,1034,181,2078
"Bolton School District","=""0120011""",111,695,14,820
"Booker T. Washington Academy District","=""2950013""",130,26,24,180
"Bozrah School District","=""0130011""",39,156,7,202
"Branford School District","=""0140011""",609,2278,179,3066
"Brass City Charter School District","=""2900013""",96,58,32,186
"Bridgeport School District","=""0150011""","*","*",0,21191
"Bristol School District","=""0170011""",3292,4362,516,8170
"Brookfield School District","=""0180011""",142,2503,47,2692
"Brooklyn School District","=""0190011""",243,611,54,908
"Canaan School District","=""0210011""","*","*",0,"*"
"Canterbury School District","=""0220011""",105,360,29,494
"Canton School District","=""0230011""",165,1433,35,1633
"Capital Preparatory Harbor School District","=""2970013""",118,100,31,249
"Capitol Region Education Council","=""2410014""",3463,4336,555,8354
"Chaplin School District","=""0240011""",57,102,17,176
"Cheshire School District","=""0250011""",303,4028,82,4413
"Chester School District","=""0260011""",18,185,8,211
"Clinton School District","=""0270011""",333,1381,108,1822
"Colchester School District","=""0280011""",330,2117,116,2563
"Colebrook School District","=""0290011""","*",71,"*",84
"Columbia School District","=""0300011""",55,388,11,454
"Common Ground High School District","=""2680013""",56,108,22,186
"Connecticut Technical Education and Career System","=""9000016""",3950,6039,721,10710
"Cooperative Educational Services","=""2430014""",196,577,96,869
"Cornwall School District","=""0310011""",15,77,0,92
"Coventry School District","=""0320011""",282,1301,51,1634
"Cromwell School District","=""0330011""",309,1604,84,1997
"Danbury School District","=""0340011""",4765,5188,1204,11157
"Darien School District","=""0350011""",66,4801,17,4884
"Deep River School District","=""0360011""",39,252,15,306
"Department of Mental Health and Addiction Services","=""""","*",0,0,"*"
"Derby School District","=""0370011""",666,644,93,1403
"East Granby School District","=""0400011""",121,757,0,878
"East Haddam School District","=""0410011""",127,906,40,1073
"East Hampton School District","=""0420011""",223,1633,37,1893
"East Hartford School District","=""0430011""",3682,2816,384,6882
"East Haven School District","=""0440011""",1154,1613,284,3051
"East Lyme School District","=""0450011""",360,2337,95,2792
"East Windsor School District","=""0470011""",379,655,71,1105
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",179,228,18,425
"Eastford School District","=""0390011""",25,109,0,134
"Easton School District","=""0460011""",26,888,8,922
"EdAdvance","=""2420014""",221,6,0,227
"Ellington School District","=""0480011""",213,2384,36,2633
"Elm City College Preparatory School District","=""2890013""",480,153,70,703
"Elm City Montessori School District","=""2910013""",17,96,0,113
"Enfield School District","=""0490011""",1708,3123,358,5189
"Essex School District","=""0500011""",27,376,17,420
"Explorations District","=""2720013""","*",51,"*",92
"Fairfield School District","=""0510011""",749,9189,153,10091
"Farmington School District","=""0520011""",387,3654,55,4096
"Franklin School District","=""0530011""","*",149,"*",170
"Glastonbury School District","=""0540011""",463,5493,113,6069
"Granby School District","=""0560011""",145,1767,49,1961
"Great Oaks Charter School District","=""2940013""",147,46,33,226
"Greenwich School District","=""0570011""",1040,7469,316,8825
"Griswold School District","=""0580011""",642,1142,107,1891
"Groton School District","=""0590011""",1460,2613,446,4519
"Guilford School District","=""0600011""",244,3098,77,3419
"Hamden School District","=""0620011""",1863,3244,440,5547
"Hampton School District","=""0630011""",22,73,6,101
"Hartford School District","=""0640011""",16410,4691,362,21463
"Hartland School District","=""0650011""","*",171,"*",188
"Hebron School District","=""0670011""",58,659,15,732
"Highville Charter School District","=""2860013""",190,197,75,462
"Integrated Day Charter School District","=""2640013""",82,215,34,331
"Interdistrict School for Arts and Comm District","=""2650013""",138,111,22,271
"Jumoke Academy District","=""2610013""",242,437,55,734
"Kent School District","=""0680011""",27,204,6,237
"Killingly School District","=""0690011""",947,1422,227,2596
"Learn","=""2450014""",981,1218,174,2373
"Lebanon School District","=""0710011""",145,870,39,1054
"Ledyard School District","=""0720011""",391,1952,102,2445
"Lisbon School District","=""0730011""",91,289,12,392
"Litchfield School District","=""0740011""",86,869,16,971
"Madison School District","=""0760011""",104,2894,29,3027
"Manchester School District","=""0770011""",3092,2719,432,6243
"Mansfield School District","=""0780011""",250,951,50,1251
"Marlborough School District","=""0790011""",47,501,8,556
"Meriden School District","=""0800011""",5023,2314,656,7993
"Middletown School District","=""0830011""",1736,2733,232,4701
"Milford School District","=""0840011""",1038,4873,241,6152
"Monroe School District","=""0850011""",191,2920,69,3180
"Montville School District","=""0860011""",622,1407,227,2256
