"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2012-13"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",476,125,101,702
"Achievement First Hartford Academy District","=""2880013""",824,0,0,824
"Amistad Academy District","=""2790013""",608,171,125,904
"Andover School District","=""0010011""",34,271,10,315
"Ansonia School District","=""0020011""",1303,804,318,2425
"Area Cooperative Educational Services","=""2440014""",765,1022,145,1932
"Ashford School District","=""0030011""",119,295,26,440
"Avon School District","=""0040011""",155,3215,51,3421
"Barkhamsted School District","=""0050011""","*",325,"*",349
"Berlin School District","=""0070011""",321,2586,78,2985
"Bethany School District","=""0080011""",21,445,7,473
"Bethel School District","=""0090011""",388,2458,141,2987
"Bloomfield School District","=""0110011""",832,1104,183,2119
"Bolton School District","=""0120011""",87,787,23,897
"Bozrah School District","=""0130011""",36,191,16,243
"Branford School District","=""0140011""",572,2545,165,3282
"Bridgeport School District","=""0150011""",20146,"*","*",20338
"Bristol School District","=""0170011""",2891,4811,663,8365
"Brookfield School District","=""0180011""",202,2532,59,2793
"Brooklyn School District","=""0190011""",228,680,40,948
"Canaan School District","=""0210011""",11,64,0,75
"Canterbury School District","=""0220011""",76,386,37,499
"Canton School District","=""0230011""",126,1582,50,1758
"Capitol Region Education Council","=""2410014""",2241,3462,555,6258
"Chaplin School District","=""0240011""",51,125,9,185
"Cheshire School District","=""0250011""",246,4340,88,4674
"Chester School District","=""0260011""","*",223,"*",252
"Clinton School District","=""0270011""",288,1603,98,1989
"Colchester School District","=""0280011""",337,2483,73,2893
"Colebrook School District","=""0290011""","*",86,"*",104
"Columbia School District","=""0300011""",45,447,19,511
"Common Ground High School District","=""2680013""",81,71,17,169
"Connecticut Technical Education and Career System","=""9000016""",3740,6360,551,10651
"Cooperative Educational Services","=""2430014""",186,563,89,838
"Cornwall School District","=""0310011""",21,82,0,103
"Coventry School District","=""0320011""",244,1442,49,1735
"Cromwell School District","=""0330011""",274,1616,95,1985
"Danbury School District","=""0340011""",4317,5465,1168,10950
"Darien School District","=""0350011""",15,4851,14,4880
"Deep River School District","=""0360011""",41,301,8,350
"Department of Mental Health and Addiction Services","=""""","*",0,0,"*"
"Derby School District","=""0370011""",682,705,111,1498
"East Granby School District","=""0400011""",45,820,0,865
"East Haddam School District","=""0410011""",96,1117,44,1257
"East Hampton School District","=""0420011""",191,1649,58,1898
"East Hartford School District","=""0430011""",3722,2763,568,7053
"East Haven School District","=""0440011""",1034,1822,385,3241
"East Lyme School District","=""0450011""",256,2592,91,2939
"East Windsor School District","=""0470011""",391,808,77,1276
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",73,238,19,330
"Eastford School District","=""0390011""",29,140,0,169
"Easton School District","=""0460011""",14,999,6,1019
"EdAdvance","=""2420014""",238,"*","*",249
"Ellington School District","=""0480011""",219,2452,50,2721
"Elm City College Preparatory School District","=""2890013""",371,157,76,604
"Enfield School District","=""0490011""",1552,3542,386,5480
"Essex School District","=""0500011""",45,468,17,530
"Explorations District","=""2720013""",22,51,0,73
"Fairfield School District","=""0510011""",737,9308,282,10327
"Farmington School District","=""0520011""",339,3663,69,4071
"Franklin School District","=""0530011""","*",172,"*",204
"Glastonbury School District","=""0540011""",420,6045,141,6606
"Granby School District","=""0560011""",127,1934,51,2112
"Greenwich School District","=""0570011""",987,7575,309,8871
"Griswold School District","=""0580011""",486,1363,126,1975
"Groton School District","=""0590011""",1526,2771,514,4811
"Guilford School District","=""0600011""",176,3328,93,3597
"Hamden School District","=""0620011""",1818,3524,499,5841
"Hampton School District","=""0630011""",20,90,6,116
"Hartford School District","=""0640011""",18371,3159,435,21965
"Hartland School District","=""0650011""","*",200,"*",215
"Hebron School District","=""0670011""",30,880,28,938
"Highville Charter School District","=""2860013""",171,99,71,341
"Integrated Day Charter School District","=""2640013""",71,230,29,330
"Interdistrict School for Arts and Comm District","=""2650013""",104,64,23,191
"Jumoke Academy District","=""2610013""",271,247,71,589
"Kent School District","=""0680011""",23,235,13,271
"Killingly School District","=""0690011""",955,1565,196,2716
"Learn","=""2450014""",631,956,141,1728
"Lebanon School District","=""0710011""",147,1049,42,1238
"Ledyard School District","=""0720011""",411,2118,87,2616
"Lisbon School District","=""0730011""",80,348,20,448
"Litchfield School District","=""0740011""",83,938,19,1040
"Madison School District","=""0760011""",106,3230,54,3390
"Manchester School District","=""0770011""",2888,2889,498,6275
"Mansfield School District","=""0780011""",233,1009,79,1321
"Marlborough School District","=""0790011""",37,590,12,639
"Meriden School District","=""0800011""",5164,2515,581,8260
"Middletown School District","=""0830011""",1850,2793,305,4948
"Milford School District","=""0840011""",1101,5246,323,6670
"Monroe School District","=""0850011""",153,3260,75,3488
"Montville School District","=""0860011""",604,1614,237,2455
"Naugatuck School District","=""0880011""",1603,2424,463,4490
"New Beginnings Inc Family Academy District","=""2800013""",281,68,50,399
"New Britain School District","=""0890011""",7520,1999,803,10322
"New Canaan School District","=""0900011""",0,4223,0,4223
"New Fairfield School District","=""0910011""",201,2522,82,2805
"New Hartford School District","=""0920011""",26,516,25,567
"New Haven School District","=""0930011""",15093,4682,1471,21246
"New London School District","=""0950011""",2234,652,221,3107
"New Milford School District","=""0960011""",619,3718,283,4620
"Newington School District","=""0940011""",644,3436,263,4343
"Newtown School District","=""0970011""",239,4814,106,5159
"Norfolk School District","=""0980011""","*",104,"*",121
"North Branford School District","=""0990011""",193,1797,104,2094
"North Canaan School District","=""1000011""",63,242,10,315
"North Haven School District","=""1010011""",280,3074,183,3537
"North Stonington School District","=""1020011""",112,629,23,764
"Norwalk School District","=""1030011""",4247,5901,1000,11148
"Norwich Free Academy District","=""9010022""",491,1701,72,2264
"Norwich School District","=""1040011""",2247,1224,398,3869
"Odyssey Community School District","=""2630013""",114,185,25,324
"Old Saybrook School District","=""1060011""",177,1246,82,1505
"Orange School District","=""1070011""",30,1194,24,1248
"Oxford School District","=""1080011""",114,1950,39,2103
"Park City Prep Charter School District","=""2830013""",144,77,30,251
"Plainfield School District","=""1090011""",911,1387,209,2507
"Plainville School District","=""1100011""",535,1663,178,2376
"Plymouth School District","=""1110011""",325,1186,108,1619
"Pomfret School District","=""1120011""",58,407,11,476
"Portland School District","=""1130011""",189,1148,45,1382
"Preston School District","=""1140011""",43,354,18,415
"Putnam School District","=""1160011""",606,553,114,1273
"Redding School District","=""1170011""",36,1086,11,1133
"Regional School District 01","=""2010012""",54,343,27,424
"Regional School District 04","=""2040012""",83,877,34,994
"Regional School District 05","=""2050012""",76,2265,28,2369
"Regional School District 06","=""2060012""",80,928,26,1034
"Regional School District 07","=""2070012""",73,1041,32,1146
"Regional School District 08","=""2080012""",73,1658,45,1776
"Regional School District 09","=""2090012""",22,996,14,1032
"Regional School District 10","=""2100012""",143,2463,32,2638
"Regional School District 11","=""2110012""",54,216,20,290
"Regional School District 12","=""2120012""",55,774,14,843
"Regional School District 13","=""2130012""",73,1846,41,1960
"Regional School District 14","=""2140012""",175,1727,41,1943
