"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2011-12"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",378,91,74,543
"Achievement First Hartford Academy District","=""2880013""",762,0,0,762
"Amistad Academy District","=""2790013""",590,167,100,857
"Andover School District","=""0010011""",25,282,7,314
"Ansonia School District","=""0020011""",1240,1005,281,2526
"Area Cooperative Educational Services","=""2440014""",790,1030,135,1955
"Ashford School District","=""0030011""",111,339,31,481
"Avon School District","=""0040011""",145,3316,57,3518
"Barkhamsted School District","=""0050011""","*",338,"*",357
"Berlin School District","=""0070011""",272,2689,66,3027
"Bethany School District","=""0080011""","*",467,"*",492
"Bethel School District","=""0090011""",342,2505,135,2982
"Bloomfield School District","=""0110011""",828,1115,221,2164
"Bolton School District","=""0120011""",76,806,15,897
"Bozrah School District","=""0130011""",19,205,12,236
"Branford School District","=""0140011""",429,2751,161,3341
"Bridgeport School District","=""0150011""",19867,181,319,20367
"Bristol School District","=""0170011""",2720,5293,510,8523
"Brookfield School District","=""0180011""",148,2624,73,2845
"Brooklyn School District","=""0190011""",210,692,37,939
"Canaan School District","=""0210011""",6,80,0,86
"Canterbury School District","=""0220011""",79,415,26,520
"Canton School District","=""0230011""",100,1612,39,1751
"Capitol Region Education Council","=""2410014""",2007,3049,502,5558
"Chaplin School District","=""0240011""",36,139,7,182
"Cheshire School District","=""0250011""",246,4471,92,4809
"Chester School District","=""0260011""",24,229,7,260
"Clinton School District","=""0270011""",236,1691,85,2012
"Colchester School District","=""0280011""",323,2634,74,3031
"Colebrook School District","=""0290011""","*",87,"*",99
"Columbia School District","=""0300011""",51,469,10,530
"Common Ground High School District","=""2680013""",75,83,7,165
"Connecticut Technical Education and Career System","=""9000016""",3461,6323,872,10656
"Cooperative Educational Services","=""2430014""",184,534,95,813
"Cornwall School District","=""0310011""",19,87,0,106
"Coventry School District","=""0320011""",247,1495,54,1796
"Cromwell School District","=""0330011""",256,1657,87,2000
"Danbury School District","=""0340011""",4148,5619,1055,10822
"Darien School District","=""0350011""","*",4827,"*",4833
"Deep River School District","=""0360011""",41,312,6,359
"Department of Mental Health and Addiction Services","=""""",0,"*",0,"*"
"Derby School District","=""0370011""",608,725,120,1453
"East Granby School District","=""0400011""",31,816,0,847
"East Haddam School District","=""0410011""",89,1159,39,1287
"East Hampton School District","=""0420011""",132,1766,54,1952
"East Hartford School District","=""0430011""",3596,2965,615,7176
"East Haven School District","=""0440011""",1097,1751,449,3297
"East Lyme School District","=""0450011""",209,2695,81,2985
"East Windsor School District","=""0470011""",384,841,73,1298
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",42,234,19,295
"Eastford School District","=""0390011""",27,149,0,176
