"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2014-15"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Bridgeport Academy District","=""2850013""",672,159,146,977
"Achievement First Hartford Academy District","=""2880013""",954,0,0,954
"Amistad Academy District","=""2790013""",677,184,123,984
"Andover School District","=""0010011""","*",238,"*",275
"Ansonia School District","=""0020011""",1344,806,265,2415
"Area Cooperative Educational Services","=""2440014""",959,809,171,1939
"Ashford School District","=""0030011""",118,281,18,417
"Avon School District","=""0040011""",157,3139,36,3332
"Barkhamsted School District","=""0050011""",19,288,10,317
"Berlin School District","=""0070011""",341,2495,73,2909
"Bethany School District","=""0080011""",16,382,9,407
"Bethel School District","=""0090011""",412,2378,149,2939
"Bloomfield School District","=""0110011""",867,1046,202,2115
"Bolton School District","=""0120011""",128,700,19,847
"Booker T. Washington Academy District","=""2950013""",71,13,7,91
"Bozrah School District","=""0130011""","*",167,"*",211
"Branford School District","=""0140011""",571,2357,180,3108
"Brass City Charter School District","=""2900013""",78,47,25,150
"Bridgeport School District","=""0150011""","*","*",0,21244
"Bristol School District","=""0170011""",3238,4419,576,8233
"Brookfield School District","=""0180011""",160,2515,44,2719
"Brooklyn School District","=""0190011""",228,656,36,920
"Canaan School District","=""0210011""",0,78,0,78
"Canterbury School District","=""0220011""",92,362,23,477
"Canton School District","=""0230011""",145,1466,18,1629
"Capitol Region Education Council","=""2410014""",3367,4093,706,8166
"Chaplin School District","=""0240011""",46,118,14,178
"Cheshire School District","=""0250011""",296,4179,76,4551
"Chester School District","=""0260011""",22,184,13,219
"Clinton School District","=""0270011""",340,1458,90,1888
"Colchester School District","=""0280011""",397,2167,90,2654
"Colebrook School District","=""0290011""","*",71,"*",91
"Columbia School District","=""0300011""",74,371,13,458
"Common Ground High School District","=""2680013""",78,85,17,180
"Connecticut Technical Education and Career System","=""9000016""",3978,6168,644,10790
"Cooperative Educational Services","=""2430014""",200,565,84,849
"Cornwall School District","=""0310011""",16,75,0,91
"Coventry School District","=""0320011""",279,1321,51,1651
"Cromwell School District","=""0330011""",327,1581,76,1984
"Danbury School District","=""0340011""",4718,4863,1364,10945
"Darien School District","=""0350011""",72,4832,28,4932
"Deep River School District","=""0360011""",44,254,18,316
"Department of Mental Health and Addiction Services","=""""",7,0,0,7
"Derby School District","=""0370011""",738,601,128,1467
"East Granby School District","=""0400011""","*",804,"*",886
"East Haddam School District","=""0410011""",140,954,49,1143
"East Hampton School District","=""0420011""",193,1584,58,1835
"East Hartford School District","=""0430011""",4006,2507,547,7060
"East Haven School District","=""0440011""",1197,1508,306,3011
"East Lyme School District","=""0450011""",305,2433,101,2839
"East Windsor School District","=""0470011""",380,672,86,1138
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",165,228,18,411
"Eastford School District","=""0390011""",19,120,0,139
"Easton School District","=""0460011""",26,902,8,936
"EdAdvance","=""2420014""",237,13,0,250
"Ellington School District","=""0480011""",206,2401,51,2658
"Elm City College Preparatory School District","=""2890013""",391,156,88,635
"Elm City Montessori School District","=""2910013""",9,61,0,70
"Enfield School District","=""0490011""",1606,3176,392,5174
"Essex School District","=""0500011""",35,411,8,454
"Explorations District","=""2720013""","*",61,"*",88
"Fairfield School District","=""0510011""",731,9256,226,10213
"Farmington School District","=""0520011""",381,3573,66,4020
"Franklin School District","=""0530011""","*",146,"*",170
"Glastonbury School District","=""0540011""",439,5582,127,6148
"Granby School District","=""0560011""",152,1778,40,1970
"Great Oaks Charter School District","=""2940013""",96,20,11,127
"Greenwich School District","=""0570011""",989,7484,340,8813
"Griswold School District","=""0580011""",609,1163,125,1897
"Groton School District","=""0590011""",1686,2444,435,4565
"Guilford School District","=""0600011""",223,3100,104,3427
"Hamden School District","=""0620011""",1927,3305,448,5680
"Hampton School District","=""0630011""","*",79,"*",105
"Hartford School District","=""0640011""",16379,5032,541,21952
"Hartland School District","=""0650011""","*",183,"*",203
"Hebron School District","=""0670011""",41,723,22,786
"Highville Charter School District","=""2860013""",200,122,81,403
"Integrated Day Charter School District","=""2640013""",86,218,27,331
"Interdistrict School for Arts and Comm District","=""2650013""",147,93,22,262
"Jumoke Academy District","=""2610013""",298,341,77,716
"Kent School District","=""0680011""",25,227,6,258
"Killingly School District","=""0690011""",933,1436,208,2577
"Learn","=""2450014""",971,1113,186,2270
"Lebanon School District","=""0710011""",152,906,47,1105
"Ledyard School District","=""0720011""",446,2003,91,2540
"Lisbon School District","=""0730011""",80,312,11,403
"Litchfield School District","=""0740011""",108,852,23,983
"Madison School District","=""0760011""",122,3015,34,3171
"Manchester School District","=""0770011""",3016,2834,417,6267
"Mansfield School District","=""0780011""",253,937,52,1242
"Marlborough School District","=""0790011""",39,551,10,600
"Meriden School District","=""0800011""",4982,2486,632,8100
"Middletown School District","=""0830011""",1969,2530,295,4794
"Milford School District","=""0840011""",1068,4928,282,6278
"Monroe School District","=""0850011""",200,3027,72,3299
"Montville School District","=""0860011""",614,1521,221,2356
"Naugatuck School District","=""0880011""",1592,2373,351,4316
"New Beginnings Inc Family Academy District","=""2800013""",244,192,37,473
"New Britain School District","=""0890011""",7536,1824,741,10101
"New Canaan School District","=""0900011""",0,4213,0,4213
"New Fairfield School District","=""0910011""",220,2395,47,2662
"New Hartford School District","=""0920011""",31,463,12,506
"New Haven School District","=""0930011""",12134,8969,609,21712
"New London School District","=""0950011""",2342,767,144,3253
"New Milford School District","=""0960011""",662,3485,215,4362
"Newington School District","=""0940011""",670,3200,257,4127
"Newtown School District","=""0970011""",249,4427,91,4767
"Norfolk School District","=""0980011""",16,92,8,116
"North Branford School District","=""0990011""",256,1623,90,1969
"North Canaan School District","=""1000011""",52,212,16,280
"North Haven School District","=""1010011""",324,2851,137,3312
"North Stonington School District","=""1020011""",103,625,13,741
"Norwalk School District","=""1030011""",4173,6356,782,11311
"Norwich Free Academy District","=""9010022""",907,1269,141,2317
"Norwich School District","=""1040011""",2403,940,421,3764
"Odyssey Community School District","=""2630013""",96,222,10,328
"Old Saybrook School District","=""1060011""",201,1176,48,1425
"Orange School District","=""1070011""",45,1120,15,1180
"Oxford School District","=""1080011""",119,1809,51,1979
"Park City Prep Charter School District","=""2830013""",217,110,33,360
"Path Academy District","=""2930013""",101,"*","*",132
