district,district_code,school,school_code,ppe_federal,ppe_state_local_other,ppe_total_source,fiscal_year,cpi_u,deflator,ppe_federal_real,ppe_state_local_other_real,ppe_total_source_real,enrollment
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,502,11652,12154,2018,251.1,1.282206292313819,643.6675587415372,14940.26771804062,15583.935276782158,1062.0
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,693,14068,14761,2018,251.1,1.282206292313819,888.5689605734766,18038.07812027081,18926.647080844283,1149.0
Amistad Academy District,2790013,Amistad Academy,2795113,639,11603,12243,2018,251.1,1.282206292313819,819.3298207885304,14877.439609717245,15698.051636798087,1081.0
Andover School District,10011,Andover Elementary School,10111,1001,20740,21741,2018,251.1,1.282206292313819,1283.488498606133,26592.958502588608,27876.44700119474,204.0
Ansonia School District,20011,Ansonia High School,26111,650,16706,17356,2018,251.1,1.282206292313819,833.4340900039824,21420.53831939466,22253.972409398644,567.0
Ansonia School District,20011,Ansonia Middle School,25111,918,13461,14379,2018,251.1,1.282206292313819,1177.065376344086,17259.778900836318,18436.844277180404,362.0
Ansonia School District,20011,Mead School,20311,914,12576,13490,2018,251.1,1.282206292313819,1171.9365511748306,16125.026332138588,17296.96288331342,612.0
Ansonia School District,20011,Prendergast School,20811,913,12019,12932,2018,251.1,1.282206292313819,1170.6543448825169,15410.837427319791,16581.49177220231,638.0
Area Cooperative Educational Services,2440014,ACES Chase Academy,2445114,458,20680,21138,2018,251.1,1.282206292313819,587.2504818797291,26516.02612504978,27103.276606929507,712.0
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict Magnet School,2440314,107,19927,20033,2018,251.1,1.282206292313819,137.19607327757865,25550.524786937476,25686.438653922734,625.0
Ashford School District,30011,Ashford School,30111,459,18632,19090,2018,251.1,1.282206292313819,588.532688172043,23890.06763839108,24477.318120270807,394.0
Avon School District,40011,Avon High School,46111,207,18189,18396,2018,251.1,1.282206292313819,265.4167025089605,23322.050250896056,23587.46695340501,1011.0
Avon School District,40011,Avon Middle School,45111,247,17081,17328,2018,251.1,1.282206292313819,316.7049542015133,21901.365679012342,22218.070633213854,556.0
Avon School District,40011,Pine Grove School,40411,248,15440,15688,2018,251.1,1.282206292313819,317.9871604938272,19797.265153325367,20115.252313819197,616.0
Avon School District,40011,Roaring Brook School,40311,249,16812,17062,2018,251.1,1.282206292313819,319.2693667861409,21556.452186379927,21877.00375945838,477.0
Avon School District,40011,Thompson Brook School,40511,250,16493,16743,2018,251.1,1.282206292313819,320.5515730784548,21147.42837913182,21467.979952210277,487.0
Barkhamsted School District,50011,Barkhamsted Elementary School,50111,506,17406,17911,2018,251.1,1.282206292313819,648.7963839107924,22318.082724014337,22965.596901632813,222.0
Berlin School District,70011,Berlin High School,76111,368,16734,17102,2018,251.1,1.282206292313819,471.8519155714855,21456.440095579448,21928.29201115093,904.0
Berlin School District,70011,Catherine M. McGee Middle School,75111,493,13717,14210,2018,251.1,1.282206292313819,632.1277021107128,17588.02371166866,18220.15141377937,664.0
Berlin School District,70011,Emma Hart Willard School,70411,166,14382,14548,2018,251.1,1.282206292313819,212.846244524094,18440.690896057346,18653.53714058144,492.0
Berlin School District,70011,Mary E. Griswold School,70511,77,13047,13124,2018,251.1,1.282206292313819,98.72988450816408,16728.9454958184,16827.675380326564,505.0
Berlin School District,70011,Richard D. Hubbard School,70111,723,35225,35948,2018,251.1,1.282206292313819,927.0351493428911,45165.71664675428,46092.75179609717,211.0
Bethany School District,80011,Bethany Community School,80111,447,18198,18645,2018,251.1,1.282206292313819,573.1462126642772,23333.59010752688,23906.73632019116,364.0
Bethel School District,90011,Anna H. Rockwell School,90411,327,14188,14516,2018,251.1,1.282206292313819,419.2814575866189,18191.942875348464,18612.5065392274,435.0
Bethel School District,90011,Bethel High School,96111,327,16892,17219,2018,251.1,1.282206292313819,419.2814575866189,21659.028689765037,22078.31014735165,896.0
Bethel School District,90011,Bethel Middle School,95111,327,15108,15435,2018,251.1,1.282206292313819,419.2814575866189,19371.57266427718,19790.8541218638,659.0
Bethel School District,90011,Frank A. Berry School,90111,327,15416,15743,2018,251.1,1.282206292313819,419.2814575866189,19766.49220230984,20185.77365989645,522.0
Bethel School District,90011,Ralph M. T. Johnson School,90511,327,13076,13404,2018,251.1,1.282206292313819,419.2814575866189,16766.129478295497,17186.69314217443,516.0
Bloomfield School District,110011,Bloomfield High School,116111,775,24176,24951,2018,251.1,1.282206292313819,993.7098765432098,30998.61932297889,31992.3291995221,520.0
Bloomfield School District,110011,Carmen Arace Intermediate School,110711,480,21746,22226,2018,251.1,1.282206292313819,615.4590203106332,27882.85803265631,28498.317052966944,244.0
Bloomfield School District,110011,Carmen Arace Middle School,115211,317,23991,24309,2018,251.1,1.282206292313819,406.4593946634807,30761.411158900835,31169.152759856628,217.0
Bloomfield School District,110011,Global Experience Magnet School,116311,317,22561,22878,2018,251.1,1.282206292313819,406.4593946634807,28927.85616089207,29334.315555555557,215.0
Bloomfield School District,110011,Laurel Literacy Academy,110611,500,18828,19328,2018,251.1,1.282206292313819,641.1031461569096,24141.380071684587,24782.48321784149,368.0
Bloomfield School District,110011,Learning Academy at Bloomfield,116411,317,22572,22890,2018,251.1,1.282206292313819,406.4593946634807,28941.960430107523,29349.70203106332,14.0
Bloomfield School District,110011,Metacomet School,110511,1376,22017,23393,2018,251.1,1.282206292313819,1764.315858223815,28230.335937873355,29994.65179609717,234.0
Bloomfield School District,110011,Wintonbury Early Childhood Magnet School,110811,376,21173,21550,2018,251.1,1.282206292313819,482.109565909996,27148.15382716049,27631.5455993628,323.0
Bolton School District,120011,Bolton Center School,120111,289,15079,15368,2018,251.1,1.282206292313819,370.5576184786937,19334.38868180008,19704.94630027877,530.0
Bolton School District,120011,Bolton High School,126111,226,21421,21647,2018,251.1,1.282206292313819,289.7786220629231,27466.14098765432,27755.919609717243,275.0
Booker T. Washington Academy District,2950013,Booker T. Washington Academy,2950113,455,11498,11953,2018,251.1,1.282206292313819,583.4038630027877,14742.807949024293,15326.21181202708,300.0
Bozrah School District,130011,Fields Memorial School,130111,671,21167,21838,2018,251.1,1.282206292313819,860.3604221425726,27140.460589406608,28000.821011549186,202.0
Branford School District,140011,Branford High School,146111,380,20559,20939,2018,251.1,1.282206292313819,487.2383910792512,26360.87916367981,26848.117554759057,852.0
Branford School District,140011,Francis Walsh Intermediate School,145111,354,17795,18149,2018,251.1,1.282206292313819,453.901027479092,22816.86097172441,23270.761999203503,889.0
Branford School District,140011,John B. Sliney School,141611,367,18461,18829,2018,251.1,1.282206292313819,470.5697092791716,23670.810362405413,24142.6622779769,303.0
Branford School District,140011,Mary R. Tisko School,141511,367,16668,17035,2018,251.1,1.282206292313819,470.5697092791716,21371.814480286732,21842.38418956591,386.0
Branford School District,140011,Mary T. Murphy School,141411,367,17697,18064,2018,251.1,1.282206292313819,470.5697092791716,22691.20475507765,23161.77446435683,388.0
Brass City Charter School District,2900013,Brass City Charter School,2900113,425,13848,14273,2018,251.1,1.282206292313819,544.9376742333732,17755.99273596177,18300.93041019514,254.0
Bridgeport School District,150011,A.B. Skane Center,154411,5491,22342,27833,2018,251.1,1.282206292313819,7040.594751095181,28647.052982875342,35687.64773397053,211.0
Bridgeport School District,150011,"Aerospace/Hydrospace, Engineering and Physical Sciences Magnet High School",150811,829,11488,12317,2018,251.1,1.282206292313819,1062.949016328156,14729.985886101154,15792.93490242931,475.0
Bridgeport School District,150011,Barnum School,150111,2377,12722,15099,2018,251.1,1.282206292313819,3047.804356829948,16312.228450816408,19360.03280764636,603.0
Bridgeport School District,150011,Bassick High School,156111,770,13480,14250,2018,251.1,1.282206292313819,987.2988450816408,17284.140820390283,18271.439665471924,970.0
Bridgeport School District,150011,Beardsley School,150211,1521,12540,14061,2018,251.1,1.282206292313819,1950.235770609319,16078.866905615292,18029.10267622461,336.0
Bridgeport School District,150011,"Biotechnology, Research & Zoological Studies Magnet High School",150611,858,12145,13002,2018,251.1,1.282206292313819,1100.1329988052569,15572.395420151332,16671.246212664275,471.0
Bridgeport School District,150011,Black Rock School,150311,796,11843,12639,2018,251.1,1.282206292313819,1020.6362086818,15185.16911987256,16205.80532855436,458.0
Bridgeport School District,150011,Blackham School,154011,1084,10408,11492,2018,251.1,1.282206292313819,1389.91162086818,13345.203090402229,14735.11471127041,1103.0
Bridgeport School District,150011,Bridgeport Military Academy,151611,998,12762,13759,2018,251.1,1.282206292313819,1279.6418797291915,16363.51670250896,17641.876375945838,301.0
Bridgeport School District,150011,Bryant School,150411,777,12428,13205,2018,251.1,1.282206292313819,996.2742891278374,15935.259800876143,16931.53409000398,348.0
Bridgeport School District,150011,Central High School,156211,460,12497,12957,2018,251.1,1.282206292313819,589.8148944643568,16023.732035045798,16613.546929510154,1612.0
Bridgeport School District,150011,Cesar Batalla School,151411,1393,10831,12224,2018,251.1,1.282206292313819,1786.11336519315,13887.576352050975,15673.689717244124,1127.0
Bridgeport School District,150011,Classical Studies Academy,152111,804,11642,12446,2018,251.1,1.282206292313819,1030.8938590203106,14927.445655117484,15958.339514137791,407.0
Bridgeport School District,150011,Columbus School,150511,620,12134,12754,2018,251.1,1.282206292313819,794.9679012345679,15558.291150935882,16353.25905217045,576.0
Bridgeport School District,150011,Edison School,150711,2090,12931,15021,2018,251.1,1.282206292313819,2679.811150935882,16580.209565909994,19260.02071684588,241.0
Bridgeport School District,150011,Geraldine Claytor Magnet Academy,153111,696,10225,10921,2018,251.1,1.282206292313819,892.4155794504181,13110.5593389088,14002.97491835922,455.0
Bridgeport School District,150011,Geraldine Johnson School,153211,1420,10775,12194,2018,251.1,1.282206292313819,1820.7329350856232,13815.7727996814,15635.22352847471,809.0
Bridgeport School District,150011,Hall School,151111,1127,14774,15901,2018,251.1,1.282206292313819,1445.046491437674,18943.315762644364,20388.36225408204,232.0
Bridgeport School District,150011,Hallen School,151211,866,13129,13994,2018,251.1,1.282206292313819,1110.3906491437674,16834.086411788132,17943.194854639583,311.0
Bridgeport School District,150011,High Horizons Magnet School,154511,703,12385,13088,2018,251.1,1.282206292313819,901.3910234966148,15880.124930306649,16781.515953803264,419.0
Bridgeport School District,150011,Information Technology & Software Engineering Magnet High School,151511,901,11004,11905,2018,251.1,1.282206292313819,1155.267869374751,14109.398040621263,15264.665909996016,475.0
Bridgeport School District,150011,Interdistrict Discovery Magnet School,153711,496,11721,12216,2018,251.1,1.282206292313819,635.9743209876543,15028.739952210271,15663.432066905614,492.0
Bridgeport School District,150011,James J. Curiale School,154211,841,11399,12240,2018,251.1,1.282206292313819,1078.335491835922,14615.869526085224,15694.205017921146,628.0
Bridgeport School District,150011,Jettie S. Tisdale School,152211,2048,13449,15497,2018,251.1,1.282206292313819,2625.958486658701,17244.392425328555,19870.35091198725,658.0
Bridgeport School District,150011,John Winthrop School,153611,682,11227,11909,2018,251.1,1.282206292313819,874.4646913580247,14395.330043807247,15269.794735165273,664.0
Bridgeport School District,150011,Luis Munoz Marin School,151011,692,10954,11647,2018,251.1,1.282206292313819,887.2867542811629,14045.287726005574,14933.85668657905,808.0
Bridgeport School District,150011,Madison School,152011,1277,12509,13786,2018,251.1,1.282206292313819,1637.377435284747,16039.118510553562,17676.49594583831,497.0
Bridgeport School District,150011,Multicultural Magnet School,154611,1257,13059,14316,2018,251.1,1.282206292313819,1611.7333094384703,16744.331971326163,18356.065280764637,464.0
Bridgeport School District,150011,Park City Magnet School,151711,917,11325,12241,2018,251.1,1.282206292313819,1175.7831700517722,14520.986260454,15695.48722421346,509.0
Bridgeport School District,150011,Paul Laurence Dunbar School,154111,946,11638,12584,2018,251.1,1.282206292313819,1212.967152528873,14922.316829948226,16135.2839824771,404.0
Bridgeport School District,150011,Read School,152511,847,10791,11637,2018,251.1,1.282206292313819,1086.0287295898047,13836.288100358424,14921.034623655913,905.0
Bridgeport School District,150011,Roosevelt School,152611,728,11954,12682,2018,251.1,1.282206292313819,933.4461808044604,15327.494018319394,16260.940199123854,549.0
Bridgeport School District,150011,Thomas Hooker School,151311,1916,14309,16225,2018,251.1,1.282206292313819,2456.707256073277,18347.08983671844,20803.79709279172,343.0
Bridgeport School District,150011,Waltersville School,153011,2340,13224,15563,2018,251.1,1.282206292313819,3000.362724014337,16955.896009557942,19954.976527279967,473.0
Bridgeport School District,150011,Warren Harding High School,156311,741,13794,14536,2018,251.1,1.282206292313819,950.11486260454,17686.75359617682,18638.150665073677,967.0
Bridgeport School District,150011,Wilbur Cross School,153911,1089,14346,15435,2018,251.1,1.282206292313819,1396.322652329749,18394.53146953405,19790.8541218638,336.0
Bristol School District,170011,Bristol Central High School,176111,496,14938,15434,2018,251.1,1.282206292313819,635.9743209876543,19153.59759458383,19789.571915571483,1125.0
Bristol School District,170011,Bristol Eastern High School,176211,498,15160,15658,2018,251.1,1.282206292313819,638.5387335722819,19438.247391477496,20076.78612504978,1116.0
Bristol School District,170011,Chippens Hill Middle School,175111,624,16749,17373,2018,251.1,1.282206292313819,800.0967264038231,21475.67318996416,22275.76991636798,725.0
Bristol School District,170011,Edgewood School,170311,1171,13484,14655,2018,251.1,1.282206292313819,1501.4635682994822,17289.269645559536,18790.733213859017,288.0
Bristol School District,170011,Ellen P. Hubbell School,171411,910,12859,13769,2018,251.1,1.282206292313819,1166.8077260055754,16487.8907128634,17654.698438868974,423.0
Bristol School District,170011,Greene-Hills School,170511,566,13415,13980,2018,251.1,1.282206292313819,725.7287614496216,17200.79741138988,17925.24396654719,909.0
Bristol School District,170011,Ivy Drive School,171911,979,13699,14679,2018,251.1,1.282206292313819,1255.279960175229,17564.94399840701,18821.50616487455,382.0
Bristol School District,170011,Mountain View School,171711,1025,13286,14311,2018,251.1,1.282206292313819,1314.2614496216645,17035.3927996814,18349.654249303065,359.0
Bristol School District,170011,Northeast Middle School,175211,828,16217,17045,2018,251.1,1.282206292313819,1061.6668100358422,20793.53944245321,21855.20625248905,463.0
Bristol School District,170011,South Side School,171111,834,12196,13031,2018,251.1,1.282206292313819,1069.360047789725,15637.787941059338,16708.430195141376,479.0
Bristol School District,170011,Stafford School,171211,907,14076,14983,2018,251.1,1.282206292313819,1162.961107128634,18048.33577060932,19211.29687773795,406.0
Bristol School District,170011,West Bristol School,172011,552,13097,13649,2018,251.1,1.282206292313819,707.7778733572281,16793.05581043409,17500.833683791316,906.0
Brookfield School District,180011,Brookfield High School,186111,91,16309,16400,2018,251.1,1.282206292313819,116.68077260055752,20911.502421346075,21028.183193946632,862.0
Brookfield School District,180011,Center Elementary School,180311,621,15432,16053,2018,251.1,1.282206292313819,796.2501075268817,19787.007502986857,20583.257610513738,359.0
Brookfield School District,180011,Huckleberry Hill Elementary School,180411,569,15156,15726,2018,251.1,1.282206292313819,729.575380326563,19433.118566308243,20163.97615292712,521.0
Brookfield School District,180011,Whisconier Middle School,185311,0,14498,14498,2018,251.1,1.282206292313819,0.0,18589.42682596575,18589.42682596575,886.0
Brooklyn School District,190011,Brooklyn Elementary School,190111,438,14210,14648,2018,251.1,1.282206292313819,561.6063560334528,18220.15141377937,18781.757769812823,539.0
Brooklyn School District,190011,Brooklyn Middle School,195111,289,18575,18864,2018,251.1,1.282206292313819,370.5576184786937,23816.98187972919,24187.539498207883,346.0
Canaan School District,210011,Lee H. Kellogg School,210111,810,30541,31351,2018,251.1,1.282206292313819,1038.5870967741937,39159.86237355635,40198.44947033055,71.0
Canterbury School District,220011,Canterbury Elementary School,220211,871,16314,17185,2018,251.1,1.282206292313819,1116.8016806053363,20917.913452807647,22034.71513341298,283.0
Canterbury School District,220011,Dr. Helen Baldwin Middle School,225111,752,22066,22818,2018,251.1,1.282206292313819,964.219131819992,28293.164046196733,29257.383178016724,173.0
Canton School District,230011,Canton High School,236111,236,18472,18707,2018,251.1,1.282206292313819,302.6006849860613,23684.914631620868,23986.233110314613,498.0
Canton School District,230011,Canton Intermediate School,230311,236,15921,16156,2018,251.1,1.282206292313819,302.6006849860613,20414.006379928316,20715.32485862206,370.0
Canton School District,230011,Canton Middle School,235111,236,16164,16400,2018,251.1,1.282206292313819,302.6006849860613,20725.58250896057,21028.183193946632,272.0
Canton School District,230011,Cherry Brook Primary School,230211,257,16210,16466,2018,251.1,1.282206292313819,329.52701712465154,20784.563998407008,21112.808809239345,456.0
Capital Preparatory Harbor School District,2970013,Capital Preparatory Harbor School,2970113,361,10772,11133,2018,251.1,1.282206292313819,462.8764715252887,13811.92618080446,14274.802652329749,439.0
Capitol Region Education Council,2410014,Academy of Aerospace and Engineering,2415114,430,19365,19795,2018,251.1,1.282206292313819,551.3487056949422,24829.924850657106,25381.27355635205,773.0
Capitol Region Education Council,2410014,Academy of Aerospace and Engineering Elementary,2410714,381,18381,18761,2018,251.1,1.282206292313819,488.5205973715651,23568.23385902031,24055.47225009956,434.0
Capitol Region Education Council,2410014,Academy of Computer Science and Engineering,2415214,548,26438,26986,2018,251.1,1.282206292313819,702.6490481879729,33898.96995619275,34601.61900438072,378.0
Capitol Region Education Council,2410014,Academy of Computer Science and Engineering Middle School,2415014,376,17935,18311,2018,251.1,1.282206292313819,482.109565909996,22996.369852648342,23478.47941855834,663.0
Capitol Region Education Council,2410014,Academy of International Studies 6-12,2416114,386,21023,21409,2018,251.1,1.282206292313819,494.9316288331342,26955.82288331342,27450.754512146552,653.0
Capitol Region Education Council,2410014,Academy of International Studies Elementary School,2410414,378,16248,16626,2018,251.1,1.282206292313819,484.6739784946236,20833.28783751493,21317.96181600956,480.0
Capitol Region Education Council,2410014,Academy of Science and Innovation,2416514,320,19054,19374,2018,251.1,1.282206292313819,410.3060135404221,24431.158693747508,24841.46470728793,776.0
Capitol Region Education Council,2410014,Ana Grace Academy of the Arts,2410614,436,20450,20886,2018,251.1,1.282206292313819,559.0419434488251,26221.1186778176,26780.160621266423,483.0
Capitol Region Education Council,2410014,Discovery Academy,2418114,315,15990,16305,2018,251.1,1.282206292313819,403.894982078853,20502.478614097967,20906.37359617682,518.0
Capitol Region Education Council,2410014,Glastonbury/East Hartford Magnet School,2410114,340,16487,16827,2018,251.1,1.282206292313819,435.9501393866985,21139.735141377936,21575.68528076464,457.0
Capitol Region Education Council,2410014,Greater Hartford Academy of the Arts Magnet Middle,2415314,397,23619,24016,2018,251.1,1.282206292313819,509.0358980485862,30284.430418160093,30793.46631620868,339.0
Capitol Region Education Council,2410014,Montessori Magnet School,2413114,276,19582,19858,2018,251.1,1.282206292313819,353.8889366786141,25108.163616089205,25462.05255276782,350.0
Capitol Region Education Council,2410014,Museum Academy,2410514,528,16709,17238,2018,251.1,1.282206292313819,677.0049223416964,21424.384938271603,22102.67206690561,515.0
Capitol Region Education Council,2410014,Reggio Magnet School of the Arts,2410314,369,16292,16661,2018,251.1,1.282206292313819,473.1341218637992,20889.70491437674,21362.83903624054,508.0
Capitol Region Education Council,2410014,University of Hartford Magnet School,2410214,455,19207,19663,2018,251.1,1.282206292313819,583.4038630027877,24627.336256471524,25212.022325766626,457.0
Chaplin School District,240011,Chaplin Elementary School,240211,698,23262,23959,2018,251.1,1.282206292313819,894.9799920350457,29826.68277180406,30720.380557546792,147.0
Cheshire School District,250011,Chapman School,250111,225,14678,14903,2018,251.1,1.282206292313819,288.4964157706093,18820.223958582235,19108.720374352844,313.0
Cheshire School District,250011,Cheshire High School,256111,223,16630,16853,2018,251.1,1.282206292313819,285.93200318598167,21323.090641178813,21609.02264436479,1401.0
Cheshire School District,250011,Darcey School,250211,2049,21942,23990,2018,251.1,1.282206292313819,2627.2406929510157,28134.170465949817,30760.12895260852,176.0
Cheshire School District,250011,Dodd Middle School,255111,202,14754,14956,2018,251.1,1.282206292313819,259.00567104739144,18917.671636798088,19176.67730784548,783.0
Cheshire School District,250011,Doolittle School,250611,225,14627,14852,2018,251.1,1.282206292313819,288.4964157706093,18754.83143767423,19043.32785344484,456.0
Cheshire School District,250011,Highland School,250411,225,14802,15027,2018,251.1,1.282206292313819,288.4964157706093,18979.21753882915,19267.71395459976,721.0
Cheshire School District,250011,Norton School,250511,225,15204,15429,2018,251.1,1.282206292313819,288.4964157706093,19494.664468339302,19783.160884109915,400.0
Chester School District,260011,Chester Elementary School,260111,601,21820,22420,2018,251.1,1.282206292313819,770.6059816806053,27977.74129828753,28747.065073675825,205.0
Clinton School District,270011,Abraham Pierson School,270111,417,16622,17039,2018,251.1,1.282206292313819,534.6800238948625,21312.832990840303,21847.513014735163,273.0
Clinton School District,270011,Jared Eliot School,275111,325,19342,19667,2018,251.1,1.282206292313819,416.7170450019912,24800.434105933888,25217.15115093588,443.0
Clinton School District,270011,Lewin G. Joel Jr. School,270311,558,17193,17752,2018,251.1,1.282206292313819,715.4711111111111,22044.97278375149,22761.72610115492,476.0
Clinton School District,270011,The Morgan School,276111,531,16797,17329,2018,251.1,1.282206292313819,680.851541218638,21537.21909199522,22219.352839506173,571.0
Colchester School District,280011,Bacon Academy,286111,256,15600,15856,2018,251.1,1.282206292313819,328.2448108323377,20002.418160095574,20330.662970927915,796.0
Colchester School District,280011,Colchester Elementary School,280411,371,15411,15782,2018,251.1,1.282206292313819,475.69853444842687,19760.081170848265,20235.779705296693,543.0
Colchester School District,280011,Jack Jackter Intermediate School,280211,370,15673,16043,2018,251.1,1.282206292313819,474.4163281561131,20096.019219434485,20570.4355475906,513.0
Colchester School District,280011,William J. Johnston Middle School,285111,375,15127,15503,2018,251.1,1.282206292313819,480.8273596176822,19395.934583831146,19878.044149741138,571.0
Colebrook School District,290011,Colebrook Consolidated School,290111,511,21504,22015,2018,251.1,1.282206292313819,655.2074153723615,27572.56410991637,28227.77152528873,87.0
Columbia School District,300011,Horace W. Porter School,300111,547,19541,20089,2018,251.1,1.282206292313819,701.366841895659,25055.59315810434,25758.24220629231,430.0
Common Ground High School District,2680013,Common Ground High School,2686113,885,14965,15851,2018,251.1,1.282206292313819,1134.75256869773,19188.217164476304,20324.251939466347,202.0
Cooperative Educational Services,2430014,Six-Six Magnet School,2430114,202,18162,18364,2018,251.1,1.282206292313819,259.00567104739144,23287.43068100358,23546.43635205097,454.0
Cornwall School District,310011,Cornwall Consolidated School,310111,1190,39540,40730,2018,251.1,1.282206292313819,1525.8254878534449,50698.436798088405,52224.262285941855,73.0
Coventry School District,320011,Capt. Nathan Hale School,325111,324,17188,17512,2018,251.1,1.282206292313819,415.43483870967736,22038.561752289923,22453.9965909996,374.0
Coventry School District,320011,Coventry Grammar School,320211,297,17105,17403,2018,251.1,1.282206292313819,380.8152688172043,21932.138630027875,22314.236105137395,345.0
Coventry School District,320011,Coventry High School,326111,336,18546,18882,2018,251.1,1.282206292313819,430.8213142174432,23779.79789725209,24210.619211469533,450.0
Coventry School District,320011,George Hersey Robertson School,320411,297,13248,13546,2018,251.1,1.282206292313819,380.8152688172043,16986.668960573475,17368.766435682992,386.0
Cromwell School District,330011,Cromwell High School,336111,298,16302,16600,2018,251.1,1.282206292313819,382.0974751095181,20902.52697729988,21284.6244524094,562.0
Cromwell School District,330011,Cromwell Middle School,335111,298,14702,15000,2018,251.1,1.282206292313819,382.0974751095181,18850.99690959777,19233.094384707285,465.0
Cromwell School District,330011,Edna C. Stevens School,330211,622,12429,13052,2018,251.1,1.282206292313819,797.5323138191955,15936.542007168458,16735.356527279968,483.0
Cromwell School District,330011,Woodside Intermediate School,330311,297,13251,13548,2018,251.1,1.282206292313819,380.8152688172043,16990.515579450417,17371.330848267622,451.0
Danbury School District,340011,Alternative Center For Excellence,346211,1206,22870,24076,2018,251.1,1.282206292313819,1546.340788530466,29324.057905217043,30870.39869374751,88.0
Danbury School District,340011,Broadview Middle School,345111,521,13580,14101,2018,251.1,1.282206292313819,668.0294782954998,17412.361449621665,18080.390927917164,968.0
Danbury School District,340011,DPS Early Childhood Center,340111,977,7332,8309,2018,251.1,1.282206292313819,1252.715547590601,9401.13653524492,10653.852082835523,127.0
Danbury School District,340011,Danbury High School,346111,519,12507,13026,2018,251.1,1.282206292313819,665.4650657108721,16036.554097968936,16702.019163679808,3115.0
Danbury School District,340011,Ellsworth Avenue School,341411,578,12088,12666,2018,251.1,1.282206292313819,741.1152369573874,15499.309661489446,16240.424898446832,471.0
Danbury School District,340011,Great Plain School,341111,578,12038,12617,2018,251.1,1.282206292313819,741.1152369573874,15435.199346873756,16177.596790123456,294.0
Danbury School District,340011,Hayestown Avenue School,340211,574,10754,11328,2018,251.1,1.282206292313819,735.9864117881322,13788.846467542811,14524.832879330945,484.0
Danbury School District,340011,King Street Intermediate School,341711,577,11663,12240,2018,251.1,1.282206292313819,739.8330306650736,14954.371987256072,15694.205017921146,389.0
Danbury School District,340011,King Street Primary School,341311,577,11770,12347,2018,251.1,1.282206292313819,739.8330306650736,15091.568060533653,15831.401091198724,451.0
Danbury School District,340011,Mill Ridge Primary School,340511,577,11748,12324,2018,251.1,1.282206292313819,739.8330306650736,15063.359522102746,15801.910346475506,340.0
Danbury School District,340011,Morris Street School,340611,577,11785,12363,2018,251.1,1.282206292313819,739.8330306650736,15110.801154918356,15851.916391875746,362.0
Danbury School District,340011,Park Avenue School,340811,575,11098,11673,2018,251.1,1.282206292313819,737.268618080446,14229.925432098764,14967.19405017921,629.0
Danbury School District,340011,Pembroke School,341511,578,11954,12532,2018,251.1,1.282206292313819,741.1152369573874,15327.494018319394,16068.60925527678,344.0
Danbury School District,340011,Rogers Park Middle School,345211,522,13947,14469,2018,251.1,1.282206292313819,669.3116845878136,17882.931158900836,18552.24284348865,932.0
Danbury School District,340011,Shelter Rock School,341211,575,11044,11619,2018,251.1,1.282206292313819,737.268618080446,14160.686292313818,14897.954910394265,544.0
Danbury School District,340011,South Street School,341011,574,10839,11413,2018,251.1,1.282206292313819,735.9864117881322,13897.834002389483,14633.820414177617,408.0
Danbury School District,340011,Stadley Rough School,341611,576,11236,11812,2018,251.1,1.282206292313819,738.5508243727598,14406.869900438072,15145.42072481083,507.0
Danbury School District,340011,Western CT Academy of International Studies Elementary Magnet School,341911,579,12796,13376,2018,251.1,1.282206292313819,742.3974432497013,16407.11171644763,17150.791365989644,396.0
Danbury School District,340011,Westside Middle School Academy,340311,518,12589,13106,2018,251.1,1.282206292313819,664.1828594185583,16141.695013938668,16804.595667064914,601.0
Darien School District,350011,Darien High School,356111,213,20202,20414,2018,251.1,1.282206292313819,273.10994026284345,25903.13151732377,26174.9592512943,1377.0
Darien School District,350011,Hindley Elementary School,350211,290,19658,19948,2018,251.1,1.282206292313819,371.8398247710076,25205.611294305058,25577.451119076064,483.0
Darien School District,350011,Holmes Elementary School,350711,279,17485,17764,2018,251.1,1.282206292313819,357.73555555555555,22419.377021107128,22777.112576662683,470.0
Darien School District,350011,Middlesex Middle School,355111,337,20894,21231,2018,251.1,1.282206292313819,432.10352050975706,26790.418271604936,27222.52179211469,1123.0
Darien School District,350011,Ox Ridge Elementary School,351311,184,20359,20544,2018,251.1,1.282206292313819,235.92595778574272,26104.437905217044,26341.6460692951,446.0
Darien School District,350011,Royle Elementary School,350511,606,19925,20531,2018,251.1,1.282206292313819,777.0170131421744,25547.96037435285,26324.97738749502,401.0
Darien School District,350011,Tokeneke Elementary School,350611,150,18660,18810,2018,251.1,1.282206292313819,192.3309438470729,23925.969414575866,24118.300358422937,489.0
Deep River School District,360011,Deep River Elementary School,360111,565,19319,19885,2018,251.1,1.282206292313819,724.4465551573078,24770.94336121067,25496.672122660293,275.0
Derby School District,370011,Bradley School,370611,458,17451,17908,2018,251.1,1.282206292313819,587.2504818797291,22375.78200716846,22961.75028275587,279.0
Derby School District,370011,Derby High School,376111,1632,17974,19605,2018,251.1,1.282206292313819,2092.5606690561526,23046.375898048584,25137.654360812423,353.0
Derby School District,370011,Derby Middle School,375011,458,14566,15024,2018,251.1,1.282206292313819,587.2504818797291,18676.61685384309,19263.867335722814,351.0
